AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
AblWhipMultiAttack	100-Whip Slap
AblWhipRoof	Ceiling Strike
AblWhipJump	Jump Strike
AblWhipCicleRibon	100-Whip Dash
AblWhipTyphoon	Whip Tornado
AblWhipCapture	Whip Grab
AblWhipBeatFront	Front Lash
AblWhipBeatDouble	Double Lash
AblWhipBeatBack	Back Lash
AblWhipBeatHight	High Lash
AblWhipSlashBtn	Press and release \x0e\x04\x06\x022\0
AblWhipMultiAttackBtn	\x0e\x04\x06\x022\0 repeatedly
AblWhipRoofBtn	\x0e\x04\x17\x02Ä\0 + press and release \x0e\x04\x06\x022\0
AblWhipJumpBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblWhipCicleRibonBtn	Dash + \x0e\x04\x06\x022\0
AblWhipTyphoonBtn	\x0e\x04\x15\x02Â\0, then \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWhipCaptureBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblWhipBeatFrontBtn	Whip Grab + either \x0e\x04\x06\x022\0/\x0e\x04\x14\x02Á\0
AblWhipBeatDoubleBtn	Whip Grab + \x0e\x04\x15\x02Â\0
AblWhipBeatBackBtn	Whip Grab + \x0e\x04\x16\x02Ã\0
AblWhipBeatHightBtn	Whip Grab + \x0e\x04\x17\x02Ä\0
AblSniperTitle1	Archer (1/3)
AblSniperTitle2	Archer (2/3)
AblSniperTitle3	Archer (3/3)
AblSniperShot	Shot
AblSniperSnipeShot	Snipe Shot
AblSniperArrowSlash	Magic-Star Arrow
AblSniperUnderShot	Sharpshooter
AblSniperSkyShot	Sky Shot
AblSniperSkyShotShower	Sky-Shot Shower
AblSniperSlash	Arrow Slash
AblSniperJumping	Leaping Quiver
AblSniperSquat	Camouflage
AblSniperSquatShot	Hitman
AblSniperCrawl	Crawl
AblSniperShotBtn	Press and release \x0e\x04\x06\x022\0
AblSniperSnipeShotBtn	Hold \x0e\x04\x06\x022\0 to charge, then release
AblSniperArrowSlashBtn	Hold \x0e\x04\x06\x022\0 longer before releasing
AblSniperUnderShotBtn	While holding \x0e\x04\x06\x022\0, move \x0e\x04\x17\x02Ä\0/\x0e\x04\x15\x02Â\0
AblSniperSkyShotBtn	\x0e\x04\x17\x02Ä\0 + press and release \x0e\x04\x06\x022\0
AblSniperSkyShotShowerBtn	Move \x0e\x04\x17\x02Ä\0 and hold \x0e\x04\x06\x022\0 to charge,\nthen release
AblSniperSlashBtn	Dash + \x0e\x04\x06\x022\0
AblSniperJumpingBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblSniperSquatBtn	\x0e\x04\x15\x02Â\0
AblSniperSquatShotBtn	\x0e\x04\x06\x022\0 while\ncamouflaged
AblSniperCrawlBtn	Move \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 while camouflaged
AblFighterTitle1	Fighter (1/4)
AblFighterTitle2	Fighter (2/4)
AblFighterTitle3	Fighter (3/4)
AblFighterTitle4	Fighter (4/4)
AblFighterJump	Vulcan Jab
AblFighterPanchi	Smash Punch
AblFighterUnder	Leg Sweep
AblFighterSpinKick	Spin Kick
AblFighterTrampleKick	Down Kick
AblFighterDoubleKick	Double Kick
AblFighterRisingBreak	Rising Break
AblFighterSkyKick	Sky Kick
AblFighterCannon	Force Blast
AblFighterMegaCannon	Mega Force Blast
AblFighterGigaCannon	Giga Force Blast
AblFighterMegaCannonFast	Instant Mega Force Blast
AblFighterMoonSalto	Moon Somersault Kick
AblFighterCapture	Foe Grab
AblFighterThrow	Arm Throw
AblFighterBackThrow	Judo Throw
AblFighterJumpBtn	Press and release \x0e\x04\x06\x022\0
AblFighterPanchiBtn	Press and hold \x0e\x04\x06\x022\0
AblFighterUnderBtn	Dash + press and release \x0e\x04\x06\x022\0
AblFighterSpinKickBtn	Dash + press and hold \x0e\x04\x06\x022\0
AblFighterTrampleKickBtn	Press and release \x0e\x04\x06\x022\0 in midair
AblFighterDoubleKickBtn	Press and hold \x0e\x04\x06\x022\0 in midair
AblFighterRisingBreakBtn	\x0e\x04\x17\x02Ä\0 and hold \x0e\x04\x06\x022\0
AblFighterSkyKickBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblFighterCannonBtn	\x0e\x04\x15\x02Â\0 + hold \x0e\x04\x06\x022\0 briefly\nbefore releasing
AblFighterMegaCannonBtn	\x0e\x04\x15\x02Â\0 + hold \x0e\x04\x06\x022\0 even\nlonger before releasing
AblFighterGigaCannonBtn	\x0e\x04\x15\x02Â\0 + hold \x0e\x04\x06\x022\0 even\nlonger before releasing
AblFighterMegaCannonFastBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x14\x02Á\0 + press and hold \x0e\x04\x06\x022\0
AblFighterMoonSaltoBtn	Press and release \x0e\x04\x06\x022\0\nnear an enemy in midair
AblFighterCaptureBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 near an enemy
AblFighterThrowBtn	Foe Grab + either \x0e\x04\x06\x022\0/\x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0
AblFighterBackThrowBtn	Foe Grab + either \x0e\x04\x15\x02Â\0/\x0e\x04\x16\x02Ã\0
AblNinjaTitle1	Ninja (1/3)
AblNinjaTitle2	Ninja (2/3)
AblNinjaTitle3	Ninja (3/3)
AblNinjaKunai	Knife Throw
AblNinjaSlash	Shock
AblNinjaDash	Stealth Slash
AblNinjaKick	Ninja Kick
AblNinjaSmoke	Smoke Screen
AblNinjaFlowerShower	Blossom Storm
AblNinjaSlashCombo	Quad Shock
AblNinjaAirDrop	Air Drop
AblNinjaStickWall	Wall Cling
AblNinjaStickWallKunai	Wall Strike
AblNinjaTriangleJump	Wall Jump
AblNinjaHide	Clone Technique
AblNinjaKunaiBtn	Press and release \x0e\x04\x06\x022\0
AblNinjaSlashBtn	Press and hold \x0e\x04\x06\x022\0
AblNinjaDashBtn	Dash + \x0e\x04\x06\x022\0
AblNinjaKickBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblNinjaSmokeBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblNinjaFlowerShowerBtn	\x0e\x04\x17\x02Ä\0, then \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblNinjaSlashComboBtn	Press and hold \x0e\x04\x06\x022\0 near an enemy
AblNinjaAirDropBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 near an enemy 
AblNinjaStickWallBtn	Hold \x0e\x04\x18\x02Å\0 against a wall in midair
AblNinjaStickWallKunaiBtn	\x0e\x04\x06\x022\0 during Wall Cling
AblNinjaTriangleJumpBtn	\x0e\x04\x05\x021\0 during Wall Cling
AblNinjaHideBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0 right before getting hit
AblBeetleTitle1	Beetle (1/4)
AblBeetleTitle2	Beetle (2/4)
AblBeetleTitle3	Beetle (3/4)
AblBeetleTitle4	Beetle (4/4)
AblBeetleHornUpper	Horn Upper
AblBeetleBackSlash	Horn Flurry
AblBeetleRocketHorn	Rocket Horn
AblBeetleRocketHornDiving	Rocket Horn Dive
AblBeetleSpiralHorn	Spiral Horn
AblBeetleHoverWing	Hover Wing
AblBeetleHeadPress	Hardhead Slam
AblBeetleHeadPressLanding	Catching Horn
AblBeetleCaptureHorn	Carry Around
AblBeetleCaptureThrow	Quick Throw
AblBeetleCaptureJumpHold	Throw Drop
AblBeetleCaptureFall	Crown Drop
AblBeetleCaptureDrill	Slamming Drill
AblBeetleHornUpperBtn	\x0e\x04\x06\x022\0
AblBeetleBackSlashBtn	\x0e\x04\x06\x022\0 repeatedly
AblBeetleRocketHornBtn	Dash + \x0e\x04\x06\x022\0
AblBeetleRocketHornDivingBtn	Dash + \x0e\x04\x06\x022\0 + \x0e\x04\x17\x02Ä\0
AblBeetleSpiralHornBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblBeetleHoverWingBtn	\x0e\x04\x05\x021\0 in midair
AblBeetleHeadPressBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblBeetleHeadPressLandingBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 near an enemy
AblBeetleCaptureHornBtn	Catching Horn + either \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblBeetleCaptureThrowBtn	Catching Horn + \x0e\x04\x06\x022\0
AblBeetleCaptureJumpHoldBtn	Catching Horn + \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblBeetleCaptureFallBtn	Catching Horn + \x0e\x04\x16\x02Ã\0 + \x0e\x04\x06\x022\0
AblBeetleCaptureDrillBtn	Catching Horn + \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblBellTitle1	Bell (1/2)
AblBellTitle2	Bell (2/2)
AblBellRingDong	Ring-ding
AblBellRingDingDong	Ring-ding-dong
AblBellKnockRingDong	Sting-ding
AblBellFinalDingDong	Ding Finale
AblBellFinalDingDongFast	Quick Finale
AblBellThrowBell	Twin Tinker
AblBellTinkerMelody	Tinker Melody
AblBellInBell	Bell Block
AblBellRingDongBtn	\x0e\x04\x06\x022\0
AblBellRingDingDongBtn	\x0e\x04\x06\x022\0 repeatedly
AblBellKnockRingDongBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblBellFinalDingDongBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 during\nRing-ding-dong
AblBellFinalDingDongFastBtn	Hold \x0e\x04\x17\x02Ä\0, then use \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblBellThrowBellBtn	Dash + \x0e\x04\x06\x022\0
AblBellTinkerMelodyBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblBellInBellBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblWrestlerTitle1	Wrestler (1/5)
AblWrestlerTitle2	Wrestler (2/5)
AblWrestlerTitle3	Wrestler (3/5)
AblWrestlerTitle4	Wrestler (4/5)
AblWrestlerTitle5	Wrestler (5/5)
AblWrestlerChop	Chop
AblWrestlerChopRush	Chop Barrage - Final Chop
AblWrestlerTorrentLariat	Launcher Lariat
AblWrestlerDashAmbit	Tackle Grab
AblWrestlerCatchBody	Lift
AblWrestlerBackBleecker	Blazing Back Breaker
AblWrestlerBodySlam	Megaton Slam
AblWrestlerGermanSuplex	Air Suplex
AblWrestlerGiantSwing	Giant Swing
AblWrestlerRockDrop	Rolling Breaker
AblWrestlerJumpingCatch	Flying Grab
AblWrestlerBackBleeckerSpin	Ultra Back Breaker
AblWrestlerAirUnderBodySlam	Air Corkscrew
AblWrestlerRollingSobat	Rolling Sobat
AblWrestlerHeadButt	Headbutt
AblWrestlerPinpointKick	Wrestler Pinpoint Kick
AblWrestlerFuryStomp	Wrestler Fury Stomp
AblWrestlerRocketKick	Flying Dropkick
AblWrestlerBombingPlancha	Meteor Plancha
AblWrestlerBombingPlanchaHigh	Bouncing Meteor Plancha
AblWrestlerCatchBodyInfo01	－After Lift: Part 1－
AblWrestlerCatchBodyInfo02	－After Lift: Part 2－
AblWrestlerJumpingCatchInfo	－During Lift for Flying Grab－
AblWrestlerChopBtn	\x0e\x04\x06\x022\0
AblWrestlerChopRushBtn	\x0e\x04\x06\x022\0 repeatedly
AblWrestlerTorrentLariatBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblWrestlerDashAmbitBtn	Dash + \x0e\x04\x06\x022\0
AblWrestlerCatchBodyBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 near foe
AblWrestlerBackBleeckerBtn	\x0e\x04\x17\x02Ä\0
AblWrestlerBodySlamBtn	\x0e\x04\x15\x02Â\0
AblWrestlerGermanSuplexBtn	\x0e\x04\x16\x02Ã\0
AblWrestlerGiantSwingBtn	\x0e\x04\x14\x02Á\0
AblWrestlerRockDropBtn	\x0e\x04\x05\x021\0
AblWrestlerJumpingCatchBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWrestlerBackBleeckerSpinBtn	\x0e\x04\x05\x021\0
AblWrestlerAirUnderBodySlamBtn	\x0e\x04\x06\x022\0/\x0e\x04\x15\x02Â\0
AblWrestlerRollingSobatBtn	\x0e\x04\x06\x022\0 in midair
AblWrestlerHeadButtBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 in midair
AblWrestlerPinpointKickBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblWrestlerFuryStompBtn	Hold \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblWrestlerRocketKickBtn	Dash + \x0e\x04\x06\x022\0 and \x0e\x04\x05\x021\0 simultaneously
AblWrestlerBombingPlanchaBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWrestlerBombingPlanchaHighBtn	Hold \x0e\x04\x18\x02Å\0 against a wall in midair + \x0e\x04\x06\x022\0
AblStickTitle1	Staff (1/3)
AblStickTitle2	Staff (2/3)
AblStickTitle3	Staff (3/3)
AblStickAttackFront	Jab
AblStickAttackBack	Back Jab
AblStickAttackUpper	Up Jab
AblStickAttackBothSides	L-R Jab
AblStickAttackWildDance	Raging Staff
AblStickHighJumpAttack	Pole Vault
AblStickFallUnderAttack	Unrelenting Staff
AblStickDashAttack	Long Jab
AblStickDashChargeAttack	Super Long Jab
AblStickTornadoAttack	Spinning Staff
AblStickGuardAttack	Staff Counter
AblStickAttackFrontBtn	\x0e\x04\x06\x022\0
AblStickAttackBackBtn	After pressing \x0e\x04\x06\x022\0, use \x0e\x04\x16\x02Ã\0 + \x0e\x04\x06\x022\0
AblStickAttackUpperBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblStickAttackBothSidesBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblStickAttackWildDanceBtn	\x0e\x04\x06\x022\0 repeatedly
AblStickHighJumpAttackBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblStickFallUnderAttackBtn	Press \x0e\x04\x06\x022\0 repeatedly during Pole Vault
AblStickDashAttackBtn	Dash + press and release \x0e\x04\x06\x022\0
AblStickDashChargeAttackBtn	Dash + hold \x0e\x04\x06\x022\0, then release
AblStickTornadoAttackBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblStickGuardAttackBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblArtistTitle1	Artist (1/2)
AblArtistTitle2	Artist (2/2)
AblArtistSlash	Brush Slash
AblArtistSlashUpper	Rising Brush Slash
AblArtistSplash	Brush Splash
AblArtistPainterCanvas	Painter
AblArtistSculptureAttack	Sculpture
AblArtistSculptureBreak	Creative Destruction
AblArtistSculptureMove	Masterpiece Movement
AblArtistSlashBtn	\x0e\x04\x06\x022\0
AblArtistSlashUpperBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblArtistSplashBtn	Dash + \x0e\x04\x06\x022\0
AblArtistPainterCanvasBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblArtistSculptureAttackBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblArtistSculptureBreakBtn	Press \x0e\x04\x06\x022\0 after Sculpture
AblArtistSculptureMoveBtn	Move \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 after Sculpture
AblYoyoTitle1	Yo-Yo (1/2)
AblYoyoTitle2	Yo-Yo (2/2)
AblYoyoThrowFront	Yo-Yo Throw
AblYoyoThrowUp	Yo-Yo Up
AblYoyoThrowSide	Yo-Yo Orbit
AblYoyoWalkDog	Walk the Dog
AblYoyoStartWalk	Dog Walker
AblYoyoBreakSpin	Break Spin
AblYoyoJumpingSpin	Jump Spin
AblYoyoHammerDrop	Hammer Drop
AblYoyoGeyserSpiral	Gazer Spiral
AblYoyoThrowFrontBtn	\x0e\x04\x06\x022\0
AblYoyoThrowUpBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblYoyoThrowSideBtn	\x0e\x04\x15\x02Â\0 + press and release \x0e\x04\x06\x022\0
AblYoyoWalkDogBtn	\x0e\x04\x15\x02Â\0 + press and hold \x0e\x04\x06\x022\0
AblYoyoStartWalkBtn	Walk the Dog + \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblYoyoBreakSpinBtn	Dash + \x0e\x04\x06\x022\0
AblYoyoJumpingSpinBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblYoyoHammerDropBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 or \x0e\x04\x13\x02À\0/\x0e\x04\x06\x022\0 near an enemy 
AblYoyoGeyserSpiralBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWaterTitle1	Water (1/2)
AblWaterTitle2	Water (2/2)
AblWaterWaveShot	Wave Attack
AblWaterWaterRide	Surf
AblWaterUpAttack	Geyser
AblWaterUnderAttack	Fountain Hover
AblWaterSurfingTackle	Wave Surf
AblWaterRainbowRain	Rainbow Rain
AblWaterWaterCrown	Water Crown
AblWaterWaveShotBtn	\x0e\x04\x06\x022\0
AblWaterWaterRideBtn	Dash
AblWaterUpAttackBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWaterUnderAttackBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblWaterSurfingTackleBtn	Dash + \x0e\x04\x06\x022\0
AblWaterRainbowRainBtn	\x0e\x04\x15\x02Â\0, then \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblWaterWaterCrownBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblKingDededeTitle1	King Dedede (1/2)
AblKingDededeTitle2	King Dedede (2/2)
AblKingDededeHammerAttack	Hammer
AblKingDededeGuriguriHammer	Hammer Twirl
AblKingDededeSwing	Giant Dedede Swing
AblKingDededeAirSpin	Giant Swing
AblKingDededeAirSpinStrong	Ultra-Giant Swing
AblKingDededeOnigorosiHammerAttack	Dedede Hammer Flip
AblKingDededeChargingMove	Move While Charging
AblKingDededeThrowExplosion	Dedede Hammer Throw
AblKingDededeSliding	Head Slide
AblKingDededeSuperJump	Super Dedede Jump
AblKingDededeHammerAttackBtn	\x0e\x04\x06\x022\0
AblKingDededeGuriguriHammerBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblKingDededeSwingBtn	Dash + \x0e\x04\x06\x022\0
AblKingDededeAirSpinBtn	\x0e\x04\x06\x022\0 in midair
AblKingDededeAirSpinStrongBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblKingDededeOnigorosiHammerAttackBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblKingDededeChargingMoveBtn	During Dedede Hammer Flip \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblKingDededeThrowExplosionBtn	Dash + \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblKingDededeSlidingBtn	Dash + \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblKingDededeSuperJumpBtn	\x0e\x04\x15\x02Â\0, then \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblMetaknightTitle1	Meta Knight (1/4)
AblMetaknightTitle2	Meta Knight (2/4)
AblMetaknightTitle3	Meta Knight (3/4)
AblMetaknightTitle4	Meta Knight (4/4)
AblMetaknightAttack	Overhead Slash
AblMetaknightMoonShot	Crescent Shot
AblMetaknightAttackTriple	Meta Triple Slash
AblMetaknightAttackRush	Meta Multithrust
AblMetaknightDrillSlash	Piercing Slash
AblMetaknightSpinningKnight	Knight Spin
AblMetaknightChopping	Meta Chop
AblMetaknightUnderThrust	Down Thrust
AblMetaknightUpperThrust	Up Thrust
AblMetaknightCounterAttack	Galactic Counter
AblMetaknightSpinningAttack	Meta Spin Slash
AblMetaknightTornado	Mach Tornado
AblMetaknightCondorDive	Meta Condor Dive
AblMetaknightShuttleLoop	Shuttle Loop
AblMetaknightFlight	Hover
AblMetaknightAttackBtn	\x0e\x04\x06\x022\0
AblMetaknightMoonShotBtn	Hold \x0e\x04\x17\x02Ä\0, then release + \x0e\x04\x06\x022\0
AblMetaknightAttackTripleBtn	\x0e\x04\x06\x022\0 twice after Overhead Slash
AblMetaknightAttackRushBtn	\x0e\x04\x06\x022\0 after Meta Triple Slash
AblMetaknightDrillSlashBtn	Dash + \x0e\x04\x06\x022\0
AblMetaknightSpinningKnightBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblMetaknightChoppingBtn	\x0e\x04\x06\x022\0 in midair
AblMetaknightUnderThrustBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblMetaknightUpperThrustBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblMetaknightCounterAttackBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblMetaknightSpinningAttackBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblMetaknightTornadoBtn	Press and hold \x0e\x04\x06\x022\0,\nthen release + \x0e\x04\x17\x02Ä\0
AblMetaknightCondorDiveBtn	Dash and use \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblMetaknightShuttleLoopBtn	\x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblMetaknightFlightBtn	\x0e\x04\x05\x021\0 in midair
AblBandanaWaddledeeTitle1	Bandana Waddle Dee (1/3)
AblBandanaWaddledeeTitle2	Bandana Waddle Dee (2/3)
AblBandanaWaddledeeTitle3	Bandana Waddle Dee (3/3)
AblBandanaWaddledeeAttackFront	Spear Thrust
AblBandanaWaddledeeAttackBack	Back Thrust
AblBandanaWaddledeeRush	Multispear Thrust
AblBandanaWaddledeeCopter	Waddle Copter
AblBandanaWaddledeeAttackUpper	Skyward Thrust
AblBandanaWaddledeeGroundThrust	Ground Thrust
AblBandanaWaddledeeMoonDrop	Moon Drop
AblBandanaWaddledeeThrow	Waddle Spear Throw
AblBandanaWaddledeeThrowContinuity	Waddle Spear Barrage
AblBandanaWaddledeeThrowTriple	Waddle Triple Throw
AblBandanaWaddledeeAttackFrontBtn	\x0e\x04\x06\x022\0
AblBandanaWaddledeeAttackBackBtn	After pressing \x0e\x04\x06\x022\0, use \x0e\x04\x16\x02Ã\0 + \x0e\x04\x06\x022\0
AblBandanaWaddledeeRushBtn	\x0e\x04\x06\x022\0 repeatedly
AblBandanaWaddledeeCopterBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblBandanaWaddledeeAttackUpperBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblBandanaWaddledeeGroundThrustBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblBandanaWaddledeeMoonDropBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblBandanaWaddledeeThrowBtn	Dash + \x0e\x04\x06\x022\0
AblBandanaWaddledeeThrowContinuityBtn	Dash + \x0e\x04\x06\x022\0 repeatedly in midair
AblBandanaWaddledeeThrowTripleBtn	Dash + hold \x0e\x04\x06\x022\0, then release
AblGooeyTitle1	Gooey (1/3)
AblGooeyTitle2	Gooey (2/3)
AblGooeyTitle3	Gooey (3/3)
AblGooeyItemCatch	Any tongue move can grab items!
AblGooeyAttackFront	Quick Lick
AblGooeyRush	Flicker Lick
AblGooeyCaptureShot	Snack Lick
AblGooeyCaptureRelease	Tongue Slingshot
AblGooeyParasolUpper	Parasol Gooey
AblGooeyParasolUpperShild	Parasol Spin
AblGooeyBurning	Burning Gooey
AblGooeyStoneChange	Stone Gooey
AblGooeyDarkLaserSpread	Dark Laser Flare
AblGooeyMatterImitation	Mock Matter
AblGooeyDarkLaser	Dark Laser
AblGooeyOmamori	Protective Bag
AblGooeyAttackFrontBtn	Press and release \x0e\x04\x06\x022\0
AblGooeyRushBtn	\x0e\x04\x06\x022\0 repeatedly
AblGooeyCaptureShotBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblGooeyCaptureReleaseBtn	Snack Lick + either \x0e\x04\x06\x022\0/\x0e\x04\x14\x02Á\0
AblGooeyParasolUpperBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblGooeyParasolUpperShildBtn	Press and hold \x0e\x04\x06\x022\0 during\nParasol Gooey
AblGooeyBurningBtn	Dash + \x0e\x04\x06\x022\0
AblGooeyStoneChangeBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblGooeyDarkLaserSpreadBtn	\x0e\x04\x15\x02Â\0, then \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblGooeyMatterImitationBtn	\x0e\x04\x05\x021\0 in midair
AblGooeyDarkLaserBtn	\x0e\x04\x06\x022\0 during Mock Matter
AblGooeyOmamoriBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMahoroaTitle1	Magolor (1/4)
AblMahoroaTitle2	Magolor (2/4)
AblMahoroaTitle3	Magolor (3/4)
AblMahoroaTitle4	Magolor (4/4)
AblMahoroaMagicBall	Magic Sphere
AblMahoroaRevoBall	Revolution Orbs
AblMahoroaRevoFlame	Revolution Flame
AblMahoroaKillNeedle	Deadly Needles
AblMahoroaKillNeedleDouble	Double Deadly Needles
AblMahoroaKillNeedleQuad	Double Deadly Needles Deluxe
AblMahoroaStorm	Magolor Surge
AblMahoroaGemAppleExplosion	Gem Apple Bombs
AblMahoroaDetonationGemApple	Detonate
AblMahoroaBlackHole	Black Hole
AblMahoroaUltraSword	Ultra Sword
AblMahoroaReflectBarrier	Magic Barrier
AblMahoroaVanish	Dimensional Vanish
AblMahoroaMagicBallBtn	Press and release \x0e\x04\x06\x022\0
AblMahoroaRevoBallBtn	Hold \x0e\x04\x06\x022\0 briefly before releasing
AblMahoroaRevoFlameBtn	Hold \x0e\x04\x06\x022\0 longer before releasing
AblMahoroaKillNeedleBtn	\x0e\x04\x17\x02Ä\0 + press and release \x0e\x04\x06\x022\0
AblMahoroaKillNeedleDoubleBtn	\x0e\x04\x17\x02Ä\0 + hold \x0e\x04\x06\x022\0 briefly before releasing
AblMahoroaKillNeedleQuadBtn	\x0e\x04\x17\x02Ä\0 + hold \x0e\x04\x06\x022\0 even longer before releasing
AblMahoroaStormBtn	Dash + \x0e\x04\x06\x022\0
AblMahoroaGemAppleExplosionBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblMahoroaDetonationGemAppleBtn	Gem Apple Bombs, then \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblMahoroaBlackHoleBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0 in midair
AblMahoroaUltraSwordBtn	\x0e\x04\x15\x02Â\0, then \x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblMahoroaReflectBarrierBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
