AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
Common_4_Title	つかまっても ぬけだせる
Common_4_Body	{c[ff8c00]}ほおばり/つかみ{c[000000]}で つかまったら\n\x0e\x04\x13\x02À\0を ガチャガチャ {c[ff8c00]}うごかして{c[000000]} ぬけだそう！
Common_5_Title	ガードゲージを よく {r2[み]}見{/r2}よう
Common_5_Body	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0で {c[ff8c00]}ガードを つづける{c[000000]}と\n{c[ff8c00]}ガードゲージ{c[000000]}が へっていく！\nゼロに なると {c[ff8c00]}うごけなく{c[000000]}なるぞ！
Common_6_Title	くちうつしで かいふく
Common_6_Body	{c[ff8c00]}たべもの{c[000000]}を とって なかまに {r2[ちか]}近{/r2}づこう！\n{c[ff8c00]}くちうつし{c[000000]}で たいりょく {c[ff8c00]}かいふく{c[000000]}だ！
Common_7_Title	すりぬけられる ゆか
Common_7_Body	ステージにある {c[ff8c00]}うすいゆか{c[000000]}は\n\x0e\x04\x15\x02Â\0を おすと {r2[した]}下{/r2}に {c[ff8c00]}すりぬけ{c[000000]}られる！
Common_8_Title	ゴーストからの ふっかつ
Common_8_Body	たいりょくが なくなると {c[ff8c00]}ゴースト{c[000000]}に なる！\nてきを {c[ff8c00]}こうげき{c[000000]}すると {c[ff8c00]}ふっかつ{c[000000]}するぞ！
Common_9_Title	ファイターズポイントを ためよう
Common_9_Body	{c[ff8c00]}ファイターズポイント{c[000000]}は バトルで もらえる！\n{c[ff8c00]}オンラインモード{c[000000]}や {c[ff8c00]}ローカルモード{c[000000]}では\nさらに たくさん ゲットできる！
Common_10_Title	ファイターズランクを {r2[あ]}上{/r2}げよう
Common_10_Body	{c[ff8c00]}ファイターズポイント{c[000000]}を ためると\n{c[ff8c00]}ファイターズランク{c[000000]}が アップ！\n{r2[つか]}使{/r2}える キャラクターなどが ふえていく！
Common_11_Title	たべもので かいふく
Common_11_Body	たいりょくが ゼロに ならないように、\n{c[ff8c00]}たべもの{c[000000]}を とって\n{c[ff8c00]}かいふく {c[000000]}しながら {r2[たたか]}戦{/r2}おう！
Common_12_Title	キャンディー
Common_12_Body	とると、 しばらくの{r2[あいだ]}間{/r2}\n{c[ff8c00]}むてき{c[000000]}に なって {c[ff8c00]}ダメージを うけなくなる！{c[000000]}
Common_13_Title	さつまいも
Common_13_Body	とると、 しばらくの{r2[あいだ]}間{/r2}\n{c[ff8c00]}くうきだん{c[000000]}を {r2[だ]}出{/r2}して こうげき できる！
Common_14_Title	タイマーダイナマイト
Common_14_Body	しばらくすると まん{r2[なか]}中{/r2}の {c[ff8c00]}メーター{c[000000]}が\nいっぱいに なって、 {c[ff8c00]}{r2[だい]}大{/r2}ばくはつ{c[000000]}を おこす！
Common_15_Title	ボンバー
Common_15_Body	なげて {c[ff8c00]}ちょくげき{c[000000]}すると {r2[だい]}大{/r2}ばくはつ！\nもしくは、 ゆかに なげると\nテクテク {c[ff8c00]}あるいてから{c[000000]} {r2[だい]}大{/r2}ばくはつ する！
Common_16_Title	ゴルボール
Common_16_Body	なげると {r2[おお]}大{/r2}きく なって\nさわると いたい {c[ff8c00]}ゴルドー{c[000000]}に なる！
Common_17_Title	ダッシュシューズ
Common_17_Body	とると、 しばらくの{r2[あいだ]}間{/r2}\n{c[ff8c00]}いどう スピードが アップ{c[000000]}する！
Common_18_Title	クラッカー
Common_18_Body	{r2[て]}手{/r2}に もつと しばらくの{r2[あいだ]}間{/r2}\n{c[ff8c00]}クラッカー{c[000000]}から {c[ff8c00]}たま{c[000000]}が {r2[で]}出{/r2}て\nこうげき できる！
Common_19_Title	ハプニングスター
Common_19_Body	{c[ff8c00]}こうげき{c[000000]}で はつどう する\n{c[ff8c00]}{r2[なに]}何{/r2}が おこるか{c[000000]} わからない\nふしぎな スター！
Common_20_Title	マイク
Common_20_Body	とると、 {r2[おお]}大{/r2}きな{r2[おと]}音{/r2}で\n{r2[ちか]}近{/r2}くにいる てき {r2[ぜんいん]}全員{/r2}に\n{c[ff8c00]}{r2[だい]}大{/r2}ダメージ{c[000000]}を あたえる！
Common_21_Title	おうえんポンポン
Common_21_Body	とると、 ダンスを おどりだす！\nさいごまで {c[ff8c00]}おどりきれば{c[000000]}\n{c[ff8c00]}こうげき{c[000000]}と {c[ff8c00]}スピード{c[000000]}が アップする！
Common_22_Title	バリッカウェポン
Common_22_Body	{c[ff8c00]}こうげき{c[000000]}して {r2[でんき]}電気{/r2}を {c[ff8c00]}チャージ{c[000000]}しよう！\nチャージが たまると {c[ff8c00]}{r2[でん]}電{/r2}げき{c[000000]}が\nてきに おそいかかる！
Common_23_Title	アイスコンテナ
Common_23_Body	{c[ff8c00]}こうげき{c[000000]}して こわすと\n{r2[こおり]}氷{/r2}の{r2[なか]}中{/r2}にある {c[ff8c00]}つよいアイテム{c[000000]}が {r2[で]}出{/r2}てくる！
Common_24_Title	{r2[がったい]}合体{/r2} バディシューティングスター
Common_24_Body	ふたつの パーツを もって {c[ff8c00]}{r2[がったい]}合体{/r2}{c[000000]}させれば\n{c[ff8c00]}バディシューティングスター{c[000000]}が\nかんせい する！
Common_27_Title	レアぼうしを {r2[つか]}使{/r2}ってみよう
Common_27_Body	カービィの {c[ff8c00]}レアぼうし{c[000000]}を もっていると、\nキャラクターを えらぶとき\n\x0e\x04\x08\x024\0を おして {c[ff8c00]}ぼうしへんこう{c[000000]}が できる！
Common_28_Title	ガードゲージの かいふく
Common_28_Body	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0で ガードして へった {c[ff8c00]}ゲージ{c[000000]}は\nしばらくすると {c[ff8c00]}{r2[もと]}元{/r2}に もどる！{c[000000]}
Common_29_Title	こうげきを よけよう
Common_29_Body	ガード{r2[ちゅう]}中{/r2}に \x0e\x04\x13\x02À\0を うごかせば\n{c[ff8c00]}そのばかいひ{c[000000]}で ヒラリと よけられる！
Common_30_Title	ガードには ほおばり/つかみ
Common_30_Body	\x0e\x04\x07\x023\0{c[ff8c00]}ほおばり/つかみ{c[000000]}は\nてきが {c[ff8c00]}ガード{r2[ちゅう]}中{/r2}{c[000000]}でも {r2[つか]}使{/r2}うことが できる！
Common_31_Title	ゴーストふっかつ{r2[きょうか]}強化{/r2} とは
Common_31_Body	{c[ff8c00]}ルールせってい{c[000000]}で{c[ff8c00]}\nゴーストふっかつ{r2[きょうか]}強化{/r2}{c[000000]}を {c[ff8c00]}あり{c[000000]}に すると\nふっかつの たびに パワーアップする！
Common_32_Title	ゴーストに なるまでの {r2[じかん]}時間{/r2}
Common_32_Body	ゴーストに なるまでの {r2[じかん]}時間{/r2}は\nゴースト{r2[か]}化{/r2}を {c[ff8c00]}くりかえす{c[000000]}ほど\n{c[ff8c00]}{r2[なが]}長{/r2}く{c[000000]}なっていく！
Common_33_Title	レアぼうしの プレゼント
Common_33_Body	{c[ff8c00]}「{r2[ほし]}星{/r2}のカービィ　スターアライズ」{c[000000]}を\nあそんだ ことが あれば\nとくべつな {c[ff8c00]}レアぼうし{c[000000]}を ゲット できる！
Common_35_Title	レアぼうしの プレゼント
Common_35_Body	{c[ff8c00]}「スーパーカービィハンターズ」{c[000000]}を\nあそんだ ことが あれば\nとくべつな {c[ff8c00]}レアぼうし{c[000000]}を ゲット できる！
Common_37_Title	レアぼうしを {r2[て]}手{/r2}に{r2[い]}入{/r2}れるには
Common_37_Body	{c[ff8c00]}ファイターズランク{c[000000]}が {r2[あ]}上{/r2}がると\nカービィの {c[ff8c00]}レアぼうし{c[000000]}を ゲットできる！
BattleRule_1_Title	{r2[たいせん]}対戦{/r2}モード
BattleRule_1_Body	1{r2[だい]}台{/r2}の Nintendo Switchで\n{c[ff8c00]}{r2[さいだい]}最大{/r2}4{r2[にん]}人{/r2}{c[000000]}まで いっしょに あそべる モード！\n{c[ff8c00]}ルール{c[000000]}を きめて {r2[き]}気{/r2}がるに バトル！
BattleRule_2_Title	こじん{r2[せん]}戦{/r2}
BattleRule_2_Body	こじん{r2[せん]}戦{/r2}は{c[ff8c00]} {r2[ぜんいん]}全員{/r2}が ライバル！{c[000000]}\nさいごまで {r2[い]}生{/r2}きのころう！
BattleRule_3_Title	チーム{r2[せん]}戦{/r2}
BattleRule_3_Body	チーム{r2[せん]}戦{/r2}では {c[ff8c00]}チームワーク{c[000000]}が たいせつ！\n{c[ff8c00]}チーム{r2[せん]}戦{/r2} せんよう{c[000000]}の アイテムも\nとうじょう するぞ！
BattleRule_5_Title	ルールせってい
BattleRule_5_Body	チーム{r2[せん]}戦{/r2}か こじん{r2[せん]}戦{/r2}を えらぶ {r2[がめん]}画面{/r2}で\n{c[ff8c00]}バトルの ルール{c[000000]}を かえることが できる！
BattleRule_6_Title	ハンデの せってい
BattleRule_6_Body	{c[ff8c00]}ルールせってい{c[000000]}で {c[ff8c00]}オートハンデ{c[000000]}を つけると\nかちまけに よって {c[ff8c00]}じどう{c[000000]}で ハンデが つく！
BattleRule_7_Title	ガチな バトルを したいなら
BattleRule_7_Body	{r2[ほんき]}本気{/r2}の バトルを たのしみたい {r2[とき]}時{/r2}は\n{c[ff8c00]}ルールせってい{c[000000]}で {c[ff8c00]}アイテム{c[000000]}や {c[ff8c00]}しかけ{c[000000]}を\n{c[ff8c00]}なし{c[000000]}に するのが  オススメだ！
BattleRule_8_Title	{r2[たいせん]}対戦{/r2}ステージの かいほう
BattleRule_8_Body	{c[ff8c00]}ファイターズランク{c[000000]}が {r2[あ]}上{/r2}がると\nあそべる {c[ff8c00]}{r2[たいせん]}対戦{/r2}ステージ{c[000000]}が ふえていく！
BattleRule_9_Title	ステージの しかけは なくせる
BattleRule_9_Body	{c[ff8c00]}ルールせってい{c[000000]}で {c[ff8c00]}しかけ{c[000000]}を {c[ff8c00]}なし{c[000000]}に すると\nステージの しかけが {c[ff8c00]}うごかなくなる！{c[000000]}
BattleRule_10_Title	ステージの {r2[うらきょく]}裏曲{/r2} さいせい
BattleRule_10_Body	{c[ff8c00]}{r2[うらきょく]}裏曲{/r2}{c[000000]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた ステージでは\n{c[ff8c00]}\x0e\x04\x08\x024\0を おしながら ステージけってい{c[000000]}を\nすると、 かならず {r2[うらきょく]}裏曲{/r2}が ながれる！
Rogue_1_Title	バディと ともに
Rogue_1_Body	ふたりで {c[ff8c00]}{r2[ちから]}力{/r2}をあわせて{c[000000]} {r2[とう]}塔{/r2}を のぼろう！\n{c[ff8c00]}チームワーク{c[000000]}が しょうりの カギだ！
Rogue_2_Title	アイテムを えらぼう
Rogue_2_Body	{c[ff8c00]}アイテムルーム{c[000000]}の アイテムは\nえらぶと {c[ff8c00]}{r2[さいじょうかい]}最上階{/r2}まで{c[000000]}\nずっと こうかが つづく！
Rogue_3_Title	ワザの {r2[だ]}出{/r2}し{r2[かた]}方{/r2}を かくにん
Rogue_3_Body	{c[ff8c00]}\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0ポーズ{c[000000]}を ひらくと\n{c[ff8c00]}ワザの {r2[だ]}出{/r2}し{r2[かた]}方{/r2}{c[000000]}を かくにん できる！
Rogue_4_Title	バトルに かつと かいふく
Rogue_4_Body	ストーリーモードでは {c[ff8c00]}バトルに かつ{c[000000]}と\nたいりょくが すこしだけ {c[ff8c00]}かいふく{c[000000]}する！
Rogue_5_Title	とちゅうセーブから プレイ
Rogue_5_Body	{c[ff8c00]}ストーリーモード{c[000000]}は、 とちゅうで\nやめても {c[ff8c00]}とちゅうセーブから{c[000000]}\nつづきを あそぶことが できる！
Rogue_6_Title	アイテムルームで パワーアップ
Rogue_6_Body	じぶんと バディを つよくする {c[ff8c00]}アイテム{c[000000]}を\n{c[ff8c00]}ひとつだけ{c[000000]} ゲット できる！
Rogue_7_Title	てきは どんどん つよくなる
Rogue_7_Body	てきは {r2[うえ]}上{/r2}に のぼるほど {c[ff8c00]}つよくなる！\nアイテムルーム{c[000000]}での せんたくが\nたいせつだ！
Rogue_11_Title	アイテムルームの レアなアイテム
Rogue_11_Body	たまに {c[ff8c00]}アイテムルーム{c[000000]}に\n{c[ff8c00]}レアなアイテム{c[000000]}が {r2[で]}出{/r2}ることが ある！\nもし {r2[み]}見{/r2}つけたら ラッキー！
Rogue_12_Title	たどりついた {r2[さいじょうかい]}最上階{/r2}
Rogue_12_Body	いざ、 デデデ{r2[だいおう]}大王{/r2}と メタナイトとの {r2[たたか]}戦{/r2}い！\n…と、 {r2[おも]}思{/r2}いきや、 そこにあるのは\n{c[ff8c00]}{r2[おお]}大{/r2}きな {r2[おお]}大{/r2}きな {r2[ふた]}二{/r2}つの {r2[け]}気{/r2}はい{c[000000]}であった…
Rogue_14_Title	{r2[ふたり]}二人{/r2} あわせて {r2[にとうりゅう]}二刀流{/r2}
Rogue_14_Body	{c[ff8c00]}ダブルスエッジ{c[000000]} ここに けんざん！\nくろがねの {r2[きょたい]}巨体{/r2}が\nタッグとなり {r2[た]}立{/r2}ちはだかる！
Rogue_16_Title	{r2[だいおう]}大王{/r2}と{r2[きし]}騎士{/r2}との {r2[たいけつ]}対決{/r2}
Rogue_16_Body	{c[ff8c00]}デデデ{r2[だいおう]}大王{/r2}{c[000000]}と {c[ff8c00]}メタナイト{c[000000]}を{r2[み]}見{/r2}つけた\nカービィたち！ …だったが、\nいつもと ちょこっと、 ちがうような…？
Rogue_18_Title	ツインウッズ アンコール
Rogue_18_Body	{r2[とう]}塔{/r2}の とちゅうで {r2[さい]}再{/r2}とうじょう！\n{c[ff8c00]}{r2[にほん]}二本{/r2}の {r2[きょぼく]}巨木{/r2}{c[000000]}が {r2[とお]}通{/r2}せんぼ！
Rogue_19_Title	ホンモノの {r2[だいおう]}大王{/r2}と{r2[きし]}騎士{/r2}
Rogue_19_Body	{c[ff8c00]}{r2[さいじょうかい]}最上階{/r2}{c[000000]}に たどりつき\nついに {r2[み]}見{/r2}つけたのは、 ニセモノには ない\nオーラを はなつ {c[ff8c00]}{r2[だいおう]}大王{/r2}{c[000000]}と{c[ff8c00]}{r2[きし]}騎士{/r2}{c[000000]} だった！
Rogue_20_Title	{r2[ふた]}二{/r2}つ よろい {r2[ふたた]}再{/r2}び
Rogue_20_Body	{c[ff8c00]}ダブルスエッジ{c[000000]}が さらに\nかたくなって {r2[さい]}再{/r2}とうじょう！\n{r2[みどり]}緑{/r2}と {r2[あか]}赤{/r2}の よろいが その{r2[つるぎ]}剣{/r2}に {r2[ちから]}力{/r2}をこめる！
Rogue_21_Title	シャドーカービィ あらわる
Rogue_21_Body	カービィの じゅんしん むくな {r2[こころ]}心{/r2}が\n{c[ff8c00]}カガミ{c[000000]}に うつり {r2[う]}生{/r2}まれたという\n{c[ff8c00]}やんちゃなカゲ{c[000000]}が あらわれた！
Rogue_22_Title	{r2[しゅくめい]}宿命{/r2}のライバル{r2[たち]}達{/r2}
Rogue_22_Body	どちらの バディの{r2[きずな]}絆{/r2}が {r2[ふか]}深{/r2}いか…\n{r2[しゅくめい]}宿命{/r2}のライバル{r2[たち]}達{/r2}の、\n{c[ff8c00]}{r2[さいご]}最後{/r2}の{r2[たたか]}戦{/r2}い{c[000000]}が {r2[いま]}今{/r2}、 はじまる！
Rogue_23_Title	ただ{r2[いま]}今{/r2} せいちょう{r2[ちゅう]}中{/r2}
Rogue_23_Body	{r2[み]}三{/r2}たび とうじょう {c[ff8c00]}ツインウッズ！\n{c[000000]}{r2[うご]}動{/r2}きも ワザも せいちょう{r2[ちゅう]}中{/r2}！
Rogue_24_Title	はげしさをます {r2[にじん]}二刃{/r2}
Rogue_24_Body	{r2[み]}三{/r2}たび とうじょう {c[ff8c00]}ダブルスエッジ！\n{c[000000]}きたえた {r2[けん]}剣{/r2}ぎを かわせるか？
Rogue_25_Title	{r2[ふたた]}再{/r2}び {r2[であ]}出会{/r2}う カガミうつしの カゲ
Rogue_25_Body	またしても {r2[め]}目{/r2}の{r2[まえ]}前{/r2}に あらわれたのは\nカービィの カゲの そんざい！\n{c[ff8c00]}やんちゃすぎる カゲ{c[000000]}を げきたい せよ！
Rogue_26_Title	{r2[ふたご]}双子{/r2}の {r2[きょぼく]}巨木{/r2}の {r2[さいだい]}最大{/r2}パワー
Rogue_26_Body	せいちょうを かさね、 {r2[きょうだい]}強大{/r2}な{r2[ちから]}力{/r2}を\n{r2[て]}手{/r2}に{r2[い]}入{/r2}れた {c[ff8c00]}ツインウッズ！{c[000000]}\n{r2[ふたご]}双子{/r2}の シンクロこうげきが おそいかかる！
Rogue_27_Title	{r2[けん]}剣{/r2}ぎを きわめし よろい たち
Rogue_27_Body	いくたの {r2[せんじょう]}戦場{/r2}を かけぬけて、\n{r2[けん]}剣{/r2}ぎを きわめた {c[ff8c00]}{r2[ふた]}二{/r2}つの {r2[やいば]}刃{/r2}{c[000000]}が\nおのれの {r2[つるぎ]}剣{/r2}をかけて いどんできた！
Rogue_28_Title	{r2[ほし]}星{/r2}に {r2[もっと]}最{/r2}も{r2[ちか]}近{/r2}い{r2[ばしょ]}場所{/r2}
Rogue_28_Body	{r2[てん]}天{/r2}をつらぬく{r2[とう]}塔{/r2}の {r2[さいじょうかい]}最上階{/r2}で\n{r2[きずな]}絆{/r2}と {r2[きずな]}絆{/r2}が {r2[いま]}今{/r2}ぶつかり{r2[あ]}合{/r2}う…！\n{c[ff8c00]}{r2[しん]}真{/r2}の ラストバトル{c[000000]}の {r2[まくあ]}幕開{/r2}けだ！
Rogue_29_Title	やられても あきらめないで
Rogue_29_Body	じぶんが {c[ff8c00]}ゴースト{c[000000]}に なっても\n{c[ff8c00]}バディ{c[000000]}が のこっていれば {c[ff8c00]}バトルは つづく！{c[000000]}
Rogue_30_Title	スコアの ファイターズポイント{r2[か]}化{/r2}
Rogue_30_Body	ストーリーモードの{r2[しょう]}章{/r2}を クリアすると\n{c[ff8c00]}ごうけいスコア{c[000000]}が\n{c[ff8c00]}ファイターズポイント{c[000000]}に かわる！
Rogue_31_Title	アイテムを {r2[つか]}使{/r2}いこなせ
Rogue_31_Body	バトル{r2[ちゅう]}中{/r2}に {r2[で]}出{/r2}る {c[ff8c00]}アイテム{c[000000]}は\nどんどん {r2[つか]}使{/r2}おう！ てきに あてれば\n{c[ff8c00]}{r2[だい]}大{/r2}ダメージ{c[000000]}になる アイテムも あるぞ！
Rogue_32_Title	ボスがおとす {r2[ほし]}星{/r2}
Rogue_32_Body	{c[ff8c00]}{r2[ほし]}星{/r2}{c[000000]}は {c[ff8c00]}\x0e\x04\x07\x023\0ほおばり/つかみ{c[000000]}から\nボスに なげて ダメージを\nあたえることが できる！
Rogue_33_Title	ボスキラーバッジ
Rogue_33_Body	{r2[とう]}塔{/r2}の {c[ff8c00]}すべてのボス{c[000000]}への こうげきがアップ！\nとれば とるほど こうかも {r2[あ]}上{/r2}がる！
Rogue_34_Title	バディかしこさアップ
Rogue_34_Body	{c[ff8c00]}バディ{c[000000]}の たちまわりが {c[ff8c00]}かしこくなる！{c[000000]}\nバディが {c[ff8c00]}CP{c[000000]}の{r2[とき]}時{/r2}は\nかならず ほしい アイテムだ！
Rogue_35_Title	ゴースト{r2[きょうか]}強化{/r2}の{r2[いし]}石{/r2}
Rogue_35_Body	ゴーストに かわる {r2[じかん]}時間{/r2}が {c[ff8c00]}みじかく{c[000000]}なる！\nゴーストになった{r2[とき]}時{/r2}の{c[ff8c00]} いどうスピード{c[000000]}や、\n{c[ff8c00]}ふっかつ{c[000000]}した{r2[とき]}時{/r2}の {c[ff8c00]}たいりょく{c[000000]}も アップする！
Rogue_36_Title	じどうかいふくシール
Rogue_36_Body	バトルに しょうりした あとの\n{c[ff8c00]}じどうかいふく{c[000000]}が ふえる！\n{r2[たか]}高{/r2}い{r2[とう]}塔{/r2}を のぼる{r2[とき]}時{/r2}に オススメ！
Rogue_37_Title	オートガードアップ
Rogue_37_Body	ガードして いなくても\nときどき {c[ff8c00]}じどうで ガード{c[000000]}して くれる\nレアな アイテム！
Rogue_38_Title	いろいろな おまもり
Rogue_38_Body	{c[ff8c00]}おまもり{c[000000]}には {c[ff8c00]}しゅるい{c[000000]}が ある！\nどれも たくさん ダメージを\nへらしてくれる！
Rogue_39_Title	おうえんポンポン{r2[こうそく]}高速{/r2}シール
Rogue_39_Body	ダンスの {r2[じかん]}時間{/r2}が {c[ff8c00]}みじかく{c[000000]}なる！\nしかも おどったあとは\n{c[ff8c00]}さらに パワーアップ！{c[000000]}
Rogue_40_Title	アイテムセレクトプラス1
Rogue_40_Body	アイテムルームに ならぶ アイテムが\n3つから {c[ff8c00]}4つに ふえる！\n{c[000000]}スーパーレアアイテムだ！
Rogue_41_Title	{r2[のろ]}呪{/r2}いのリング・じどうかいふく
Rogue_41_Body	{c[ff8c00]}じどうかいふくシール{c[000000]}と どうじに もつと\nさらに こうかが {r2[あ]}上{/r2}がる！
Rogue_42_Title	{r2[のろ]}呪{/r2}いのリング・こうげきアップ
Rogue_42_Body	{c[ff8c00]}ガード{c[000000]}や {c[ff8c00]}かいひ{c[000000]}に {r2[じしん]}自信{/r2}が あるなら\nこれで{c[ff8c00]} こうげきりょく{c[000000]}を おおはばアップ！
Rogue_43_Title	{r2[のろ]}呪{/r2}いのリング・ゴースト{r2[か]}化{/r2}なし
Rogue_43_Body	てきが {c[ff8c00]}ふっかつしない{c[000000]}ので\n{c[ff8c00]}ハイスコア{c[000000]}を ねらう {r2[とき]}時{/r2}にも オススメ！
Rogue_44_Title	スコアアップの カービィ{r2[ぞう]}像{/r2}
Rogue_44_Body	{c[ff8c00]}ファイターズポイント{c[000000]}が ほしい{r2[とき]}時{/r2}や\n{c[ff8c00]}ハイスコア{c[000000]}を ねらう{r2[とき]}時{/r2}に オススメ！
Rogue_45_Title	{r2[こうそく]}高速{/r2}チャージの{r2[いし]}石{/r2}
Rogue_45_Body	ボタンを {r2[なが]}長{/r2}おしする {c[ff8c00]}チャージわざ{c[000000]}が\n{c[ff8c00]}すばやく {r2[だ]}出{/r2}せる{c[000000]}ように なる！\nチャージわざを たくさん\n{r2[つか]}使{/r2}う{r2[ひと]}人{/r2}に オススメ！
Rogue_46_Title	スコアアップシール
Rogue_46_Body	バトルで {c[ff8c00]}しょうり{c[000000]}した{r2[とき]}時{/r2}に{c[ff8c00]}\n{c[000000]}もらえる {c[ff8c00]}スコア{c[000000]}が ふえる！\n{c[ff8c00]}じょばん{c[000000]}に ゲット できると ラッキー！
Rogue_47_Title	ストーリーアイテムを ゲットしよう
Rogue_47_Body	{c[ff8c00]}ファイターズランク{c[000000]}を {r2[あ]}上{/r2}げれば\nさらに つよい {c[ff8c00]}ストーリーアイテム{c[000000]}が\n{r2[で]}出{/r2}るように なる！
Rogue_48_Title	{r2[さいだい]}最大{/r2}パワーの シャドーカービィ
Rogue_48_Body	{r2[み]}三{/r2}たび {r2[であ]}出会{/r2}う {c[ff8c00]}カービィのカゲ！\n{c[000000]}その あっとう{r2[てき]}的{/r2}な {r2[つよ]}強{/r2}さも、 {r2[とも]}友{/r2}である\nバディが いれば きっと {r2[う]}打{/r2}ち{r2[か]}勝{/r2}てる！
Rogue_49_Title	プレイヤーにんずうの へんこう
Rogue_49_Body	{r2[とう]}塔{/r2}を のぼっている とちゅうでも、\nいっしょに あそぶ {c[ff8c00]}にんずう{c[000000]}を かえて\n{c[ff8c00]}とちゅうセーブから{c[000000]} {r2[さい]}再{/r2}スタート できる！
RogueGameOver_1_Title	タイムアップに ならないために
RogueGameOver_1_Body	{c[ff8c00]}こうげきの{r2[いし]}石{/r2}{c[000000]}で パワーアップ したり\n{c[ff8c00]}タイムボーナスシール{c[000000]}で のこり{r2[じかん]}時間{/r2}を\nふやして みよう！
RogueGameOver_2_Title	ステージの しかけに ちゅうい
RogueGameOver_2_Body	ステージの {c[ff8c00]}しかけ{c[000000]}に あたると {r2[だい]}大{/r2}ダメージ！\n{c[ff8c00]}{r2[ちけい]}地形{/r2}ダメージのおまもり{c[000000]}が あれば\n{c[ff8c00]}ダメージを へらす{c[000000]}ことが できる！
RogueGameOver_3_Title	アイテムダメージを へらすには
RogueGameOver_3_Body	{c[ff8c00]}ボンバー{c[000000]}や {c[ff8c00]}マイク{c[000000]}は あたると {r2[だい]}大{/r2}ダメージ！\nダメージを へらす {c[ff8c00]}おまもり{c[000000]}を\n{r2[て]}手{/r2}に{r2[い]}入{/r2}れよう！
RogueGameOver_4_Title	ゲームオーバーでも {r2[た]}立{/r2}ち{r2[あ]}上{/r2}がれ
RogueGameOver_4_Body	まけても {r2[なんど]}何度{/r2}も {c[ff8c00]}{r2[さい]}再{/r2}チャレンジ{c[000000]}できる！\nとちゅうで やめても {c[ff8c00]}「とちゅうセーブから」{c[000000]}\nつづきを あそべるぞ！
RogueGameOver_5_Title	ツインウッズを たおすには 
RogueGameOver_5_Body	{r2[さゆう]}左右{/r2}を よく{r2[み]}見{/r2}て {r2[たたか]}戦{/r2}おう！\n{c[ff8c00]}スキの {r2[おお]}大{/r2}きい{r2[ほう]}方{/r2}{c[000000]}を ねらえ！
RogueGameOver_6_Title	ツインウッズを たおすには 
RogueGameOver_6_Body	ツインウッズが おとす\n{r2[ちい]}小{/r2}さな {c[ff8c00]}リンゴ{c[000000]}は\nこうげきで {c[ff8c00]}こわせる！{c[000000]}
RogueGameOver_7_Title	ダブルスエッジを たおすには 
RogueGameOver_7_Body	ダブルスエッジの\n{c[ff8c00]}たての ガード{c[000000]}は むてき！\n{c[ff8c00]}ガードして いない{r2[ほう]}方{/r2}{c[000000]}を ねらえ！
RogueGameOver_8_Title	ダブルスエッジを たおすには 
RogueGameOver_8_Body	ダブルスエッジの {c[ff8c00]}ジャンプ こうげき{c[000000]}は\nあたると {r2[だい]}大{/r2}ダメージ！ だけど、\n{r2[けん]}剣{/r2}が じめん から ぬけない{r2[あいだ]}間{/r2}は\n{c[ff8c00]}はんげきの チャンス{c[000000]}と なる！
RogueGameOver_10_Title	{r2[おお]}大{/r2}きなワザの {r2[おお]}大{/r2}きなスキ
RogueGameOver_10_Body	デデデ{r2[だいおう]}大王{/r2}と メタナイトの\n{c[ff8c00]}れんけいワザ{c[000000]}は とっても つよいが\nこうげきの あと {c[ff8c00]}スキも でかい！{c[000000]}
RogueGameOver_11_Title	{r2[ぜんいん]}全員{/r2}スピードアップの{r2[ま]}間{/r2}
RogueGameOver_11_Body	じぶんも てきも {c[ff8c00]}スピードが {r2[ばい]}倍{/r2}になる！\n{c[000000]}あせらず よく{r2[み]}見{/r2}て {r2[たたか]}戦{/r2}おう！
RogueGameOver_12_Title	せいげん{r2[じかん]}時間{/r2}の{r2[ま]}間{/r2}
RogueGameOver_12_Body	{c[ff8c00]}いそいで{c[000000]} てきを たおそう！\nのこり{r2[じかん]}時間{/r2}は {c[ff8c00]}タイムボーナスシール{c[000000]}が\nあれば もっと ふえる！
RogueGameOver_13_Title	アイスコンテナの{r2[ま]}間{/r2}
RogueGameOver_13_Body	{c[ff8c00]}アイスコンテナ{c[000000]}だけが おちてくる！\nすばやく こわして {r2[なか]}中{/r2}にある\n{c[ff8c00]}つよいアイテム{c[000000]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れよう！
RogueGameOver_14_Title	{r2[ちけい]}地形{/r2}ダメージ2{r2[ばい]}倍{/r2}の{r2[ま]}間{/r2}
RogueGameOver_14_Body	ステージの {c[ff8c00]}しかけ{c[000000]}の\n{c[ff8c00]}ダメージが 2{r2[ばい]}倍{/r2}{c[000000]}に なる！\nあたらない ように ちゅうい！
RogueGameOver_15_Title	てきこうげきアップの{r2[ま]}間{/r2}
