CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
WArea3Stage9Mission5	裝備\x0e\x05\x03\x023\0「魔力魔法洛亞神杖DX」獲得\x0e\x05\x06\x026\0
WArea3Stage9Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea3Stage9Mission7	在50秒內通過探索
WArea3Stage9Mission8	在40秒內通過探索
WArea7Stage2Mission1	通過超：電龍探索
WArea7Stage2Mission2	裝備\x0e\x05\0\x020\0「騎士」套裝通過探索
WArea7Stage2Mission3	通過探索時獲得白金勳章
WArea7Stage2Mission4	在1分鐘內通過探索
WArea7Stage2Mission5	裝備\x0e\x05\0\x020\0「鯊魚鋸DX」和「南洋魚頭帽DX」獲得\x0e\x05\x06\x026\0
WArea7Stage2Mission6	以好友隕石給予最後一擊
WArea7Stage2Mission7	裝備SDX強化的武器與防具通過探索
WArea7Stage2Mission8	在50秒內通過探索
WArea5Stage8Mission1	通過超：隊伍‧三重浮空探索
WArea5Stage8Mission2	裝備\x0e\x05\x02\x022\0「醫生」套裝通過探索
WArea5Stage8Mission3	通過探索時獲得白金勳章
WArea5Stage8Mission4	在1分鐘內通過探索
WArea5Stage8Mission5	裝備\x0e\x05\x02\x022\0「塔狼蛛玻璃瓶DX」獲得\x0e\x05\x06\x026\0
WArea5Stage8Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea5Stage8Mission7	在50秒內通過探索
WArea5Stage8Mission8	在40秒內通過探索
WArea7Stage3Mission1	通過超：毒波洛斯探索
WArea7Stage3Mission2	裝備\x0e\x05\x01\x021\0「凝視者」套裝通過探索
WArea7Stage3Mission3	通過探索時獲得白金勳章
WArea7Stage3Mission4	在1分鐘內通過探索
WArea7Stage3Mission5	裝備\x0e\x05\x01\x021\0「哇姆霸姆拳DX」獲得\x0e\x05\x06\x026\0
WArea7Stage3Mission6	在不使用好友隕石的情況下獲得\x0e\x05\x06\x026\0
WArea7Stage3Mission7	裝備\x0e\x05\x03\x023\0「魔嚕酷之杖DX」獲得\x0e\x05\x06\x026\0
WArea7Stage3Mission8	在50秒內通過探索
WArea5Stage7Mission1	通過超：隊伍‧雙重擺動屁屁探索
WArea5Stage7Mission2	裝備\x0e\x05\x03\x023\0「驚奇非凡」套裝獲得\x0e\x05\x07\x027\0
WArea5Stage7Mission3	通過探索時獲得白金勳章
WArea5Stage7Mission4	在1分鐘內通過探索
WArea5Stage7Mission5	裝備\x0e\x05\x03\x023\0「皇女造型DX」獲得\x0e\x05\x06\x026\0
WArea5Stage7Mission6	在自己沒有被壓扁過的情況下獲得\x0e\x05\x06\x026\0
WArea5Stage7Mission7	在50秒內通過探索
WArea5Stage7Mission8	在40秒內通過探索
WArea7Stage4Mission1	通過超：隊伍‧三重元素探索
WArea7Stage4Mission2	裝備SDX強化的防具通過探索
WArea7Stage4Mission3	通過探索時獲得白金勳章
WArea7Stage4Mission4	在1分鐘內通過探索
WArea7Stage4Mission5	裝備\x0e\x05\x02\x022\0「驚奇非凡冠帽SDX」獲得\x0e\x05\x06\x026\0
WArea7Stage4Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea7Stage4Mission7	在50秒內通過探索
WArea7Stage4Mission8	在40秒內通過探索
WArea4Stage9Mission1	通過超：火山蛙EX探索
WArea4Stage9Mission2	裝備SDX強化的武器通過探索
WArea4Stage9Mission3	通過探索時獲得白金勳章
WArea4Stage9Mission4	在50秒內通過探索
WArea4Stage9Mission5	裝備\x0e\x05\x02\x022\0「驚奇非凡燒瓶SDX」獲得\x0e\x05\x06\x026\0
WArea4Stage9Mission6	在自己沒有被吞食過的情況下獲得\x0e\x05\x06\x026\0
WArea4Stage9Mission7	等級75以上通過探索
WArea4Stage9Mission8	在40秒內通過探索
WArea2Stage8Mission1	通過超：隊伍‧三重怪獸探索
WArea2Stage8Mission2	沒有任何人力竭
WArea2Stage8Mission3	通過探索時獲得白金勳章
WArea2Stage8Mission4	在1分鐘內通過探索
WArea2Stage8Mission5	裝備\x0e\x05\0\x020\0「劍士之劍DX」獲得\x0e\x05\x06\x026\0
WArea2Stage8Mission6	使用招式「龍捲斬」命中敵人3次並獲得\x0e\x05\x06\x026\0
WArea2Stage8Mission7	在50秒內通過探索
WArea2Stage8Mission8	在40秒內通過探索
WArea5Stage9Mission1	通過超：塔狼蛛探索
WArea5Stage9Mission2	裝備\x0e\x05\x02\x022\0「塔狼蛛」套裝通過探索
WArea5Stage9Mission3	通過探索時獲得白金勳章
WArea5Stage9Mission4	在1分鐘內通過探索
WArea5Stage9Mission5	裝備\x0e\x05\x02\x022\0「闇塔狼蛛SDX」套裝獲得\x0e\x05\x06\x026\0
WArea5Stage9Mission6	在自己沒有受到任何傷害的情況下通過探索
WArea5Stage9Mission7	裝備稀有度7以下的武器防具獲得\x0e\x05\x06\x026\0
WArea5Stage9Mission8	在45秒內通過探索
WArea6Stage4Mission1	通過超：Pres.異次元蘇姿探索
WArea6Stage4Mission2	以好友隕石給予最後一擊
WArea6Stage4Mission3	通過探索時獲得白金勳章
WArea6Stage4Mission4	在1分鐘內通過探索
WArea6Stage4Mission5	裝備\x0e\x05\0\x020\0「闇物質魔劍SDX」獲得\x0e\x05\x06\x026\0
WArea6Stage4Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea6Stage4Mission7	以招式「龍捲斬」給予最後一擊
WArea6Stage4Mission8	在45秒內通過探索
WArea6Stage5Mission1	通過超：異次元夢魘 復仇探索
WArea6Stage5Mission2	裝備\x0e\x05\x01\x021\0「逆襲」套裝通過探索
WArea6Stage5Mission3	通過探索時獲得白金勳章
WArea6Stage5Mission4	在1分10秒內通過探索
WArea6Stage5Mission5	裝備\x0e\x05\x01\x021\0「D狂錘‧意向 復仇SDX」獲得\x0e\x05\x06\x026\0
WArea6Stage5Mission6	以招式「鬼殺火焰錘」給予最後一擊
WArea6Stage5Mission7	在1分鐘內通過探索
WArea6Stage5Mission8	在50秒內通過探索
WArea6Stage6Mission1	通過超：異次元龍帝亞探索
WArea6Stage6Mission2	裝備\x0e\x05\0\x020\0「異次元龍帝翁」套裝通過探索
WArea6Stage6Mission3	通過探索時獲得白金勳章
WArea6Stage6Mission4	在1分鐘內通過探索
WArea6Stage6Mission5	裝備\x0e\x05\0\x020\0「異次元龍帝翁帽盔SDX」獲得\x0e\x05\x06\x026\0
WArea6Stage6Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea6Stage6Mission7	裝備稀有度6以下的武器防具獲得\x0e\x05\x06\x026\0
WArea6Stage6Mission8	在45秒內通過探索
WArea8Stage1Mission1	通過超：圍繞淵源的英雄探索
WArea8Stage1Mission2	裝備\x0e\x05\0\x020\0「冥蝶」套裝獲得\x0e\x05\x07\x027\0
WArea8Stage1Mission3	通過探索時獲得白金勳章
WArea8Stage1Mission4	在1分鐘內通過探索
WArea8Stage1Mission5	裝備\x0e\x05\0\x020\0「冥王之斬閃冥蝶SDX」獲得\x0e\x05\x06\x026\0
WArea8Stage1Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea8Stage1Mission7	以好友隕石給予最後一擊
WArea8Stage1Mission8	在45秒內通過探索
WArea6Stage7Mission1	通過極超：異次元夢魘 復仇探索
WArea6Stage7Mission2	裝備\x0e\x05\x03\x023\0「店主魔法洛亞」套裝獲得\x0e\x05\x07\x027\0
WArea6Stage7Mission3	通過探索時獲得白金勳章
WArea6Stage7Mission4	在1分15秒內通過探索
WArea6Stage7Mission5	使用職業\x0e\x05\x03\x023\0「店主魔法洛亞SDX」套裝獲得\x0e\x05\x06\x026\0
WArea6Stage7Mission6	裝備\x0e\x05\x03\x023\0「魔嚕酷SDX」套裝獲得\x0e\x05\x06\x026\0
WArea6Stage7Mission7	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea6Stage7Mission8	在1分5秒內通過探索
WArea6Stage8Mission1	通過極超：D大王‧意向 復仇探索
WArea6Stage8Mission2	沒有任何人力竭
WArea6Stage8Mission3	通過探索時獲得白金勳章
WArea6Stage8Mission4	在1分10秒內通過探索
WArea6Stage8Mission5	裝備\x0e\x05\x01\x021\0「逆襲之錘‧改SDX」通過探索
WArea6Stage8Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea6Stage8Mission7	等級90以上通過探索
WArea6Stage8Mission8	在55秒內通過探索
WArea8Stage2Mission1	通過極超：真 最終決戰EX探索
WArea8Stage2Mission2	裝備\x0e\x05\0\x020\0「騎士DX」套裝通過探索
WArea8Stage2Mission3	通過探索時獲得白金勳章
WArea8Stage2Mission4	在1分10秒內通過探索
WArea8Stage2Mission5	裝備\x0e\x05\0\x020\0「新手之劍SDX」獲得\x0e\x05\x06\x026\0
WArea8Stage2Mission6	在沒有任何人力竭的情況下獲得\x0e\x05\x06\x026\0
WArea8Stage2Mission7	裝備「星光SDX」套裝獲得\x0e\x05\x06\x026\0
WArea8Stage2Mission8	在55秒內通過探索
Quest1	在故事探索中通過7個鬼級別探索
Quest2	開放故事探索中的「夢幻異界」區域
Quest3	通過所有鬼級別熱鬧探索
Quest4	開放熱鬧探索的極超級別
Level1	達到等級3
Level2	達到等級5
Level3	達到等級7
Level4	達到等級10
Level5	達到等級12
Level6	達到等級15
Level7	達到等級17
Level8	達到等級20
Level9	達到等級22
Level10	達到等級25
Level11	達到等級27
Level12	達到等級30
Level13	達到等級32
Level14	達到等級35
Level15	達到等級37
Level16	達到等級40
Level17	達到等級42
Level18	達到等級45
Level19	達到等級47
Level20	達到等級50
Level21	達到等級52
Level22	達到等級55
Level23	達到等級57
Level24	達到等級60
Level25	達到等級62
Level26	達到等級65
Level27	達到等級67
Level28	達到等級70
Level29	達到等級72
Level30	達到等級75
Level31	達到等級77
Level32	達到等級80
Level33	達到等級82
Level34	達到等級85
Level35	達到等級87
Level36	達到等級90
Level37	達到等級92
Level38	達到等級95
Level39	達到等級97
Level40	達到等級100
JobSword1	使用職業\x0e\x05\0\x020\0通過5次探索
JobSword2	使用職業\x0e\x05\0\x020\0通過10次探索
JobSword3	使用職業\x0e\x05\0\x020\0通過20次探索
JobSword4	使用職業\x0e\x05\0\x020\0通過30次探索
JobSword5	使用職業\x0e\x05\0\x020\0通過50次探索
JobHammer1	使用職業\x0e\x05\x01\x021\0通過5次探索
JobHammer2	使用職業\x0e\x05\x01\x021\0通過10次探索
JobHammer3	使用職業\x0e\x05\x01\x021\0通過20次探索
JobHammer4	使用職業\x0e\x05\x01\x021\0通過30次探索
JobHammer5	使用職業\x0e\x05\x01\x021\0通過50次探索
JobDoctor1	使用職業\x0e\x05\x02\x022\0通過5次探索
JobDoctor2	使用職業\x0e\x05\x02\x022\0通過10次探索
JobDoctor3	使用職業\x0e\x05\x02\x022\0通過20次探索
JobDoctor4	使用職業\x0e\x05\x02\x022\0通過30次探索
JobDoctor5	使用職業\x0e\x05\x02\x022\0通過50次探索
JobBeam1	使用職業\x0e\x05\x03\x023\0通過5次探索
JobBeam2	使用職業\x0e\x05\x03\x023\0通過10次探索
JobBeam3	使用職業\x0e\x05\x03\x023\0通過20次探索
JobBeam4	使用職業\x0e\x05\x03\x023\0通過30次探索
JobBeam5	使用職業\x0e\x05\x03\x023\0通過50次探索
Equipment1	購買3個裝備
Equipment2	購買6個裝備
Equipment3	購買10個裝備
Equipment4	購買20個裝備
Equipment5	購買30個裝備
Equipment6	購買40個裝備
Equipment7	購買50個裝備
Equipment8	購買60個裝備
Equipment9	購買70個裝備
Equipment10	購買80個裝備
Equipment11	購買90個裝備
Equipment12	購買100個裝備
AllEquipmentSword	收集所有\x0e\x05\0\x020\0的裝備
AllEquipmentHammer	收集所有\x0e\x05\x01\x021\0的裝備
AllEquipmentDoctor	收集所有\x0e\x05\x02\x022\0的裝備
AllEquipmentBeam	收集所有\x0e\x05\x03\x023\0的裝備
ArmsForgeZ1	將1把武器進行DX強化
ArmsForgeZ2	將20把武器進行DX強化
ArmsForgeZ3	將50把武器進行DX強化
AllArmsForgeZ	將所有武器進行DX強化
HatForgeZ1	將1個防具進行DX強化
HatForgeZ2	將20個防具進行DX強化
HatForgeZ3	將50個防具進行DX強化
AllHatForgeZ	將所有防具進行DX強化
ArmsForgeSZ1	將1個武器進行SDX強化
ArmsForgeSZ2	將20個武器進行SDX強化
ArmsForgeSZ3	將50個武器進行SDX強化
AllArmsForgeSZ	將所有武器進行SDX強化
HatForgeSZ1	將1個防具進行SDX強化
HatForgeSZ2	將20個防具進行SDX強化
HatForgeSZ3	將50個防具進行SDX強化
AllHatForgeSZ	將所有防具進行SDX強化
SupportItem1	第一次購買輔助道具
SupportItem2	購買3個輔助道具
SupportMiniExp1	使用迷你經驗值球
SupportMiniExp2	使用迷你經驗值球3次
SupportExp1	使用經驗值球
SupportExp2	使用經驗值球3次
SupportHP1	使用體力藥
SupportHP2	使用體力藥3次
SupportAtk1	使用攻擊藥
SupportAtk2	使用攻擊藥3次
SupportBook1	購買1本書
SupportBook2	購買3本書
SupportBook3	購買5本書
SupportBook4	購買8本書
SupportBook5	購買10本書
SupportBook6	購買15本書
SupportBook7	購買20本書
SupportBook8	購買30本書
SupportBook9	購買40本書
SupportBook10	購買50本書
HighScore1	合計最高分數達到3000
HighScore2	合計最高分數達到10000
HighScore3	合計最高分數達到20000
HighScore4	合計最高分數達到30000
HighScore5	合計最高分數達到50000
HighScore6	合計最高分數達到75000
HighScore7	合計最高分數達到100000
HighScore8	合計最高分數達到120000
HighScore9	合計最高分數達到130000
HighScore10	合計最高分數達到150000
HighScore11	合計最高分數達到170000
HighScore12	合計最高分數達到200000
HighScore13	合計最高分數達到220000
HighScore14	合計最高分數達到240000
HighScore15	合計最高分數達到260000
HighScore16	合計最高分數達到280000
Clear1	通過故事探索3次以上
Clear2	通過故事探索7次以上
Clear3	通過故事探索10次以上
Clear4	通過故事探索20次以上
Clear5	通過故事探索30次以上
Clear6	通過故事探索50次以上
Clear7	通過故事探索70次以上
Clear8	通過故事探索100次以上
Clear9	通過故事探索120次以上
Clear10	通過故事探索150次以上
Clear11	通過故事探索170次以上
Clear12	通過故事探索200次以上
Clear13	通過故事探索220次以上
Clear14	通過故事探索250次以上
Clear15	通過故事探索270次以上
Clear16	通過故事探索300次以上
MultiPlay1	第一次和其他人一起通過探索
MultiPlay2	和其他人一起通過探索3次以上
MultiPlay3	和其他人一起通過探索7次以上
MultiPlay4	和其他人一起通過探索10次以上
MultiPlay5	和其他人一起通過探索15次以上
MultiPlay6	和其他人一起通過探索20次以上
MultiPlay7	和其他人一起通過探索30次以上
MultiPlay8	和其他人一起通過探索40次以上
MultiPlay9	和其他人一起通過探索50次以上
MultiPlay10	和其他人一起通過探索60次以上
MultiPlay11	和其他人一起通過探索70次以上
MultiPlay12	和其他人一起通過探索80次以上
AllArea1Clear	通過所有海岸的探索
AllArea2Clear	通過所有沙丘的探索
AllArea3Clear	通過所有古跡的探索
AllArea4Clear	通過所有火山的探索
AllArea5Clear	通過所有天空的探索
AllArea6Clear	通過所有大決戰的探索
AllArea7Clear	通過所有草原的探索
AllArea8Clear	通過所有夢幻異界的探索
AllArea1ClearPlatinum	海岸的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea2ClearPlatinum	沙丘的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea3ClearPlatinum	古跡的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea4ClearPlatinum	火山的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea5ClearPlatinum	天空的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea6ClearPlatinum	大決戰的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea7ClearPlatinum	草原的所有探索全部獲得\x0e\x05\x06\x026\0
AllArea8ClearPlatinum	夢幻異界的所有探索全部獲得\x0e\x05\x06\x026\0
VisitTraveller1	和15名旅人相遇
VisitTraveller2	和30名旅人相遇
VisitTraveller3	和60名旅人相遇
VisitTraveller4	和100名旅人相遇
VisitTraveller5	和150名旅人相遇
VisitTraveller6	和300名旅人相遇
TravellerBell1	敲響旅人之鐘5次
TravellerBell2	敲響旅人之鐘15次
TravellerBell3	敲響旅人之鐘30次
TravellerBell4	敲響旅人之鐘50次
MaterialFrame	收集1000個以上的炎之碎片
MaterialWater	收集1000個以上的水之碎片
MaterialLight	收集1000個以上的光之碎片
MaterialFrameMax	收集9999個炎之碎片
MaterialWaterMax	收集9999個水之碎片
MaterialLightMax	收集9999個光之碎片
Watchword	使用暗號
Picture	從以前的遊戲跳往Nintendo eShop
Ticket	在戰鬥中取得稀有碎片
StampSingle	在成員選擇畫面使用圖章
StampStep	在戰鬥中使用圖章
TravellerBellFirst	第一次敲響旅人之鐘
TrophyClear1	達成100個勇者任務
TrophyClear2	達成200個勇者任務
TrophyClear3	達成300個勇者任務
TrophyClear4	達成400個勇者任務
TrophyClear5	達成500個勇者任務
TrophyClear6	達成600個勇者任務
TrophyClear7	達成700個勇者任務
TrophyAllComplete	達成全部的勇者任務！
StampCollect1	收集到10個圖章
StampCollect2	收集到15個圖章
StampCollect3	收集到20個圖章
StampCollect4	收集到30個圖章
StampCollect5	收集到40個圖章
StampCollect6	收集到全部的圖章
AppleGet1	收集到30顆蘋果寶石
AppleGet2	收集到100顆蘋果寶石
AppleGet3	收集到300顆蘋果寶石
AppleGet4	收集到500顆蘋果寶石
AppleGet5	收集到1000顆蘋果寶石
AppleGet6	收集到2500顆蘋果寶石
AppleGet7	收集到5000顆蘋果寶石
AppleGet8	收集到10000顆蘋果寶石
AppleUse1	使用30顆蘋果寶石
AppleUse2	使用100顆蘋果寶石
AppleUse3	使用300顆蘋果寶石
AppleUse4	使用500顆蘋果寶石
AppleUse5	使用1000顆蘋果寶石
AppleUse6	使用2500顆蘋果寶石
AppleUse7	使用5000顆蘋果寶石
AppleUse8	使用10000顆蘋果寶石
Nfp.msbt
Reading	讀取中……
Canceling	取消中……
TouchNfcReader	請以amiibo點觸{c[dc000d]}NFC範圍{c[000000]}。
ErrorNotSupported	這不是{c[dc000d]}amiibo{c[000000]}。
ErrorInvalidFormatVersion	並無對應此{c[dc000d]}amiibo{c[000000]}。
ErrorOther	發生{c[dc000d]}錯誤{c[000000]}。
ErrorNfcDeviceNotFound	找不到\n能夠讀取{c[dc000d]}amiibo{c[000000]}的\n控制器。
DialogYesText	使用
DialogNoText	退出
DialogMainText	若獻上amiibo，\n就能獲得{c[dc000d]}各種碎片{c[000000]}。\n要使用amiibo嗎？
UsedAlreadyText	已經使用這個amiibo\n獲得過{c[dc000d]}碎片{c[000000]}了。\n經過{c[dc000d]}\x0e\x02\x01\0小時{c[000000]}後便能再次使用。
UsedAlreadyText2	已經使用這個amiibo\n獲得過{c[dc000d]}碎片{c[000000]}了。\n經過{c[dc000d]}\x0e\x02\x01\0分鐘{c[000000]}後便能再次使用。
MAXCountText	每1天最多只能使用\n{c[dc000d]}5個{c[000000]}amiibo。\n經過{c[dc000d]}\x0e\x02\x01\0小時{c[000000]}後便能再次使用。
MAXCountText2	每1天最多只能使用\n{c[dc000d]}5個{c[000000]}amiibo。\n經過{c[dc000d]}\x0e\x02\x01\0分鐘{c[000000]}後便能再次使用。
RewardText	用amiibo獲得了{c[dc000d]}碎片{c[000000]}！
Shop.msbt
HeaderLabel	雜貨店
HeaderLabelArms	武器
HeaderLabelHat	防具
HeaderLabelSupport	輔助道具
HeaderLabelStamp	圖章
HeaderLabelCash	蘋果寶石
TopButtonArms	武器
TopButtonHat	防具
TopButtonSupport	輔助\n道具
TopButtonCash	蘋果寶石
TopButtonStamp	圖章
TopMessageArms	能夠購買\n提升{c[ff4b32]}攻擊{c[000000]}的{c[ff4b32]}武器{c[000000]}。
TopMessageHat	能夠購買\n提升{c[ff4b32]}體力{c[000000]}的{c[ff4b32]}防具{c[000000]}。
TopMessageArmsZ	能夠購買\n提升{c[ff4b32]}攻擊{c[000000]}的{c[ff4b32]}武器{c[000000]}，\n或是{c[ff4b32]}強化{c[000000]}已經購買過的品項。
TopMessageHatZ	能夠購買\n提升{c[ff4b32]}體力{c[000000]}的{c[ff4b32]}防具{c[000000]}，\n或是{c[ff4b32]}強化{c[000000]}已經購買過的品項。
TopMessageSupport	能夠購買\n在探索當中相當有用的\n{c[ff4b32]}輔助道具{c[000000]}。
TopMessageStamp	能夠購買\n在線上遊玩時\n用來表達想法的{c[ff4b32]}圖章{c[000000]}。
TopMessageCash	能夠連接到\n{c[ff4b32]}Nintendo eShop{c[000000]}，\n並購買{c[ff4b32]}蘋果寶石{c[000000]}。
TopDialogCashTreeMax	即使繼續購買蘋果寶石，\n{c[dc000d]}蘋果寶石樹也不會再成長{c[000000]}。\n確定要購買嗎？
DialogCashSoldOut	{c[dc000d]}蘋果寶石{c[000000]}不足。
SaleSealText	SALE
SaleSealText2	超值
SaleOffText	OFF
SoldOutText	SOLD OUT
WeaponRareText	稀有
WeaponUnknownButton	？？？？？
WeaponUnknownUpText	？？？？？
WeaponDialogText	要購買\n{c[dc000d]}\x0e\x02\x06\0\x0e\x02\x07\0{c[000000]}嗎？
WeaponDialogEnhanceText	要強化\n{c[dc000d]}\x0e\x02\x06\0\x0e\x02\x07\0{c[000000]}嗎？
WeaponDialogTextLack	{c[dc000d]}素材{c[000000]}不足。
WeaponDialogBuyText	得到\n{c[dc000d]}\x0e\x02\x06\0\x0e\x02\x07\0{c[000000]}了！
WeaponDialogBuyEnhanceText	強化\n{c[dc000d]}\x0e\x02\x06\0\x0e\x02\x07\0{c[000000]}了！
WeaponDialogEquipText	要現在馬上{c[dc000d]}裝備{c[000000]}嗎？
WeaponDialogEquipEndText	裝備\n{c[dc000d]}\x0e\x02\x06\0\x0e\x02\x07\0{c[000000]}了。
WeaponDialogAbilityText	要將職業\n更改為{c[dc000d]}\x0e\x02\x05\0{c[000000]}嗎？
WeaponDialogAbilityEndText	將職業\n更改為{c[dc000d]}\x0e\x02\x05\0{c[000000]}了。
WeaponDialogNeedMaterial	使用素材
WeaponDialogNeedCash	使用數量
WeaponDialogHaveMaterial	持有素材
WeaponDialogHaveCash	持有數量
WeaponParamUnknown	+?
WeaponUnlockUnknown	通過探索吧！
WeaponPurchasedText	已經持有了。
SupportHaveLabel	目前持有{s[135]}\x0e\x02\x01\0{s[100]}個
BookLevelText0	1卷
BookLevelText1	2卷
BookLevelText2	3卷
BookLevelText3	4卷
BookLevelText4	5卷
BookLevelText5	最後之卷
SupportItemNameFrameBook	炎之碎片之書
SupportItemNameWaterBook	水之碎片之書
SupportItemNameLightBook	光之碎片之書
SupportItemNameStaminaBook	幹勁提升之書
SupportItemNameRareBook	稀有碎片之書
SupportItemNameTravelerBook	旅人土產之書
SupportItemNameLuckyBook	幸運探索之書
SupportItemNameSwordBook	英雄利劍之書
SupportItemNameHammerBook	重錘子之書
SupportItemNameBeamBook	魔法光束之書
SupportItemNameDoctorBook	治癒醫生之書
SupportItemNameHitPointSupplement	體力藥
SupportItemNameAttackSupplement	攻擊藥
SupportItemNameMiniExperienceBall	迷你經驗值球
SupportItemNameExperienceBall	經驗值球
SupportItemConsumptionNumText	\x0e\x02\x01\0個
SupportItemDescriptionFrameBook	將在探索中得到的{c[ff4b32]}炎之碎片{c[000000]}數量\n提升為{c[ff4b32]}\x0e\x02\x01\0倍{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionWaterBook	將在探索中得到的{c[ff4b32]}水之碎片{c[000000]}數量\n提升為{c[ff4b32]}\x0e\x02\x01\0倍{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionLightBook	將在探索中得到的{c[ff4b32]}光之碎片{c[000000]}數量\n提升為{c[ff4b32]}\x0e\x02\x01\0倍{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionStaminaBook	能夠讓{c[ff4b32]}幹勁{c[000000]}更容易{c[ff4b32]}回復{c[000000]}的書。\n回復速度會變為每{c[ff4b32]}\x0e\x02\x01\0分鐘{c[000000]}回復1。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionRareBook	可以在探索中讓{c[ff4b32]}稀有碎片{c[000000]}\n變得更容易出現的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionTravelerBook	敲響{c[ff4b32]}旅人之鐘{c[000000]}時，\n能夠取得{c[ff4b32]}更多土產{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionLuckyBook	可以讓{c[ff4b32]}幸運探索{c[000000]}中出現的\n{c[ff4b32]}幸運箱{c[000000]}開出更多{c[ff4b32]}獎賞{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionSwordBook	當職業是{c[ff4b32]}英雄利劍{c[000000]}的時候，\n主要可以讓體力得到{c[ff4b32]}強化{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionHammerBook	當職業是{c[ff4b32]}重錘子{c[000000]}的時候，\n主要可以讓攻擊得到{c[ff4b32]}強化{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionBeamBook	當職業是{c[ff4b32]}魔法光束{c[000000]}的時候，\n可以讓能力平均地得到{c[ff4b32]}強化{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionDoctorBook	當職業是{c[ff4b32]}治癒醫生{c[000000]}的時候，\n主要可以讓回復得到{c[ff4b32]}強化{c[000000]}的書。\n只要買過一次，就會一直發揮效果。
SupportItemDescriptionHitPointSupplement	於{c[ff4b32]}出擊前{c[000000]}喝下，\n就能在該次探索時{c[ff4b32]}提升體力{c[000000]}的藥。\n一個人最多可以重複使用5次。
SupportItemDescriptionAttackSupplement	於{c[ff4b32]}出擊前{c[000000]}喝下，\n就能在該次探索時{c[ff4b32]}提升攻擊力{c[000000]}的藥。\n一個人最多可以重複使用5次。
SupportItemDescriptionMiniExperienceBall	於{c[ff4b32]}出擊前{c[000000]}使用，\n就能在{c[ff4b32]}10分鐘內{c[000000]}讓經驗值變為{c[ff4b32]}1.5倍{c[000000]}的球。\n持續時間內不論進行幾次探索都會發揮效果。
SupportItemDescriptionExperienceBall	於{c[ff4b32]}出擊前{c[000000]}使用，\n就能在{c[ff4b32]}30分鐘內{c[000000]}讓經驗值變為{c[ff4b32]}2倍{c[000000]}的球。\n持續時間內不論進行幾次探索都會發揮效果。
UpBaseSupportItemNameText	\x0e\x02\x08\0 \x0e\x02\n\0
SupportItemButtonText	\x0e\x02\x08\0 \x0e\x02\n\0
SupportDialogOverText	因為超過了\n{c[dc000d]}同時最大持有數{c[000000]}，\n所以無法購買。
SupportDialogText	要購買\n{c[dc000d]}\x0e\x02\x08\0 \x0e\x02\n\0{c[000000]}嗎？
SupportDialogBuyText	得到\n{c[dc000d]}\x0e\x02\x08\0 \x0e\x02\n\0{c[000000]}了！
AttachableItemDetected	因擁有{c[dc000d]}交換道具{c[000000]}，\n將返回小鎮。
CashSaleText	超值初次限定箱
CashSaleText3	\x0e\x02\x01\0%折扣優惠中！
CashItemDialogOverText	因為超過了\n{c[dc000d]}同時最大持有數{c[000000]}，\n所以無法購買。
CashItemDialogEndText	購買了\n{c[dc000d]}\x0e\x02\x01\0顆{c[000000]}蘋果寶石。
CashItemDialogErrorEmptyList2	現在並沒有能夠販賣的道具。
CashItemName	\x0e\x02\x01\0顆蘋果寶石
CashItemButtonName	\x0e\x02\x01\0顆
PresentItemDialogEndText	獲得贈送的\n{c[dc000d]}\x0e\x02\x01\0顆{c[000000]}蘋果寶石！
CashItemMaxPack	超值\nMAX箱
