CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	亲爱的……\n艾多……！艾多娜……
SK_NAME_WP03_12	悬丝移形
SK_NAME_WP03_13	重力拉扯
SK_NAME_WP03_14	丝线缠绕
SK_NAME_WP03_21	回环轮回
SK_NAME_WP03_22	空中飞人
SK_NAME_WP03_23	收放自如
SK_NAME_WP03_24	大车轮
SK_NAME_WP03_91	飞碟
SK_NAME_WP03_31	东京铁塔
SK_NAME_WP03_32	带狗散步
SK_NAME_WP03_33	电梯
SK_NAME_WP03_34	从天而降
SK_NAME_WP03_41	长眠不醒
SK_NAME_WP03_42	强力蛛网
SK_NAME_WP03_43	蜘蛛摇篮
SK_NAME_WP03_25	烈焰剑舞
SK_NAME_WP03_92	原子燃烧火焰
SK_DETAIL_WP03_11	[BTN:LS_U ]+快速按下2次[KC:B_AVOID ]，\n发动恶魔变装技能。\n变为蜘蛛形态，使用8只脚高速移动。
SK_DETAIL_WP03_12	在空中按住[ICON:JUMP ]，\n发动恶魔变身技能。\n悬挂在蛛丝上，\n在空中左右飘荡向远处移动。
SK_DETAIL_WP03_13	在恶魔变装时朝墙壁推动[BTN:LS ]，\n即可贴在墙面上移动。
SK_DETAIL_WP03_14	[BTN:LS_U ]+快速按下2次[KC:B_DEFENSE ]，\n发动恶魔变装技能。\n朝前方猛冲，使用8只脚\n对撞上的对手发动连续攻击。
SK_DETAIL_WP03_21	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:PUNCH ]，\n将双手的溜溜球\n挥至斜上方攻击。\n长按按键将使溜溜球\n就地旋转并停滞，\n增加攻击次数。
SK_DETAIL_WP03_22	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:KICK ]，\n空翻跃起以双脚的溜溜球攻击。\n长按按键将使溜溜球\n就地旋转并停滞，\n增加攻击次数。
SK_DETAIL_WP03_23	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:PUNCH ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:PUNCH ]，\n朝前方抛掷双手的溜溜球，\n并使双腿的溜溜球旋转向前猛冲，\n追上双手的溜溜球。\n长按按键将使溜溜球\n就地旋转并停滞，\n增加攻击次数。
SK_DETAIL_WP03_24	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:KICK ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:KICK ]，\n在空中使用[BTN:LS_U ]+[ICON:KICK ]，\n使溜溜球像车轮般旋转移动\n并攻击对手。\n使用[BTN:LS ]可控制移动方向。
SK_DETAIL_WP03_91	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n以上空垂下的蛛丝为轴心\n大幅旋转并攻击周围。
SK_DETAIL_WP03_31	按下[ICON:JUMP ]后立刻按下[ICON:PUNCH ]，\n发动恶魔变装技能。\n空翻并以燃烧着的尾部\n将对手击至上空。
SK_DETAIL_WP03_32	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n令双手的溜溜球高速旋转，\n朝前方发动猛攻。\n长按按键将提升技能威力。
SK_DETAIL_WP03_33	按下[ICON:JUMP ]后立刻按下[ICON:KICK ]，\n令腿部的溜溜球旋转并将其投掷，\n朝上空发动犀利踢击。\n长按按键将使腿部溜溜球\n继续旋转，暂时滞空。
SK_DETAIL_WP03_34	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n发动恶魔变装技能。\n使用尾巴向前方突刺后，\n以尾巴为支点进行跳跃，\n从对手上方发动追击。
SK_DETAIL_WP03_41	按住[ICON:PUNCH ]或[ICON:KICK ]，\n攻击后继续旋转溜溜球，\n停在原地并增加攻击次数。
SK_DETAIL_WP03_42	长按[ICON:SHOT ]后松开[ICON:SHOT ]，\n发射使对手动作迟缓的黏着弹。
SK_DETAIL_WP03_43	[BTN:LS_ROT ]+[ICON:SHOT ]，\n发动恶魔变装技能。\n高高跃起并旋转，\n向周围发射黏着弹，\n碰到它后动作将会变得迟缓。
SK_DETAIL_WP03_25	[BTN:LS_ROT ]+[ICON:KICK ]，\n发动恶魔变装技能。\n像陀螺般旋转并燃烧，\n攻击接近的对手。\n使用[BTN:LS ]可移动。
SK_DETAIL_WP03_92	[BTN:L3 ]+[BTN:R3 ]，\n发动恶魔变装技能。\n将尾巴刺入地面，\n注入灼热的能量，\n融化周围的大地并喷射熔岩，\n最后引起大爆炸。
SK_NAME_DE04_11	汽笛
SK_NAME_DE04_12	“愤怒”带来的攻击力上升1
SK_NAME_DE04_13	“愤怒”带来的攻击力上升2
SK_NAME_DE04_21	黄贰号：全体绕圈
SK_NAME_DE04_22	黄参号：开始八字驾驶
SK_NAME_DE04_23	蓝贰号：信号火石炭直接瞄准
SK_NAME_DE04_31	红贰号：各就各位开始应战
SK_NAME_DE04_32	红参号：启动歼灭来敌装置
SK_NAME_DE04_33	蓝参号：紧急停止后重炮齐发
SK_DETAIL_DE04_11	[KC:B_DEFENSE ]，\n拉响汽笛，\n将愤怒提升1阶段。\n\n[ICON:STEEL ]的攻击力\n将伴随愤怒的提升而提升。\n因遭受攻击而增加的愤怒\n也具有同样的效果。
SK_DETAIL_DE04_12	伴随“愤怒”的提升，\n将提升攻击力。
SK_DETAIL_DE04_13	伴随“愤怒”的提升，\n将提升攻击力。
SK_DETAIL_DE04_21	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n列车在空中划出空翻轨迹，\n也能攻击上空的对手。
SK_DETAIL_DE04_22	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n列车划出8字型轨迹，\n一次性对大范围敌人发动攻击。
SK_DETAIL_DE04_23	[BTN:LS_D ][BTN:LS_U ]+[ICON:SHOT ]，\n从烟囱中喷射炽热煤弹，\n煤弹将落到对手头顶上爆炸。
SK_DETAIL_DE04_31	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n恶魔将离开列车，\n一段时间内，\n自动攻击附近的对手。
SK_DETAIL_DE04_32	[BTN:LS_ROT ]+[ICON:KICK ]，\n暂时停车，\n在原地挥舞电锯攻击四周。
SK_DETAIL_DE04_33	[BTN:LS_ROT ]+[ICON:SHOT ]，\n急刹车并朝正前方发射主炮。\n攻击威力虽高，\n但较难命中目标。
SK_NAME_WP04_11	钢铁工人
SK_NAME_WP04_12	加速器
SK_NAME_WP04_13	死亡调度
SK_NAME_WP04_21	颤栗
SK_NAME_WP04_22	心脏骤停翘前轮
SK_NAME_WP04_23	血腥电锯
SK_NAME_WP04_33	不羁骑手
SK_NAME_WP04_25	齿轮尖叫
SK_NAME_WP04_31	螺旋车头
SK_NAME_WP04_32	恶梦挥臂
SK_NAME_WP04_24	钩爪翘前轮
SK_NAME_WP04_34	恰吉夹击
SK_NAME_WP04_41	锅炉蓄力
SK_NAME_WP04_42	疯狂滚轮
SK_NAME_WP04_43	车轮炼狱
SK_NAME_WP04_91	旋转电锯
SK_NAME_WP04_92	死亡僵局·失速列车
SK_DETAIL_WP04_11	[BTN:LS_U ]+快速按下2次[KC:B_AVOID ]，\n发动恶魔变装技能。\n化身为钢筋铁骨之躯，\n驱动蒸汽机快速行驶。
SK_DETAIL_WP04_12	在空中按住[ICON:JUMP ]，\n发动恶魔变装技能。\n向前方碾出轨道并高速飞驰。\n长按按键时间越长，移动距离越长。\n使用[BTN:LS ]可控制移动方向。
SK_DETAIL_WP04_13	[BTN:LS_U ]+快速按下2次[KC:B_DEFENSE ]，\n发动恶魔变装技能。\n向前方猛冲，\n使用双手的电锯\n夹击撞到的对手。
SK_DETAIL_WP04_21	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:PUNCH ]，\n挥起电锯将对手击至上空。\n长按按键将挥舞电锯提高转数，\n松开按键将提升攻击时的威力。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_22	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:KICK ]，\n使武器如机关车般向前冲，\n空翻并将对手击至上空。\n长按按键将挥舞电锯提高转数，\n松开按键将提升攻击时的威力。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_23	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:PUNCH ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:PUNCH ]，\n朝前方大步迈进，\n并使用电锯攻击。\n长按按键将挥舞电锯提高转数，\n松开按键将提升攻击时的威力。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_33	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:KICK ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:KICK ]，\n在空中使用[BTN:LS_U ]+[ICON:KICK ]，\n将武器当成机关车乘坐，\n可使用[BTN:LS ]自由移动。\n碾压撞到的对手。\n但乘坐一定时间后将陷入失控状态。\n可按下[ICON:JUMP ]跳下车。
SK_DETAIL_WP04_25	[BTN:LS_ROT ]+[ICON:KICK ]，\n发动恶魔变装技能。\n朝左侧急转弯，\n并以双手电锯攻击周围。\n长按按键最多可延长\n3圈行驶距离。
SK_DETAIL_WP04_31	按下[ICON:JUMP ]后立刻按下[ICON:PUNCH ]，\n发动恶魔变装技能。\n就地螺旋上升，\n将对手卷至上空。
SK_DETAIL_WP04_32	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n前进并挥舞双手电锯，\n向对手发动数次斩击。
SK_DETAIL_WP04_24	按下[ICON:JUMP ]后立刻按下[ICON:KICK ]，\n使武器如机关车般向前冲，\n跃至上空并将对手击至上空。
SK_DETAIL_WP04_34	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n发动恶魔变装技能。\n朝对手猛冲，\n使用双手电锯夹击。
SK_DETAIL_WP04_41	长按[ICON:PUNCH ]或[ICON:KICK ]后松开，\n挥舞电锯提高转数，\n提升攻击时的威力。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_42	[BTN:LS_ROT ]+[ICON:SHOT ]，\n猛地横挥射出车轮。\n车轮将围绕自身画圈滚动，\n碾压碰到的对手。
SK_DETAIL_WP04_43	长按[ICON:SHOT ]后松开[ICON:SHOT ]，\n挥舞电锯提高转数，\n使射出的电锯齿轮巨大化，\n提升威力。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_91	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n将电锯举过头顶挥舞攻击四周。\n长按按键将延长挥舞时间。\n但长按按键的时间过长将导致\n失控状态，无法成功发动技能。
SK_DETAIL_WP04_92	[BTN:L3 ]+[BTN:R3 ]，\n发动恶魔变装技能。\n凭借钢铁之躯猛冲，\n以肉眼无法捕捉的速度\n蹂躏前方。
SK_NAME_DE05_11	巴尔之歌
SK_NAME_DE05_12	提升“巴尔之歌”的威力1
SK_NAME_DE05_13	提升“巴尔之歌”的威力2
SK_NAME_DE05_21	追逐步
SK_NAME_DE05_22	花腔
SK_NAME_DE05_23	毒性天籁
SK_NAME_DE05_31	飞跃折跃
SK_NAME_DE05_32	趾尖旋转
SK_NAME_DE05_33	三人舞
SK_DETAIL_DE05_11	[KC:B_DEFENSE ][KC:B_DEFENSE ][KC:B_DEFENSE ][KC:B_DEFENSE ]\n[ICON:BAAL ]将歌唱。\n若成功唱完4小节，\n头顶上方将铺开不祥云朵，\n在附近一带降下毒雨。\n淋到毒雨的对手\n将被慢慢夺走体力，逐渐衰弱。
SK_DETAIL_DE05_12	提升“巴尔之歌”的毒雨攻击力。
SK_DETAIL_DE05_13	提升“巴尔之歌”的毒雨攻击力。
SK_DETAIL_DE05_21	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n像在低空蛙泳般挥动手脚，\n突然加速猛冲。
SK_DETAIL_DE05_22	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n像舞鞭般挥舞长舌发动数次攻击，\n最后一击将以舌头叩击对手\n使其失去平衡。
SK_DETAIL_DE05_23	[BTN:LS_D ][BTN:LS_U ]+[ICON:SHOT ]，\n从口中吐出毒液巨泡。\n泡泡会弹动，\n接触到对手后将破裂使其畏惧。\n长按按键将使泡泡变大，\n扩大技能的效果范围，提升威力。
SK_DETAIL_DE05_31	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n旋转身体并上下舞动腿部\n喷射毒液攻击四周。\n连按按键将增加攻击次数。
SK_DETAIL_DE05_32	[BTN:LS_ROT ]+[ICON:KICK ]，\n单脚站立，像跳舞般旋转，\n对周围发动攻击。\n使用[BTN:LS ]可移动。
SK_DETAIL_DE05_33	[BTN:LS_ROT ]+[ICON:SHOT ]，\n使一触即爆的蝌蚪\n飘浮于[ICON:BAAL ]周围。\n蝌蚪将在可视范围内捕捉对手，\n自动追踪并爆炸。
SK_NAME_WP05_11	稍快板
SK_NAME_WP05_12	轻巧跳跃
SK_NAME_WP05_13	飞跃急板
SK_NAME_WP05_21	闪光火箭
SK_NAME_WP05_22	毒素循环
SK_NAME_WP05_23	突围
SK_NAME_WP05_33	狂怒噪音
SK_NAME_WP05_25	扭动脚蹼
SK_NAME_WP05_31	摇滚旋风
SK_NAME_WP05_32	无伴奏独唱
SK_NAME_WP05_24	尖锐突刺
SK_NAME_WP05_34	巨浪来袭
SK_NAME_WP05_41	低沉声音
SK_NAME_WP05_42	气球号角
SK_NAME_WP05_43	极强音
SK_NAME_WP05_91	回转五线谱
SK_NAME_WP05_92	魔界的皇后
SK_DETAIL_WP05_11	[BTN:LS_U ]+快速按下2次[KC:B_AVOID ]，\n发动恶魔变装技能。\n以华丽的小跳步高速移动。
SK_DETAIL_WP05_12	在空中按住[ICON:JUMP ]，\n发动恶魔变装技能。\n从空中垂直向上高高跃起。
SK_DETAIL_WP05_13	[BTN:LS_U ]+快速按下2次[KC:B_DEFENSE ]，\n发动恶魔变装技能。\n踏空猛冲，\n以踢技追击撞到的对手。
SK_DETAIL_WP05_21	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:PUNCH ]，\n挥起麦克风支架，\n将对手击至上空。\n长按按键将提升\n攻击后的防御力。
SK_DETAIL_WP05_22	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:KICK ]，\n发动恶魔变装技能。\n空翻向上跃起的同时，\n将对手踢至上空。
SK_DETAIL_WP05_23	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:PUNCH ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:PUNCH ]，\n朝前方猛冲缩短距离，\n使用麦克风支架刺击。
SK_DETAIL_WP05_33	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:KICK ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:KICK ]，\n向前猛冲缩短距离，\n旋转麦克风支架\n发动连续攻击。
SK_DETAIL_WP05_25	[BTN:LS_ROT ]+[ICON:KICK ]，\n发动恶魔变装技能。\n像跳舞般连续旋转攻击周围。\n使用[BTN:LS ]可移动。
SK_DETAIL_WP05_31	按下[ICON:JUMP ]后立刻按下[ICON:PUNCH ]，\n发动恶魔变装技能。\n攻击周围的对手并旋转上升。
SK_DETAIL_WP05_32	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n使用麦克风朝前方大范围\n扩散破坏音波。
SK_DETAIL_WP05_24	按下[ICON:JUMP ]后立刻按下[ICON:KICK ]，\n使用麦克风支架朝上空\n发动犀利刺击。\n\n在空中使用[BTN:LS_U ]+[ICON:KICK ]，\n朝地面发动犀利刺击。\n长按按键可在攻击命中后\n继续猛冲。
SK_DETAIL_WP05_34	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n发动恶魔变装技能。\n朝前方华丽滑行，\n所经之处将喷射带毒水柱。\n将触碰到的对手击至上空。
SK_DETAIL_WP05_41	按住[ICON:PUNCH ]，\n攻击后歌唱，\n以提升防御力。\n按住[ICON:KICK ]，\n攻击后歌唱，\n以提升攻击力。\n\n以上两种技能皆可重复发动，\n亦可延长效果的持续时间。
SK_DETAIL_WP05_42	[BTN:LS_ROT ]+[ICON:SHOT ]，\n发动恶魔变装技能。\n华丽地旋转跳跃并朝四面八方\n乱射音波飞弹。
SK_DETAIL_WP05_43	按住[ICON:SHOT ]，\n发动恶魔变装技能。\n蓄力完成后松开按键，\n将使用独特的发声方式\n朝前方大范围扩散破坏音波。
SK_DETAIL_WP05_91	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n将麦克风支架举过头顶挥舞攻击，\n最后挥起将对手击至上空。\n长按按键将延长攻击时间。
SK_DETAIL_WP05_92	[BTN:L3 ]+[BTN:R3 ]，\n发动恶魔变装技能。\n利用音乐会听众的人潮声浪\n攻击周围的敌人。\n进入歌曲高潮时将变身，\n朝全方位发射破坏音波进行攻击。\n技能发动后，\n将暂时提升攻击力与防御力。
SK_NAME_DE06_11	所罗门的钩爪
SK_NAME_DE06_12	提升“风压”的效果1
SK_NAME_DE06_13	提升“风压”的效果2
SK_NAME_DE06_21	密史脱拉风
SK_NAME_DE06_22	黑风暴
SK_NAME_DE06_23	落山风
SK_NAME_DE06_31	里巴特风暴
SK_NAME_DE06_32	坎辛风
SK_NAME_DE06_33	暴风雨
SK_DETAIL_DE06_11	[KC:B_DEFENSE ]，\n使用钩爪抓住对手。\n抓住后将根据对手发动各种攻击。\n对超出一定大小的对手无效，\n但使其露出破绽后即可抓住对手。\n若对手被抓住后依旧抵抗，\n可连按任意动作按键，\n将其抓至上空。\n在该状态下可实行以下操作。\n[ICON:PUNCH ]　抓住并啄击\n[ICON:KICK ]　向下叩击\n[ICON:SHOT ]　投掷\n[ICON:JUMP ]　抓住并上升\n[KC:B_DEFENSE ]　松开
SK_DETAIL_DE06_12	面对大型对手时，\n也能以风压对其造成影响。
SK_DETAIL_DE06_13	面对大型对手时，\n也能以风压对其造成影响。
SK_DETAIL_DE06_21	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n旋转并向前方猛冲。
SK_DETAIL_DE06_22	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n在空中空翻回旋，\n将对手击至上空。
SK_DETAIL_DE06_23	[BTN:LS_D ][BTN:LS_U ]+[ICON:SHOT ]，\n像发射导弹般\n朝对手发射羽毛。
SK_DETAIL_DE06_31	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n快速降落到地面，\n使用钩爪践踏正下方的对手。
SK_DETAIL_DE06_32	[BTN:LS_ROT ]+[ICON:KICK ]，\n使用长尾巴横扫，\n攻击前方大范围内的对手。
SK_DETAIL_DE06_33	[BTN:LS_ROT ]+[ICON:SHOT ]，\n生成龙卷风吸入周围的事物。\n碰到龙卷风的对手将瞬间被卷入，\n并被抛向四周。
SK_NAME_WP06_11	夜之羽翼
SK_NAME_WP06_12	微风
SK_NAME_WP06_13	沙姆希尔
SK_NAME_WP06_21	大陆之风
SK_NAME_WP06_22	突风
SK_NAME_WP06_23	暴风
SK_NAME_WP06_33	旋风
SK_NAME_WP06_25	叶门双刃弯刀
SK_NAME_WP06_31	烈卷台风
SK_NAME_WP06_32	十字风
SK_NAME_WP06_24	鸟喙
SK_NAME_WP06_34	阿拉伯弯刀
SK_NAME_WP06_41	追击者
SK_NAME_WP06_42	森林羽翼
SK_NAME_WP06_43	破甲刀
SK_NAME_WP06_91	龙卷风镰形刀
SK_NAME_WP06_92	西摩格的皇冠
SK_DETAIL_WP06_11	[BTN:LS_U ]+快速按下2次[KC:B_AVOID ],\n发动恶魔变装技能。\n获得巨大翅膀，\n在空中高速滑行。
SK_DETAIL_WP06_12	在空中按住[ICON:JUMP ]，\n发动恶魔变装技能。\n就地浮空并徐徐落下。
SK_DETAIL_WP06_13	[BTN:LS_U ]+快速按下2次[KC:B_DEFENSE ]，\n发动恶魔变装技能。\n高速猛冲，\n使用锐利钩爪追击命中的对手。
SK_DETAIL_WP06_21	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:PUNCH ]，\n使用双手的扇子\n将对手击至上空。
SK_DETAIL_WP06_22	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:KICK ]，\n使用足部钩爪\n将对手击至上空。
SK_DETAIL_WP06_23	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:PUNCH ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:PUNCH ]，\n朝前方大跨步来到对手跟前，\n并以扇子突刺。
SK_DETAIL_WP06_33	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:KICK ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:KICK ]，\n朝前方大跨步来到对手跟前，\n发动回旋踢。
SK_DETAIL_WP06_25	[BTN:LS_ROT ]+[ICON:KICK ]，\n发动恶魔变装技能。\n使用锐利钩爪\n将击至上空的对手\n用力叩击至地面。
SK_DETAIL_WP06_31	按下[ICON:JUMP ]后立刻按下[ICON:PUNCH ]，\n使用扇子攻击周围并上升。
SK_DETAIL_WP06_32	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n跃至上空，\n朝地面发动强风斩击。\n命中的对手将被击飞。
SK_DETAIL_WP06_24	按下[ICON:JUMP ]后立刻按下[ICON:KICK ]，\n朝上空发动上踢。\n\n在空中使用[BTN:LS_U ]+[ICON:KICK ]，\n朝地面发动犀利踢击。\n长按按键可在攻击命中后\n继续猛冲。
SK_DETAIL_WP06_34	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n发动恶魔变装技能。\n快速猛冲，\n将对手踢至上空并空翻。
SK_DETAIL_WP06_41	长按[ICON:PUNCH ]或[ICON:KICK ]后松开，\n将产生追击风暴。\n若保持住架式，武器将巨大化，\n大幅提升追击威力。
SK_DETAIL_WP06_42	[BTN:LS_ROT ]+[ICON:SHOT ]，\n发动恶魔变装技能。\n张开翅膀就地旋转，\n向四周掷出风刃。\n长按按键将延长\n技能的发动时间。\n使用[BTN:LS ]可移动。
SK_DETAIL_WP06_43	长按[ICON:SHOT ]后松开[ICON:SHOT ]，\n释放巨大风刃，\n风刃将朝对手飞去。\n亦可命中远处的对手。
SK_DETAIL_WP06_91	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n朝上空跃起，\n并生成龙卷风攻击四周。\n被卷入龙卷风内的对手\n将被击至上空。
SK_DETAIL_WP06_92	[BTN:L3 ]+[BTN:R3 ]，\n发动恶魔变装技能。\n生成带有旋风与斩击的\n巨大龙卷风吸入周围的对手。\n被卷入龙卷风内的对手\n将被粉碎击飞。
SK_NAME_DE07_11	启动暗影盔甲
SK_NAME_DE07_12	“暗影盔甲”耗能减少1
SK_NAME_DE07_13	“暗影盔甲”耗能减少2
SK_NAME_DE07_21	第一层：审判之门
SK_NAME_DE07_22	全楼层：力之共鸣
SK_NAME_DE07_23	第二层：女教皇之泪
SK_NAME_DE07_31	第四层：皇帝的颤栗
SK_NAME_DE07_32	第四层：隐者的眼神
SK_NAME_DE07_33	第二层：星星到来
SK_DETAIL_DE07_11	[KC:B_DEFENSE ]，\n蓓优妮塔将搭乘并操纵\n人型魔导机“暗影盔甲”出击。\n再次按下[KC:B_DEFENSE ]\n将变回钟楼。
SK_DETAIL_DE07_12	搭乘暗影盔甲时的\n魔力消耗将减少。
SK_DETAIL_DE07_13	搭乘暗影盔甲时的\n魔力消耗将减少。
SK_DETAIL_DE07_21	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n打开塔内一楼的门，\n将对手拖进塔内并夺取体力，\n随后抛出依旧留有体力的对手。\n\n搭乘暗影盔甲时，\n将以背部撞击正面的对手。
SK_DETAIL_DE07_22	[BTN:LS_ROT ]+[ICON:PUNCH ]，\n全楼层将出现旋转刀刃，\n粉碎接近塔的敌人。\n\n搭乘暗影盔甲时，\n将从双手炮筒中乱射子弹\n并旋转。
SK_DETAIL_DE07_23	[BTN:LS_D ][BTN:LS_U ]+[ICON:SHOT ]，\n调度塔上第二层的炮台，\n朝上空一齐发射炮弹。\n射出的炮弹在经过一段时间后，\n将朝同一点落下。
SK_DETAIL_DE07_31	[BTN:LS_D ][BTN:LS_U ]+[ICON:KICK ]，\n塔的顶层将分离，\n并践踏对手数次。\n\n搭乘暗影盔甲时，\n将奋力践踏地面造成冲击波。
SK_DETAIL_DE07_32	[BTN:LS_ROT ]+[ICON:KICK ]，\n睁开时钟盘上的眼睛瞪视周围，\n遭到瞪视的对手将怒不可遏，\n一心攻击[ICON:TOWER ]。\n\n搭乘暗影盔甲时，\n发动回旋踢后向前后发射大炮。
SK_DETAIL_DE07_33	[BTN:LS_ROT ]+[ICON:SHOT ]，\n展开塔第二层以上的所有炮台，\n高速旋转所有楼层并发动炮击，\n扫荡四周。
SK_NAME_WP07_11	卡隆的拉袖
SK_NAME_WP07_12	阿肯隆的平静
SK_NAME_WP07_13	欧特鲁斯的齿轮
SK_NAME_WP07_21	斯忒罗佩斯之锤
SK_NAME_WP07_22	薛西弗斯的细语
SK_NAME_WP07_23	守护者阿莱克托
SK_NAME_WP07_33	黑卡蒂之门
SK_NAME_WP07_25	坦达罗斯的渴望
SK_NAME_WP07_31	地狱使者墨盖拉
SK_NAME_WP07_32	暗杀者提西福涅
SK_NAME_WP07_24	布隆忒斯之箭
SK_NAME_WP07_34	阿格斯之枪
SK_NAME_WP07_42	涅墨亚的低吼
SK_NAME_WP07_43	提堤俄斯的临时葬礼
SK_NAME_WP07_44	达那伊得斯的水沫
SK_NAME_WP07_91	伊克西翁的铁涡
SK_NAME_WP07_92	机械降神
SK_DETAIL_WP07_11	[BTN:LS_U ]+快速按下2次[KC:B_AVOID ]，\n发动恶魔变装技能。\n变为机械装置的身体，\n被拖动着快速移动。
SK_DETAIL_WP07_12	在空中按住[ICON:JUMP ]，\n发动恶魔变装技能。\n在空中变为悬吊状态，\n可暂时保持静止。\n可使用[BTN:LS ]移动，\n高度不会改变。
SK_DETAIL_WP07_13	[BTN:LS_U ]+快速按下2次[KC:B_DEFENSE ]，\n发动恶魔变装技能。\n快速旋转发条，\n冲向前方抓挠对手。
SK_DETAIL_WP07_21	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:PUNCH ]，\n从门内伸出机械手，\n朝正面挥出上勾拳。\n按住按键时将格挡对手的攻击。
SK_DETAIL_WP07_22	按住[KC:B_DEFENSE ]并使用[BTN:LS_D ]+[ICON:KICK ]，\n打开门拉近对手后，\n猛地砸出铁球攻击。\n长按按键将延长\n拉住对手的时间。
SK_DETAIL_WP07_23	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:PUNCH ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n朝前方长距离滑行，\n并以利爪抓挠。
SK_DETAIL_WP07_33	按住[KC:B_DEFENSE ]并使用[BTN:LS_U ]+[ICON:KICK ]，\n或[BTN:LS_U ][BTN:LS_U ]+[ICON:KICK ]，\n在空中使用[BTN:LS_U ]+[ICON:KICK ]，\n穿过门来到远处对手的身边，\n发动回旋踢。
SK_DETAIL_WP07_25	[BTN:LS_ROT ]+[ICON:KICK ]，\n在移动的同时使出连续抓挠攻击。\n使用[BTN:LS ]可控制移动方向。
SK_DETAIL_WP07_31	按下[ICON:JUMP ]后立刻按下[ICON:PUNCH ]，\n发动恶魔变装技能。\n挥舞铁球攻击四周并上升。
SK_DETAIL_WP07_32	[BTN:LS_D ][BTN:LS_U ]+[ICON:PUNCH ]，\n发动恶魔变装技能。\n高高跃起，\n借下降的势头抓挠对手。
