amulet.dat
msg_amulet_001	我正在向守護祝慶村的\n御護石表達感謝。[VAR 0114(005D)]
msg_sub074_0010_talk_06	那麼，為了讓您提起興趣，\n就讓我們攜手一起研究時尚吧。[VAR 0114(001D)]
msg_sub074_0010_talk_07	我希望請身為調查組一員的客人您\n助我一臂之力。\c\n聽說在紅蓮濕地見到的沙河馬\n雄性和雌性的外觀會不同。[VAR 0114(001D)]
msg_sub074_0010_talk_08	我覺得要是能親眼比較一下牠們，\n也許就能獲得新設計的靈感。\c\n請您務必讓我看看\n雄性和雌性的沙河馬。[VAR 0114(001D)]
msg_sub074_talk_01	請讓我看看\n雄性和雌性的沙河馬。[VAR 0114(001D)]
msg_sub074_0020_talk_01	那麼，您要讓我看看\n雄性的沙河馬嗎？[VAR 0114(001D)]
msg_sub074_0030_talk_01	接下來，請讓我看看\n雌性的沙河馬。[VAR 0114(001D)]
msg_sub074_0040_talk_01	哇！[VAR 0114(001D)]
msg_sub074_0040_talk_05	這是何等的迫力……！\n牠該不會是頭目吧？\r\n能捕捉到頭目，可見您果然很厲害。[VAR 0114(001D)]
msg_sub074_0040_talk_02	想不到棕色的深淺\n會帶來這麼大的印象差異……[VAR 0114(001D)]
msg_sub074_0040_talk_03	我有靈感了……！\n請稍等一下喔。[VAR 0114(001D)]
msg_sub074_0040_talk_04	請您一定要瞧瞧\n衣鋪的新商品。[VAR 0114(001D)]
sub_075.dat
msg_sub075_0010_talk_01	[~ 0]
msg_sub075_0010_talk_02	[~ 1]
msg_sub075_0010_talk_03	[~ 2]
msg_sub075_0010_list_04	[~ 3]
msg_sub075_0010_list_05	[~ 4]
msg_sub075_0010_talk_06	[~ 5]
msg_sub075_0010_talk_07	[~ 6]
msg_sub075_0010_talk_08	[~ 7]
msg_sub075_sys_01	[~ 8]
msg_sub075_0020_talk_01	[~ 9]
msg_sub075_0030_sys_01	[~ 10]
msg_sub075_0050_talk_01	[~ 11]
msg_sub075_0050_talk_02	[~ 12]
msg_sub075_0050_talk_03	[~ 13]
msg_sub075_0050_talk_04	[~ 14]
msg_sub075_0050_talk_05	[~ 15]
sub_076.dat
msg_sub076_0010_talk_01	每當我遇到頭痛的事情時，\n[VAR 1100(00FF,0101)]你妳就一定會出現！\r\n拜託了！再去幫我尋找彌美吧！！[VAR 0114(0091)]
msg_sub076_0010_talk_02	我妹妹她這次去天冠山麓工作後，\n就一直沒有回來！[VAR 0114(0091)]
msg_sub076_0010_talk_03	我相信如果是月月熊跟[VAR 1100(00FF,0101)]你妳，\n一定能夠找到彌美！\c\n用彌美常用的手帕上的氣味當線索，\n幫我把她找出來吧……！！[VAR 0114(0091)]
msg_sub076_0010_sys_04	[~ 3]
msg_sub076_0010_talk_05	彌美應該就在天冠山麓。\n幫我找找她吧！[VAR 0114(0091)]
msg_sub076_talk_01	彌美去天冠山麓後，\n就一直沒有回來……！\c\n麻煩[VAR 1100(00FF,0101)]你妳借助月月熊的力量\n把彌美找出來。[VAR 0114(0091)]
msg_sub076_0020_talk_01	[VAR 0100(0000)]～～～！！\n[VAR 1100(00FF,0101)]你妳果然來了呀！！！[VAR 0114(0070)]
msg_sub076_0020_talk_02	我被烏鴉頭頭的起風給刮落下來，\n上不去也下不去……\c\n拜託[VAR 1100(00FF,0101)]你妳，請把我送到地面吧！[VAR 0114(0070)]
msg_sub076_0020_talk_03	謝謝[VAR 1100(00FF,0101)]你妳每次都幫我！\c\n如果[VAR 0100(0000)]是我的前輩就好了……[VAR 0114(0070)]
msg_sub076_0020_list_04	我是前輩沒錯呀
msg_sub076_0020_list_05	我就當妳的前輩吧
msg_sub076_0020_talk_06	真的嗎！？那麼，\n我就叫[VAR 1100(00FF,0101)]你妳[VAR 0100(0000)]前輩囉！[VAR 0114(0070)]
msg_sub076_0020_talk_08	……明明是我自己這麼說的，\n卻又有點難為情呢！[VAR 0114(0070)]
msg_sub076_0020_talk_07	對了對了！\c\n我一直以為大狃拉是\n很會動歪腦筋的壞心寶可夢。\c\n不過牠也有善良的一面，\n會把我送到地面上，讓我喜歡上牠了！[VAR 0114(0070)]
msg_sub076_talk_02	[VAR 0100(0000)]前輩，\n謝謝[VAR 1100(00FF,0101)]你妳在山上的幫忙！\c\n對了前輩，\n[VAR 1100(00FF,0101)]你妳乾脆也加入警衛組怎麼樣！？[VAR 0114(0070)]
msg_sub076_0030_talk_01	只要拜託[VAR 1100(00FF,0101)]你妳，根本就不會有什麼\n什麼找不到的東西吧……？\c\n雖然已經三番兩次了，還是非常謝謝！\n[VAR 1100(00FF,0101)]你妳的實力無庸置疑呢。[VAR 0114(0091)]
msg_sub076_0030_talk_02	對了，我聽說[VAR 1100(00FF,0101)]你妳成了\n彌美的前輩是吧？\r\n作哥哥的我也覺得很放心喔。[VAR 0114(0091)]
msg_sub076_0030_talk_03	雖然我冒失的妹妹會給[VAR 1100(00FF,0101)]你妳添麻煩，\n今後還是請[VAR 1100(00FF,0101)]你妳多加關照啊。[VAR 0114(0091)]
sub_077.dat
msg_sub077_0010_talk_01	哦哦，[VAR 1100(00FF,0101)]你妳不是彌美的前輩\n[VAR 0189(0000)]嗎！[VAR 0114(0091)]
msg_sub077_0010_talk_02	彌美終於連從黑曜原野\n都回不來了。\c\n明明就在近處，應該很熟悉的才對啊……\n她一定是遇上什麼事了。[VAR 0114(0091)]
msg_sub077_0010_talk_03	我想借助月月熊和[VAR 1100(00FF,0101)]你妳的力量。\c\n用彌美常用的手帕上的氣味當線索，\n幫我把她找出來吧……！！[VAR 0114(0091)]
msg_sub077_0010_sys_04	[~ 3]
msg_sub077_0010_talk_05	彌美應該就在黑曜原野！\n幫我找找她吧！[VAR 0114(0091)]
msg_sub077_talk_01	彌美去黑曜原野後，\n就一直沒有回來……！\c\n麻煩[VAR 1100(00FF,0101)]你妳借助月月熊的力量\n把彌美找出來。[VAR 0114(0091)]
msg_sub077_0020_talk_01	呀啊啊～～！！\n前輩！救救我呀！！！[VAR 0114(0070)]
msg_sub077_0020_talk_02	哇啊……！\c\n被撒麻痺粉了……！\n前輩，救命啊……！！[VAR 0114(0070)]
msg_sub077_0020_talk_06	沒有可以戰鬥的寶可夢。\n重整旗鼓吧。
msg_sub077_0020_talk_03	太謝謝[VAR 1100(00FF,0101)]你妳了……！！\n真慶幸我是前輩[VAR 1100(00FF,0101)]你妳的後輩！[VAR 0114(0070)]
msg_sub077_0020_talk_04	有人會來這一帶採蘑菇，\n所以我在這裡巡邏。結果巡著巡著，\r\n我自己也忍不住採起了蘑菇來……\r\n唉，又讓哥哥擔心了。[VAR 0114(0070)]
msg_sub077_0020_talk_05	前輩對戰鬥也很拿手呢。\n[VAR 1100(00FF,0101)]你妳應該比我還能勝任警衛組吧……？[VAR 0114(0070)]
msg_sub077_talk_02	前輩，[VAR 1100(00FF,0101)]你妳不覺得\n警衛組更適合自己嗎？[VAR 0114(0070)]
msg_sub077_0030_talk_01	謝謝[VAR 1100(00FF,0101)]你妳救了彌美！\n[VAR 1100(00FF,0101)]你妳真的是很靠得住的調查組組員。[VAR 0114(0091)]
msg_sub077_0030_talk_02	聽到她這次是被寶可夢襲擊時，\n我的心臟都快要停了……\c\n希望她接下來的一段時間\n會乖乖地在村子裡巡邏啊～[VAR 0114(0091)]
sub_078.dat
msg_sub078_0010_talk_01	[~ 0]
sub_079.dat
msg_sub079_0010_talk_01	[~ 0]
msg_sub079_0010_talk_02	[~ 1]
msg_sub079_0010_talk_03	[~ 2]
msg_sub079_0020_talk_01	[~ 3]
msg_sub079_0020_talk_02	[~ 4]
msg_sub079_0020_talk_03	[~ 5]
msg_sub079_0020_talk_04	[~ 6]
msg_sub079_0020_talk_05	[~ 7]
msg_sub079_talk_01	[~ 8]
msg_sub079_talk_02	[~ 9]
sub_080.dat
msg_sub080_0010_talk_01	[~ 0]
msg_sub080_0010_talk_02	[~ 1]
msg_sub080_0010_talk_03	[~ 2]
msg_sub080_talk_01	[~ 3]
msg_sub080_0020_talk_01	[~ 4]
msg_sub080_0020_talk_02	[~ 5]
msg_sub080_0020_talk_03	[~ 6]
sub_081.dat
sub_082.dat
msg_sub082_0010_talk_01	我不原諒！\n我絕不原諒～！！[VAR 0114(0021)]
msg_sub082_0010_talk_02	……啊，是客人啊。\n這真是失禮了。\c\n我去拜託桃發批新商品給我，\n但看來我還是說不動他啊。[VAR 0114(001C)]
msg_sub082_0010_talk_03	很抱歉每次都麻煩[VAR 1100(00FF,0101)]你妳，\n但能不能請客人[VAR 1100(00FF,0101)]你妳去幫我說服桃發呢？\c\n現在只要給他３個沙灘蘿蔔，\n他應該就會點頭了。拜託[VAR 1100(00FF,0101)]你妳啦。[VAR 0114(001C)]
msg_sub082_0010_talk_04	[VAR 1100(00FF,0101)]你妳帶３個左右的沙灘蘿蔔當伴手禮，\n去幫我說服桃發吧。[VAR 0114(001C)]
msg_sub082_0020_talk_01	安撫了洞窟王的[VAR 0189(0000)]啊，\n每次都辛苦[VAR 1100(00FF,0101)]你妳了。[VAR 0114(0021)]
msg_sub082_0020_talk_02	[~ 5]
msg_sub082_0020_talk_03	老實說，我是想不計利益\n直接把新商品批給他，\c\n但這樣就像是我原諒了曉白他，\n讓我就是氣不過啊……[VAR 0114(0021)]
msg_sub082_0020_talk_04	[VAR 1100(00FF,0101)]你妳要去純白凍土對吧？\c\n能幫我採３個沙灘蘿蔔來嗎？[VAR 0114(0021)]
msg_sub082_0020_talk_05	要是[VAR 1100(00FF,0101)]你妳採了３個沙灘蘿蔔回來給我，\n我就批貨給他。拜託[VAR 1100(00FF,0101)]你妳了。[VAR 0114(0021)]
msg_sub082_talk_01	[~ 9]
msg_sub082_0030_talk_01	哦，[VAR 1100(00FF,0101)]你妳去採回來啦。\n在那麼嚴酷的環境下還能採到，真是不簡單！\c\n[VAR 1100(00FF,0101)]你妳願意分給我３個沙灘蘿蔔嗎？[VAR 0114(0021)]
msg_sub082_0030_talk_02	說到純白凍土，\n就得提到沙灘蘿蔔！\c\n它的根部雖然很苦，但只要\n好好醃漬一番，就能帶出甜味。\c\n口感脆，味道好，\n作為醃菜可受歡迎了。[VAR 0114(0021)]
msg_sub082_0030_talk_03	我孫女做的醃菜可美味了。\n要不我分她１個，讓她幫我醃一醃吧。[VAR 0114(0021)]
msg_sub082_0030_talk_04	好了，我也不好意思\n每次都讓[VAR 1100(00FF,0101)]你妳從中協調。\r\n我就再一次去和曉白談談吧。[VAR 0114(0021)]
msg_sub082_0040_talk_01	看在[VAR 0189(0000)]的份上，\n我就把新商品批給你吧。\c\n但這可不代表我就認同你了！[VAR 0114(0021)]
msg_sub082_0040_talk_02	桃發，請聽我說……[VAR 0114(001C)]
msg_sub082_0040_talk_03	爺爺！\n你還在說那種話啊！？[VAR 0114(008B)]
msg_sub082_0040_talk_04	芸梨！妳從什麼時候\n開始在那裡的！？[VAR 0114(0021)]
msg_sub082_0040_talk_05	聽說你不肯批貨給我們的店？\n公私不分也要有個限度啊！\c\n我才不要跟會做出\n這種事的爺爺說話！[VAR 0114(008B)]
msg_sub082_0040_talk_06	嗚喔～！！為什麼啊～！\n妳不是說妳絕對不會嫁人的嗎～～！！[VAR 0114(0021)]
msg_sub082_0040_talk_07	那都什麼時候的事了……[VAR 0114(008B)]
msg_sub082_0040_talk_08	[VAR 0189(0000)]，\n我爺爺給[VAR 1100(00FF,0101)]你妳添麻煩了。\r\n今後還請[VAR 1100(00FF,0101)]你妳多多光臨我們的店。[VAR 0114(008B)]
msg_sub082_0040_talk_09	……總而言之，\n有好東西進來了！請[VAR 1100(00FF,0101)]你妳務必捧場一下。[VAR 0114(001C)]
msg_sub082_0040_talk_10	芸梨是我一個男人一手養大的。\n她可是我最可愛、最可愛的孫女。\r\n結什麼婚！我可不允許～！！[VAR 0114(0021)]
sub_083.dat
msg_sub083_0010_talk_01	嗯……\n想不到什麼好點子啊。[VAR 0114(0012)]
msg_sub083_0010_talk_02	哦！[VAR 1100(00FF,0101)]你妳來得正好！[VAR 0114(0012)]
msg_sub083_0010_talk_03	能不能再幫我一次忙？\n我想要設計新的髮型。[VAR 0114(0012)]
msg_sub083_0010_talk_04	這次也是要參考寶可夢來設計。\n現在我心裡屬意的是奇魯莉安！[VAR 0114(0012)]
msg_sub083_0010_talk_05	我好想仔細觀察奇魯莉安，\n來設計新的髮型啊！[VAR 0114(0012)]
msg_sub083_0010_talk_06	要是[VAR 1100(00FF,0101)]你妳捉到了奇魯莉安，\n拜託讓我看看吧！[VAR 0114(0012)]
msg_sub083_talk_01	奇魯莉安、奇魯莉安……\n細節部分想不起來啊。[VAR 0114(0012)]
msg_sub083_0020_talk_01	[VAR 1100(00FF,0101)]你妳要讓我看看奇魯莉安嗎？[VAR 0114(0012)]
msg_sub083_0020_talk_02	[VAR 1100(00FF,0101)]你妳想試試新髮型對吧？\n拜託！讓我看看奇魯莉安吧！[VAR 0114(0012)]
msg_sub083_0020_talk_03	這是頭目吧！好厲害呀！\c\n要是奇魯莉安的頭目\n跑來我這裡光顧的話，\r\n我還真不知道該怎麼幫牠弄頭髮呢。[VAR 0114(0012)]
msg_sub083_0020_talk_04	據說奇魯莉安在高興的時候會跳舞。\c\n我也想要設計出那種在跳舞的時候……\n頭髮也會跟著一起輕快舞動的髮型！\r\n該怎麼調整髮流才好呢？[VAR 0114(0012)]
msg_sub083_0020_talk_05	我想到了！[VAR 0114(0012)]
msg_sub083_0020_talk_06	比最棒還棒的髮型！\n比最美還美的髮色！\r\n多虧奇魯莉安和[VAR 1100(00FF,0101)]你妳，我設計出來了！[VAR 0114(0012)]
msg_sub083_0020_talk_07	不如我們現在就來試試吧！[VAR 0114(0012)]
sub_084.dat
msg_sub084_0010_talk_01	多虧有小拳石，\n我想到究極的醃菜材料單了。[VAR 0114(002B)]
msg_sub084_0010_talk_02	[VAR 1100(00FF,0101)]你妳一定很想知道吧？[VAR 0114(002B)]
msg_sub084_0010_list_03	我想知道！
msg_sub084_0010_list_04	並沒有……
msg_sub084_0010_talk_05	這樣好了，[VAR 1100(00FF,0101)]你妳幫我收集材料，\n我就把材料單告訴[VAR 1100(00FF,0101)]你妳。\c\n我需要堅堅礦、滾滾豆和皇葉，\n每種各２個。萬事拜託囉。[VAR 0114(002B)]
msg_sub084_0010_talk_06	話別這麼說，\n[VAR 1100(00FF,0101)]你妳就來幫我收集材料嘛。\c\n我需要堅堅礦、滾滾豆和皇葉，\n每種各２個。萬事拜託囉。[VAR 0114(002B)]
msg_sub084_talk_01	[VAR 1100(00FF,0101)]你妳一定很想知道\n究極的醃菜材料單吧？\c\n我需要堅堅礦、滾滾豆和皇葉，\n每種各２個。萬事拜託囉。[VAR 0114(002B)]
msg_sub084_0020_talk_01	[VAR 1100(00FF,0101)]你妳要用２個堅堅礦、\n２個滾滾豆，以及２個皇葉，\r\n來製作究極的醃菜嗎？[VAR 0114(002B)]
msg_sub084_0020_list_02	我要做
msg_sub084_0020_list_03	[~ 9]
msg_sub084_0020_talk_04	這樣啊……等[VAR 1100(00FF,0101)]你妳收集好材料，\n一切就緒後，就來跟我說一聲吧。[VAR 0114(002B)]
msg_sub084_0030_talk_01	我已經將沙灘蘿蔔準備好了。\n我們馬上就開始製作吧！[VAR 0114(002B)]
msg_sub084_0030_talk_02	[~ 12]
msg_sub084_0030_talk_03	那～麼，最後只要將小拳石\n放在壺的上面，就大功告成囉！[VAR 0114(002B)]
msg_sub084_0030_talk_04	這是發生什麼事了！？[VAR 0114(002B)]
msg_sub084_0030_talk_05	隆隆！
msg_sub084_0030_talk_06	小拳石的樣子變了！\n這就是傳聞中的進化嗎？[VAR 0114(002B)]
msg_sub084_0030_talk_07	醃菜呢！？[VAR 0114(002B)]
msg_sub084_0030_talk_08	這比我預想的還要加倍好吃……\n果真是究極的醃菜──雙倍醃菜！[VAR 0114(002B)]
msg_sub084_0030_talk_09	只要借助寶可夢的力量，\n料理就會有更寬更廣的可能性……\r\n這也是託[VAR 1100(00FF,0101)]你妳的福，謝謝囉！[VAR 0114(002B)]
sub_085.dat
msg_sub085_0010_talk_01	我等[VAR 1100(00FF,0101)]你妳等很久囉！\n跟我一起去找被埋在雪中的蘑菇吧！[VAR 0114(002E)]
msg_sub085_0010_talk_02	珍珠隊的人告訴我，\n生長在心形岩山的蘑菇是極品。\c\n但他們也說，要尋找被埋在雪中的蘑菇\n就得靠小山豬幫忙。[VAR 0114(002E)]
msg_sub085_0010_talk_03	我想麻煩[VAR 1100(00FF,0101)]你妳帶著小山豬\n來幫忙採蘑菇。\r\n目標是採到３個。交給[VAR 1100(00FF,0101)]你妳囉。[VAR 0114(002E)]
msg_sub085_talk_01	目標是採到３個！\c\n麻煩[VAR 1100(00FF,0101)]你妳帶著小山豬\n去心形岩山幫我找蘑菇。[VAR 0114(002E)]
msg_sub085_talk_02	離目標還差２個！\c\n麻煩[VAR 1100(00FF,0101)]你妳帶著小山豬\n在心形岩山幫我找蘑菇。[VAR 0114(002E)]
msg_sub085_talk_03	離目標還差１個！！\c\n麻煩[VAR 1100(00FF,0101)]你妳帶著小山豬\n在心形岩山幫我找蘑菇。[VAR 0114(002E)]
msg_sub085_talk_04	嗚哩～[VAR 0114(00EA)]
msg_sub085_sys_05	小山豬有反應……\n雪下好像有什麼東西？
msg_sub085_0020_talk_01	哦哦！找到了嗎？\n這個蘑菇很不錯。[VAR 0114(002E)]
msg_sub085_0030_talk_01	已經找到了嗎！\n請[VAR 1100(00FF,0101)]你妳幫忙真是一點也沒錯。[VAR 0114(002E)]
msg_sub085_0050_talk_01	沒有可以戰鬥的寶可夢。\n重整旗鼓吧。
msg_sub085_0060_talk_01	我正納悶[VAR 1100(00FF,0101)]你妳怎麼不去採蘑菇，\n反倒是在跟寶可夢對戰……\c\n想不到[VAR 1100(00FF,0101)]你妳是找到上等的蘑菇了！\n[VAR 1100(00FF,0101)]你妳很有採蘑菇的才能喔！[VAR 0114(002E)]
msg_sub085_0070_talk_01	小山豬對雪笠怪拿著的蘑菇有反應。
msg_sub085_0080_talk_01	辛苦[VAR 1100(00FF,0101)]你妳了。\c\n多虧[VAR 1100(00FF,0101)]你妳和小山豬的幫忙，\n採集３個蘑菇的目標達成了！[VAR 0114(002E)]
msg_sub085_0080_talk_02	能跟[VAR 1100(00FF,0101)]你妳和寶可夢同心協力採蘑菇，\n我真的很開心！\c\n下次我們再到別的地方\n去跟別的寶可夢一起採蘑菇吧！[VAR 0114(002E)]
msg_sub085_0080_talk_03	話說回來，小山豬可厲害了啊！\c\n珍珠聚落的溫泉\n好像也是牠找到的。[VAR 0114(002E)]
msg_sub085_0080_talk_04	我採菇老手正漢就跟\n採菇高手小山豬組成搭檔也不錯……？[VAR 0114(002E)]
sub_086.dat
msg_sub086_0010_talk_01	這位客人，\n拜託[VAR 1100(00FF,0101)]你妳幫我調查一下吧。[VAR 0114(0035)]
msg_sub086_0010_talk_02	我的祖先曾經居住的村落，\n似乎就在雪崩坡的附近。\c\n可是我至今都找不到一點痕跡，\n所以很懷疑是不是真的有那個地方。[VAR 0114(0035)]
msg_sub086_0010_talk_03	但是，自己究竟來自何方\n總是很令人在意的不是嗎？\c\n所以我希望[VAR 1100(00FF,0101)]你妳幫我去雪崩坡\n找找以前曾經有過村落的痕跡。拜託囉。[VAR 0114(0035)]
msg_sub086_talk_01	據說雪崩坡附近以前曾有過村落。\n拜託[VAR 1100(00FF,0101)]你妳去幫我尋找它的痕跡。[VAR 0114(0035)]
msg_sub086_0020_sys_01	２月５日\c\n在回村落的途中\n遇上了暴風雪，\r\n於是在山中小屋過了一晚。
msg_sub086_0020_sys_02	清晨時分，我聽見聲響醒來後，\n發現穿著和服的…………在屋裡。
msg_sub086_0020_sys_03	我和…………對到了眼。\c\n…………美得叫人屏住呼……\n恐怖得叫人背脊發…………
msg_sub086_0020_sys_04	我因恐懼而將眼睛……\n直等到…………離開。
msg_sub086_0020_sys_05	當我再度睜開眼睛時，\c\n…………已經消失，\n僅僅留下了…………
msg_sub086_0020_sys_06	……剩下的部分\n全都缺損了。
msg_sub086_0040_sys_01	重整旗鼓，\n準備好了再來吧。
msg_sub086_0050_sys_01	雪妖女好像\n掉落了什麼東西。
msg_sub086_0050_sys_02	發現了一疊沒有封面的紙。\c\n……和破損日記拼湊起來，\n好像就會是一本完整的日記。
msg_sub086_0050_sys_03	裡面好像記載著過去曾位於\n純白凍土的村落的生活。
msg_sub086_0050_sys_04	９月１日\c\n和……一起生活\n轉眼已過了……年。\c\n偶然在回顧日記時，\n想起了那…………
msg_sub086_0050_sys_05	我在……身上感到有\n那…………的影子。\c\n如果是民間故事也就算了，\n在現實中怎麼可能……
msg_sub086_0050_sys_06	１月３日\c\n為什麼我會跟…………\n說了那…………的事呢？\r\n但現在後悔已經太遲了。
msg_sub086_0050_sys_07	……就這樣離開了。\c\n僅僅留下了雪，\n就此從我的眼前消失了。\c\n唉，要是我沒提起\n那…………的事就……
msg_sub086_0050_sys_08	日記就在這裡結束了。
msg_sub086_0050_sys_09	返回祝慶村，\n給商人島木看看古老日記吧。
msg_sub086_sys_01	[~ 20]
msg_sub086_0060_talk_01	[VAR 1100(00FF,0101)]你妳找到那據說是坐落在\n雪崩坡附近的村落的痕跡了嗎？[VAR 0114(0035)]
msg_sub086_0060_talk_02	[VAR 0189(0000)]翻遍了腰包，\n卻怎麼都找不到古老日記……？
msg_sub086_0060_talk_03	什麼？[VAR 1100(00FF,0101)]你妳明明有帶回來的\n古老日記不見了？\r\n而且那還是一本寶可夢帶著的日記？？\r\n裡頭究竟寫著些什麼啊？？？[VAR 0114(0035)]
msg_sub086_0060_talk_04	這和我從奶奶那裡聽過的\n村落的事情一模一樣……[VAR 0114(0035)]
msg_sub086_0060_talk_07	也就是說，\n我祖先的村落確實存在過！！[VAR 0114(0035)]
msg_sub086_0060_talk_05	多虧有客人[VAR 1100(00FF,0101)]你妳的幫忙，\n我長年以來的疑問總算解開了。\r\n再次感謝[VAR 1100(00FF,0101)]你妳的調查。真的辛苦了。[VAR 0114(0035)]
msg_sub086_0060_talk_06	話說回來，為什麼寶可夢\n會帶著人類的日記呢……[VAR 0114(0035)]
msg_sub086_0060_talk_08	說不定那本古老日記\n是回到那隻寶可夢的身上了呢。[VAR 0114(0035)]
sub_087.dat
msg_sub087_0010_talk_01	[~ 0]
msg_sub087_0010_talk_05	[~ 1]
msg_sub087_0010_talk_02	[~ 2]
msg_sub087_0010_list_01	[~ 3]
msg_sub087_0010_list_02	[~ 4]
msg_sub087_0010_talk_03	[~ 5]
msg_sub087_0010_talk_04	[~ 6]
msg_sub087_0020_talk_02	[~ 7]
msg_sub087_talk_01	[~ 8]
msg_sub087_0020_talk_01	[~ 9]
msg_sub087_0020_talk_03	[~ 10]
msg_sub087_0020_talk_04	[~ 11]
msg_sub087_0030_talk_01	[~ 12]
msg_sub087_0030_talk_02	[~ 13]
msg_sub087_0030_talk_03	[~ 14]
msg_sub087_0040_talk_01	[~ 15]
msg_sub087_0040_talk_06	[~ 16]
msg_sub087_0040_talk_02	[~ 17]
msg_sub087_0040_talk_03	[~ 18]
msg_sub087_0040_talk_04	[~ 19]
msg_sub087_0040_talk_05	[~ 20]
msg_sub087_talk_2	[~ 21]
msg_sub087_talk_3	[~ 22]
msg_sub087_0050_talk_01	[~ 23]
msg_sub087_0050_talk_02	[~ 24]
msg_sub087_0050_talk_03	[~ 25]
msg_sub087_0050_talk_04	[~ 26]
msg_sub087_0100_talk_01	[~ 27]
msg_sub087_0100_talk_02	[~ 28]
msg_sub087_0100_talk_03	[~ 29]
msg_sub087_0100_talk_04	[~ 30]
msg_sub087_0050_talk_05	[~ 31]
msg_sub087_0050_talk_06	[~ 32]
msg_sub087_0060_talk_01	[~ 33]
msg_sub087_talk_04	[~ 34]
msg_sub087_talk_05	[~ 35]
msg_sub087_talk_06	[~ 36]
msg_sub087_0070_talk_01	[~ 37]
msg_sub087_0070_talk_02	[~ 38]
msg_sub087_0070_talk_03	[~ 39]
msg_sub087_0070_talk_04	[~ 40]
msg_sub087_0080_talk_01	[~ 41]
msg_sub087_0070_talk_05	[~ 42]
msg_sub087_0070_talk_06	[~ 43]
msg_sub087_0090_sys_01	[~ 44]
msg_sub087_0090_sys_02	[~ 45]
msg_sub087_0100_talk_05	[~ 46]
msg_sub087_0100_talk_06	[~ 47]
msg_sub087_0100_talk_07	[~ 48]
msg_sub087_0100_talk_08	[~ 49]
msg_sub087_0100_talk_09	[~ 50]
msg_sub087_0100_talk_10	[~ 51]
sub_088.dat
msg_sub088_0010_talk_01	結草兒是身體上\n裹著葉片的寶可夢。[VAR 0114(0042)]
msg_sub088_0010_talk_02	不對不對，身上黏著沙子或\n石子等等礦物的才是結草兒。[VAR 0114(0066)]
msg_sub088_0010_talk_03	身上被垃圾包覆住的\n才是結草兒啦！[VAR 0114(004E)]
msg_sub088_0010_talk_04	嗯～我們還真是雞同鴨講啊。\n你們真的有看過結草兒嗎？[VAR 0114(0042)]
msg_sub088_0010_talk_05	那是我的台詞！[VAR 0114(0066)]
msg_sub088_0010_talk_06	我不管在洗翠或故鄉都看過結草兒。\n每一隻的身上都被垃圾包覆著！[VAR 0114(004E)]
msg_sub088_0010_talk_07	你一定是搞錯了。[VAR 0114(0066)]
msg_sub088_0010_talk_08	這樣下去\n只是各說各話而已……[VAR 0114(0042)]
msg_sub088_0010_talk_09	對了！\n這位調查組的組員。\c\n實際看到結草兒，就知道誰說的是真的了。\n[VAR 1100(00FF,0101)]你妳要是捉到了結草兒，請讓我們看看！[VAR 0114(0042)]
msg_sub088_0020_talk_01	請[VAR 1100(00FF,0101)]你妳也把其他兩個人\n所說的結草兒帶來。[VAR 0114(0042)]
msg_sub088_0030_talk_01	[VAR 1100(00FF,0101)]你妳要讓我看看身體上\n裹著葉片的結草兒嗎？[VAR 0114(0042)]
msg_sub088_0040_talk_01	結草兒是身體上\n裹著葉片的寶可夢。\r\n他們兩個只要看到，也就會明白的。[VAR 0114(0042)]
msg_sub088_0050_talk_01	這不是我所知道的結草兒啊。[VAR 0114(0042)]
msg_sub088_0060_talk_01	沒錯沒錯，\n這就是結草兒。[VAR 0114(0042)]
msg_sub088_0060_talk_02	雖然看起來很像，\n但這是別的寶可夢。[VAR 0114(0066)]
msg_sub088_0060_talk_03	這傢伙不是結草兒啊～[VAR 0114(004E)]
msg_sub088_0060_talk_04	………………\n………………
msg_sub088_0060_talk_05	既然看到真的結草兒還是不明白的話，\n那就把假的結草兒帶來給我們看吧。[VAR 0114(0042)]
msg_sub088_0060_talk_06	我們給彼此看過各自所說的結草兒了，\n這樣還是不能接受的話，\r\n那可真是沒完沒了啊……[VAR 0114(0042)]
msg_sub088_0060_talk_07	能得到拉苯博士認同的寶可夢\n才是真正的結草兒。\c\n我說[VAR 1100(00FF,0101)]你妳呀，如果結草兒的圖鑑完成了，\n請讓我們也看看吧。[VAR 0114(0042)]
msg_sub088_0070_talk_01	請[VAR 1100(00FF,0101)]你妳把他們口中的\n結草兒也帶來吧。[VAR 0114(0066)]
msg_sub088_0080_talk_01	[VAR 1100(00FF,0101)]你妳要讓我看看身上\n黏著礦物的結草兒嗎？[VAR 0114(0066)]
msg_sub088_0090_talk_01	結草兒是身上黏著沙子或\n石子等等礦物的寶可夢！\c\n百聞不如一見！調查組的人，\n拜託[VAR 1100(00FF,0101)]你妳一定要把結草兒帶來。[VAR 0114(0066)]
msg_sub088_0100_talk_01	這不是我所知道的結草兒啊。[VAR 0114(0066)]
msg_sub088_0110_talk_01	你們快看，\n這孩子就是結草兒！[VAR 0114(0066)]
msg_sub088_0110_talk_02	這個嘛～雖然看起來很像，\n但牠不是結草兒。[VAR 0114(0042)]
msg_sub088_0110_talk_03	這是結草兒？\n牠身上沒有被垃圾包覆住啊。[VAR 0114(004E)]
