A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A2_EVIDENCE_MESSAGE_018	モルペコの『オーラぐるま』でついた跡\nしかし　モルペコは空腹のときは\nでんきタイプのわざではなくなるらしい
A2_EVIDENCE_MESSAGE_019	残っていた光るコイン
A2_EVIDENCE_MESSAGE_020	事件現場に落ちていた光るコイン\nこの場所で事件を起こしたというベロバーは\n光を放つものに目がないそうだ
A2_EVIDENCE_MESSAGE_021	街の監視カメラ
A2_EVIDENCE_MESSAGE_022	ライムシティに設置された監視カメラ\n数は多くないが　最近のすべての事件で\n決定的瞬間を撮影しているらしい
A2_EVIDENCE_MESSAGE_023	ピカチュウの背中の模様
A2_EVIDENCE_MESSAGE_024	ピカチュウの背中には模様があるが\n犯行時の証拠写真には\nその模様が写っていない
A2_EVIDENCE_MESSAGE_025	背中についている四角い機械
A2_EVIDENCE_MESSAGE_026	ピカチュウの背中についた四角い機械\n犯行時の写真では　光っている
A2_EVIDENCE_MESSAGE_027	ユニタスからの指示書
A2_EVIDENCE_MESSAGE_028	ユニタスという組織からバトラー局長への\n指示書　ポケモンの捕獲と護送を\n指示している　金銭のやり取りの記述もある
A2_EVIDENCE_MESSAGE_029	バトラー局長の報告書
A2_EVIDENCE_MESSAGE_030	バトラー局長が書いた報告書\nホリデイ警部やブラッドさんについて\nバトラー局長の評価が書かれている
A2_EVIDENCE_MESSAGE_031	四角い機械の説明書
A2_EVIDENCE_MESSAGE_032	ピカチュウの背中についていた機械の説明書\n機械はコントロールキューブという\n離れていても　コントローラーで\nポケモンに指示を出せるらしい
A2_EVIDENCE_MESSAGE_033	被害報告書
A2_EVIDENCE_MESSAGE_034	ポケモンが街で起こした事件の報告書\n
A2_EVIDENCE_MESSAGE_035	強いでんきわざ
A2_EVIDENCE_MESSAGE_036	レントラーのでんきわざは\nすごい威力らしい　ピカチュウは\nでんきタイプだが　気絶してしまった
A2_TESTIMONY_MESSAGE_001	ピカチュウは夜　カフェにいた
A2_TESTIMONY_MESSAGE_002	ピカチュウは　夜のニュースが流れたとき\nハイハットカフェにいた
A2_TESTIMONY_MESSAGE_003	ピカチュウを噴水広場で見かけた
A2_TESTIMONY_MESSAGE_004	昨日の夜　噴水広場から\n立ち去るピカチュウの後ろ姿を見かけた\nそのとき　すでに　ヤドン像は壊れていた
A2_TESTIMONY_MESSAGE_005	ピカチュウを警察署で見かけた
A2_TESTIMONY_MESSAGE_006	さっき落としものを取りに警察署に行ったら\n保護されたピカチュウが運び込まれてきた
A2_TESTIMONY_MESSAGE_007	雷の音を聞いた
A2_TESTIMONY_MESSAGE_008	外で　雷の音がしたとき\nハイハットカフェのテレビでは\n夜のニュースを　やっていた
A2_TESTIMONY_MESSAGE_009	噴水広場にも行った
A2_TESTIMONY_MESSAGE_010	昨日の夜　ハイハットカフェに\n行くときに　噴水広場にも行ったが\nヤドン像は壊れていなかった
A2_TESTIMONY_MESSAGE_011	保護室で目覚めた
A2_TESTIMONY_MESSAGE_012	保護された後　パトカーで眠ってしまい\n警察署の保護室で目覚めた
A2_TESTIMONY_MESSAGE_013	急におとなしくなった
A2_TESTIMONY_MESSAGE_014	保護されたポケモンの背中に　警官が\n機械をつけたら　いやがっていたポケモンが\n急におとなしくなった
A2_TESTIMONY_MESSAGE_015	踊っているように見えた
A2_TESTIMONY_MESSAGE_016	警察官と歩いてるとき　手をバタバタさせて\n踊っているような動きをしていた
A2_TESTIMONY_MESSAGE_017	ポケモンが喜んでいた
A2_TESTIMONY_MESSAGE_018	警察官が四角い機械を取り出したら\nポケモンが喜んで受け取ろうとしていた
A2_TESTIMONY_MESSAGE_019	花を荒らした
A2_TESTIMONY_MESSAGE_020	インテレオンは\n花屋の花を荒らして　保護された
A2_TESTIMONY_MESSAGE_021	食べものを盗った
A2_TESTIMONY_MESSAGE_022	モルペコは　他人の食べものを\n盗って保護された
A2_TESTIMONY_MESSAGE_023	貴重品を盗んだ
A2_TESTIMONY_MESSAGE_024	ベロバーは　人の貴重品を盗んで\n保護された
A2_TESTIMONY_MESSAGE_025	警察官の仕事
A2_TESTIMONY_MESSAGE_026	警察はそれほどいそがしくなかったが\n保護局の人が足りなくて\n警官に仕事がまわってきている
A2_TESTIMONY_MESSAGE_027	ポケモン友好週間
A2_TESTIMONY_MESSAGE_028	ライムシティの理想である\nポケモンと人の共生を目指すイベント\nＲ事件をきっかけに作られた
A2_TESTIMONY_MESSAGE_029	メタモンの特徴
A2_TESTIMONY_MESSAGE_030	いなくなったメタモンは\n『へんしん』が不得意で　見えたところしか\n正しく『へんしん』できないらしい
A2_TESTIMONY_MESSAGE_033	現場を調べていた
A2_TESTIMONY_MESSAGE_034	ブラッドさんは　すでに解決したはずの\n事件の現場を調べていた
A2_TESTIMONY_MESSAGE_035	うちの子のことを聞かれた
A2_TESTIMONY_MESSAGE_036	ブラッドさんは　すでに保護した\nベロバーについて聞き込みをした
A2_TESTIMONY_MESSAGE_037	特性を調べていた
A2_TESTIMONY_MESSAGE_038	ブラッドさんは　モルペコの特性について\n調べていた
A2_TESTIMONY_MESSAGE_039	ブラッドさんはひとりで現場に行くことがある
A2_TESTIMONY_MESSAGE_040	ブラッドさんは　解決した事件の現場に\nひとりで行くことがある
A2_TESTIMONY_MESSAGE_041	ブラッドさんの検挙率は高い
A2_TESTIMONY_MESSAGE_042	ブラッドさんはポケモン保護の仕事も\n熱心に行ない　検挙率が高いようだ
A2_TESTIMONY_MESSAGE_049	ポケモンが自分で警察について行った
A2_TESTIMONY_MESSAGE_050	ポケモンに機械をつけると\n自分から警官について来てくれる
A2_TESTIMONY_MESSAGE_051	ポケモンがいやがっていた
A2_TESTIMONY_MESSAGE_052	ポケモンが機械をつけられるのを\nいやがって暴れたらしい
A2_TESTIMONY_MESSAGE_053	背中の機械が光っていた
A2_TESTIMONY_MESSAGE_054	ポケモンの背中につけられた機械は\n光って目立つのでついつい見てしまう
A2_WITNESS_MESSAGE_011	パブロ
A2_WITNESS_MESSAGE_033	おねえさん
A2_WITNESS_MESSAGE_035	チャオブーのパートナー
A2_WITNESS_MESSAGE_037	クイズハカセ
A2_WITNESS_MESSAGE_039	おにいさん
A2_WITNESS_MESSAGE_041	おじさん
A2_WITNESS_MESSAGE_043	会社員
casenote_ep3.asset
A3_EVIDENCE_MESSAGE_001	トビラのレリーフ
A3_EVIDENCE_MESSAGE_002	遺跡のトビラにあるレリーフ\n人間がポケモンを掲げている
A3_EVIDENCE_MESSAGE_003	床の模様
A3_EVIDENCE_MESSAGE_004	トビラの前にあるタイルには\nひとつだけ　不思議な模様が\n描かれている
A3_EVIDENCE_MESSAGE_005	壁で途切れた足跡
A3_EVIDENCE_MESSAGE_006	壁で不自然に先端が\n途切れている足跡
A3_EVIDENCE_MESSAGE_007	歩きまわった跡
A3_EVIDENCE_MESSAGE_008	石像のまわりを歩きまわった足跡\n部屋の奥と入ってきた方向へ\nもどる足跡もある
A3_EVIDENCE_MESSAGE_009	ゴードン教授のハンカチ
A3_EVIDENCE_MESSAGE_010	遺跡の中央の部屋に落ちていたハンカチ\nゴードン教授の名前が入っている
A3_EVIDENCE_MESSAGE_011	黄色いきのみ
A3_EVIDENCE_MESSAGE_012	左の壁画に描かれた\nナゲツケサルが持っている\n黄色いきのみ
A3_EVIDENCE_MESSAGE_013	青いきのみ
A3_EVIDENCE_MESSAGE_014	右の壁画に描かれた\nナゲツケサルが持っている\n青いきのみ
A3_EVIDENCE_MESSAGE_015	ナゲツケサルの石像
A3_EVIDENCE_MESSAGE_016	遺跡の中央の部屋に並んでいる石像\n不思議なポーズをとっている
A3_EVIDENCE_MESSAGE_017	あまそうな表情
A3_EVIDENCE_MESSAGE_018	左の壁画のナゲツケサルは\nあまいものを食べたときの\nような顔をしている
A3_EVIDENCE_MESSAGE_019	すっぱそうな表情
A3_EVIDENCE_MESSAGE_020	右の壁画のナゲツケサルは\nすっぱいものを食べたときの\nような顔をしている
A3_EVIDENCE_MESSAGE_021	凍った壁画
A3_EVIDENCE_MESSAGE_022	１枚だけ凍っていた壁画\n氷のせいで絵が見えない
A3_EVIDENCE_MESSAGE_023	シュカのみ
A3_EVIDENCE_MESSAGE_024	黄色くて　あまいきのみ
A3_EVIDENCE_MESSAGE_025	パイルのみ
A3_EVIDENCE_MESSAGE_026	黄色くて　皮はすっぱく\n実はからい　きのみ
A3_EVIDENCE_MESSAGE_027	ナナのみ
A3_EVIDENCE_MESSAGE_028	ピンク色で　あまいきのみ
A3_EVIDENCE_MESSAGE_029	ヤチェのみ
A3_EVIDENCE_MESSAGE_030	青くて　すっぱいきのみ
A3_EVIDENCE_MESSAGE_031	バコウのみ
A3_EVIDENCE_MESSAGE_032	青くて　苦いきのみ
A3_EVIDENCE_MESSAGE_033	ハバンのみ
A3_EVIDENCE_MESSAGE_034	赤くて　苦いきのみ
A3_EVIDENCE_MESSAGE_035	カレー
A3_EVIDENCE_MESSAGE_036	クリスさんがつくったカレー\nマトマのみが入っているので\n赤くて　とてもからい
A3_EVIDENCE_MESSAGE_037	リンゴ
A3_EVIDENCE_MESSAGE_038	クリスさんが持っていた\n真っ赤なリンゴ\nカレーの隠し味に使う
A3_EVIDENCE_MESSAGE_039	助手のお菓子
A3_EVIDENCE_MESSAGE_040	クリスさんが持っていた\nからいお菓子　中身は\nこんがり茶色のチップス
A3_EVIDENCE_MESSAGE_041	ポケモンの石像
A3_EVIDENCE_MESSAGE_042	壁画に描かれていたポケモンの絵\n台座や石のような見た目から\n石像であることを示しているようだ
A3_EVIDENCE_MESSAGE_043	人間の石像
A3_EVIDENCE_MESSAGE_044	壁画に描かれていた人間の絵\n台座や石のような見た目から\n石像であることを示しているようだ
A3_EVIDENCE_MESSAGE_045	ポケモンの壁画に描かれた足跡
A3_EVIDENCE_MESSAGE_046	ポケモンの石像から続く足跡\nなにかのルートを示すように\n点々と続いている
A3_EVIDENCE_MESSAGE_047	人間の壁画に描かれた足跡
A3_EVIDENCE_MESSAGE_048	人間の石像から続く足跡\nなにかのルートを示すように\n点々と続いている
A3_EVIDENCE_MESSAGE_049	ポケモンの壁画に描かれたトビラのような絵
A3_EVIDENCE_MESSAGE_050	ポケモンの石像が描かれた壁画に\n描かれているトビラのような絵\n出口を示しているのかもしれない
A3_EVIDENCE_MESSAGE_051	人間の壁画に描かれたトビラのような絵
A3_EVIDENCE_MESSAGE_052	人間の石像が描かれた壁画に\n描かれているトビラのような絵\n出口を示しているのかもしれない
A3_EVIDENCE_MESSAGE_053	からそうな表情
A3_EVIDENCE_MESSAGE_054	真ん中の壁画のナゲツケサルは\nからいものを食べたときの\nような顔をしている
A3_EVIDENCE_MESSAGE_055	赤いきのみ
A3_EVIDENCE_MESSAGE_056	真ん中の壁画に描かれた\nナゲツケサルが持っている\n赤いきのみ
A3_TESTIMONY_MESSAGE_001	木に登っていた
A3_TESTIMONY_MESSAGE_002	人間がトビラの横にある\n木を登っていた
A3_TESTIMONY_MESSAGE_003	なにか食べていた
A3_TESTIMONY_MESSAGE_004	ゴードン教授は遺跡を調べながら\nなにかを食べていた
A3_TESTIMONY_MESSAGE_005	火を起こしていた
A3_TESTIMONY_MESSAGE_006	人間が入口の前で\n火を起こしていた
A3_TESTIMONY_MESSAGE_007	モウカザルは炎を出せる
A3_TESTIMONY_MESSAGE_008	モウカザルは　火を吹くのが\n得意だ
A3_TESTIMONY_MESSAGE_009	ナゲツケサルはきのみを投げる
A3_TESTIMONY_MESSAGE_010	ナゲツケサルは　きのみを\n投げるのが得意だ
A3_TESTIMONY_MESSAGE_011	ヤドンは水を出せる
A3_TESTIMONY_MESSAGE_012	ヤドンは　水を出すことが\nできる
A3_TESTIMONY_MESSAGE_013	ゴンベは食いしん坊
A3_TESTIMONY_MESSAGE_014	ゴンベは　食べるのが得意
A3_TESTIMONY_MESSAGE_015	マトマのみ
A3_TESTIMONY_MESSAGE_016	赤くて　からい　きのみ\nこのあたりには　なっていないらしい
A3_TESTIMONY_MESSAGE_017	ハスボーはポケモンを乗せて泳げる
A3_TESTIMONY_MESSAGE_018	ハスボーは　ポケモンを頭に乗せて\n運ぶことができる
A3_WITNESS_MESSAGE_025	ピィ
A3_WITNESS_MESSAGE_027	リングマ
A3_WITNESS_MESSAGE_029	ハハコモリ
A3_WITNESS_MESSAGE_033	クイズハカセ
A3_WITNESS_MESSAGE_035	カセキコレクター
casenote_ep4.asset
A4_EVIDENCE_MESSAGE_001	ポケモンの足跡
A4_EVIDENCE_MESSAGE_002	大きい足跡と小さい足跡\n２種類のポケモンの足跡があった\nそれぞれ　別々の方向へ歩いた跡がある
A4_EVIDENCE_MESSAGE_003	地面の焦げ跡
A4_EVIDENCE_MESSAGE_004	地面についている焦げ跡で\n大きいものと小さいもの　\nふたつの焦げ跡があった\n電気や　雷で　焦げたようだ
A4_EVIDENCE_MESSAGE_005	竹がきのキズ跡
A4_EVIDENCE_MESSAGE_006	竹がきに付いていた\n引っ掻いたようなキズ跡\nなにか重いものがぶつかったか\n爪のようなものが　当たったと見られる
A4_EVIDENCE_MESSAGE_007	折れた竹
A4_EVIDENCE_MESSAGE_008	数本まとめて　折られている竹\n断面の色から\n折れたのは今朝のことと思われる
A4_EVIDENCE_MESSAGE_009	ちからのねっこ
A4_EVIDENCE_MESSAGE_010	ポケモンの体力を回復する漢方薬
A4_EVIDENCE_MESSAGE_011	ばんのうごな
A4_EVIDENCE_MESSAGE_012	ポケモンの状態異常を治す漢方薬
A4_EVIDENCE_MESSAGE_013	ピザ
A4_EVIDENCE_MESSAGE_014	竹林で採れる食材でつくった\n栄養満点のピザ
A4_EVIDENCE_MESSAGE_015	氷
A4_EVIDENCE_MESSAGE_016	親方からもらった氷\nケガをしたときに　冷やすのに使える
A4_EVIDENCE_MESSAGE_017	大きな岩
A4_EVIDENCE_MESSAGE_018	坂道を潰してしまった大きな岩\n頑丈でこれ以上　崩れることはなさそう
A4_EVIDENCE_MESSAGE_019	倒れた竹
A4_EVIDENCE_MESSAGE_020	道をふさいでいる竹\nたくさん倒れていて　どけられそうにない\nまわりの地面には\nポケモンの足跡がついていた
A4_EVIDENCE_MESSAGE_021	ホルビーの穴
A4_EVIDENCE_MESSAGE_022	ホルビーが掘った穴\nかなり深く続いているが\nいったい　どこにつながっているのだろうか
A4_EVIDENCE_MESSAGE_023	コドラの赤い目
A4_EVIDENCE_MESSAGE_024	ふだんは水色のコドラの目が\n暴れだした時は赤くなっていた
A4_TESTIMONY_MESSAGE_001	カギを借りて竹林に入った
A4_TESTIMONY_MESSAGE_002	ピカチュウは\n町で門のカギを借りて　竹林に入ったらしい
A4_TESTIMONY_MESSAGE_003	竹林で父さんと出会った
A4_TESTIMONY_MESSAGE_004	ピカチュウと　父さんは\n竹林の中で　出会ったらしい
A4_TESTIMONY_MESSAGE_005	川をわたって竹林に入った
A4_TESTIMONY_MESSAGE_006	ピカチュウは別の場所から\n川をわたって　この竹林にやってきた
A4_TESTIMONY_MESSAGE_007	でんきわざでコドラと戦った
A4_TESTIMONY_MESSAGE_008	ピカチュウは　コドラと戦って\nでんきわざを使った\n昔のピカチュウなら\nわざを使って　戦えたのだろう
A4_TESTIMONY_MESSAGE_009	ヤンチャムを守っていた
A4_TESTIMONY_MESSAGE_010	ピカチュウは竹林を離れず\nケガをしたヤンチャムを\nずっと守っていたらしい
A4_TESTIMONY_MESSAGE_011	ヤンチャムに薬をあげた
A4_TESTIMONY_MESSAGE_012	ピカチュウは\n町や竹林で薬を集めて\nヤンチャムに持って行ったらしい
A4_TESTIMONY_MESSAGE_013	ヤンチャムのキズの具合を観察した
A4_TESTIMONY_MESSAGE_014	ピカチュウは\nヤンチャムが　どんなケガをしたのか\n観察をしたらしい
A4_TESTIMONY_MESSAGE_015	父さんを　いかくした
A4_TESTIMONY_MESSAGE_016	ピカチュウは　近づいてきた父さんを\n怪しいヤツと思って　いかくしたらしい
A4_TESTIMONY_MESSAGE_017	暴れポケモンを捜して岩を登った
A4_TESTIMONY_MESSAGE_018	ピカチュウは\n暴れポケモンを捜すため\n大きな岩を登って行ったらしい
A4_TESTIMONY_MESSAGE_019	父さんを追って岩を登った
A4_TESTIMONY_MESSAGE_020	ピカチュウは父さんを\n追いかけて\n大きな岩を登って行ったらしい
A4_TESTIMONY_MESSAGE_021	ヤンチャムを残して父さんを追いかけた
A4_TESTIMONY_MESSAGE_022	ピカチュウは\nヤンチャムを竹林に残して\n父さんを追いかけたらしい
A4_TESTIMONY_MESSAGE_023	ホーホーが逃げてきた
A4_TESTIMONY_MESSAGE_024	ピカチュウは逃げてきたホーホーの\nいた場所に　暴れポケモンがいると考え\nそこを目指した
A4_TESTIMONY_MESSAGE_025	シラをきられた
A4_TESTIMONY_MESSAGE_026	ピカチュウは\n犯人を説得しようとしたが\nシラをきられたらしい
A4_TESTIMONY_MESSAGE_027	言葉が通じない
A4_TESTIMONY_MESSAGE_028	ピカチュウは\n父さんに伝えようとしたが\n言葉が通じなかったそうだ
A4_TESTIMONY_MESSAGE_029	犯人の説得に失敗した
A4_TESTIMONY_MESSAGE_030	ピカチュウは\n犯人を説得しようとしたが\nダメだったらしい
A4_TESTIMONY_MESSAGE_031	コドラがおそいかかってきた
A4_TESTIMONY_MESSAGE_032	犯人が　説得を無視して　逃げ出した後\nコドラが暴れだして\nおそいかかってきたらしい
A4_TESTIMONY_MESSAGE_033	エレベーターが故障していた
A4_TESTIMONY_MESSAGE_034	資材置き場のエレベーターが故障していた\n親方に伝えてしまうと無理をしてでも\n直そうとしてしまうらしい
A4_TESTIMONY_MESSAGE_035	小さいポケモンたちのすもうを見た
A4_TESTIMONY_MESSAGE_036	ピザ屋の店長の話では\n竹林で小さいポケモンたちが\nすもうをとっていた
A4_TESTIMONY_MESSAGE_037	炭焼き場が荒らされていた
A4_TESTIMONY_MESSAGE_038	竹炭屋の親方の話では\n竹林にある炭焼き場が\n荒らされていたらしい
A4_TESTIMONY_MESSAGE_039	犯人の可能性
A4_TESTIMONY_MESSAGE_040	コドラの近くにいた\n怪しいふたり組の男が逃げるときに\nコドラが暴れだしたので\n犯人かもしれない
A4_TESTIMONY_MESSAGE_041	人間がやってきた
A4_TESTIMONY_MESSAGE_042	怪しい男たちはバンブーストリートの\n住人では　なさそうだ\n別の場所からやって来たと思われる
A4_WITNESS_MESSAGE_011	デカグース
A4_WITNESS_MESSAGE_013	キレイハナ
A4_WITNESS_MESSAGE_015	クワガノンのパートナー
A4_WITNESS_MESSAGE_017	ニャース　アローラのすがた
A4_WITNESS_MESSAGE_019	ホシガリス
A4_WITNESS_MESSAGE_021	クイズハカセ
A4_WITNESS_MESSAGE_023	ワンパチ
A4_WITNESS_MESSAGE_025	ミミッキュ
A4_WITNESS_MESSAGE_027	ドロンチ
A4_WITNESS_MESSAGE_029	コマタナ
A4_WITNESS_MESSAGE_031	ポケモン研究者
casenote_ep5.asset
A5_EVIDENCE_MESSAGE_001	食べものの包み紙
A5_EVIDENCE_MESSAGE_002	ダストダスがここでひろったゴミ\n比較的新しいもので　同じようなゴミが\nたびたび落ちているようだ
A5_EVIDENCE_MESSAGE_003	ガラスの破片
A5_EVIDENCE_MESSAGE_004	モンジャラのツタに\nからまっていたガラスの破片\n建物の中に入ったときについたらしい
A5_EVIDENCE_MESSAGE_005	ディグダの穴
A5_EVIDENCE_MESSAGE_006	ディグダは穴を掘って\n建物の中に入ったことがあるらしい
A5_EVIDENCE_MESSAGE_007	誰かのメモ
A5_EVIDENCE_MESSAGE_008	なにかを探して回収することや\n１Ｆの通路をコンクリートで\nふさぐことが指示されている
A5_EVIDENCE_MESSAGE_009	モンジャラの足跡
A5_EVIDENCE_MESSAGE_010	床に残っていたポケモンの足跡\nモンジャラが建物の中に入ったときの\nもののようだ
A5_EVIDENCE_MESSAGE_011	薬品の染み
A5_EVIDENCE_MESSAGE_012	机に残っていた薬品の染み\nかなり古いものらしく乾燥しきっている
A5_EVIDENCE_MESSAGE_013	食べもののゴミ
A5_EVIDENCE_MESSAGE_014	屋内に落ちていた食べものの包み紙\nダストダスがひろったものと\n同じもののようだ
A5_EVIDENCE_MESSAGE_015	内線表
A5_EVIDENCE_MESSAGE_016	施設内の別の部屋に\n内線がかけられるようだ\n隣の部屋の番号もある
A5_EVIDENCE_MESSAGE_017	ポケモン脱走時の対応
A5_EVIDENCE_MESSAGE_018	ユニタスのメンバーに向けた注意書き\nポケモンが脱走した場合\nすぐに対応に向かうように書かれている
A5_EVIDENCE_MESSAGE_019	緊急時のお知らせ
A5_EVIDENCE_MESSAGE_020	緊急時の対応が書かれた注意書き\n非常ベルが鳴ったら　すみやかに\n避難するようにと書かれている
A5_EVIDENCE_MESSAGE_021	キューブの取り扱いについて
A5_EVIDENCE_MESSAGE_022	キューブの取り扱いについて\n書かれた注意書き\n毎日　夜にメンテナンスが\n義務付けられているようだ
A5_EVIDENCE_MESSAGE_023	パスコードの場所
A5_EVIDENCE_MESSAGE_024	パスコードについて書かれた注意書き\nパスコードは毎月更新されており\n確認は待機室で行なうようだ
A5_EVIDENCE_MESSAGE_025	実験のレポート
A5_EVIDENCE_MESSAGE_026	なんらかの実験のレポート\nオーロラの雫と宇宙の関係について\n調べていたようだ
A5_EVIDENCE_MESSAGE_027	オーロラの雫の写真
A5_EVIDENCE_MESSAGE_028	ユニタスの机に置かれていた\nオーロラの雫の写真\nデニス邸から盗まれた宝石を\n写したもので間違いないようだ
A5_EVIDENCE_MESSAGE_029	事業計画書
A5_EVIDENCE_MESSAGE_030	色々な実験の費用の\n見積もりが書かれている\n多額の資金が必要な\n大規模な計画らしい
A5_EVIDENCE_MESSAGE_031	ヤミラミの写真
A5_EVIDENCE_MESSAGE_032	裏側に「宝石を食べるので注意」と\n書いてある
A5_EVIDENCE_MESSAGE_033	いんせきのエネルギー
A5_EVIDENCE_MESSAGE_034	いんせきのエネルギーに関するレポート\nエネルギー含有量の多い　いんせきを\n地下に運んで使うと書いてある
A5_EVIDENCE_MESSAGE_035	遺跡の資料
A5_EVIDENCE_MESSAGE_036	南の遺跡には　かつて\n大量の　いんせきが落ちたようだ
A5_EVIDENCE_MESSAGE_037	いんせきの硬度
A5_EVIDENCE_MESSAGE_038	遺跡で発見されたいんせきは\n非常に高い硬度を持っている
A5_EVIDENCE_MESSAGE_039	施設の老朽化
A5_EVIDENCE_MESSAGE_040	この施設は老朽化が進んでおり\nあちこち補修が\n必要になっているようだ
A5_EVIDENCE_MESSAGE_041	部下の査定
A5_EVIDENCE_MESSAGE_042	遺跡に派遣されたユニタスの査定書\n任務を成功させてプラス評価と\n書かれている
A5_EVIDENCE_MESSAGE_043	もろい床
A5_EVIDENCE_MESSAGE_044	ハリテヤマが\nチカラを込めて踏み続けたため\n床の一部がもろくなっている
A5_EVIDENCE_MESSAGE_045	ドリュウズ
A5_EVIDENCE_MESSAGE_046	ユニタスに捕まっていたポケモン\n穴を掘るのが得意
A5_EVIDENCE_MESSAGE_047	ハリテヤマ
A5_EVIDENCE_MESSAGE_048	保護室に捕まっていたポケモン\n床を踏んでヒビを入れてしまうほどの\n怪力の持ち主
A5_EVIDENCE_MESSAGE_049	パスコードロック
A5_EVIDENCE_MESSAGE_050	Ｂ４Ｆに下りる階段のパスコードは\nユニタスによって変更されてしまった
A5_EVIDENCE_MESSAGE_053	エレベーターのカードキー
A5_EVIDENCE_MESSAGE_054	エレベーターを使うには\nカードキーが必要だが\nユニタスは持っていないらしい
A5_EVIDENCE_MESSAGE_057	キューブ実験レポート
A5_EVIDENCE_MESSAGE_058	キューブの効果を\nさまざまなポケモンでためしていたようだ\nポケモンは管理リストと一致している
A5_EVIDENCE_MESSAGE_061	業務報告書
A5_EVIDENCE_MESSAGE_062	キューブの量産は完了した\nハワードＣＥＯに最終チェックを受けたら\nすぐ出荷されるらしい
A5_EVIDENCE_MESSAGE_063	報告書
A5_EVIDENCE_MESSAGE_064	バトラーが保護したポケモンは\nユニタスに送られていたことが\n書かれている
A5_EVIDENCE_MESSAGE_065	ボイスレコーダー
A5_EVIDENCE_MESSAGE_066	ボイスレコーダーの内容によれば\nマーロックさんはエマさんの研究データを\n必要としていたようだ
A5_EVIDENCE_MESSAGE_067	ハワードさんの計画書
A5_EVIDENCE_MESSAGE_068	ポケモンと人間が安全に暮らせる街を\n目指した　ハワードさんの計画書
A5_EVIDENCE_MESSAGE_069	バンブーストリートの地図
A5_EVIDENCE_MESSAGE_070	町の地図\n竹炭が有名なことやジェシカさんのピザ屋\nなども載っている
CharacterName.asset
PIKACHU	ピカチュウ
TIM	ティム
HARRY	ハリー
PIKACHUO	ピカチュウ
RACHEL	レイチェル
MEWTWO	ミュウツー
SOPHIA	ソフィア
IRENE	アイリーン
PABLO	パブロ
RUNPAPPA	ルンパッパ
HOLIDAY	ホリデイ
JESSICA	ジェシカ
HOWARD	ハワード
BUTLER	バトラー
MURDOCH	マーロック
MURDOCHD	マーロック
EMILIA	エミリア
NONAMEMURDOCH	？？？
GARDIE	ガーディ
GHIHIDARUMA	ヒヒダルマ
RENTORAR	レントラー
GORONDA	ゴロンダ
WOMANQUIZ	クイズハカセ
DODEKABASHI	ドデカバシ
LIVOLT01	ライボルト
LIVOLT02	ライボルト
UU	ウッウ
KOMATANA	コマタナ
MARACACCHI	マラカッチ
MAMEPATO01	マメパト
ONISUZUME	オニスズメ
NONAMEBUTLER	？？？
OHPOLICEWOMAN01	警察官
OKPOLICEMAN01	警察官
OAWOMAN02	おねえさん
OCMAN01	会社員
OHBUSINESSMAN01	おにいさん
OKPOLICEMAN02	警察官
OKBUSINESSMAN01	ボディガード
SECRETANASSY	？？？
SECRETKAJICCHU01	？？？
NOFACEANNOUNCE03	授章式アナウンス
TABUNNE	タブンネ
FREFUWAN	フレフワン
KAJICCHU01	カジッチュ
KAJICCHU02	カジッチュ
KAJICCHU03	カジッチュ
ANASSY	ナッシー
ARMORGA	アーマーガア
MAMEPATO02	マメパト
MAMEPATO03	マメパト
MAMEPATO04	マメパト
MAMEPATO05	マメパト
COIL	コイル
NATIO	ネイティオ
DENIS	デニス
BURNS	バーンズ
TURNER	ターナー
CLAUDIA	クラウディア
SECRETEMILIA	？？？
ELFUUN01	エルフーン
ELFUUN02	エルフーン
ELFUUN03	エルフーン
DREDEAR	ドレディア
YABUKURON	ヤブクロン
DHPOLICEMAN01	警察官
DCPOLICEWOMAN02	警察官
DAGIRL01	ハリテヤマのパートナー
DHGIRL01	マラカッチのパートナー
DAWOMAN01	アマージョのパートナー
DABUSINESSWOMAN01	会社員
DCBOY01	男の子
DKPOLICEMAN01	警察官
DAPOLICEWOMAN01	警察官
DHWOMANOLD01	おばあさん
DKMANOLD01	おじいさん
DAWOMANOLD01	おばあさん
DKBUSINESSWOMAN02	会社員
DABUSINESSMAN02	会社員
DHWOMAN02	店員
DXMAN01	おにいさん
DCWOMAN01	おねえさん
DABOY01	男の子
DCWOMANMID01	お母さん
DCMAN01	おにいさん
DKWOMANMID01	ヨーテリーのパートナー
DKBOY01	サッカー少年
KOARUHIE	コアルヒー
KONGPANG	コンパン
MIRUHOG	ミルホッグ
PIXY	ピクシー
KOIKING01	コイキング
KOIKING02	コイキング
KOIKING03	コイキング
KOIKING04	コイキング
KOIKING05	コイキング
MAAIIKA	マーイーカ
TAIRETSU	タイレーツ
USOKKIE	ウソッキー
RABBIFUTO	ラビフット
BERORINGA	ベロリンガ
CHORONEKO	チョロネコ
MAHOMIL	マホミル
YORTERRIE	ヨーテリー
ABULY01	アブリー
ABULY02	アブリー
ABURIBBON	アブリボン
AMAJO	アマージョ
BANEBOO	バネブー
ONIDRILL	オニドリル
TSUTARJA	ツタージャ
AMAKAJI	アマカジ
SECRETBURNS	？？？
SECRETKOMATANA	？？？
NONAMEJESSICA	？？？
NONAMEDENIS	？？？
