A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A5_4650_SECRETGIARU_100_2000	ギギー……
A5_4650_PIKACHU_100_2000	どうだ　ティム？\nこうぐを　つかって\nポケモンを　たすけられるか？
A5_4650_TIM_100_1000	なんとか　してあげたいね\nほうほうを　かんがえてみるよ
A5_4650_SEL_0_1000	バーナー
A5_4650_SEL_0_2000	オイル
A5_4650_SEL_0_3000	ドライバー
A5_4650_TIM_300_1000	バーナーで　ひを　つけて\nきんぞくを　とかせば\nうごけるように　なると　おもう
A5_4650_RACHEL_300_1000	ちょっと　まって！\nなかの　ポケモンが　やけどしちゃうよ！
A5_4650_PIKACHU_300_1000	オレも　どういけんだ\nあぶない　ほうほうは　やめておこう
A5_4650_TIM_300_2000	たしかに　そうだね……\nべつの　ほうほうを　かんがえるよ
A5_4650_TIM_400_1000	この　オイルを　つかえば\nたすけられるかも　しれない
A5_4650_PIKACHU_400_1000	なるほど！\nオイルで　すべらせるんだな！
A5_4650_SECRETGIARU_400_1000	ギギ？
A5_4650_TIM_400_2000	ごめんね\nオイルを　ここに　ぬるよ
A5_4650_PIKACHU_400_2000	……よし\nこれで　すべりやすくなったはずだ
A5_4650_PIKACHU_400_3000	どうだ？　でられそうか？
A5_4650_SECRETGIARU_400_2000	ギギー！
A5_4650_TIM_500_1000	ドライバーを　ねじこんで\nポケモンを　うごかせないかな？
A5_4650_PIKACHU_500_1000	すきまから　さしこむのか？\nうまく　うごくと　いいが……
A5_4650_TIM_500_2000	やってみるよ\nふんっ……
A5_4650_SECRETGIARU_500_1000	ギー？
A5_4650_TIM_500_3000	……ダメだ\nチカラを　いれても\nひっかかって　うごかせない
A5_4650_PIKACHU_500_2000	ひっかかっている　ぶぶんを\nべつの　ほうほうで\nなんとかしないと　いけないな
A5_4670_TIM_100_1000	なかに　いたのは\nギアル　だったんだね
A5_4670_GIARU_100_1000	ギーギッ！
A5_4670_PIKACHU_100_1000	だしてくれて　ありがとう　って？\nなあに　きにするな
A5_4670_PIKACHU_100_2000	さっそくで　わるいが　すこし　はなしを\nきかせてもらえるか　ギアル？
A5_4670_GIARU_100_2000	ギギッ
A5_4670_PIKACHU_200_1000	ちょっといいか　ギアル？
A5_4670_GIARU_200_1000	ギギッ
A5_4670_SEL_0_1000	ギアルに　ついて
A5_4670_SEL_0_2000	ユニタスに　ついて
A5_4670_SEL_0_3000	カードキーに　ついて
A5_4670_GIARU_300_1000	ギギー
A5_4670_PIKACHU_300_1000	せまいところが　すきなんだな
A5_4670_TIM_300_1000	だから　あんな　ところで　ねてたんだ
A5_4670_GIARU_300_2000	ギーギッ
A5_4670_PIKACHU_300_2000	きょうみたいに　でられなくなることは\nよく　あるんだと
A5_4670_PIKACHU_300_3000	そのたびに　パートナーに\nおこられるらしい
A5_4670_TIM_300_2000	こりないこ　なんだね
A5_4670_GIARU_300_3000	ギッギッ！
A5_4670_PIKACHU_400_1000	ギアルは　ここに　いる　にんげんたちと\nなかが　いいのか？
A5_4670_GIARU_400_1000	ギギッ
A5_4670_PIKACHU_400_2000	わかった　わかった\nパートナーとは　とくに\nなかが　いいんだな
A5_4670_GIARU_400_2000	ギーギッ……
A5_4670_PIKACHU_400_3000	でも　ここに　きてから\nパートナーの　げんきが　ない？
A5_4670_PIKACHU_400_4000	なにか　なやんでる　ようすだから\nしんぱいなのか
A5_4670_PIKACHU_400_5000	もしかしたら　ギアルのパートナーは\nキューブの　かいはつに\nぎもんを　かんじてたのかもな
A5_4670_TIM_400_1000	ギアルのパートナーは\nわるいひとじゃ　ないのかもね
A5_4670_PIKACHU_400_6000	ユニタスも\nわるいヤツ　ばかりじゃ　\nないのかもしれんな
A5_4670_PIKACHU_500_1000	ドアを　あける\nカードキーの　ばしょを　しらないか？
A5_4670_GIARU_500_1000	ギギッ？
A5_4670_PIKACHU_500_2000	ドアを　あける　どうぐなら\nいつも　パートナーが　もちあるいてる　か
A5_4670_PIKACHU_500_3000	どこかに　おなじものが　おいてないか？
A5_4670_GIARU_500_2000	ギギッ
A5_4670_PIKACHU_500_4000	ここの　けんきゅういんは　カードキーを\nはだみ　はなさず　もちあるいてるのか
A5_4670_TIM_500_1000	これは　さがすのに　くろうしそうだね
A5_4675_RACHEL_100_1000	ギアルが　たすかって　よかったね
A5_4675_TIM_100_1000	うん　ぶじで　あんしんしたよ
A5_4675_PIKACHU_100_1000	なあ　ティム\nこの　ギアルの　かたち\nアレに　にてないか？
A5_4675_TIM_100_2000	アレって……\nもしかして　ちゅうおうの　ドアの……
A5_4675_PIKACHU_100_2000	ああ　それだ！\nいってみよう
A5_4680_TIM_100_1000	ギアルは　たすけだせたけど\nなかは　オイルまみれに　なっちゃったね
A5_4680_PIKACHU_100_1000	ギアルのパートナーには\nわるいことを　しちまったな
A5_4680_PIKACHU_100_2000	ギアルを　たすける　ためだったんだ\nゆるしてくれよ　ギアルのパートナー
A5_4685_TIM_100_1000	このドアは　うごかないね
A5_4685_PIKACHU_100_1000	さきに　たりない　ギアを\nなんとか　しないとな
A5_4690_PIKACHU_100_1000	どうだ　ティム？\nかけている　ギアの　おおきさは？
A5_4690_TIM_100_1000	……この　おおきさ\nギアルが　ぴったり　はまると　おもう！
A5_4690_PIKACHU_100_2000	よし　ギアルを　よんでくる\nまってろ
A5_4690_PIKACHU_100_3000	……と　いうわけなんだが\nどうだ　ギアル？
A5_4690_GIARU_100_1000	ギーギー！
A5_4690_PIKACHU_100_4000	まかせて　か！\nよし　たのんだぞ　ギアル！
A5_4695_TIM_100_1000	やった！\nドアがうごいたよ！
A5_4695_PIKACHU_100_1000	ありがとな　ギアル\nおかげで　なかに　はいれる
A5_4695_GIARU_100_1000	ギーギッ！
A5_4695_PIKACHU_100_2000	そうか\nおまえは　パートナーの\nところに　いくのか
A5_4695_GIARU_100_2000	ギギッ？
A5_4695_PIKACHU_100_3000	パートナーは　どこにいるのかって？\nそれは　ちょっと　わからないが……
A5_4695_TIM_100_2000	もしかしたら　うえのかいに　いるのかも？\nユニタスは　ウッウをさがしてるから……
A5_4695_GIARU_100_3000	ギギッ
A5_4695_PIKACHU_100_4000	うえのかいに　いくなら　てんじょうのあなを\nとおっていくといい
A5_4695_GIARU_100_4000	ギーギッ！
A5_4695_PIKACHU_100_5000	なに　こっちこそ　たすかったさ\nまたな　ギアル！
A5_4695_TIM_100_3000	……ギアル\nパートナーに　あえると　いいね
A5_4695_PIKACHU_100_6000	ああ　そうだな
A5_4695_PIKACHU_100_7000	……さて　オレたちは\nこの　へやの　なかを　しらべないとな
A5_4695_TIM_100_4000	マーロックさんが\nなんの　けんきゅうを　しているか\nわかると　いいね
A5_4695_PIKACHU_100_8000	さあ　なかに　はいろう
A5_4710_TIM_100_1000	ここが　マーロックさんの\nけんきゅうしつか
A5_4710_RACHEL_100_1000	ものが　あふれてる……\nこんな　じょうたいで\nけんきゅうなんて　できるの？
A5_4710_TIM_100_2000	たしかに……\nこの　へやを　しらべるのは\nたいへんそうだ
A5_4710_PIKACHU_100_1000	だが　ここには　きっと　ユニタスについて\nじゅうような　じょうほうが　ある
A5_4710_TIM_100_3000	そうだね\nそれに　カードキーも\nみつかると　いいんだけど……
A5_4720_RACHEL_100_1000	さっき　ティムが　みつけた\nボイスレコーダーの　ことだけど……
A5_4720_RACHEL_100_2000	パパは　わたしを　まもるために\nがんばっているのよね
A5_4720_TIM_100_1000	うん　そうみたいだね
A5_4720_RACHEL_100_3000	でも　そのために\nポケモンの　じゆうを　うばおうとしてる
A5_4720_RACHEL_100_4000	そんなことで\nわたしが　よろこぶわけ　ないって\nどうして　きづいて　くれないんだろう……
A5_4720_PIKACHU_100_1000	むすめを　かなしませるなんて\nちちおや　しっかくだ！\nといいたい　ところだが……
A5_4720_PIKACHU_100_2000	かなしませると　わかっていても\nむすめを　まもると\nきめたのかも　しれない……
A5_4720_TIM_100_2000	……さっきも　いったけど\nレイチェルの　きもちを\nちょくせつ　つたえるしかないよ
A5_4720_RACHEL_100_5000	……そうね
A5_4720_RACHEL_200_1000	パパは　まちがってるよ……
A5_4720_RACHEL_200_2000	なんとしても\nわたしたちの　てで　とめないと
A5_4730_PIKACHU_100_1000	そっちは　もう　しらべただろ
A5_4730_PIKACHU_100_2000	マーロックの　へやを　しらべるぞ
A5_4740_TIM_100_1000	なにかの　ちょうさしりょう　みたいだ
A5_4740_PIKACHU_100_1000	じが　きたなくて　よみにくいな……
A5_4740_PIKACHU_100_2000	ところどころに\nふせんが　はられてるようだが……
A5_4740_TIM_100_2000	ようてんだけでも　よみとれないかな
A5_4740_PIKACHU_200_1000	まだ　きになるところが　あるのか？
A5_4740_SEL_0_1000	いんせきエネルギーの　ちょうさ
A5_4740_SEL_0_2000	オーロラのしずく
A5_4740_TIM_300_1000	「いんせきのエネルギーを　いまよりも\nこうりつてきに　ちゅうしゅつする\nひつようが　ある」
A5_4740_TIM_300_2000	「オーロラのしずくを　より　かっせいか\nさせるために　じゅんどの　たかい\nエネルギーが　たいりょうに　ひつようだ」
A5_4740_PIKACHU_300_1000	Ｂ２Ｆにも　あった　いんせきに　かんする\nけんきゅうしりょうの　ようだな
A5_4740_TIM_300_3000	「せんじつの　じっけんで\nさいしゅうもくひょう　たっせいの\nみとおしは　たった」
A5_4740_TIM_300_4000	「あとは　おおくの　いんせきを\nあつめるように　じっこうグループに\nしじを　ださなくては」
A5_4740_PIKACHU_300_2000	いせきで　あった　あいつらは\nこの　マーロックの　しじを\nうけていたんだな
A5_4740_TIM_300_5000	さいしゅうもくひょうって\nなんなんだろう？\nこの　しりょうからは　よみとれなくて……
A5_4740_PIKACHU_300_3000	あいつらの　さいしゅうもくひょうか……\nたしかに　きになるな
A5_4740_TIM_400_1000	「いんせきエネルギーを\nオーロラのしずくに\nあてる　じっけんを　おこなった」
A5_4740_TIM_400_2000	「けっか　あきらかな\nかっせいかはんのうが　みられた\nじっけんは　せいこうだ」
A5_4740_TIM_400_3000	「だが　かっせいかが　おきたのは\nごく　いちぶに　すぎない」
A5_4740_TIM_400_4000	「この　かっせいかを\nオーロラのしずく　ぜんたいで\nひきおこす　ひつようが　ある」
A5_4740_TIM_400_5000	「こんごも　じっけんを\nかさねなければ……」
A5_4740_PIKACHU_400_1000	オーロラのしずくが　かっせいか　か\nやはり　ただの　ほうせきじゃ\nなさそうだな
A5_4750_PIKACHU_100_1000	いんせきのエネルギー……\nそれと　オーロラのしずく……
A5_4750_PIKACHU_100_2000	この　ふたつの　けんきゅうが　すすむと\nオーロラのしずくが\nかっせいか　するようだ
A5_4750_TIM_100_1000	でも　かっせいかしたら　どうなるのかは\nかかれていないね
A5_4750_TIM_100_2000	マーロックさんは　なんの　ために\nこの　けんきゅうを\nすすめているんだろう？
A5_4750_PIKACHU_100_3000	しりょうに　あった\nさいしゅうもくひょうが\nきになる　ところだな……
A5_4760_TIM_100_1000	はしりがきで　いろんな　じょうほうが\nかかれている
A5_4760_PIKACHU_100_1000	ひどい　じだな\nこれは　よみとくのに　くろうしそうだ
A5_4760_TIM_100_2000	ざっと　みた　かんじ\nふくすうの　じょうほうが　まとめてあるね
A5_4760_PIKACHU_100_2000	みおとしが　ないように\nじっくり　よんでいこう
A5_4760_PIKACHU_200_1000	まだ　なにか\nきになるところが　あるのか？
A5_4760_SEL_0_1000	キューブの　ふきゅうに　ついて
A5_4760_SEL_0_2000	バトラーの　つかいみち
A5_4760_SEL_0_3000	ピカチュウに　ついて
A5_4760_TIM_300_1000	なぐりがきの　メモが　ある
A5_4760_TIM_300_2000	「キューブを　よのなかに　ひろめるために\nポケモンの　きけんせいを　アピールする」
A5_4760_TIM_300_3000	「ゆうめいで　にんきの　ある　ポケモンが\nじつは　きけんだ　という\nニュースが　こうかてき」
A5_4760_TIM_300_4000	「たとえば……　たんていピカチュウ」
A5_4760_PIKACHU_300_1000	なるほど　そういうことか
A5_4760_PIKACHU_300_2000	オレは　ライムシティで\nゆうめいな　ポケモンだ
A5_4760_PIKACHU_300_3000	そんな　オレが　ヤドンぞうを　こわした！\nなんて　ニュースが　ひろまったら……
A5_4760_TIM_300_5000	まちの　ひとは\nふあんに　おもうだろうね
A5_4760_PIKACHU_300_4000	ああ\nキューブが　ひつようだ\nという　よろんも　たかまる
A5_4760_TIM_300_6000	ニュースに　なるまえに\nむじつを　しょうめいできて　よかったね
A5_4760_PIKACHU_300_5000	そうだな\nだが　きになるな……
A5_4760_PIKACHU_300_6000	オレを　つかまえた　りゆうは\nほんとうに　それだけなのか？
A5_4760_PIKACHU_400_1000	このあたりの　もじも　きたないな……\nティム　よめるか？
A5_4760_TIM_400_1000	ええと……\n「バトラーについて　もんだいなし」
A5_4760_TIM_400_2000	「ほごきょくで\nトラブルが　おきたとしても\nせきにんは　すべて　バトラーのものだ」
A5_4760_PIKACHU_400_2000	バトラー……？\nポケモンほごきょくの　バトラーか
A5_4760_TIM_400_3000	バトラーも　マーロックさんと\nかかわっていたんだね
A5_4760_TIM_500_1000	このあたりは　ピカチュウのことに　ついて\nかかれている　みたいだ
A5_4760_PIKACHU_500_1000	ずいぶん　いきおいの　ある\nせんで　かいてあるな
A5_4760_TIM_500_2000	「たんていピカチュウ　だい１だんかい\nじっさいに　あって\nけいそく　すること！」
A5_4760_TIM_500_3000	「たんていピカチュウ　だい２だんかい\nほごきょくで　けんたいを\nゲットすること！」
A5_4760_TIM_500_4000	「たんていピカチュウ　だい３だんかい\nけんたいから　エネルギーを\nちゅうしゅつ　すること！」
A5_4760_PIKACHU_500_2000	ほごきょくで　けんたいを……？\nオレが　つかまっていたときの　はなしか
A5_4760_PIKACHU_500_3000	キューブで　きを　うしなったときに\nなにか　されたのかも　しれないな
A5_4760_TIM_500_5000	ごそうは　ふせげたけど\nそれでも　マーロックさんの　けいかくは\nすすんでいる……
A5_4770_TIM_100_1000	ホワイトボードに　かかれていたのは\nピカチュウが　けいさつに\nほごされたときの　はなしだね
A5_4770_PIKACHU_100_1000	ああ　そうだな
A5_4770_PIKACHU_100_2000	ユニタスは　オレを　つかまえることで\nポケモンの　きけんせいを\nアピールしようとした
A5_4770_TIM_100_2000	ピカチュウから　エネルギーを\nちゅうしゅつって　どういうこと？
A5_4770_PIKACHU_100_3000	さあな……
A5_4770_TIM_100_3000	さっき　よんだ　しょるいの　なかには\nとうさんの　からだの\nエネルギーの　はなしも　あったよね
A5_4770_PIKACHU_100_4000	あちこちから　エネルギーを　とりだして\nマーロックは　なにに　つかうつもりだ？
A5_4780_PIKACHU_100_1000	ボイスレコーダーが　あるな
A5_4780_TIM_100_1000	いくつかの　トラックに\nわかれてる　みたいだね
A5_4780_PIKACHU_100_2000	どっちから　きくか
A5_4780_PIKACHU_200_1000	どの　トラックを　きく？
A5_4780_SEL_0_1000	プロジェクトについて
A5_4780_SEL_0_2000	キューブについて
A5_4780_TIM_300_1000	プロジェクトについて　という\nタイトルの　トラックが　ある
A5_4780_PIKACHU_300_1000	さいせいして　ないようを　きいてみようぜ
A5_4780_TIM_400_1000	キューブについて　という\nタイトルの　トラックが　ある
A5_4780_PIKACHU_400_1000	ないようを　きいてみようぜ
A5_4795_TIM_100_1000	ハワードさんに　けんきゅうさいかいの\nはなしを　もちかけたのは\nマーロックさん……
A5_4795_PIKACHU_100_1000	あいつは　さいしょから\nこの　じけんに　かかわってやがったのか
A5_4805_RACHEL_100_1000	ポケモンに　ふくさようが　あるのに\nパパは　けいかくを　とめなかったんだ……
A5_4805_TIM_100_1000	でも　ハワードさんは\nポケモンを　しんぱいする\nやさしい　きもちも　もっている
A5_4805_TIM_100_2000	……マーロックさんは　ちがう\nこの　おんせいを　きいて\nそう　おもったよ
A5_4810_PIKACHU_100_1000	マーロックのヤツ　いけすかないとは\nおもっていたが　ここまでとはな
A5_4810_TIM_100_1000	ポケモンを　キズつけるような\nけんきゅうを　せっきょくてきに\nすすめてる……
A5_4810_TIM_100_2000	なんとしても　とめないとね
A5_4830_TIM_100_1000	このおくにも　へやが　あるんだ……\nん……？
A5_4830_PIKACHU_100_1000	おい　どうした　ティム？\nなにが　みえるんだ？
A5_4830_TIM_100_2000	あれは……\nとうさんと　ピカチュウの　しゃしん……？
A5_4841_PIKACHU_100_1000	この　おくの　へやは\nマップには　かかれていなかった
A5_4841_TIM_100_1000	マーロックさんが　ひみつに　していたって\nことなのかな
A5_4841_PIKACHU_100_2000	その　かのうせいが　たかい\nへやの　なかを　じっくり\nしらべてみたいな
A5_4850_PIKACHU_100_1000	ここの　ドアは\nパスコードで　ロックされてるな
A5_4850_TIM_100_1000	どこかで　ばんごうを　さがさないとね
A5_4855_PIKACHU_100_1000	ここに　ドアの　パスコードを\nにゅうりょく　できるようだが……
A5_4855_TIM_100_1000	どこかで　ばんごうを　さがさないとね
A5_4860_TIM_100_1000	このへやを　ひととおり　さがしたけど……
A5_4860_TIM_100_2000	ドアの　ロックを　かいじょする\nパスコードが　みあたらないね
A5_4860_PIKACHU_100_1000	おくの　へやの　ホワイトボードに\nかいてあった　すうじは　どうだ？
A5_4860_PIKACHU_100_2000	ためしてみる　かちは　ありそうだが……
A5_4865_TIM_100_1000	このドアは　ロックされてるけど……
A5_4865_PIKACHU_100_1000	ティムが　みた　すうじを\nにゅうりょく　してみたら　どうだ？
A5_4870_PIKACHU_100_1000	おくの　へやの　ホワイトボードに\nかいてあった　すうじは　おぼえてるか？
A5_4870_TIM_100_1000	「２００１２２」\n「１７０６０８」だったね
A5_4870_PIKACHU_100_2000	どっちが　あたりか　わからんし\nそもそも　パスコードなのかも　わからんが
A5_4870_PIKACHU_100_3000	ダメで　もともとだ　ためしてみよう
A5_4890_PIKACHU_100_1000	あたりだな！\nドアが　ひらいた！
A5_4890_TIM_100_1000	これで　おくの　へやを　しらべられるね
A5_4900_TIM_100_1000	ここも　マーロックさんの\nけんきゅうしつ　なのかな
A5_4900_PIKACHU_100_1000	たぶん　そうなんだろうが……\nなんだ　この　へやは……？
A5_4900_TIM_100_2000	ピカチュウの　しゃしんに\nふくざつな　じっけんそうち……
A5_4900_RACHEL_100_1000	ほかの　へやとは\nだいぶ　ふんいきが　ちがうね
A5_4900_PIKACHU_100_2000	どうも　きになるな
A5_4900_PIKACHU_100_3000	ティム　じっくり　しらべるぞ
A5_4910_RACHEL_100_1000	ほかの　へやとは　ふんいきが　ちがう……\nいったい　どんな　じっけんを\nしてたんだろう
A5_4910_TIM_100_1000	しらべてみないとね
A5_4910_RACHEL_200_1000	マーロックは　どんな　じっけんを\nしてたんだろう
A5_4920_PIKACHU_100_1000	ちょっと　まて　ティム\nまだ　やることが　のこってるだろ
A5_4920_TIM_100_1000	そうだね
A5_4930_TIM_100_1000	……やっぱり　ピカチュウたちの\nしゃしんで　まちがいない　みたいだね
A5_4930_PIKACHU_100_1000	いったい　どういうことなんだ？\nほかにも　なにかないか　しらべてみよう
A5_4930_PIKACHU_200_1000	まだ　きになるところが　あるのか？
A5_4930_SEL_0_1000	ハリーと　ピカチュウの\nしゃしん
A5_4930_SEL_0_2000	かきなぐられた　もじ
A5_4930_SEL_0_3000	すうじの　れつ
A5_4930_PIKACHU_300_1000	しかし　マーロックの　やろう\nきみが　わるいぜ
A5_4930_PIKACHU_300_2000	オレと　ピカチュウの　しゃしんを\nかざってやがる
A5_4930_TIM_300_1000	うん　そして\nとうさんの　からだを　うばって\nこのたてものの　どこかに　ほかんしている
A5_4930_PIKACHU_300_3000	オレ　つまり　ハリーの　しゃしんと\nピカチュウの　しゃしんが\nならんでるって　ことは……
A5_4930_PIKACHU_300_4000	マーロックは　もしかしたら\nすでに　つきとめているのかも　しれない
A5_4930_TIM_300_1500	なにを？
A5_4930_PIKACHU_300_5000	オレの　いしきが\nピカチュウの　からだの　なかに\nあるってことだ
A5_4930_TIM_300_2000	まさか……
A5_4930_PIKACHU_300_6000	そうでもないと　しつこく　オレを\nねらう　りゆうが　わからないだろう
A5_4930_TIM_400_1000	もじが　かきなぐられていて\nほとんど　よめない
A5_4930_TIM_400_2000	「いんせき」「オーロラのしずく」\n「にんげん」……
A5_4930_TIM_400_3000	よみとれることばは　この３つくらいだよ
A5_4930_PIKACHU_400_1000	いんせきのエネルギーは\nよほど　じゅうような　ものの　ようだな
A5_4930_TIM_500_1000	「２００１２２」\n「１７０６０８」……
A5_4930_PIKACHU_500_1000	ドアの　パスコードを\nでかでかと　かいて\nぶようじんな　ヤツだな
A5_4930_TIM_500_2000	まだ　つかってない\nすうじが　あるのが　きになるよ
A5_4930_PIKACHU_500_2000	そっちも　パスコードなのかも　しれないが\nなんとも　いえないな
A5_4935_TIM_100_1000	もし　マーロックさんが　ピカチュウの\nしょうたいに　きづいていたとして……
A5_4935_TIM_100_2000	……ピカチュウを　つかまえたあと\nいったい　なにを　するつもりなんだろう
A5_4935_PIKACHU_100_1000	それは　オレにも　わからない
A5_4935_PIKACHU_100_2000	Ｂ５Ｆの　オレの……\nいや　ハリーの　からだを　さがそう
A5_4935_PIKACHU_100_3000	からだを　しらべれば\nわかるかも　しれないからな
A5_4940_TIM_100_1000	なにかの　じっけんを\nおこなう　そうち　みたいだね
A5_4940_PIKACHU_100_1000	ふたつの　ぶっしつを\nまぜあわせていたようだ
A5_4940_PIKACHU_100_2000	これだけじゃ　なんの　じっけんを\nしていたのか　までは　わからないな
A5_4940_TIM_200_1000	なんの　そうち　なんだろう？
A5_4940_PIKACHU_200_1000	さっぱり　わからんな
A5_4960_PIKACHU_100_1000	この　けんきゅうしつは　どうも　きになる\nじっくり　しらべるぞ　ティム
A5_4960_TIM_100_1000	うん　わかったよ
A5_4960_PIKACHU_200_1000	みおとしが　ないように\nしっかり　しらべるぞ　ティム
A5_4970_PIKACHU_100_1000	さあて　どこから　しらべる？
A5_4970_PIKACHU_200_1000	しらべわすれているところは　ないか？
A5_4980_PIKACHU_5000_1000	おい　ティム\nまだ　しらべわすれてるものが　あるぞ
A5_4990_TIM_100_1000	ふくざつな　けいさんしきが\nきたない　じで\nかみ　いっぱいに　かかれている
A5_4990_PIKACHU_100_1000	これじゃあ　なにが　かかれてるのか\nさっぱり　わからないな……
A5_5000_TIM_100_1000	これは　ハワードさんが　かいた\nしょるい　みたいだ
A5_5000_TIM_100_2000	タイトルは……\n「ライムシティ\nきょうせいとし　けいかくしょ」
A5_5000_PIKACHU_100_1000	「きみつしょるい」とも　かかれているな
A5_5000_TIM_100_3000	<color=#F39800FF>ないようは　キューブを　まちに\nふきゅうさせる　スケジュールのこと\nみたいだ</color>
A5_5000_TIM_100_4000	ポケモンゆうこうしゅうかんの\nさいしゅうびの　スピーチで\nキューブのことを　はっぴょうする　って
A5_5000_PIKACHU_100_2000	ニュースで　いっていた\nゆめのデバイス……\nやはり　キューブのこと　みたいだな
A5_5000_TIM_100_5000	スピーチの　げんこうも　ある\nよんでみるね
A5_5000_TIM_100_6000	「あらためて　しみんの　みなさんに\nもうしあげます」
A5_5000_TIM_100_7000	「ライムシティは　にんげんと　ポケモンが\nあんぜんに　くらせる　まちを\nめざしています」
A5_5000_TIM_100_8000	「２ねんまえの　Ｒじけんは\nみなさんにとっても\nそして　わたしにとっても……」
A5_5000_TIM_100_9000	「ひじょうに\nつらい　おもいでと　なりました」
A5_5000_TIM_100_10000	「しかし　ライムシティは\nあゆみを　とめません」
A5_5000_TIM_100_11000	「にんげんと　ポケモンの　きょうせい」
A5_5000_TIM_100_12000	「それを　じつげんするための\nすばらしい　デバイス！」
A5_5000_TIM_100_13000	「この　ポケモンゆうこうしゅうかんの\nさいしゅうびに　ライムシティの\nみなさんに　ごしょうかいします」
A5_5000_TIM_100_14000	「これが　ゆうこうキューブです！」
A5_5000_RACHEL_100_1000	パパ……
A5_5000_PIKACHU_100_3000	なあ　この　ゆうこうキューブって\nコントロールキューブのこと　だよな？
A5_5000_TIM_100_15000	そうだね　ポケモンを　あやつる\nキューブを　まちに\nひろめようとしている……！
A5_5000_PIKACHU_100_4000	こんなスピーチ　よていどおりに\nやらせるわけには　いかないな
A5_5010_TIM_100_1000	<color=#F39800FF>この　ボイスレコーダーも\nマーロックさんの　ものかな？</color>
A5_5010_PIKACHU_100_1000	じゅうような　じょうほうが\nあるかも　しれないな\nあとで　きいてみようぜ
A5_5030_TIM_100_1000	なにかの　じっけんレポートみたいだ
A5_5030_PIKACHU_100_1000	よんでみてくれ　ティム
A5_5030_TIM_100_2000	「こんかいの　じっけんも\nしっぱいだった」
A5_5030_TIM_100_3000	「ふたつを　ひとつに　するためには\nエネルギーの　バランスが　\nじゅうように　なってくる」
A5_5030_TIM_100_4000	「おおすぎても　すくなすぎても\nしっぱいする」
A5_5030_TIM_100_5000	「ちょうせいは　とても　むずかしいが\nやるしかない」
A5_5030_TIM_100_6000	「だいじょうぶだ\nわたしなら　できる……\nふたつを　ひとつに　してみせる……！」
A5_5030_PIKACHU_100_2000	ふたつを　ひとつに……\nなにかを　かけあわせる　じっけんか？
A5_5030_TIM_100_7000	「エネルギーの　バランスが　じゅうよう」\nってところに　せんを　ひいて\nきょうちょうしているね
A5_5040_TIM_100_1000	「ゆうごうそうちの　ていしほうほう」\nという　タイトルの　しょるいだ
A5_5040_PIKACHU_100_1000	ゆうごうそうち……？\nいったい　どんな　そうちなんだ？
A5_5040_TIM_100_2000	それは　わからないや\nていしほうほうしか　かかれてないよ
A5_5040_TIM_100_3000	「きんきゅうていし　するときは\nでんりょく　きょうきゅうケーブルを\nはずすこと！」
A5_5040_PIKACHU_100_2000	……それだけか？
A5_5040_TIM_100_4000	うん　それだけ\nいそいで　かかれたような　きたない　じで
A5_5040_PIKACHU_100_3000	しょるい　というより　メモみたいだな
A5_5060_PIKACHU_100_1000	これいじょう\nしらべられるところは　なさそうだな
A5_5061_PIKACHU_100_1000	これいじょう　きになるところは　ないな
A5_5070_TIM_100_1000	この　ボイスレコーダー\nないようを　きいてみたほうが　いいよね
A5_5070_PIKACHU_100_1000	ああ　そうだな
A5_5070_TIM_100_2000	トラックが　３つに　わかれてる\nどれを　きいてみようか？
A5_5070_PIKACHU_200_1000	どの　トラックを　きく？
A5_5070_SEL_0_1000	あたらしいけんきゅうに　ついて
A5_5070_SEL_0_2000	データを　ゲットした！
A5_5070_SEL_0_3000	ぜんしんした！
A5_5070_TIM_300_1000	あたらしいけんきゅうに　ついて\nという　タイトルの　トラックが　ある
A5_5070_PIKACHU_300_1000	きいてみようぜ　ティム
A5_5070_TIM_300_2000	うん　さいせいするよ
A5_5070_TIM_400_1000	データを　ゲットした！\nという　タイトルの　トラックが　ある
A5_5070_PIKACHU_400_1000	さいせい　してみようぜ
A5_5070_TIM_500_1000	ぜんしんした！\nという　タイトルの　トラックが　ある
A5_5070_PIKACHU_500_1000	ないようを　きいてみるか
A5_5085_PIKACHU_100_1000	あたらしい　けんきゅうの　ために\nジェシカを　おそって\nエマの　けんきゅうデータを　うばったのか
A5_5085_RACHEL_100_1000	ひどい……
A5_5095_TIM_100_1000	せいしんを　つなぐ\nシミュレーション……？
A5_5095_PIKACHU_100_1000	マーロックの　ねらいは\nろくなことじゃ　なさそうだな
A5_5105_RACHEL_100_1000	ママの　けんきゅうを\nかってに　りようして……\nどういう　しんけい　してるの？
A5_5105_PIKACHU_100_1000	まったくだな
A5_5105_TIM_100_1000	マーロックさんは　キューブよりも\nひどいものを　つくろうとしてる……
A5_5105_PIKACHU_100_2000	なんとしても　とめないと　いけないな
A5_5110_TIM_100_1000	おんせいを　きいてみたけど\nぜんたいてきに　マーロックさんの\nようすは　ふつうじゃなかった
A5_5110_PIKACHU_100_1000	ああ　じぶんの　やぼうの\nじつげんに　ちかづいて\nこうふんしてる　ようすだったな
A5_5110_PIKACHU_100_2000	キューブが　おもちゃ　どうぜんと\nいえるような　やぼう……
