AbilityList.msbt
$TownAbilityListAttackText	攻擊力
Msg_TownSupportTalk_Common3_00	{[1402]}{[1904|03cd]}野獸軍團抓走瓦豆魯迪們\n到底想要做什麼呢……？{[0004]}我第一次遇到瓦豆魯迪們的時候，\n野獸軍團也正在追捕他們。{[0004]}他們才因此選擇遠離地盤，\n來到遙遠的這裡建造小鎮生活，\n不過還是馬上就被找到了……{[0004]}所以卡比來到這裡，\n真的幫了我們很大的忙～！
Msg_TownSupportTalk_Common3_01	{[1905|05cd]}瓦豆魯迪們真的\n都很心靈手巧呢！\n這樣一座小鎮居然沒多久就蓋好了。
Msg_TownSupportTalk_Common3_02	{[1904|04cd]}卡比，我聽瓦豆魯迪們說，\n你和他們都是從同一個地方來的，對吧？\n那你和瓦豆魯迪間是什麼關係呢？{[0004]}{[1403]}{[1908|00cd]}…………{[0004]}咦～{[0004]}{[1404]}哈哈哈……\n這還真是令人意外耶……{[0004]}不過，感覺你們之間的關係很有趣呢！
Msg_TownSupportTalk_PresentCode1_00	{[1905|02cd]}卡比，這裡也寫著禮物關鍵詞喔。\n{color[ff4d2fff]}『{[031f]}』\n{color[000000ff]}是不是瓦豆魯迪們想要表達感謝的心意呢？
Msg_TownSupportTalk_PresentCode2_00	{[1905|00cd]}宣傳手冊上好像寫著什麼耶。\n{color[ff4d2fff]}『{[031f]}』{color[000000ff]}\n看來這是隱藏的禮物關鍵詞呢。
Msg_TownSupportTalk_PresentCode3_00	{[1905|01cd]}牆壁上好像寫著什麼耶。\n我看看……上面寫著{color[ff4d2fff]}『{[031f]}』{color[000000ff]}！\n看來這是隱藏的禮物關鍵詞呢。
Msg_TownSupportTalk_PresentCode4_00	{[1905|03cd]}這裡好像寫著什麼耶。\n{color[ff4d2fff]}『{[031f]}』{color[000000ff]}\n看來這是隱藏的禮物關鍵詞呢。
Msg_TownSupportTalk_PresentCode5_00	{[1905|04cd]}這個地方好像寫著什麼耶。\n{color[ff4d2fff]}『{[031f]}』{color[000000ff]}\n看來這是隱藏的禮物關鍵詞呢。
Msg_TownSupportTalk_PresentCode6_00	{[1905|05cd]}你知道長期遭到襲擊的小鎮\n為什麼能夠重獲和平嗎？{[0004]}當然有一部份是因為\n卡比來到這裡幫助了我們……{[0004]}不過我聽瓦豆魯迪們說，\n這其實是因為魅塔騎士\n一直在保護著小鎮喔！{[0004]}他現在也依然在那個地方\n守護著小鎮呢～！{[0004]}{[1401]}{[1900|00cd]}魅塔騎士又酷又強大，\n真的很帥氣對吧！
Msg_TownSupportTalk_PresentCode6_01	{[1905|01cd]}這裡的牆壁上好像寫著什麼耶。\n{color[ff4d2fff]}『{[031f]}』{color[000000ff]}\n看來這是隱藏的禮物關鍵詞呢。
Msg_TownSupportTalk_Common2_00	{[1905|05cd]}卡比，你知道嗎？\n只要達成不得了的事蹟，裝飾在房間牆壁上\n作為紀念的{color[ff4d2fff]}特別的照片{color[000000ff]}就會增加喔。
Msg_TownSupportTalk_Common2_01	{[1909|02cd]}我跟你說，卡比。\n那是動物們一起來玩的時候\n所拍攝的照片喔！{[0004]}今後我們也多多創造難忘的回憶，\n讓房間的牆壁上裝飾著滿滿的照片吧！
Msg_TownSupportTalk_Common2_02	{[1402]}{[1902|00cd]}聽到獅王加爾夫失蹤的時候，\n我還想說該怎麼辦才好呢……{[0004]}能夠將他平安無事地救出來，\n真是太好了對吧？卡比！{[0004]}{[1401]}{[1900|02cd]}希望今後也能和大家一起\n創造更多難忘的回憶！
Msg_TownSupportTalk_Common2_03	{[1907|01cd]}如果想將模型裝飾在卡比小屋，\n只要先按下{color[ff4d2fff]}{[0412|9500]}{color[000000ff]}打開收藏，{[0004]}接著選擇喜歡的模型，\n再按下{color[ff4d2fff]}{[0411|9400]}{color[000000ff]}就能進行擺放囉！
Msg_TownSupportTalk_Common2_04	{[1900|02cd]}卡比，只要在床上午睡，\n體力就會回復喔。
Msg_TownSupportTalk_Common2_05_01	{[1401]}{[1900|03cd]}卡比，謝謝你常常來找我說話。\n我很開心喔！ {[0004]}那我們就來聊聊\n卡比來到這個世界前的事吧？{[0004]}以前這個世界的動物們\n就跟現在一樣相處得很好！{[0004]}雖然有時候也會吵架，\n發生各式各樣的事情就是了……
Msg_TownSupportTalk_Common2_05_02	以前大家都會互相分享食物，\n為了度過每一天而努力。 {[0004]}然而，獅王加爾夫卻在某一天\n突然變成了可怕的領袖……{[0004]}從那之後，\n大家也都變得非常凶暴。 {[0004]}我因為覺得害怕，\n所以躲了很長一段時間……\n也是這時候才陸續有瓦豆魯迪迷路到這個世界。
Msg_TownSupportTalk_Common2_05_03	跟正感到煩惱的瓦豆魯迪商量過後，\n我們就開始在安全的草原上建造小鎮了。{[0004]}可是，就在我們最初建造的那座小鎮\n逐漸有模有樣的時候，那些變成凶暴\n野獸軍團的動物們卻開始襲擊小鎮！{[0004]}雖然大家一起努力反抗過，\n但小鎮最後還是遭到了破壞，大家也被擄走了……{[0004]}也是在這個時候……\n卡比你來到了這裡！
Msg_TownSupportTalk_Common2_05_04	謝謝你那時候出手相救！\n能夠遇見你，我真的覺得非常開心喔。 {[0004]}真希望能夠跟你一起\n再次前往新世界冒險呢！{[0004]}殘留在我身上的跨越空間之力\n雖然已經所剩無幾了，\n但還是隨時都能回到波普之星的！{[0004]}所以說……\n{[1401]}{[1907|01cd]}今後也請多多關照囉！星之卡比！
Msg_TownSupportTalk_StreetLive_00	{[1401]}{[1907|03cd]}是街角演奏耶，好棒喔！\n聽說這個樂團的名字叫做{color[ff4d2fff]}豆魯迪士{color[000000ff]}～{[0004]}如果在那個{color[ff4d2fff]}吉他盒{color[000000ff]}裡{color[ff4d2fff]}放入{[0100|8000]}硬幣星{color[000000ff]}的話，\n是不是就能聽到更多不同的樂曲了呢？
MgameBall.msbt
$Difficulty	難易度
$HardMode	激難
$BestTime	最佳過關時間
$RewardIndex	獎勵
RewardTitle_Clear	難易度{[031b]}過關
RewardTitle_Time	{[0304]}\n之內過關
ModeChangeBtn_ToNormal	更改為普通
ModeChangeBtn_ToHard	更改為激難
$GyroReset	重置傾斜度
StartBtnText	消耗{[0100|8000]}{[0301|0000]}進行遊玩
$MgameBallClear	過關
$NewRecord	新記錄！
MgameFish.msbt
HowToGuide_Fish	釣魚
$NewRecord	新記錄！
Result_Weight	{[0301|0000]}g
ScoreBoard_Date	{[0302|0000]}/{[0302|0100]}/{[0302|0200]}
ScoreBoard_Date_None	----/--/--
ScoreBoard_Weight_None	-----
$G	g
ScoreBoard_Time_None	--.--
$Sec	秒
$1st	1
$MgameFishScoreBoard2nd	2
$MgameFishScoreBoard3rd	3
MgameFood.msbt
RecruitTitle	工作！\n瓦豆魯迪咖啡店
$MgameMenuBtnSolo	一人
$MgameMenuBtnMulti	兩人
$MgameMenuBtnJob	打工
$LevelSelectTitle	忙碌度
$MgameMenuBtnEasy	簡單
$MgameMenuBtnNormal	忙碌
$MgameMenuBtnHard	極限
$MgameMenuBtnJobLevel	打工
DifficultyDetail_Easy	首先是{color[ff4d2fff]}練習{color[000000ff]}！\n請先記住打工的方式吧。
DifficultyDetail_Normal	{color[ff4d2fff]}忙碌度提升！{color[000000ff]}\n接下接踵而來的訂單吧。
DifficultyDetail_Hard	{color[ff4d2fff]}忙碌度已經來到極限了！{color[000000ff]}\n迎接恐怖的……午餐時間吧！
DifficultyDetail_Lock	目前還無法遊玩。\n必須先通過{color[ff4d2fff]}「簡單打工」{color[000000ff]}\n才能夠遊玩此難易度。
$MgameFoodSignGoText	GO!
$MgameFoodSignText	READY
$Mgame1Player	1P
$Mgame2Player	2P
$MgameFoodLunchTimeText	進入午餐時間！
$MgameFoodFinishText	FINISH!
PauseBtn_Continue	繼續遊戲
PauseBtn_Retry	重試
PauseBtn_GiveUp	放棄
$PauseTopCloseInfoText	關閉
GameClear_Title	{[0318]} 過關！
$MgameFoodWin	WIN
$MgameFoodHighScoreTitle	最高分數
BaseScoreText	總計 {[0301|0000]}人
$MgameFoodBonusTitle	額外獎勵
$MgameFoodBonusPointPlus	+
BonusName_NoMiss	點餐無失誤
BonusName_Continuous	連續點餐正確　{[0301|0000]}人
BonusName_AngryGauge	客人滿意度 {[0301|0000]}％
$MgameFoodNewRecord	新記錄！
GameOver_Title	{[0318]}\n失敗……
PauseBtn_LevelSelect	選擇難易度
PauseBtn_PlayAgain	再試一次
PauseBtn_End	結束打工
Mission.msbt
Time_MinutesSec	{[0301|0000]}:{[0302|0000]}
Progress_Count	（{[0301|0000]}/{[0301|0100]}）
Progress_LimitedTime	（剩下{[0303]}）
Title_Secret	？？？
Title_StageClear	通過關卡
Title_RescueWaddleDee	拯救瓦豆魯迪
Title_CollidedPopFlowerTulip	使{[0301|0000]}朵鬱金香盛開{[031c]}
Title_BreakShutter	破壞建築的鐵捲門
Title_FoundBalcony	乘著水柱登上建築高處的露臺
Title_FoundSingleSecretRoom	發現隱藏房間
Title_LanternSwitch	點亮{[0301|0000]}個提燈開關{[031c]}
Title_TakeOffSingleWantedNotice	撕下通緝令
Title_FoundHiddenPath	發現上坡旁的岔路
Title_StandStump	在{[0301|0000]}個樹樁上小憩{[031c]}
Title_DriveWithoutFallingCar	安全行駛並未從懸崖上墜落
Title_GetDonut	吃下{[0301|0000]}個甜甜圈{[031c]}
Title_GetCandy	吃下彩虹棒棒糖獲得無敵狀態
Title_NotLostMaze	離開購物中心並從未迷路
Title_GoThroughBossGorillaInseam	穿過猩猛霸的雙腳間
Title_EvadeBossGorillaCatch	使用{[030a]}打倒魔王
Title_DefeatBoss1LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss1NoDamage	以無傷狀態過關
Title_BreakHardNuts	打開{[0301|0000]}個硬邦邦堅果{[031c]}
Title_SandStatue	破壞動物沙像
Title_CompleteBillboard	復原看板的文字
Title_GreetedSeaBird	向{[0301|0000]}隻海鳥打招呼{[031c]}
Title_DigTomato	挖掘出M番茄
Title_TreasureIsland	登陸寶島
Title_TakeOffWantedNotice	撕下{[0301|0000]}張通緝令{[031c]}
Title_ClearSpikes	未碰觸到尖刺且隱藏房間過關
Title_FrozeMboss	使用冰凍能力凍住天鵝羅利那
Title_GetEmergencyFood	吃下{[0301|0000]}個罐頭{[031c]}
Title_DefeatRGNoWater	在蓄水池的戰鬥中不曾落水
Title_FoundFishesGold	發現金色的魚
Title_BreakWhispyPalmGrowthRoot	破壞熱帶大樹的根部
Title_DefeatBoss2CopyAbility	不使用能力並打倒魔王
Title_DefeatBoss2LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss2NoDamage	以無傷狀態過關
Title_SendMissingChickToMama	將入口處迷路的雛鳥帶回母鳥身邊{[031c]}
Title_climb	火箭頂端的美景
Title_BloomWitheredFlower	使所有枯萎的花盛開
Title_GoalGoCartLimitedTime	在20秒內於最初的競賽抵達終點
Title_DefeatMbossMighty	使用彩虹棒棒糖打倒狂野刃
Title_Shortcut	破壞所有紙箱並行駛於捷徑
Title_NotHitGhostGordo	未碰觸到幽靈黑刺球並過關
Title_FindSweets	吃下鬼怪藏起來的{[0301|0000]}個點心{[031c]}
Title_BreakAlien	以自動販賣機塞滿嘴破壞13塊驚嚇外星人板
Title_SendMissingChickToMamaNight	在夜路上將迷路的雛鳥帶回母鳥身邊{[031c]}
Title_TakeOffWantedNoticeParade	幫忙撕下艾菲靈的通緝令
Title_WithoutMud	未踩到泥巴並過關
Title_ShootBossOnPillar	使用探巡隊擊中柱子上的卡洛凌
Title_DefeatBossWithoutHovering	不使用盤旋並打倒魔王
Title_DefeatBoss3LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss3NoDamage	以無傷狀態過關
Title_SnowStatue	破壞{[0301|0000]}個動物雪像{[031c]}
Title_FoundBackStreat	發現小巷
Title_TopOfTheTree	抵達鐘塔
Title_TrainRoof	登上{[0301|0000]}輛電車車頂{[031c]}
Title_FoundPluralSecretPath	發現{[0301|0000]}條隱藏通道{[031c]}
Title_ExamineTheContainer	調查貨櫃中的貨物
Title_Cave	發現能夠避風的洞穴
Title_GetHotMeal	吃下{[0301|0000]}道船夫料理{[031c]}
Title_Underground	跳入地底的隱藏房間
Title_TakeOffWantedNoticeE	幫忙撕下{[0301|0000]}張通緝令{[031c]}
Title_TwinFrostyNoDamage	以無傷狀態打倒雙重狂野冰霜
Title_MaxTomato	繞路取得M番茄
Title_SwallowDededeHammer	吸入帝帝帝大王的錘子
Title_DefeatBossWithoutGuard	不進行防禦並打倒魔王
Title_DefeatBoss4LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss4NoDamage	以無傷狀態過關
Title_ShootTargetSwitch	瞄準並射中{[0301|0000]}個飄浮在空中的標靶{[031c]}
Title_DefeatMbossRing	使用圈圈塞滿嘴打倒天鵝羅利那
Title_DefeatSquishy	打倒與同伴走散的烏賊怪
Title_SleepInSecretPool	在秘密泳池午睡
Title_DefeatPoisonToadEnemy	使用噴水打倒{[0301|0000]}隻毒毒蛙{[031c]}
Title_PerfectDig	在隱藏房間完美挖掘出地洞
Title_CompareIceCream	品嚐比較過{[0301|0000]}種冰品{[031c]}
Title_BonkersCutter	使用彎刀打倒狂野錘星猩
Title_FitShape	在所有變形狀態下嵌進形狀相符的洞
Title_TakeOffWantedNoticeDark	在峽谷撕下{[0301|0000]}張通緝令{[031c]}
Title_SecretRoomClearWithoutFalling	未掉入洞中且隱藏房間過關
Title_TreasureCactus	隱藏在仙人掌三胞胎間的財寶
Title_DefeatBoss5CopyAbility	使用{[030a]}打倒魔王
Title_BreakDollKirby	破壞犰魔亂舞的{[0301|0000]}隻手工製卡比{[031c]}
Title_DefeatBoss5LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss5NoDamage	以無傷狀態過關
Title_DefeatLookoutWildEnemy	打倒{[0301|0000]}隻把風的加魯魯菲{[031c]}
Title_FoundSecretPath	發現秘密捷徑
Title_VolcanoRock	用水澆滅{[0301|0000]}個火山彈{[031c]}
Title_AnimalsFood	享用{[0301|0000]}個敵人珍藏的肉{[031c]}
Title_TurnWindmillAll	打開所有風車開關
Title_DefeatFrostyCrash	使用爆裂打倒狂野冰霜
Title_NobodyControlRoom	入侵控制室
Title_Coffee	喝下{[0301|0000]}杯咖啡提神{[031c]}
Title_NeverPress	一次都沒被夾到
Title_FoundVolcanoSecretPath	探索隱藏道路的更深處
Title_DefeatBossRush2LimitedTime	在{[0303]}內打倒犰魔亂舞{[031d]}
Title_DefeatBossRush3NoDamage	以無傷狀態打倒卡洛凌
Title_DefeatBeast	打倒關卡開始時所有埋伏的野獸
Title_TakeOffWantedNoticeHeadquarters	在敵人大本營撕下{[0301|0000]}張通緝令{[031c]}
Title_NotFallTriangle	在三角錐塞滿嘴狀態下未掉入岩漿
Title_NotFire	不曾被狂野 帝帝帝的火焰攻擊擊中
Title_DefeatBoss6LimitedTime	在{[0303]}內打倒魔王{[031d]}
Title_DefeatBoss6NoDamage	以無傷狀態過關
Title_EvolveTwice	以2段以上的進化能力打倒魔王
Pause.msbt
$ContinueBtnText	繼續遊戲
TwoPersonPlayBtnText	兩人遊玩
OnePersonPlayBtnText	一人遊玩
BackToTitleBtnText	返回標題
$OperationSetupBtnText	操作設定
$AmiiboBtnText	amiibo
$DifficultyBtnText	難易度設定
BackToTownBtnText	前往瓦豆魯迪小鎮
RetryBtnText	重試
ExitStageBtnText	離開關卡
ExitArenaBtnText	離開競技場
FileName	檔案{[0301|0000]}
$Percent	％
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
$SlashText	/
$ConfigTitle	操作設定
ConfigKeyAssign_Move	移動
ConfigKeyAssign_Guard	蹲下防禦
ConfigKeyAssign_Swallow	/吞入
ConfigKeyAssign_Jump	跳躍
ConfigKeyAssign_Attack	攻擊
ConfigKeyAssign_UseStockItem	使用庫存道具
ConfigKeyAssign_DropAbility	捨棄能力
ConfigToggleBtn_TypeA	類型A
ConfigToggleBtn_TypeB	類型B
ConfigToggleBtn_On	ON
ConfigToggleBtn_Off	OFF
$ConfigTogglePanel_OperationType	操作類型
$ConfigTogglePanel_AutoSwallow	自動吞入
$PauseTopCloseInfoText	關閉
$PauseDifficultySelectTitle	難易度設定
Resident.msbt
$Saving	儲存中
TownTitle	瓦豆魯迪小鎮
Time_MinSec2	{[0301|0000]}:{[0302|0000]}
Time_MinSec2Csec2	{[0301|0000]}:{[0302|0000]}.{[0302|0100]}
Time_MinSec2Msec3	{[0301|0000]}:{[0302|0000]}.{[0302|0100]}
Step.msbt
$StageClearText	通過關卡！
$EstoryStageSoulComplete	靈魂完成！
ChargeGuide_DiscardAbility	捨棄能力
ChargeGuide_DiscardDeform	吐出
HowToGuide_Inhale	塞滿嘴
HowToGuide_Open	打開
HowToGuide_Slide	滑壘
HowToGuide_Sleep	午睡
HowToGuide_Look	欣賞
HowToGuide_Watch	閱讀
HowToGuide_FindOut	調查
Step_GuideMovie_Discard	{[0703|0300]} 捨棄能力
Step_GuideMovie_Inhale	{[0701|0100]} 吸入
Step_GuideMovie_InhaleWithAbility	{[0701|0100]} 塞滿嘴
Step_GuideMovie_Swallow	{[0409|6000]}/{[040a|6100]} 吞入
Step_GuideMovie_Jump	{[0700|0000]} 跳躍
Step_GuideMovie_Hover	{[0700|0000]} 盤旋
Step_GuideMovie_Spit	{[0701|0100]} 吐出
Step_GuideMovie_DeformCarBoost	{[0701|0100]} 渦輪衝刺
Step_GuideMovie_DeformLightbulbTurnOn	{[0701|0100]} 照亮周圍
Step_GuideMovieTitle_DeformWaterBalloonAttack	噴水
Step_GuideMovie_DeformWaterBalloonAttack	朝向巡遊車並按{[0701|0100]}
Step_GuideMovie_GetOff	朝向陸地並按{[0700|0000]}
Step_GuideMovie_GetOn	朝向船隻並按{[0700|0000]}
Step_GuideMovie_FuseCannon	點火後坐進炮口
Step_GuideMovieTitle_AbilityGuideBombTargetThrow	瞄準投擲
Step_GuideMovie_AbilityGuideBombTargetThrow	長按{[0701|0100]}～放開
Step_GuideMovieTitle_AbilityGuideCutterHoldCutter	保持蓄力
Step_GuideMovie_AbilityGuideCutterHoldCutter	長按{[0701|0100]}～放開
Step_GuideMovieTitle_AbilityGuideCutterItemCatch	抓住道具
Step_GuideMovie_AbilityGuideCutterItemCatch	瞄準道具並按{[0701|0100]}
Step_GuideMovieTitle_AbilityGuideDrillGroundAttack	地面咚
Step_GuideMovie_AbilityGuideDrillGroundAttack	長按{[0701|0100]}～放開
Step_GuideMovieTitle_AbilityGuideFireBurn	燃燒攻擊
Step_GuideMovie_AbilityGuideFireBurn	移動中跳躍＋{[0701|0100]}
Step_GuideMovieTitle_AbilityGuideIceIceStorm	寒冰暴風雪
Step_GuideMovie_AbilityGuideIceIceStorm	連打{[0701|0100]}～長按
Step_GuideMovieTitle_AbilityGuideNeedleNeedleRoll	針球
Step_GuideMovie_AbilityGuideNeedleNeedleRoll	長按{[0701|0100]}＋移動
Step_GuideMovieTitle_AbilityGuideNeedleNeedleRollFinish	拋出擊中
Step_GuideMovie_AbilityGuideNeedleNeedleRollFinish	長按{[0701|0100]}～放開
Step_GuideMovieTitle_AbilityGuideRangerChargeShot	累積射擊
Step_GuideMovie_AbilityGuideRangerChargeShot	長按{[0701|0100]}～放開
Step_GuideMovieTitle_AbilityGuideTornadoFinishAttack	瞬間最大風速
Step_GuideMovie_AbilityGuideTornadoFinishAttack	{[0701|0100]}～再按一次{[0701|0100]}
DeformGuide_Jump	跳躍
DeformGuide_CarAction	渦輪衝刺
DeformGuide_ConeAction	突刺
DeformGuide_LockerAction1	倒下
DeformGuide_RingAction	陣風
DeformGuide_StairsAction	砰鏘
DeformGuide_VendingMachineAction	罐子射擊
$Multiplication	×
DeformGuide_Remainder_SoldOut	售完
DeformGuide_WaterTankAction	打開
DeformGuide_ShipAction	陣風渦輪
DeformGuide_ElevatorAction	伸縮
DeformGuide_LightbulbAction	照亮周圍
DeformGuide_WaterBalloonAction	噴水
DeformGuide_CoasterAction	傾斜
DeformGuide_GliderAction1	上升/下降
DeformGuide_GliderAction2	旋轉突進
GliderCtrlStateNormal	普通
GliderCtrlStateReverse	反向
$GliderCtrlGuideTitle	上下操作切換
$Slash	/
$RestartText	檢查點
$HowToGuidePlusText	+
SupportSpeak.msbt
TownGuideToStory_00	{[1401]}{[1907|01cd]}準備好了嗎？\n我們也差不多該去冒險囉！
TownBlueprint_00	{[1401]}{[1907|01cd]}我們快點把新獲得的{color[ff4d2fff]}設計圖{color[000000ff]}\n拿去{color[ff4d2fff]}武器店{color[000000ff]}吧！
TownUrgeSleepFirst_00	{[1900|02cd]}只要在卡比小屋午睡\n就能恢復精神喔。
TownUrgeSleep_00	{[1905|05cd]}卡比，你的體力減少了呢。\n我們先回小屋午睡一下吧！
TownNoticeArenaReward_00	{[1907|03cd]}在競技場的接待處似乎能夠{color[ff4d2fff]}\n{color[000000ff]}領取{color[ff4d2fff]}尚未領取的報酬{color[000000ff]}喔！
TownStreetLiveTipHoldBtn_00	{[1907|00cd]}只要持續按住{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}，\n就能自動放入{[0100|8000]}硬幣星喔。
TownBrokenTown_00	{[1909|04cd]}卡比，我們快去拯救\n瓦豆魯迪們吧！
TownStory1_00	{[1905|05cd]}要不要去參觀一下瓦豆魯迪們\n重建的設施呢？
TownStory1_01	{[1401]}{[1907|01cd]}瓦豆魯迪們回到小鎮後，\n這裡也漸漸熱鬧起來了呢～
TownStory1_02	{[1401]}{[1909|02cd]}要不要去看看被拯救出來的瓦豆魯迪們\n在小鎮上生活得如何呢？
TownAbleToEvolution_00	{[1909|00cd]}卡比！似乎已經有\n{color[ff4d2fff]}可以進化的{color[000000ff]}複製能力囉。
TownArena_00	{[1401]}{[1907|00cd]}聽說競技場正在舉辦魅塔騎士盃，\n我們去看看吧！
TownStoryCleared_00	{[1401]}{[1900|04cd]}能夠再見到卡比真是太好了……\n今後也請你多多關照喔！
TownLeopard_00	{[1905|00cd]}卡洛凌來到小鎮了！\n我們去看一下情況吧。
TownEstory_00	{[1402]}{[1902|00cd]}獅王加爾夫……不知道要不要緊……\n得努力把他找出來才行。
TownDedede_00	{[1905|04cd]}帝帝帝大王到小鎮來玩囉。\n他似乎{color[ff4d2fff]}有東西想交給你{color[000000ff]}呢！
TownPresentCode_00	{[1401]}{[1909|01cd]}聽說禮物關鍵詞就藏在小鎮的某處。\n我們快去找找看吧！
TownFoodStore_00	{[1905|05cd]}咖啡店總是很熱鬧呢。\n店裡似乎很忙碌，要去幫忙嗎？
TownFishingPond_00	{[1909|00cd]}聽說池塘裡有黃金魚王出沒喔。\n我們再去釣釣看吧！
TownRollingBall_00	{[1401]}{[1909|01cd]}對了！要不要去玩滾球卡比，\n完成所有挑戰呢？
TownCapsuleToyMachine_00	{[1401]}{[1900|02cd]}要不要去玩扭蛋機，\n完成收集所有模型的目標呢？
TownArenaBossBattle_00	{[1401]}{[1905|04cd]}現在正在舉辦The 終極盃喔！\n去參加看看吧！
TownArenaBossBattleRand_00	{[1401]}{[1905|04cd]}現在正在舉辦The 終極盃喔！\n去參加看看吧！
TownArenaBossBattleExtra_00	{[1903|00cd]}競技場似乎正在舉辦很厲害的大會……\n雖然讓人有些緊張，但你要不要參加看看？
TownArenaBossBattleExtraRand_00	{[1903|00cd]}競技場似乎正在舉辦很厲害的大會……\n雖然讓人有些緊張，但你要不要參加看看？
TownStreetLiveGradeUpRand_00	{[1905|01cd]}瓦豆演奏那裡似乎擺放著吉他盒。\n難道他們可以再次升級嗎？
TownStreetLiveGradeUp_00	{[1905|01cd]}瓦豆演奏那裡似乎擺放著吉他盒。\n難道他們可以再次升級嗎？
TownCompleteWaddleDee_00	{[1900|00cd]}小鎮裡竟然有我們的銅像，\n感覺有點難為情呢～
TownAreaOpenSpace_00	{[1401]}{[1907|00cd]}瓦豆魯迪們接下來打算\n重建什麼樣的設施呢？
TownAreaTheaterRoom_00	{[1900|00cd]}有許多影片正在上映中，\n卡比，你想看哪一部呢？
TownAreaTheaterRoom_01	{[1401]}{[1907|01cd]}好像有很多有趣的影片，\n真猶豫該看哪一部才好，對吧～
TownAreaTheaterRoom_02	{[1401]}{[1900|02cd]}卡比！決定好要看哪一部影片了嗎？\n如果決定好了就坐到位置上，保持安靜吧。
TownAreaAbilityRoom_00	{[1905|05cd]}決定好要使用哪個能力了嗎？\n有太多能力可以選擇，很難決定對吧。
TownAreaAbilityRoom_01	{[1401]}{[1909|02cd]}複製能力有很多種，\n卡比最喜歡哪一種呢？
TownAreaAbilityRoom_02	{[1907|01cd]}在隔壁的房間似乎還準備了能夠\n讓你試用能力的沙袋先生喔！
TownAreaCapsuleToyMachine_00	{[1905|00cd]}是不是還有沒收集到的模型呢……？\n要不要去玩一下扭蛋機？
TownAreaCapsuleToyMachine_01	{[1905|05cd]}有好多好多種類呢。\n卡比喜歡哪個模型呢？
TownAreaCapsuleToyMachine_02	{[1900|03cd]}{[1401]}一旦開始收集起模型，\n就會忍不住想完成收藏對吧。
TownAreaDeliveryService_00	{[1905|00cd]}卡比，是不是有禮物關鍵詞\n還沒使用過呀？
TownAreaDeliveryService_01	{[1907|01cd]}你知道嗎？聽說小鎮裡藏著\n好幾個禮物關鍵詞喔！
TownAreaDeliveryService_02	{[1905|05cd]}小鎮裡藏著禮物關鍵詞……\n那到底是誰留下來的呢？
TownAreaKirbyHouse_00	{[1401]}{[1900|01cd]}卡比小屋就跟卡比\n一樣圓滾滾的呢～
TownAreaKirbyHouse_01	{[1907|00cd]}體力減少的時候只要回卡比小屋\n午睡就會回復囉。
TownAreaFoodStore_00	{[1401]}{[1909|02cd]}從咖啡店傳來一陣好香的味道～\n卡比，要不要一起去喝點什麼呢？
TownAreaFoodStore_01	{[1401]}{[1900|02cd]}那裡有賣卡比最喜歡的M番茄喔！\n要不要去買個外帶呢？
TownAreaFoodStore_02	{[1401]}{[1907|01cd]}天氣這麼好，\n在咖啡店的2樓吃飯好像也不錯呢～
TownAreaArena_00	{[1401]}{[1901|03cd]}哇～！觀眾的加油聲\n都傳到這裡來了呢。
TownAreaArena_01	{[1909|00cd]}去競技場參加比賽，\n測試看看自己的實力吧！
TownAreaArena_02	{[1401]}{[1900|02cd]}只要朝瓦豆魯迪們按下{color[ff4d2fff]}{[041c|a300]}{color[000000ff]}，\n他們都會很開心喔。
TownAreaLookoutTower_00	{[1401]}{[1907|04cd]}哇～！\n從這裡可以眺望整個小鎮耶～！
TownAreaLookoutTower_01	{[1900|01cd]}卡比，\n風吹起來很舒服吧！
TownAreaPharmacy_00	{[1401]}{[1907|03cd]}哇～是能讓體力變成2倍的道具呢。\n打不贏魔王的時候就買來試試看吧。
TownAreaPharmacy_01	{[1905|05cd]}如果事先買好攻擊提升，\n是不是也能在競技場輕鬆獲得優勝呢？
TownAreaPharmacy_02	{[1900|02cd]}這裡有能夠使速度提升的道具呢。\n感覺只要有它不管什麼關卡都能迅速過關喔！
TownAreaFishingPond_00	{[1905|05cd]}瓦豆魯迪正在釣魚呢。\n我們也去釣魚吧！？
TownAreaFishingPond_01	{[1401]}{[1907|04cd]}卡比，聽說這個池塘裡棲息著非比尋常的魚王喔……\n不知道我們能不能釣到呢？
TownAreaRollingBall_00	{[1401]}{[1900|00cd]}滾球卡比！玩起來很有趣吧。\n我很喜歡那種讓球滾啊滾的感覺！
TownAreaRollingBall_01	{[1905|04cd]}世界上似乎有只用了非常短的時間就過關\n滾球卡比的人……我們也不能輸對吧！
TownAreaStreetLive_00	{[1907|04cd]}他們似乎會演奏許多樂曲給我們聽喔！\n卡比喜歡哪一首樂曲呢？
TownAreaStreetLive_01	{[1905|04cd]}他們會演奏出怎樣的樂曲呢？\n試著點首樂曲吧？
