AbilityList.msbt
$TownAbilityListAttackText	攻击力
Title_BreakWhispyPalmGrowthRoot	破坏热带大树的根部
Title_DefeatBoss2CopyAbility	不使用能力并打倒魔王
Title_DefeatBoss2LimitedTime	在{[0303]}内打倒魔王{[031d]}
Title_DefeatBoss2NoDamage	以无伤状态过关
Title_SendMissingChickToMama	将入口处迷路的雏鸟带回母鸟身边{[031c]}
Title_climb	火箭顶端的美景
Title_BloomWitheredFlower	使所有枯萎的花盛开
Title_GoalGoCartLimitedTime	最初的竞赛以20秒内的成绩抵达终点
Title_DefeatMbossMighty	使用彩虹棒棒糖打倒狂野刃
Title_Shortcut	破坏所有纸箱并通过捷径
Title_NotHitGhostGordo	未触碰到幽灵黑刺球并过关
Title_FindSweets	吃下鬼怪藏起来的{[0301|0000]}个点心{[031c]}
Title_BreakAlien	以自动贩卖机塞满嘴破坏13块惊吓外星人板
Title_SendMissingChickToMamaNight	在夜路上将迷路的雏鸟带回母鸟身边{[031c]}
Title_TakeOffWantedNoticeParade	帮忙撕下艾菲灵的通缉令
Title_WithoutMud	未踩到泥巴并过关
Title_ShootBossOnPillar	使用探巡队击中柱子上的卡洛凌
Title_DefeatBossWithoutHovering	不使用盘旋并打倒魔王
Title_DefeatBoss3LimitedTime	在{[0303]}内打倒魔王{[031d]}
Title_DefeatBoss3NoDamage	以无伤状态过关
Title_SnowStatue	破坏{[0301|0000]}个动物雪像{[031c]}
Title_FoundBackStreat	发现小巷
Title_TopOfTheTree	抵达钟塔
Title_TrainRoof	登上{[0301|0000]}辆电车车顶{[031c]}
Title_FoundPluralSecretPath	发现{[0301|0000]}条隐藏通道{[031c]}
Title_ExamineTheContainer	调查货柜中的货物
Title_Cave	发现能够避风的洞穴
Title_GetHotMeal	吃下{[0301|0000]}道船夫料理{[031c]}
Title_Underground	跳入地底的隐藏房间
Title_TakeOffWantedNoticeE	帮忙撕下{[0301|0000]}张通缉令{[031c]}
Title_TwinFrostyNoDamage	以无伤状态打倒双重狂野冰霜
Title_MaxTomato	绕路取得M番茄
Title_SwallowDededeHammer	吸入帝帝帝大王的锤子
Title_DefeatBossWithoutGuard	不进行防御并打倒魔王
Title_DefeatBoss4LimitedTime	在{[0303]}内打倒魔王{[031d]}
Title_DefeatBoss4NoDamage	以无伤状态过关
Title_ShootTargetSwitch	瞄准并射中{[0301|0000]}个飘浮在空中的标靶{[031c]}
Title_DefeatMbossRing	使用圈圈塞满嘴打倒天鹅罗利那
Title_DefeatSquishy	打败与同伴走散的乌贼怪
Title_SleepInSecretPool	在秘密泳池午睡
Title_DefeatPoisonToadEnemy	打倒{[0301|0000]}只毒毒蛙{[031c]}
Title_PerfectDig	在隐藏房间完美挖掘出地洞
Title_CompareIceCream	品尝比较过{[0301|0000]}种冰品{[031c]}
Title_BonkersCutter	使用弯刀打倒狂野锤星猩
Title_FitShape	在所有变形状态下嵌进形状相符的洞
Title_TakeOffWantedNoticeDark	在峡谷撕下{[0301|0000]}张通缉令{[031c]}
Title_SecretRoomClearWithoutFalling	未掉入洞中且隐藏房间过关
Title_TreasureCactus	隐藏在仙人掌三胞胎间的财宝
Title_DefeatBoss5CopyAbility	使用{[030a]}打倒魔王
Title_BreakDollKirby	破坏犰魔乱舞的{[0301|0000]}只手工制卡比{[031c]}
Title_DefeatBoss5LimitedTime	在{[0303]}内打倒魔王{[031d]}
Title_DefeatBoss5NoDamage	以无伤状态过关
Title_DefeatLookoutWildEnemy	打倒{[0301|0000]}只把风的加鲁鲁菲{[031c]}
Title_FoundSecretPath	发现秘密捷径
Title_VolcanoRock	用水浇灭{[0301|0000]}个火山弹{[031c]}
Title_AnimalsFood	享用{[0301|0000]}个敌人珍藏的肉{[031c]}
Title_TurnWindmillAll	打开所有风车开关
Title_DefeatFrostyCrash	使用爆裂打倒狂野冰霜
Title_NobodyControlRoom	入侵控制室
Title_Coffee	喝下{[0301|0000]}杯咖啡提神{[031c]}
Title_NeverPress	一次都没被夹到
Title_FoundVolcanoSecretPath	探索隐藏道路的更深处
Title_DefeatBossRush2LimitedTime	在{[0303]}内打倒犰魔乱舞{[031d]}
Title_DefeatBossRush3NoDamage	以无伤状态打倒卡洛凌
Title_DefeatBeast	打倒关卡开始时所有埋伏的野兽
Title_TakeOffWantedNoticeHeadquarters	在敌人大本营撕下{[0301|0000]}张通缉令{[031c]}
Title_NotFallTriangle	在三角锥塞满嘴状态下未掉入岩浆
Title_NotFire	不曾被狂野 帝帝帝的火焰攻击击中
Title_DefeatBoss6LimitedTime	在{[0303]}内打倒魔王{[031d]}
Title_DefeatBoss6NoDamage	以无伤状态过关
Title_EvolveTwice	以2段以上的进化能力打倒魔王
Pause.msbt
$ContinueBtnText	继续游戏
TwoPersonPlayBtnText	双人游玩
OnePersonPlayBtnText	单人游玩
BackToTitleBtnText	返回标题
$OperationSetupBtnText	操作设置
$AmiiboBtnText	amiibo
$DifficultyBtnText	难易度设置
BackToTownBtnText	前往瓦豆鲁迪小镇
RetryBtnText	重试
ExitStageBtnText	离开关卡
ExitArenaBtnText	离开竞技场
FileName	文件{[0301|0000]}
$Percent	%
$ArenaEntryRank1stText	1
$ArenaEntryRank2ndText	2
$ArenaEntryRank3rdText	3
$SlashText	/
$ConfigTitle	操作设置
ConfigKeyAssign_Move	移动
ConfigKeyAssign_Guard	蹲下防御
ConfigKeyAssign_Swallow	/吞入
ConfigKeyAssign_Jump	跳跃
ConfigKeyAssign_Attack	攻击
ConfigKeyAssign_UseStockItem	使用库存道具
ConfigKeyAssign_DropAbility	舍弃能力
ConfigToggleBtn_TypeA	类型A
ConfigToggleBtn_TypeB	类型B
ConfigToggleBtn_On	ON
ConfigToggleBtn_Off	OFF
$ConfigTogglePanel_OperationType	操作类型
$ConfigTogglePanel_AutoSwallow	自动吞入
$PauseTopCloseInfoText	关闭
$PauseDifficultySelectTitle	难易度设置
Resident.msbt
$Saving	正在保存……
TownTitle	瓦豆鲁迪小镇
Time_MinSec2	{[0301|0000]}:{[0302|0000]}
Time_MinSec2Csec2	{[0301|0000]}:{[0302|0000]}.{[0302|0100]}
Time_MinSec2Msec3	{[0301|0000]}:{[0302|0000]}.{[0302|0100]}
Step.msbt
$StageClearText	通过关卡！
$EstoryStageSoulComplete	灵魂完成！
ChargeGuide_DiscardAbility	舍弃能力
ChargeGuide_DiscardDeform	吐出
HowToGuide_Inhale	塞满嘴
HowToGuide_Open	打开
HowToGuide_Slide	滑垒
HowToGuide_Sleep	午睡
HowToGuide_Look	欣赏
HowToGuide_Watch	阅读
HowToGuide_FindOut	调查
Step_GuideMovie_Discard	{[0703|0300]} 舍弃能力
Step_GuideMovie_Inhale	{[0701|0100]} 吸入
Step_GuideMovie_InhaleWithAbility	{[0701|0100]} 塞满嘴
Step_GuideMovie_Swallow	{[0409|6000]}/{[040a|6100]} 吞入
Step_GuideMovie_Jump	{[0700|0000]} 跳跃
Step_GuideMovie_Hover	{[0700|0000]} 盘旋
Step_GuideMovie_Spit	{[0701|0100]} 吐出
Step_GuideMovie_DeformCarBoost	{[0701|0100]} 涡轮冲刺
Step_GuideMovie_DeformLightbulbTurnOn	{[0701|0100]} 照亮周围
Step_GuideMovieTitle_DeformWaterBalloonAttack	喷水
Step_GuideMovie_DeformWaterBalloonAttack	朝向巡游车并按{[0701|0100]}
Step_GuideMovie_GetOff	朝向陆地并按{[0700|0000]}
Step_GuideMovie_GetOn	朝向船只并按{[0700|0000]}
Step_GuideMovie_FuseCannon	点火后坐进炮口
Step_GuideMovieTitle_AbilityGuideBombTargetThrow	瞄准投掷
Step_GuideMovie_AbilityGuideBombTargetThrow	长按{[0701|0100]}～放开
Step_GuideMovieTitle_AbilityGuideCutterHoldCutter	保持蓄力
Step_GuideMovie_AbilityGuideCutterHoldCutter	长按{[0701|0100]}～放开
Step_GuideMovieTitle_AbilityGuideCutterItemCatch	抓住道具
Step_GuideMovie_AbilityGuideCutterItemCatch	瞄准道具并按{[0701|0100]}
Step_GuideMovieTitle_AbilityGuideDrillGroundAttack	地面咚
Step_GuideMovie_AbilityGuideDrillGroundAttack	长按{[0701|0100]}～放开
Step_GuideMovieTitle_AbilityGuideFireBurn	燃烧攻击
Step_GuideMovie_AbilityGuideFireBurn	移动中跳跃＋{[0701|0100]}
Step_GuideMovieTitle_AbilityGuideIceIceStorm	寒冰暴风雪
Step_GuideMovie_AbilityGuideIceIceStorm	连打{[0701|0100]}～长按
Step_GuideMovieTitle_AbilityGuideNeedleNeedleRoll	针球
Step_GuideMovie_AbilityGuideNeedleNeedleRoll	长按{[0701|0100]}＋移动
Step_GuideMovieTitle_AbilityGuideNeedleNeedleRollFinish	抛出击中
Step_GuideMovie_AbilityGuideNeedleNeedleRollFinish	长按{[0701|0100]}～放开
Step_GuideMovieTitle_AbilityGuideRangerChargeShot	累积射击
Step_GuideMovie_AbilityGuideRangerChargeShot	长按{[0701|0100]}～放开
Step_GuideMovieTitle_AbilityGuideTornadoFinishAttack	瞬间最大风速
Step_GuideMovie_AbilityGuideTornadoFinishAttack	{[0701|0100]}～再按一次{[0701|0100]}
DeformGuide_Jump	跳跃
DeformGuide_CarAction	涡轮冲刺
DeformGuide_ConeAction	突刺
DeformGuide_LockerAction1	倒下
DeformGuide_RingAction	阵风
DeformGuide_StairsAction	砰锵
DeformGuide_VendingMachineAction	罐子射击
$Multiplication	×
DeformGuide_Remainder_SoldOut	售完
DeformGuide_WaterTankAction	打开
DeformGuide_ShipAction	阵风涡轮
DeformGuide_ElevatorAction	伸缩
DeformGuide_LightbulbAction	照亮周围
DeformGuide_WaterBalloonAction	喷水
DeformGuide_CoasterAction	倾斜
DeformGuide_GliderAction1	上升/下降
DeformGuide_GliderAction2	旋转突进
GliderCtrlStateNormal	普通
GliderCtrlStateReverse	反向
$GliderCtrlGuideTitle	上下操作切换
$Slash	/
$RestartText	检查点
$HowToGuidePlusText	+
SupportSpeak.msbt
TownGuideToStory_00	{[1401]}{[1907|01cd]}准备好了吗？\n我们也差不多该去冒险咯！
TownBlueprint_00	{[1401]}{[1907|01cd]}我们快点把新获得的{color[ff4d2fff]}设计图{color[000000ff]}\n拿去{color[ff4d2fff]}武器店{color[000000ff]}吧！
TownUrgeSleepFirst_00	{[1900|02cd]}只要在卡比小屋午睡\n就能恢复精神哦。
TownUrgeSleep_00	{[1905|05cd]}卡比，你的体力减少了呢。\n我们先回小屋午睡一下吧！
TownNoticeArenaReward_00	{[1907|03cd]}在竞技场的接待处似乎能够\n领取{color[ff4d2fff]}尚未领取的报酬{color[000000ff]}哦！
TownStreetLiveTipHoldBtn_00	{[1907|00cd]}只要持续按住{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}，\n就能自动放入{[0100|8000]}硬币星哦。
TownBrokenTown_00	{[1909|04cd]}卡比，我们快去拯救\n瓦豆鲁迪们吧！
TownStory1_00	{[1905|05cd]}要不要去参观一下瓦豆鲁迪们\n重建的设施呢？
TownStory1_01	{[1401]}{[1907|01cd]}瓦豆鲁迪们回到小镇后，\n这里也渐渐热闹起来了呢～
TownStory1_02	{[1401]}{[1909|02cd]}要不要去看看被拯救出来的瓦豆鲁迪们\n在小镇上生活得如何呢？
TownAbleToEvolution_00	{[1909|00cd]}卡比！似乎已经有\n{color[ff4d2fff]}可以进化的{color[000000ff]}复制能力了哦。
TownArena_00	{[1401]}{[1907|00cd]}听说竞技场正在举办魅塔骑士杯，\n我们去看看吧！
TownStoryCleared_00	{[1401]}{[1900|04cd]}能够再见到卡比真是太好了……\n今后也请你多多关照哦！
TownLeopard_00	{[1905|00cd]}卡洛凌来到小镇了！\n我们去看一下情况吧。
TownEstory_00	{[1402]}{[1902|00cd]}狮王加尔夫……不知道要不要紧……\n得努力把他找出来才行！
TownDedede_00	{[1905|04cd]}帝帝帝大王到小镇来玩了哦。\n他似乎{color[ff4d2fff]}有东西想交给你{color[000000ff]}呢！
TownPresentCode_00	{[1401]}{[1909|01cd]}听说礼物关键词就藏在小镇的某处。\n我们快去找找看吧！
TownFoodStore_00	{[1905|05cd]}咖啡店总是很热闹呢。\n店里似乎很忙碌，要去帮忙吗？
TownFishingPond_00	{[1909|00cd]}听说池塘里有黄金鱼王出没哦。\n我们再去钓钓看吧！
TownRollingBall_00	{[1401]}{[1909|01cd]}对了！要不要去玩滚球卡比，\n完成它的所有挑战呢？
TownCapsuleToyMachine_00	{[1401]}{[1900|02cd]}要不要去玩扭蛋机，\n完成收集所有模型的目标呢？
TownArenaBossBattle_00	{[1401]}{[1905|04cd]}现在正在举办The 终极杯哦！\n去参加看看吧！
TownArenaBossBattleRand_00	{[1401]}{[1905|04cd]}现在正在举办The 终极杯哦！\n去参加看看吧！
TownArenaBossBattleExtra_00	{[1903|00cd]}竞技场似乎正在举办很厉害的大赛……\n虽然让人有些紧张，但你要不要参加看看？
TownArenaBossBattleExtraRand_00	{[1903|00cd]}竞技场似乎正在举办很厉害的大赛……\n虽然让人有些紧张，但你要不要参加看看？
TownStreetLiveGradeUpRand_00	{[1905|01cd]}瓦豆演奏那里似乎摆放着吉他盒。\n难道他们可以再次升级吗？
TownStreetLiveGradeUp_00	{[1905|01cd]}瓦豆演奏那里似乎摆放着吉他盒。\n难道他们可以再次升级吗？
TownCompleteWaddleDee_00	{[1900|00cd]}小镇里竟然有我们的铜像，\n感觉有点难为情呢～
TownAreaOpenSpace_00	{[1401]}{[1907|00cd]}瓦豆鲁迪们接下来打算\n重建什么样的设施呢？
TownAreaTheaterRoom_00	{[1900|00cd]}有许多影片正在上映，\n卡比，你想看哪一部呢？
TownAreaTheaterRoom_01	{[1401]}{[1907|01cd]}有很多看起来有趣的影片，\n真不知道该看哪一部才好，对吧～
TownAreaTheaterRoom_02	{[1401]}{[1900|02cd]}卡比！决定好要看哪一部影片了吗？\n如果决定好了就坐到位置上，保持安静吧。
TownAreaAbilityRoom_00	{[1905|05cd]}决定好要使用哪个能力了吗？\n有太多能力可以选择，很难决定对吧。
TownAreaAbilityRoom_01	{[1401]}{[1909|02cd]}复制能力有很多种，\n卡比最喜欢哪一种呢？
TownAreaAbilityRoom_02	{[1907|01cd]}在隔壁的房间似乎还准备了能够\n让你试用能力的沙袋先生哦！
TownAreaCapsuleToyMachine_00	{[1905|00cd]}是不是还有没收集到的模型呢……\n要不要去玩一下扭蛋机？
TownAreaCapsuleToyMachine_01	{[1905|05cd]}有好多好多种类呢。\n卡比喜欢哪个模型呢？
TownAreaCapsuleToyMachine_02	{[1900|03cd]}{[1401]}一旦开始收集起模型，\n就会忍不住想全部收集齐，对吧。
TownAreaDeliveryService_00	{[1905|00cd]}卡比，是不是有礼物关键词\n还没使用过呀？
TownAreaDeliveryService_01	{[1907|01cd]}你知道吗？听说小镇里藏着\n好几个礼物关键词哦！
TownAreaDeliveryService_02	{[1905|05cd]}小镇里藏着礼物关键词……\n那到底是谁留下来的呢？
TownAreaKirbyHouse_00	{[1401]}{[1900|01cd]}卡比小屋就跟卡比\n一样圆滚滚的呢～
TownAreaKirbyHouse_01	{[1907|00cd]}体力减少的时候\n只要回卡比小屋午睡就会回复哦。
TownAreaFoodStore_00	{[1401]}{[1909|02cd]}从咖啡店传来一股好香的味道～\n卡比，要不要一起去喝点什么呢？
TownAreaFoodStore_01	{[1401]}{[1900|02cd]}那里有卖卡比最喜欢的M番茄哦！\n要不要去外带一份呢？
TownAreaFoodStore_02	{[1401]}{[1907|01cd]}天气这么好，\n在咖啡店的2楼吃饭好像也不错呢～
TownAreaArena_00	{[1401]}{[1901|03cd]}哇～！观众的加油声\n都传到这里来了呢。
TownAreaArena_01	{[1909|00cd]}去竞技场参加比赛，\n测试看看自己的实力吧！
TownAreaArena_02	{[1401]}{[1900|02cd]}只要朝瓦豆鲁迪们按下{color[ff4d2fff]}{[041c|a300]}{color[000000ff]}，\n他们都会很开心哦。
TownAreaLookoutTower_00	{[1401]}{[1907|04cd]}哇～！\n从这里可以眺望整个小镇耶～！
TownAreaLookoutTower_01	{[1900|01cd]}卡比，\n风吹起来很舒服吧！
TownAreaPharmacy_00	{[1401]}{[1907|03cd]}哇～是能让体力变为2倍的道具呢。\n打不赢魔王的时候就买来试试看吧。
TownAreaPharmacy_01	{[1905|05cd]}如果事先买好攻击提升，\n是不是也能在竞技场轻松获得优胜呢？
TownAreaPharmacy_02	{[1900|02cd]}这里有能够使速度提升的道具呢。\n感觉只要有它，不管什么关卡都能迅速过关哦！
TownAreaFishingPond_00	{[1905|05cd]}瓦豆鲁迪正在钓鱼呢。\n我们也去钓鱼吧！？
TownAreaFishingPond_01	{[1401]}{[1907|04cd]}卡比，据说这个池塘里栖息着非比寻常的鱼王哦……\n不知道我们能不能钓到呢？
TownAreaRollingBall_00	{[1401]}{[1900|00cd]}滚球卡比！玩起来很有趣吧。\n我很喜欢那种让球滚啊滚的感觉！
TownAreaRollingBall_01	{[1905|04cd]}世界上似乎有只用了非常短的时间就过关\n滚球卡比的人……我们也不能输对吧！
TownAreaStreetLive_00	{[1907|04cd]}他们似乎会演奏许多乐曲给我们听哦！\n卡比喜欢哪一首乐曲呢？
TownAreaStreetLive_01	{[1905|04cd]}他们会演奏出怎样的乐曲呢？\n试着点首乐曲吧？
TownAreaCentralSquare_00	{[1401]}{[1900|03cd]}卡比，只要朝瓦豆鲁迪们按下{color[ff4d2fff]}{[041d|a400]}{color[000000ff]}\n跟他们挥手，他们或许也会对你挥手哦！
TownAreaCentralSquare_01	{[1401]}{[1907|01cd]}广场上绽放着好多\n漂亮的花哦！
TownAreaCentralSquare_02	{[1401]}{[1900|02cd]}看着小镇上不断建造起各种设施，\n真令人开心呢～！
WmapTownBuildingUnlocked_00	{[1401]}{[1909|01cd]}小镇上似乎有{color[ff4d2fff]}新设施{color[000000ff]}建造完成了。\n有空的话，我们就去看看吧！
WmapCompleteWaddleDee_00	{[1401]}{[1901|03cd]}这样就把所有瓦豆鲁迪都救出来了吧。\n我们返回小镇去看看大家吧！
WmapGuideToCstage_00	{[1901|00cd]}只要过关{color[ff4d2fff]}宝藏之路{color[000000ff]}，\n似乎就能获得{color[ff4d2fff]}{[0101|8100]}稀有石{color[000000ff]}哦。
WmapBlueprint_00	{[1401]}{[1909|00cd]}为了送达新获得的{color[ff4d2fff]}设计图{color[000000ff]}，\n我们先{color[ff4d2fff]}返回小镇{color[000000ff]}看看吧！
WmapBackToTown_00	{[1907|00cd]}在世界地图中想要返回小镇的时候，\n只要按{color[ff4d2fff]}{[0401|0100]}{color[000000ff]}就能马上回到小镇了哦！
WmapTurboMoveFirst_00	{[1907|01cd]}只要按着{color[ff4d2fff]}{[040a|6100]}{color[000000ff]}，同时推动摇杆，\n就能比平常更快速地移动哦。
WmapTurboMove_00	{[1907|01cd]}只要按着{color[ff4d2fff]}{[040a|6100]}{color[000000ff]}，同时推动摇杆，\n就能比平常更快速地移动哦。
WmapBossStageUnlocked_00	{[1905|05cd]}在与魔王战斗前，\n或许先在小镇做些准备比较好！
WmapUrgeSleep_00	{[1402]}{[1902|01cd]}卡比，你的体力减少了呢。\n要不要先返回小镇休息一下？
WmapArea1BrokenTown_00	{[1907|01cd]}卡比，我们去拯救被抓走的\n瓦豆鲁迪们吧！
WmapArea1_00	{[1401]}{[1900|02cd]}置身在绿意环绕的环境下\n感觉很舒服对吧～卡比！
WmapArea2_00	{[1401]}{[1907|04cd]}这片大海好漂亮哦。\n我们去游个泳吧！
WmapArea3_00	{[1401]}{[1901|03cd]}哇～是游乐园！\n有好多游乐设施呢～
WmapArea4_00	{[1402]}{[1903|03cd]}呜～要是一直待在这里\n感觉会冻僵呢～
WmapArea5_00	{[1907|03cd]}哇～一眼望去全是沙子。\n不知道这片沙漠的尽头在哪里？
WmapArea6_00	{[1402]}{[1902|02cd]}呜哇……要是待在这里不动，\n感觉都要被岩浆融化了。
WmapArea7_00	{[1901|00cd]}卡比，虽然我有点害怕……\n但是现在也只能前进了对吧！
EstoryWmapFirst_00	{[1902|01cd]}这里是强大的思想所创造的世界……\n我们谨慎前进吧……！
EstoryWmap1_00	{[1902|01cd]}这里是强大的思想所创造的世界……\n我们谨慎前进吧……！
EstoryWmap2_00	{[1901|00cd]}……我一点也不怕哦！\n因为有卡比陪着我！
EstoryWmap3_00	{[1906|02cd]}这个世界很不安定呢。\n就好像身处某人的梦境之中……
WmapCommon1_00	{[1401]}{[1900|00cd]}只要和卡比在一起，\n不管去哪里冒险，我都觉得很开心哦～
WmapCommon2_00	{[1907|01cd]}对了，卡比！\n我们接下来要去哪里呢？
WmapCommon3_00	{[1401]}{[1900|02cd]}冒险真是让人兴奋呢！\n是因为有卡比作伴，所以冒险才这么有趣吗？
EstorySoulRestNum_00	{[1905|00cd]}这附近好像还有{color[ff4d2fff]}{[0301|0000]}个{color[000000ff]}\n狮王的灵魂哦！
EstorySoulLast_00	{[1905|04cd]}好像还有{color[ff4d2fff]}1个{color[000000ff]}狮王的灵魂\n残留在这附近哦！
EstorySoulCompleted_00	{[1905|05cd]}这附近似乎已经没有\n狮王的灵魂了哦。
EstoryPresentItem_00	{[1901|00cd]}啊～得阻止狮王加尔夫才行……！\n卡比，快使用这个！
TitleMenu.msbt
TopBtnContinue	继续游戏
TopBtnContinueP2	以双人模式继续游戏
TopBtnFileSelect	选择文件
TopBtnGameStart	开始
TopMenuFileName	文件 {[0301|0000]}
$TitleMenuCopyright	©HAL Laboratory, Inc. / Nintendo
$FileSelectFileName1Text	文件1
$FileSelectFileName2Text	文件2
$FileSelectFileName3Text	文件3
$FileSelectPercentText	%
$FileSelectSubTitleCasualText	春风模式
$FileSelectSubTitleStandardText	狂野模式
$FileSelectTitleText	选择文件
$FileSelectDeleteText	删除文件
$FileSelectNetConnectText	互联网设置
Town.msbt
TownName	瓦豆鲁迪小镇
Title_TheaterRoom	瓦豆鲁迪电影院
Title_AbilityRoom	瓦豆鲁迪武器店
Title_CapsuleToy	扭蛋机
Title_DeliveryService	瓦豆鲁迪快递
Title_KirbyHouse	卡比小屋
Title_FoodShop	瓦豆鲁迪咖啡店
Title_MgameFood	工作！瓦豆鲁迪咖啡店
Title_Arena	竞技场
Title_LookoutTower	展望台
Title_Pharmacy	瓦豆鲁迪道具店
Title_MgameFish	紧张刺激！刹那间的钓鱼池
Title_MgameBall	滚啊滚啊！滚球卡比
Title_StreetLive	街角瓦豆演奏
$FigureListGuideText	收藏
$CapsuleToyTurnText	转动
$Entry	正在参加大赛
$ConnectInfo	互联网
$UpdateInfo	{size[6400]}信息更新{size[6400]}
$Slash	/
$TipIn	放入1枚{color[ff4d2fff]}{[0100|8000]}{color[000000ff]}
$Auto	AUTO
$Music	TRACK No.
$MovieSelectSkipText	跳过
FigureSeries1	Vol.1
FigureSeries2	Vol.2
FigureSeries3	Vol.3
FigureSeries4	Vol.4
ShoppingWindow_Name_MaxTomato	M番茄
ShoppingWindow_Name_EnergyDrink	元气饮料
ShoppingWindow_Name_Food1	汽车塞满嘴蛋糕
ShoppingWindow_Name_Food2	卡比汉堡
ShoppingWindow_Name_LifeUp	生命提升
ShoppingWindow_Name_StrengthUp	攻击提升
ShoppingWindow_Name_SpeedUp	速度提升
ShoppingWindow_Detail_MaxTomato	回复所有体力
ShoppingWindow_Detail_EnergyDrink	回复大量体力
ShoppingWindow_Detail_Food1	回复体力
ShoppingWindow_Detail_Food2	回复体力
ShoppingWindow_Detail_LifeUp	体力变为2倍\n但不超过2倍
ShoppingWindow_Detail_StrengthUp	200秒内攻击力提升\n最多可叠加使用5个
ShoppingWindow_Detail_SpeedUp	200秒内速度提升\n最多可叠加使用5个
Wmap.msbt
$StageListGuidetText	关卡列表
$FigureListGuideText	收藏
$BackToTown	前往瓦豆鲁迪小镇
$Slash	/
ToTown	前往瓦豆鲁迪小镇
$StageStartStart	开始
$WmapComebackCountSlash	/
AddComebackedCount_Complete	瓦豆鲁迪 完成！
FindPlace	调查
ToNewContinent	前往禁区之岛
ToFirstContinent	前往初始大陆
StageList_CstageModeName	宝藏之路列表
StageList_StageModeName	关卡列表
TreasureRoadSearchHint	调查可疑的\n地方吧
TreasureRoadEvolvedHint	进化为\n{[0309|0000]}吧
TreasureRoadEstoryHint	继续进行\n接下来的故事吧
$StageListClose	关闭
$EstoryCountSlash	/
CstageZoneName_Copy_Normal	普通 宝藏
CstageZoneName_Copy_Bomb	炸弹 宝藏
CstageZoneName_Copy_ChainBomb	连锁炸弹\n宝藏
CstageZoneName_Copy_SearchBomb	自动追踪炸弹\n宝藏
CstageZoneName_Copy_TimeCrash	时间爆裂\n宝藏
CstageZoneName_Copy_Cutter	弯刀 宝藏
CstageZoneName_Copy_ChakramCutter	环刃弯刀\n宝藏
CstageZoneName_Copy_MetalCutter	全金属弯刀\n宝藏
CstageZoneName_Copy_Drill	钻击 宝藏
CstageZoneName_Copy_PencilDrill	铅笔钻击\n宝藏
CstageZoneName_Copy_TwinDrill	双重钻击\n宝藏
CstageZoneName_Copy_Fire	烈火 宝藏
CstageZoneName_Copy_VolcanoFire	火山烈火\n宝藏
CstageZoneName_Copy_DragonFire	龙之烈火\n宝藏
CstageZoneName_Copy_Hammer	锤子 宝藏
CstageZoneName_Copy_ToyHammer	哔哔锤子\n宝藏
CstageZoneName_Copy_RockHammer	狂野锤子\n宝藏
CstageZoneName_Copy_DededeHammer	蒙面锤子\n宝藏
CstageZoneName_Copy_Ice	冰冻 宝藏
CstageZoneName_Copy_FrostyIce	冰霜冰冻\n宝藏
CstageZoneName_Copy_BlizzardIce	暴风雪冰冻\n宝藏
CstageZoneName_Copy_Needle	针 宝藏
CstageZoneName_Copy_JunkNeedle	废品针 宝藏
CstageZoneName_Copy_CrystalNeedle	水晶针 宝藏
CstageZoneName_Copy_Ranger	探巡队 宝藏
CstageZoneName_Copy_EliteRanger	辉煌探巡队\n宝藏
CstageZoneName_Copy_SpaceRanger	太空探巡队\n宝藏
CstageZoneName_Copy_Sword	利剑 宝藏
CstageZoneName_Copy_GigantSword	庞大利剑\n宝藏
CstageZoneName_Copy_MetaSword	魅塔骑士利剑\n宝藏
CstageZoneName_Copy_MorphoSword	冥蝶骑士利剑\n宝藏
CstageZoneName_Copy_Tornado	龙卷风 宝藏
CstageZoneName_Copy_SwanTornado	天鹅龙卷风\n宝藏
CstageZoneName_Copy_StormTornado	风暴龙卷风\n宝藏
CstageZoneName_Deform_Car	汽车塞满嘴\n宝藏
CstageZoneName_Deform_Cone	三角锥塞满嘴\n宝藏
CstageZoneName_Deform_Cylinder	水管塞满嘴\n宝藏
CstageZoneName_Deform_Elevator	作业车塞满嘴\n宝藏
CstageZoneName_Deform_Lightbulb	灯泡塞满嘴\n宝藏
CstageZoneName_Deform_Ring	圈圈塞满嘴\n宝藏
CstageZoneName_Deform_Stairs	阶梯塞满嘴\n宝藏
CstageZoneName_Deform_VendingMachine	自动贩卖机塞满嘴\n宝藏
CstageZoneName_Deform_WaterBalloon	水球塞满嘴\n宝藏
CstageZoneName_Deform_Mix	塞满嘴总动员\n宝藏
CstageAbilityName_Deform_Mix	塞满嘴总动员
StageList_CstageZoneName	{[030c]} 宝藏
StageList_CstageZoneName_Deform_Mix	塞满嘴总动员 宝藏
Name\AbilityName.msbt
Kirby	卡比
BandanaWaddleDee	头巾瓦豆鲁迪
Copy_Normal	普通
Copy_Bomb	炸弹
Copy_ChainBomb	连锁炸弹
Copy_SearchBomb	自动追踪炸弹
Copy_Crash	爆裂
Copy_TimeCrash	时间爆裂
Copy_Cutter	弯刀
Copy_ChakramCutter	环刃弯刀
Copy_MetalCutter	全金属弯刀
Copy_Drill	钻击
Copy_PencilDrill	铅笔钻击
Copy_TwinDrill	双重钻击
Copy_Fire	烈火
Copy_VolcanoFire	火山烈火
Copy_DragonFire	龙之烈火
Copy_Hammer	锤子
Copy_ToyHammer	哔哔锤子
Copy_RockHammer	狂野锤子
