Adventure.txt
MID_ADV_アドベンチャー外へ出る	要到外头吗？
森の村.txt
MID_OP1	$t3$Wmアルム|h$w0|$Wmルカ|5$w0|$Wsルカ|$Wa$SbpBGM_EVT_AMB2|0|$SvpV_SC_3_04_OP1_00|阿鲁姆。$k$p$SvpV_SC_3_04_OP1_01|据报告，利盖尔军主队已经\n穿越森林往西边撤退了。$k$p$SvpV_SC_3_04_OP1_02|所以，我们下一次要\n对决的……$k$p$SvpV_SC_3_04_OP1_03|应该先会是前方堡垒的\n多哲军了。$k\n$Wsアルム|$Wa$E特殊1,|$SvpV_SC_3_04_OP1_04|是啊……\n诶，卢卡。$k$p$SvpV_SC_3_04_OP1_05|有关费尔南说的\n那个利盖尔的贝尔克特将军，$k$p$SvpV_SC_3_04_OP1_06|卢卡你知不知道什么消息呢？$k\n$Wsルカ|$Wa$E笑,|$SvpV_SC_3_04_OP1_07|知道啊，从以前就听说了不少传闻。$k$p$SvpV_SC_3_04_OP1_08|年纪好像\n跟你差不多啊。$k$p$SvpV_SC_3_04_OP1_09|$E通常,|继承王族血脉的年轻将军……$k$p$SvpV_SC_3_04_OP1_10|费尔南会如此崇拜他，\n也不是没有原因的。$k\n$Wsアルム|$Wa$SvpV_SC_3_04_OP1_11|$E悲,|…………$k$p$SvpV_SC_3_04_OP1_12|真的有那么重要吗？\n出身还有血脉那些……$k\n$Wsルカ|$Wa$E驚,|$SvpV_SC_3_04_OP1_13|阿鲁姆？$k\n$Wsアルム|$Wa$E通常,|$SvpV_SC_3_04_OP1_14|哦，抱歉。$k$p$SvpV_SC_3_04_OP1_15|我并不是要说\n贵族的坏话。$k\n$Wsルカ|$Wa$E笑,|$SvpV_SC_3_04_OP1_16|你在说什么啊。$k$p$SvpV_SC_3_04_OP1_17|你本身不也是传承了\n迈森伯爵的血脉吗？$k\n$Wsアルム|$Wa$E悲,|$SvpV_SC_3_04_OP1_18|虽说是那样……$k\n$Wsルカ|$Wd$w0|$Wmクレーベ|5$w0|$Wsクレーベ|$Wa$E悲,|$SvpV_SC_3_04_OP1_19|…………$k$p$SvpV_SC_3_04_OP1_20|阿鲁姆，\n穿过这座森林就是敌军阵地了。$k$p$SvpV_SC_3_04_OP1_21|只要专心眼前的战斗，不要多想其他事情了。$k\n$Wsアルム|$Wa$E驚,汗|$SvpV_SC_3_04_OP1_22|哦，嗯。\n对不起啊，克雷贝。$k\n$Wsクレーベ|$Wa$SvpV_SC_3_04_OP1_23|…………$k\n$Sbs1500|
MID_OP2	$t0$Wmベルクト|6$w0|$SswSE_EVT_3_HORSE_NEIGH2|$SbpBGM_EVT_BERKUT|0|$Wsベルクト|$Wa$SvpV_SC_3_04_OP2_00|$E笑,|终于来了，你们这群解放军。$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E驚,汗|$SvpV_SC_3_04_OP2_01|$p！？$k$p$SvpV_SC_3_04_OP2_02|费尔南！\n还有你……$k\n$Wsアルム|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E通常,|$SvpV_SC_3_04_OP2_03|我的名字叫做贝尔克特。$k$p$SvpV_SC_3_04_OP2_04|我是利盖尔帝国皇帝\n鲁道夫的侄子。$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E怒,|$SvpV_SC_3_04_OP2_05|贝尔克特……\n皇帝鲁道夫……！$k\n$Wsアルム|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E特殊1,|$SvpV_SC_3_04_OP2_06|你就是阿鲁姆吧。$k$p$SvpV_SC_3_04_OP2_07|在索菲亚城堡的战役中，\n你可让我打得很愉快啊。$k$p$SvpV_SC_3_04_OP2_08|对于胡乱拼凑的平民解放军来说，\n表现算很不错了。$k\n$Wsベルクト|$Wd$w0|$Wmクレーベ|6$w0|$Wsクレーベ|$Wa$E怒,|$SvpV_SC_3_04_OP2_09|我听说主队已经撤退了。\n为什么你们还在这里？$k\n$Wsクレーベ|$Wd$w0|$Wmフェルナン|6$w0|$Wsフェルナン|$Wa$E笑,|$SvpV_SC_3_04_OP2_10|那是贝尔克特大人开的小玩笑。\n他想要测试看看你们的实力。$k\n$Wsフェルナン|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E通常,|$SvpV_SC_3_04_OP2_11|最近都没有打仗，\n我的手腕都快荒废了。$k$p$SvpV_SC_3_04_OP2_12|$Eキメ,|那刚好。\n就让我们见识一下你的实力吧！$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E怒,汗|$SvpV_SC_3_04_OP2_13|！！\n大伙们，他们要来了！！$k\n$Sbs1000|
MID_BT1_2	$SbpBGM_EVT_BERKUT|0|$t3$Wmアルム|h$w0|$Wmベルクト|5$w0|$Wsベルクト|$Wa$SvpV_SC_3_04_BT1_06|$E驚,汗|你，那个左手的胎记是……$k\n$Wsアルム|$Wa$SvpV_SC_3_04_BT1_07|$E怒,|你想要说什么？\n这跟现在没有关系吧！$k\n$Wsベルクト|$Wa$SvpV_SC_3_04_BT1_08|$E苦,|……唔……\n没错。$k$p$SvpV_SC_3_04_BT1_09|像你这种单位，\n是不可能有圣痕的。$k$p$SvpV_SC_3_04_BT1_10|$E怒,|只是个相似的冒牌货。\n与平民的你还真相配啊！$k\n$Sbs750|
MID_BT2	$t0$Wmベルクト|0$w0|$Wsベルクト|$Wa$SvpV_SC_3_04_BT2_00|$Eキメ,|快点儿来吧！\n我来陪你玩玩儿。$k
MID_BOSS_DIE1	$t0$Wmベルクト|0$w0|$Wsベルクト|$Wa$SvpV_SC_3_04_BOSS_DIE1_00|$E苦,汗|唔……！\n竟然把我逼到这个地步。$k$p$SvpV_SC_3_04_BOSS_DIE1_01|……算了。$k$p$SvpV_SC_3_04_BOSS_DIE1_02|不值得为这样的\n试探赌上性命。$k
MID_BT3	$t0$Wmフェルナン|0$w0|$Wsフェルナン|$Wa$SvpV_SC_3_04_BT3_00|$E怒,|事到如今，根本没有必要\n测试你们的能力！$k
MID_BOSS_DIE2	$t0$Wmフェルナン|0$w0|$Wsフェルナン|$Wa$SvpV_SC_3_04_BOSS_DIE2_00|$E苦,汗|啊……！\n太大意了……$k$p$SvpV_SC_3_04_BOSS_DIE2_01|算了，撤退吧。$k
MID_ED1	$t3$Wmアルム|h$w0|$Wsアルム|$Wa$SvpV_SC_3_04_ED1_00|$E苦,汗|赢了……$k$p$SvpV_SC_3_04_ED1_01|不过，他们只有三组人马，\n竟然这么强……！$k\n$Wmクレーベ|5$w0|$Wsクレーベ|$Wa$SvpV_SC_3_04_ED1_02|$E悲,|这就是利盖尔帝国的实力吗……$k$p$SvpV_SC_3_04_ED1_03|我们这样\n真的可以……$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_3_04_ED1_04|克雷贝？$k\n$SbpBGM_EVT_AMB|2000|$Wsクレーベ|$Wa$E通常,|$SvpV_SC_3_04_ED1_05|哦，我没事。$k$p$SvpV_SC_3_04_ED1_06|对了，我们有伙伴\n被抓到多哲堡垒了。$k\n$Wsアルム|$Wa$E通常,|$SvpV_SC_3_04_ED1_07|嗯，我已经听说了。\n是玛蒂尔达对吧。$k$p$SvpV_SC_3_04_ED1_08|……那……那是克雷贝的……$k\n$Wsクレーベ|$Wa$E笑,|$SvpV_SC_3_04_ED1_09|嗯，是啊。\n玛蒂尔达是和我互订终身的对象。$k$p$SvpV_SC_3_04_ED1_10|$E悲,|我长久以来\n一直让她受苦……$k$p$SvpV_SC_3_04_ED1_11|$E通常,|不过，我终于能救她出来了。$k\n$Wsアルム|$Wa$SvpV_SC_3_04_ED1_12|太好了，克雷贝……$k$p$SvpV_SC_3_04_ED1_13|$E笑,|好，我也要加油！$k\n$Wsクレーベ|$Wa$E笑,|$SvpV_SC_3_04_ED1_14|……嗯。\n谢谢你，阿鲁姆。$k\n$Sbs2000|
森の村内部_3.txt
MID_ADV1_おばさん	$t3$Wmおばさん|5$w0|$Wmアルム|h$w0|$Wsおばさん|$Wa$SvpV_SC_3_26_ADV1_LADY_00|$E怒,|你们有什么事吗？\n这个村子里已经什么都不剩了。$k$p$SvpV_SC_3_26_ADV1_LADY_01|$E悲,|我一直奉公守法，\n安分守己地过日子……$k$p$SvpV_SC_3_26_ADV1_LADY_02|但却被多哲与利盖尔的军队\n糟蹋得体无完肤。$k$p$SvpV_SC_3_26_ADV1_LADY_03|$E苦,|你们是解放军吧？$k$p$SvpV_SC_3_26_ADV1_LADY_04|拜托你们，\n让多哲尝尝惨痛的教训吧。$k
MID_ADV1_男性	$t3$Wm男性|5$w0|$Wmアルム|h$w0|$Ws男性|$Wa$SvpV_SC_3_26_ADV1_MAN_00|$E驚,|你们是解放军吗？$k$p$SvpV_SC_3_26_ADV1_MAN_01|有谣言说，被抓到多哲堡垒的\n解放军士兵，$k$p$SvpV_SC_3_26_ADV1_MAN_02|将在近期内处决示众。$k\n$Ws男性|$Wd$w0|$Wm男性|3$w0|$Wmクレーベ|7$w0|$Wsクレーベ|$Wa$SvpV_SC_3_26_ADV1_MAN_03|$E苦,汗|你说什么！？\n玛蒂尔达她……$k\n$Ws男性|$Wa$E悲,|$SvpV_SC_3_26_ADV1_MAN_04|是啊。$k$p$SvpV_SC_3_26_ADV1_MAN_05|你们快点儿去救她吧。$k
MID_ADV1_女性	$t3$Wm女性|5$w0|$Wmアルム|h$w0|$Ws女性|$Wa$SvpV_SC_3_26_ADV1_WOMAN_00|$E怒,|多哲的手下经常到\n这个村子为非作歹。$k$p$SvpV_SC_3_26_ADV1_WOMAN_01|当中也有姑娘被\n恶行骑士给掳走……$k$p$SvpV_SC_3_26_ADV1_WOMAN_02|$E悲,|而且听说利盖尔帝国\n打算引发大洪水。$k$p$SvpV_SC_3_26_ADV1_WOMAN_03|啊啊～到底要到什么时候\n才能安心生活呢？$k
MID_ADV1_老人	$t3$Wm老人|5$w0|$Wmアルム|h$w0|$Ws老人|$Wa$SvpV_SC_3_26_ADV1_OLDMAN_00|鲁特与迪优特\n是开辟这个村子先驱的子孙。$k$p$SvpV_SC_3_26_ADV1_OLDMAN_01|他们的祖先是英雄索菲亚的头号\n魔道士弟子。$k$p$SvpV_SC_3_26_ADV1_OLDMAN_02|是代代优秀的魔道士世家。$k$p$SvpV_SC_3_26_ADV1_OLDMAN_03|$E苦,|这件事应该只有这个村子的居民与\n国王知道。$k$p$SvpV_SC_3_26_ADV1_OLDMAN_04|到底是谁将这件事\n泄露给利盖尔了……$k
MID_EV1	$t3$Wmアルム|h$w0|$Wmクレーベ|5$w0|$Sbs2000|$Wsクレーベ|$Wa$SvpV_SC_3_26_EV1_00|$E悲,|……阿鲁姆。\n可以借一步说话吗？$k\n$Wsアルム|$Wa$SvpV_SC_3_26_EV1_01|什么事？$k\n$SbpBGM_EVT_DESTINY_A|0|$Wsクレーベ|$Wa$E悲,|$SvpV_SC_3_26_EV1_02|是有关那个名叫鲁特的年轻人\n他妹妹的事……$k$p$SvpV_SC_3_26_EV1_03|我们这么轻易就答应请求，\n没有问题吗？$k$p$SvpV_SC_3_26_EV1_04|面对利盖尔的妖术军团，\n又有谁能保证护得了一个村姑的周全呢。$k\n$Wsアルム|$Wa$E悲,|$SvpV_SC_3_26_EV1_05|克雷贝……$k$p$SvpV_SC_3_26_EV1_06|你说得没错，可是……$k\n$Wsクレーベ|$Wa$E怒,|$SvpV_SC_3_26_EV1_07|首领是你，\n我会遵从你的决定。$k$p$SvpV_SC_3_26_EV1_08|不过，这支解放军的目的\n可不是为了救一个姑娘。$k$p$SvpV_SC_3_26_EV1_09|你不觉得有时候无情\n也是必要的吗？$k\n$Wsアルム|$Wa$E悲,|$SvpV_SC_3_26_EV1_10|…………$k$p$SvpV_SC_3_26_EV1_11|如果……\n我是说如果。$k$p$SvpV_SC_3_26_EV1_12|那个女孩不是普通的乡下姑娘，\n而是公主殿下的话，$k$p$SvpV_SC_3_26_EV1_13|克雷贝一定会\n舍命相救吧？$k\n$Wsクレーベ|$Wa$E悲,|$SvpV_SC_3_26_EV1_14|！！\n不过，那是……$k\n$Wsアルム|$Wa$E通常,|$SvpV_SC_3_26_EV1_15|我也不认为\n我能拯救所有的人。$k$p$SvpV_SC_3_26_EV1_16|就如你说的，\n也可能遇到必须见死不救的情况。$k$p$SvpV_SC_3_26_EV1_17|但绝不能以\n平民或贵族的身份来判断。$k$p$SvpV_SC_3_26_EV1_18|这是我的想法。$k\n$Wsクレーベ|$Wa$E驚,|$SvpV_SC_3_26_EV1_19|阿鲁姆……$k\n$Wsアルム|$Wa$E通常,|$SvpV_SC_3_26_EV1_20|这样或许会给大家添麻烦……$k$p$SvpV_SC_3_26_EV1_21|但你是否愿意助我一臂之力呢？$k\n$Wsクレーベ|$Wa$E悲,|$SvpV_SC_3_26_EV1_22|…………$k\n$Sbs1500|
森の村内部_C.txt
MID_ADV_C_リュート1	$Sbs2000|$t3$Wmリュート|5$w0|$Wmアルム|h$w0|$Wsリュート|$Wa$SvpV_SC_3_26_ADV1_RYUTO1_00|$E驚,|！！$k$p$SvpV_SC_3_26_ADV1_RYUTO1_01|你们是解放军吗？$k\n$Wsアルム|$Wa$E通常,|$SvpV_SC_3_26_ADV1_RYUTO1_02|没错，我们是解放军……\n你是？$k\n$SbpBGM_EVT_AMB2|0|$Wsリュート|$Wa$E苦,|$SvpV_SC_3_26_ADV1_RYUTO1_03|我叫鲁特，\n是这个森林村落中的魔道士。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_04|拜托你，救救我妹妹！$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_3_26_ADV1_RYUTO1_05|你的妹妹？$k\n$Wsリュート|$Wa$E悲,|$SvpV_SC_3_26_ADV1_RYUTO1_06|是的……$k$p$SvpV_SC_3_26_ADV1_RYUTO1_07|我的妹妹叫迪优特，她是这个村子里\n最有天分的魔道士。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_08|但利盖尔的妖术师塔塔拉\n发现她的天赋，把她抓走了。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_09|$E怒,|迪优特现在被那混账控制心灵，\n守着北方水闸。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_10|利盖尔打算一直关闭水闸，\n把索菲亚沉入水中。$k\n$Wsアルム|$Wa$E怒,汗|$SvpV_SC_3_26_ADV1_RYUTO1_11|你说什么！？$k$p$SvpV_SC_3_26_ADV1_RYUTO1_12|他们打算在索菲亚\n引发洪水吗？$k\n$Wsリュート|$Wa$E苦,|$SvpV_SC_3_26_ADV1_RYUTO1_13|没错。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_14|你们也必须阻止他们的计划吧？$k$p$SvpV_SC_3_26_ADV1_RYUTO1_15|如果你愿意救我妹妹，\n我也会帮你们的。$k$p$SvpV_SC_3_26_ADV1_RYUTO1_16|只要打败塔塔拉，\n迪优特应该就会清醒了。$k\n$Sbs1000|
MID_ADV_C_リュート_SELECT	要让鲁特成为伙伴吗？
MID_ADV_C_リュート2	$SbpBGM_EVT_AMB|2000|$t3$Wmリュート|5$w0|$Wmアルム|h$w0|$Wsリュート|$Wa$SvpV_SC_3_26_ADV1_RYUTO2_00|$E悲,|好吧……\n那也没办法。$k$p$SvpV_SC_3_26_ADV1_RYUTO2_01|$E通常,|毕竟你们有\n自己必须完成的使命。$k$p$SvpV_SC_3_26_ADV1_RYUTO2_02|但若你改变心意，\n随时都可以找我帮忙。$k
MID_ADV2_C_リュート	$t3$Wmリュート|5$w0|$Wmアルム|h$w0|$Wsリュート|$Wa$SvpV_SC_3_26_ADV2_RYUTO_00|$E通常,|怎么了？$k$p$SvpV_SC_3_26_ADV2_RYUTO_01|想借助我的力量吗？$k
MID_SUB26_1_おじさん	$t1$Wmおじさん|5$w0|$Wsおじさん|$Wa$SvpV_SC_3_26_ADV1_GENTLEMAN_00|$E悲,|啊啊，解放军的各位，\n请帮帮我。$k$p$SvpV_SC_3_26_ADV1_GENTLEMAN_01|我的女儿被石像鬼掳走，\n带到西方的祠堂去了。$k$p$SvpV_SC_3_26_ADV1_GENTLEMAN_02|如果你们可以帮助我，\n我就把宝物送给你们。$k$p$SvpV_SC_3_26_ADV1_GENTLEMAN_03|拜托你们，帮我这个忙吧。$k
MID_SUB26_2_おじさん	$t1$Wmおじさん|5$w0|$Wsおじさん|$Wa$SvpV_SC_3_26_ADV2_GENTLEMAN_00|$E笑,|哦，解放军的弟兄，\n我等你们很久了。$k$p$SvpV_SC_3_26_ADV2_GENTLEMAN_01|你们帮我\n从西方祠堂救回了女儿，$k$p$SvpV_SC_3_26_ADV2_GENTLEMAN_02|送给你们我的宝物做为谢礼。$k
MID_SUB26_2_女性	$t1$Wm女の子|5$w0|$Ws女の子|$Wa$SvpV_SC_3_26_ADV2_WOMAN_00|$E笑,|嘿嘿……\n谢谢你们救了我。$k
MID_SUB30_1_1	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa诶，诶！\n我好想要可爱的东西啊！$k
MID_SUB30_1_確認1	要给她东西吗？
MID_SUB30_1_2	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa哇，好可爱！\n我真的可以收下吗？$k$p谢谢你～！\n这个送你当作谢礼。$k
MID_SUB30_1_確認2	你接受了“小齿轮”。
MID_SUB30_1_3_1	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa诶？\n这是什么，我才不要。$k
MID_SUB30_1_3_2	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa这个根本一点儿也不可爱啊！$k
MID_SUB30_1_3_3	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa讨厌，不要开人家玩笑！$k
MID_SUB30_1_3_4	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa嗯……\n不是太可爱。$k
MID_SUB30_1_確認3	要给她别的东西吗？
MID_SUB30_2_1	$Z$t1$Wm女の子|5$VF隠|$w0|$Ws女の子|$Wa唉哟，你一直拿不可爱的给我！\n我不跟你拿了。$k
MID_SUB30_1_確認4	女孩子离开了。
MID_SUB27_1_1	$Z$t1$Wm女性|5$VF隠|$w0|$Ws女性|$Wa$VNMPID_商人の妻|求求你，请帮我！$k$p我的丈夫去索菲亚城堡行商后，\n就一直没有回来。$k$p孩子都快要出生了……\n他一定是出了什么意外。$k$p然后，我听说这个村子的女孩子，\n有几个人被抓到森林祠堂去了，$k$p我猜也许我丈夫\n也被抓走了……$k$p如果可以，\n你能去森林祠堂帮我看看吗？$k
MID_SUB27_3_1	$Z$t1$Wm女性|5$VF隠|$w0|$Ws女性|$Wa$VNMPID_商人の妻|请问……\n你找到我丈夫了吗？$k$p他应该是在森林祠堂里……$k
MID_SUB27_3_確認1	要告诉她墙上的留言吗？
MID_SUB27_3_2	$Z$t1$Wm女性|5$VF隠|$w0|$Ws女性|$Wa$VNMPID_商人の妻|……怎么会…………\n啊啊……！！$k
MID_SUB27_3_確認2	商人之妻离开了。
MID_SUB27_5_1	$Z$t1$Wm女性|5$VF隠|$w0|$Ws女性|$Wa$VNMPID_商人の妻|啊，等一下……！$k$p谢谢你们从奴伊巴巴馆\n救了我丈夫！$k$p有一阵子我都觉得没希望了……$k$p这是我们家的护身符。\n请你一定要收下。$k
MID_SUB27_5_確認1	你接受了“木雕米拉”。
MID_SUB27_5_2	$Z$t1$Wm女性|5$VF隠|$w0|$Ws女性|$Wa$VNMPID_商人の妻|真的非常感谢你的帮忙。$k
死亡.txt
MID_DIE_アルム	$t1$Wmアルム|7$w0|$Wsアルム|$Wa$SvpV_DIE_ARUM_00|$E苦,汗|可恶……\n明明只差一点点就……$k$p$SvpV_DIE_ARUM_01|抱歉了……\n赛莉卡……$k
MID_DIE_ルカ	$t1$Wmルカ|7$w0|$Wsルカ|$Wa$SvpV_DIE_LUKA_00|$E悲,|看来……\n到此为止了呢……$k$p$SvpV_DIE_LUKA_01|能跟各位并肩作战……\n这样的人生……还算不赖啊……$k
MID_DIE_グレイ	$t1$Wmグレイ|7$w0|$Wsグレイ|$Wa$SvpV_DIE_GRAY_00|$E苦,汗|啊――啊……\n我搞砸了……$k$p$SvpV_DIE_GRAY_01|果然……\n好男人不长命……$k
MID_DIE_ロビン	$t1$Wmロビン|7$w0|$Wsロビン|$Wa$SvpV_DIE_ROBIN_00|$E苦,汗|好疼……看来……\n我已经不行了……$k$p$SvpV_DIE_ROBIN_01|阿鲁姆，\n我相信你可以的……$k
MID_DIE_クリフ	$t1$Wmクリフ|7$w0|$Wsクリフ|$Wa$SvpV_DIE_QULYF_00|$E悲,|呼……\n到此为止了吗……$k$p$SvpV_DIE_QULYF_01|我还想再……多看看……\n这个世界啊……$k
MID_DIE_エフィ	$t1$Wmエフィ|7$w0|$Wsエフィ|$Wa$SvpV_DIE_EFI_00|$E特殊1,|啊……阿鲁姆……\n我再也见不到你了……$k$p$SvpV_DIE_EFI_01|不要……这种结局……\n我不要……$k
MID_DIE_シルク	$t1$Wmシルク|7$w0|$Wsシルク|$Wa$SvpV_DIE_SILK_00|$E悲,|啊……米拉大人……\n我的灵魂将归还于您……$k$p$SvpV_DIE_SILK_01|所以请您……\n加护大家……$k
MID_DIE_クレア	$t1$Wmクレア|7$w0|$Wsクレア|$Wa$SvpV_DIE_CLEA_00|$E苦,汗|各位，\n请守护着阿鲁姆……$k$p$SvpV_DIE_CLEA_01|$Eキメ,|我这一生……\n已非常幸福……$k
MID_DIE_クレーベ	$t1$Wmクレーベ|7$w0|$Wsクレーベ|$Wa$SvpV_DIE_CLERBE_00|$E悲,汗|嗯……\n我也到此为止了吗……$k$p$SvpV_DIE_CLERBE_01|抱歉了，各位……\n玛蒂尔达……$k
MID_DIE_フォルス	$t1$Wmフォルス|7$w0|$Wsフォルス|$Wa$SvpV_DIE_FOLS_00|$E悲,|看来……我已经……\n无法再帮上忙了……$k$p$SvpV_DIE_FOLS_01|非常抱歉，克雷贝大人……$k
MID_DIE_パイソン	$t1$Wmパイソン|7$w0|$Wsパイソン|$Wa$SvpV_DIE_PAISON_00|$Eキメ,汗|这样就……结束了吗……\n呵呵，真没意思啊……$k$p$SvpV_DIE_PAISON_01|不过……倒是……\n很适合……我……$k
MID_DIE_リュート	$t1$Wmリュート|7$w0|$Wsリュート|$Wa$SvpV_DIE_RYUTO_00|$E苦,汗|我的魔力未逮……\n难道这也是……宿命吗……$k
MID_DIE_マチルダ	$t1$Wmマチルダ|7$w0|$Wsマチルダ|$Wa$SvpV_DIE_MACHILDA_00|$E悲,|啊……克雷贝……$k$p$SvpV_DIE_MACHILDA_01|真想与你一起……\n活在和平的时代……$k
MID_DIE_デューテ	$t1$Wmデューテ|7$w0|$Wsデューテ|$Wa$SvpV_DIE_DYUTE_00|$E悲,汗|我会……\n死掉吗……？$k$p$SvpV_DIE_DYUTE_01|不要……\n我还有好多……想做的事……$k
MID_DIE_ティータ	$t1$Wmティータ|7$w0|$Wsティータ|$Wa$SvpV_DIE_TEETA_00|$E悲,|啊……吉克……$k$p$SvpV_DIE_TEETA_01|能遇见你……\n我好幸福……$k
MID_DIE_ジーク	$t1$Wmジーク|7$w0|$Wsジーク|$Wa$SvpV_DIE_ZEAK_00|$E苦,|抱歉，缇塔……$k$p$SvpV_DIE_ZEAK_01|$E特殊1,|……啊，你是……\n……这样啊……$k
MID_DIE_マイセン	$t1$Wmマイセン|7$w0|$Wsマイセン|$Wa$SvpV_DIE_MAISEN_00|$E悲,|阿鲁姆……赛莉卡……$k$p$SvpV_DIE_MAISEN_01|你们要超越我……\n瓦伦西亚就……拜托了……$k
MID_DIE_セリカ	$t1$Wmセリカ|7$w0|$Wsセリカ|$Wa$SvpV_DIE_CELLICA_00|$E悲,|我果然……\n什么都办不到吗……？$k$p$SvpV_DIE_CELLICA_01|对不起，阿鲁姆……$k
MID_DIE_メイ	$t1$Wmメイ|7$w0|$Wsメイ|$Wa$SvpV_DIE_MAY_00|$E悲,汗|嘿嘿嘿……\n我真是的……$k$p$SvpV_DIE_MAY_01|这么笨拙……真是没用呢……$k
MID_DIE_ボーイ	$t1$Wmボーイ|7$w0|$Wsボーイ|$Wa$SvpV_DIE_BOOWY_00|$E苦,汗|啊――啊……\n到此为止了吗……$k$p$SvpV_DIE_BOOWY_01|赛莉卡大人……\n请您……别放弃……$k
MID_DIE_ジェニー	$t1$Wmジェニー|7$w0|$Wsジェニー|$Wa$SvpV_DIE_JENNY_00|$E悲,汗|好疼啊……\n赛莉卡大人……$k$p$SvpV_DIE_JENNY_01|我……再也……\n见不到大家了吗……？$k
MID_DIE_コンラート	$t1$Wmコンラート|7$w0|$Wsコンラート|$Wa$SvpV_DIE_CONRAD_00|$E笑,|哈哈……我果然……\n无法成为英雄吗……$k$p$SvpV_DIE_CONRAD_01|安蒂洁……\n只要……你能幸福……$k
MID_DIE_セーバー	$t1$Wmセーバー|7$w0|$Wsセーバー|$Wa$SvpV_DIE_SAVOR_00|$E苦,|诶……\n我竟会落得如此……$k$p$SvpV_DIE_SAVOR_01|$E笑,|不过……\n也还不算太差……$k
MID_DIE_バルボ	$t1$Wmバルボ|7$w0|$Wsバルボ|$Wa$SvpV_DIE_VALBO_00|$E悲,|抱歉啊……\n我无法继续战斗了……$k$p$SvpV_DIE_VALBO_01|啊……是你们……\n我现在……就过去……$k
MID_DIE_カムイ	$t1$Wmカムイ|7$w0|$Wsカムイ|$Wa$SvpV_DIE_KAMUI_00|$E苦,|啊――啊……\n要在这里结束了吗……$k$p$SvpV_DIE_KAMUI_01|$E悲,|算了，反正不管在哪里……\n都只会……归于尘土……$k
MID_DIE_レオ	$t1$Wmレオ|7$w0|$Wsレオ|$Wa$SvpV_DIE_LEO_00|$E苦,汗|讨厌……真是的……\n人家好像搞砸了……$k$p$SvpV_DIE_LEO_01|早知如此……就该战斗得更华丽些……\n对吧……？$k
MID_DIE_パオラ	$t1$Wmパオラ|7$w0|$Wsパオラ|$Wa$SvpV_DIE_PAOLA_00|$E特殊1,|阿贝尔……\n对不起，我无法回去了……$k
MID_DIE_カチュア	$t1$Wmカチュア|7$w0|$Wsカチュア|$Wa$SvpV_DIE_KACHUA_00|$E悲,|啊……\n好想回去……阿卡奈亚……$k
MID_DIE_アトラス	$t1$Wmアトラス|7$w0|$Wsアトラス|$Wa$SvpV_DIE_ATLAS_00|$E悲,|可恶……\n竟然要死在这种地方……$k$p$SvpV_DIE_ATLAS_01|哥哥回不去了……\n对不起……$k
MID_DIE_ジェシー	$t1$Wmジェシー|7$w0|$Wsジェシー|$Wa$SvpV_DIE_JESEY_00|$E苦,|啊……\n我也到此为止了吗……$k$p$SvpV_DIE_JESEY_01|$Eキメ,|这段日子还挺开心的……\n永别了……$k
MID_DIE_ソニア	$t1$Wmソニア|7$w0|$Wsソニア|$Wa$SvpV_DIE_SONYA_00|$E悲,|我的命运……\n大概就到此结束了吧……$k$p$SvpV_DIE_SONYA_01|姐……姐……$k
MID_DIE_ディーン	$t1$Wmディーン|7$w0|$Wsディーン|$Wa$SvpV_DIE_DEEN_00|$E苦,汗|真……真不甘心……\n我还……$k
MID_DIE_エスト	$t1$Wmエスト|7$w0|$Wsエスト|$Wa$SvpV_DIE_EST_00|$E悲,|姐姐……\n对不起……$k
MID_DIE_ノーマ	$t1$Wmノーマ|7$w0|$Wsノーマ|$Wa$SvpV_DIE_NORMA_00|$E悲,|但愿米拉的加护……\n常伴诸位身旁……$k
MID_DIE_ベルクト	$t1$Wmベルクト|7$w0|$Wsベルクト|$Wa$SvpV_DIE_BERKUT_00|$E苦,汗|咳……\n我……我竟会……！$k
MID_DIE_フェルナン	$t1$Wmフェルナン|7$w0|$Wsフェルナン|$Wa$SvpV_DIE_FERNAND_00|$Eキメ,|啊……我终于……\n能去大家的身边了……$k
