Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
SM_000070_0080_NAR	想到这里，她对摩根娜的不满\n不断涌上心头。
SM_000070_0090_CER	“摩根娜真是的，从来都\n没有夸过我。就连我成功使用了\n魔导术的时候她都没夸过我。”
SM_000070_0110_NAR	就在她对着小柴猫\n发牢骚的时候，她把视线\n移到了自己戴着的魔导器上。
SM_000070_0120_CER	“你、你说什么！？\n我要是擅自把魔导器拿出去，\n肯定又会被摩根娜打屁股的！”
SM_000070_0130_NAR	可现在正是背着摩根娜\n偷偷去森林的好机会。
SM_000070_0140_CER	“对啊，要是刚才\n她愿意再让我试一试，\n那我肯定已经成功了。”
SM_000070_0150_NAR	要是能召唤出恶魔，\n对付区区妖精根本不在话下。
SM_000070_0160_CER	“我要去森林！\n要是我平安回来了，\n摩根娜肯定会夸我的。\n\n好，我们走吧，小柴猫！”
SM_000070_0170_LUC	“来阿瓦隆森林吧……\n白狼会为你引路……”
PH_0020_0000_NAR	瑟蕾莎没有听从\n摩根娜的劝告，\n就这样跑进了阿瓦隆森林。
PH_0020_0010_NAR	她丝毫不知，自己的命运\n会因此发生巨大的改变——
LV_000005_0000_CER	我好像……看到了什么。
LV_000005_0010_CER	这里是……
LV_000010_0000_CER	为什么要说那么过分的话……
LV_000010_0010_CER	别说了……\n别再说了……
LV_000015_0000_CER	贞德，等等我，\n我没办法跑那么快。
LV_00015_0010_CER	贞德，等等我！\n我不像你，什么事\n都能做得那么好。
LV_000020_0000_CER	我、我知道了！
LV_000025_0000_CER	还差一点了……\n等着我哦，妈妈。
LV_000030_0000_CER	妈妈！
LV_000035_0000_CER	咦！？
LV_000040_0000_CER	唔、唔——
LV_000050_0000_CER	不要啊——
LV_000055_0000_MOR	瑟蕾莎！\n瑟蕾莎——
LV_000055_0010_MOR	你在哪里啊！瑟蕾莎！！
LV_000060_0000_MOR	怎么了？\n工作都做完了吗？
LV_000065_0000_CER	嘿咻……嘿咻……
LV_000070_0000_CER	呜哇，哎哟……
LV_000075_0000_CER	好、好重啊……！\n是不是水装得太多了……？
LV_000080_0000_NAR	打水，搬运。\n看起来都只是在帮忙干活——
LV_000080_0010_NAR	但这其实是暗影魔女秘传的训练方式之一，\n可以训练力道的轻重与平衡。
LV_000085_0000_NAR	摩根娜所培育的香草\n并不只是普通的药草。\n而是会释放刺鼻气味的魔界植物。
LV_000085_0010_NAR	这些植物平时会为躲避日光而藏到土里，\n但只要浇灌魔力，它们就会一起冒出来。
LV_000090_0000_CER	来，这是你们最爱的魔力哦！
LV_000095_0000_CER	快点出来吧！
LV_000100_0000_CER	就是这样！
LV_000105_0000_CER	好像还差一点点。
LV_000110_0000_CER	最后一次！
LV_000115_0000_CER	已经足够了吧？
LV_000120_0000_CER	呜呜……要是没有这股味道，\n我还是挺喜欢采香草的……
LV_000125_0000_NAR	瑟蕾莎想了想接下来要做的事，\n觉得有些害怕……但是心中\n不断涌现的好奇心驱使着她。
LV_000130_0000_CER	我们要进去了哦，小柴猫。
IN_0000_0040_WIC	“你在那里干什么！？”
LV_001025_0000_NAR	一阵阵清香涌入瑟蕾莎的鼻腔，\n那是能驱魔的迷迭香散发出来的味道。
LV_001025_0010_NAR	一闻到这种香气，小柴猫\n就吵嚷着说不想靠近。
LV_001025_0020_NAR	看来这种香味\n能让恶魔感到痛苦。
LV_000900_0000_NAR	“我现在心情很糟糕，当心被我踢飞！”\n看到突然出现的妖精，恶魔猛地扑了过去。
LV_000905_0000_CER	这是……妖精们的宝箱？\n里面装了什么呢？
LV_000910_0000_CER	等等，开玩笑的吧！？\n呀——
LV_000915_0000_CER	好厉害……！真不愧是贞德。\n谢谢你！
IN_0020_0000_WIA	给我到一边去！
IN_0020_0010_WIA	你就是个累赘！
IN_0020_0020_WIA	快给我消失！
IN_0020_0030_WIA	真是活该！
LV_000920_0000_CER	“妈妈……？”
LV_000925_0000_CER	“这是什么呀……！\n不要啊，别过来……！”
LV_000930_0000_CER	咦？怎么精神好得到处跑！？\n得抓住它才行……！
LV_000935_0000_CER	呼，就快要到训练的时间了。\n得快点去广场，不然会被摩根娜骂的。
LV_000940_0000_CER	感觉我的魔导术越来越熟练了……！\n多亏有这个魔导器。
LV_000945_0010_CER	好痛……\n真是一场灾难啊。
Text/sidestory
BK_9000_0000_JEA	“我感受到了……危险的气息……\n瑟蕾莎……你要当心！”
BK_9010_0000_NAR	这是小魔女与迷途恶魔\n逐步敞开心扉交心的故事。\n但是……在这个故事背后，\n还藏着另一个不为人知的故事。
BK_9010_0010_NAR	读完这本书的你，\n应该还记得这个场景吧。\n秘密故事便由此开始。
BK_9010_0020_NAR	那是两个小魔女\n结下深厚情谊的故事。\n是绝不能告诉任何人的秘密。
BK_9010_0030_CER	“这是哪……？\n我回到了森林……对吧？”
BK_9010_0040_CER	“咦？小柴猫？\n小柴猫？你在哪——！”
BK_9010_0050_CER	“……！！”
BK_9010_0060_CER	“这是哪里？\n小柴猫！\n小柴猫，你去哪儿了！！”
BK_9010_0070_CER	“呀——！！”
BK_9010_0080_NAR	瑟蕾莎被困在神奇的空间内，\n变得像石头般动弹不得。
BK_9010_0090_NAR	小柴猫也不见了踪影。\n这也是妖精们干的好事吗？
BK_9010_0100_SIN	“谢谢你。是你跟妖精们产生的力量共鸣\n引导我来到这里。”
BK_9010_0110_SIN	“我很惊讶，\n你小小年纪居然就能抵抗我的力量……\n不过，你迟早都会变成我的东西。”
BK_9020_0000_JEA	“瑟蕾莎……！”
BK_9020_0010_JEA	“她只是进入那座森林而已，\n应该用不着担心……\n不过，这股气息不同于那座森林的力量。”
BK_9020_0020_JEA	“虽然有违暗影教义……\n但现在也只能使用那个魔导术了。”
BK_9020_0030_NAR	有一名担心瑟蕾莎的少女\n始终默默地注视着她。\n那就是学习暗影魔导术的\n见习魔女，贞德。
BK_9020_0040_NAR	贞德与瑟蕾莎不同，\n是在魔女村子里修行的，\n但她们总会偷偷在村外碰面，\n互相比试。
BK_9020_0050_JEA	“唉，她总是这么\n让人操心……！”
BK_9020_0060_NAR	贞德化作魂魄离开了身体，\n朝着阿瓦隆森林出发。
BK_9020_0070_NAR	这种魔导术十分危险，\n可贞德还是毫不犹豫地这么做了。
BK_9020_0080_NAR	因为贞德也想变成最强的魔女，\n她的坚定决心不输瑟蕾莎。
BK_9020_0090_JEA	“这股气息……果然不属于妖精。\n这座森林里……还藏着别的东西。”
BK_9020_0100_JEA	“瑟蕾莎，你在哪……？”
BK_9020_0110_NAR	贞德来到了阿瓦隆森林。\n森林中的某处传来了令人害怕的气息。
SM_009010_0000_NAR	走在森林中的贞德\n发现了奇怪的东西。
SM_009010_0010_JEA	“这是……瑟蕾莎的玩偶？\n瑟蕾莎真的出事了……！”
SM_009010_0020_JEA	“呜……！\n这果然不是妖精的力量……”
SM_009010_0030_NAR	“你是谁！？”\n小柴猫突然开了口。
SM_009010_0040_JEA	“咦！？\n什么人！？”
SM_009010_0050_NAR	“别装傻了！\n是你把我困在这里的吧！？”\n小柴猫挣扎着想要从洞里脱身。
SM_009010_0060_NAR	但阻止洞口关闭就已经耗尽了它的力气，\n做不出更多动作让自己出来。
SM_009010_0070_JEA	“你是恶魔吗……？\n在那种地方做什么？\n瑟蕾莎在哪里！”
SM_009010_0080_NAR	“瑟蕾莎……？\n你认识她？”\n小柴猫警惕地瞪着贞德。
SM_009010_0090_JEA	“我是暗影魔女……\n见习魔女贞德。\n我是来救瑟蕾莎的。”
SM_009010_0100_JEA	“你把她弄到哪里去了？\n快给我出来！”
SM_009010_0110_NAR	“哼……我也不知道她去了哪。”\n小柴猫看起来很痛苦，\n勉强说出了这么一句话。
SM_009010_0120_JEA	“你该不会是……\n瑟蕾莎召唤来的恶魔吧？”
SM_009010_0130_NAR	贞德始终关注着瑟蕾莎的行动，\n所以她很快就明白了这个奇怪恶魔的来历。
SM_009010_0140_NAR	她思考了一会儿，\n想到了一个好点子。
SM_009010_0150_JEA	“喂，恶魔。\n我可以帮你出来。但是——\n你要答应我，帮我找到瑟蕾莎。”
SM_009010_0160_NAR	“找她？”\n小柴猫警惕地反问。
SM_009010_0170_JEA	“没错，只要你答应我，\n我就把你转移到这里面去。\n这是我以防万一准备的容器。”
SM_009010_0180_NAR	贞德说着拿出了一个红猫玩偶。
SM_009010_0190_NAR	它跟破破烂烂的小柴猫不同，\n有着柔顺的光鲜毛绒。\n然而……
SM_009010_0200_NAR	“我不相信人类，休想骗我！”\n小柴猫朝着贞德吼道。
SM_009010_0210_JEA	“是吗……那就随你的便吧。”
SM_009010_0220_NAR	说完，\n贞德就丢下小柴猫走开了。
SM_009010_0230_NAR	“慢、慢着！”\n小柴猫慌忙叫住了她。
SM_009010_0240_NAR	没错。再这么下去，\n小柴猫就要被吞进洞里去了。
SM_009010_0250_NAR	“行，我就到这个玩偶里面去。\n你要是敢骗我，我就吃了你！”\n小柴猫不情不愿地答应了贞德的提议。
SM_009010_0260_JEA	“呵……恶魔啊，\n寄宿到我的容器之中吧！”
SM_009010_0270_JEA	“就算是这种家伙，\n多少也能派上点用处吧。\n恶魔，你叫什么名字？”
SM_009010_0280_NAR	“我没有名字！”\n虽说贞德从洞里救出了小柴猫，\n可她的态度似乎让它很不高兴。
SM_009010_0290_JEA	“是吗……\n那我喊你查尔斯吧。”
SM_009010_0300_NAR	“查尔斯！？”\n奇怪的名字让小柴猫慌了神。
SM_009010_0310_JEA	“怎么了？\n既然你没名字，那叫什么都好吧。\n查尔斯，我们走吧！\n现在可没时间磨蹭……！”
SM_009010_0320_JEA	这就来了啊。\n查尔斯，让我看看你的实力吧！
SM_009010_0330_NAR	小柴猫不喜欢这个名字，\n摆出了不快的脸色，\n但眼下并没有时间跟她争论。
SM_009010_0340_NAR	贞德与小柴猫……\n不，贞德与查尔斯就这样踏上了\n寻找瑟蕾莎的冒险之旅。
BK_9040_0000_JEA	“就是这里！\n这个房间的某处传来了\n瑟蕾莎的微弱气息！\n而且……”
BK_9040_0010_NAR	那里有一股不同于妖精的可怕气息。
BK_9040_0020_NAR	“快看那个！”\n查尔斯似乎发现了什么。
BK_9040_0030_NAR	定睛一看，\n远处飘浮着一道人影。
BK_9040_0040_NAR	那是被某种力量束缚的瑟蕾莎，\n她就像石头一样纹丝不动。
BK_9040_0050_NAR	瑟蕾莎的脸色苍白，\n仿佛是被冻住了。
BK_9040_0060_JEA	“瑟蕾莎！！”
BK_9040_0070_JEA	“呜……！”
BK_9040_0080_NAR	还差一点点就能碰到时，\n贞德和瑟蕾莎被强行分开了。\n查尔斯注意到了什么，\n呲牙低吼了起来。
BK_9040_0090_NAR	出现在他们面前的是\n不祥气息的源头。\n那飘浮在空中的样子\n看上去与亡灵无异。
BK_9040_0100_NAR	那仿佛能看穿一切的眼睛，\n让他们俩不禁屏住了呼吸。
BK_9040_0110_JEA	“跟我搭话的人……\n就是你吧。\n你是什么人？”
BK_9040_0120_SIN	“勇敢的小姑娘，我们又见面了。\n不，这应该算是我们初次见面？
BK_9040_0130_SIN	至于我是什么人……\n你们就当我是‘确定现象者’吧。”
BK_9040_0140_JEA	“今天遇到的怎么都是无名人士……\n但不管你是谁，胆敢与我们暗影魔女\n为敌者，我都不会手下留情。”
BK_9040_0150_SIN	“统治者·夏娃·原型。
BK_9040_0160_SIN	她的抵抗出乎我的预料，\n所以我不得已来到了这里。”
BK_9040_0170_SIN	“虽然这么做有些绕远路，\n但我要在这里将她据为己有——\n确定我的世界！”
BK_9040_0180_NAR	亡灵的眼神，\n变得像怪物一般可怖。
BK_9040_0190_NAR	但贞德与查尔斯丝毫没有退缩。
BK_9040_0200_JEA	“什么乱七八糟的……\n她是我这个暗影魔女的朋友，\n我不准你碰她一根汗毛。”
BK_9040_0210_JEA	“如果不退下，\n我就要对你发动暗影制裁！”
BK_9050_0000_JEA	“怎么了？\n刚才还说大话呢，这就要投降了？”
BK_9050_0010_NAR	“看起来很难吃的样子，\n我要在尝到味道前一口气吞进去！”\n查尔斯也龇牙咧嘴地吠叫着。
BK_9050_0020_NAR	然而，绿色亡灵只是静静地站起来，\n露出了阴森的笑容。
BK_9050_0030_SIN	“贞德，反抗我会有什么下场，\n你还没明白吗？”
BK_9050_0040_JEA	“咦……！？\n你怎么会知道我的名字……？”
BK_9050_0050_SIN	“贞德，我就让你看看，\n你继续这样走下去会有怎样的下场！”
BK_9050_0060_NAR	绿色亡灵突然使出奇怪的法术，\n将他们俩的身体绑了起来。
BK_9050_0070_NAR	就在下一个瞬间，\n可怕的幻觉流入贞德的脑海。
BK_9050_0080_JEA	
BK_9050_0090_NAR	幻觉中的成年贞德惨遭杀害，\n一切就像是个噩梦。
BK_9050_0100_NAR	“看我把这些小伎俩都还给你！”\n查尔斯拼了命地挣扎，\n但它还是动弹不得。
BK_9050_0110_SIN	“贞德，\n你方才看到的就是你未来的模样。\n如果继续跟那个人扯上关系，\n你的下场就是如此沉重。
BK_9050_0120_SIN	想避免那样的未来，就赶紧离开这里。\n没有人会因此责备你。”
BK_9050_0130_NAR	绿色亡灵再度飘浮起来，\n俯瞰着一切。\n接着，他缓缓地转向\n依旧无法动弹的瑟蕾莎。
BK_9050_0140_SIN	“统治者·夏娃·原型……\n你也抵抗不了多久了。\n是时候将你的身体献给我了。”
BK_9050_0150_SIN	“这样一来，\n我终于能够确定我的世界……！”
BK_9050_0160_SIN	“唔！？”
BK_9050_0170_JEA	“我应该说过了，她是我暗影魔女的朋友，我不准你碰她一根汗毛！”
BK_9050_0180_NAR	贞德终于站了起来。
BK_9050_0190_SIN	“是法术的威力还不够吗……？\n那我就再让你看一次吧。”
BK_9050_0200_SIN	“连、连你也……！？”
BK_9050_0210_NAR	“她答应我的事还没实现，\n我绝对不会让你得逞！”\n查尔斯也大声吼道。
BK_9050_0220_SIN	“贞德，你应该看到了自己的未来。\n为何还要反抗我……？”
BK_9050_0230_JEA	“我绝不会逃避。\n为了成为最强的魔女……！”
BK_9060_0000_JEA	“查尔斯！”
BK_9060_0010_SIN	“我也早就说过……\n我会确定我的世界！\n凭你们是无法改变的，\n绝对无法改变。”
BK_9060_0020_NAR	绿色亡灵的右手泛起了冰冷的光。
BK_9060_0030_JEA	“住、住手！”
BK_9060_0040_SIN	“你们人类，\n走投无路时总会这么说。
BK_9060_0050_SIN	然后下一瞬间，\n你们就会因为事与愿违\n而露出绝望的表情。”
BK_9060_0060_JEA	“你……你放手……！\n快……放手！！”
BK_9060_0070_NAR	查尔斯痛苦地大叫。\n它的身体像是被灼烧一般\n变得破破烂烂。
BK_9060_0080_SIN	“等我解决了它就来对付你。\n我已经给过你忠告，劝你离开此处……\n很遗憾，你并不听劝。”
BK_9060_0090_JEA	“瑟蕾莎……你快醒醒……！”
BK_9060_0100_JEA	“瑟蕾莎……瑟蕾莎！
BK_9060_0110_JEA	你快睁开眼睛啊！”
BK_9060_0120_SIN	“没用的。\n统治者·夏娃·原型中了我的法术。\n她绝对不会醒来……永远不会。”
BK_9060_0130_JEA	“瑟蕾莎，我们不是约好了吗！\n我们要一起变强啊！
BK_9060_0140_JEA	如果你也是高洁的暗影魔女，\n现在就……立刻证明给我看！”
BK_9060_0150_NAR	炫目的光芒出现在了眼前。\n周围被照亮得像是白天，\n一切都在这片光芒中逐渐融化。
BK_9060_0160_SIN	“这是……怎么回事！？\n统治者·夏娃·原型\n居然觉醒了……！？”
BK_9060_0170_SIN	“呜哇——！”
BK_9070_0000_SIN	“呜啊——！”
BK_9070_0010_NAR	绿色亡灵发出了震耳欲聋的叫声。
BK_9070_0020_SIN	“怎……怎么可能有这种事……！？
BK_9070_0030_SIN	贞德……如此一来，\n你就再也逃离不了悲惨的命运了……！”
BK_9070_0040_JEA	“命运根本不值得我害怕。\n我会勇敢面对！”
BK_9070_0050_SIN	“啊啊啊……！”
BK_9070_0060_NAR	绿色亡灵像是燃尽了一般，消失了。
BK_9070_0070_NAR	周围的景色仿佛是受到了影响，\n也开始分崩离析。
BK_9070_0080_JEA	“一切都在消失……\n这些都是他展示的幻觉吗？
BK_9070_0090_JEA	瑟蕾莎呢！？”
SM_009020_0100_NAR	瑟蕾莎的脸色恢复了正常。
SM_009020_0110_NAR	虽然还没有要醒过来的迹象……\n但她脸上带着浅浅的微笑，\n像是在做着美梦。
SM_009020_0120_JEA	“她看起来没什么大碍……\n应该会直接回到原来的森林。\n而且，我的法术也快失效了。”
SM_009020_0130_NAR	贞德的身体开始变得透明。\n她分离出的灵魂即将回到\n原本的身体中去。
SM_009020_0140_JEA	“查尔斯……你打算怎么办？”
SM_009020_0150_NAR	“什么怎么办？”\n查尔斯语气生硬地反问。
SM_009020_0160_JEA	“我在问你，\n你想回到那个破烂的玩偶身上，\n还是要回到魔界？”
SM_009020_0170_NAR	出乎意料的提问\n让查尔斯屏住了呼吸。\n回到魔界……难道说，\n贞德会用这种魔导术吗？
SM_009020_0180_NAR	查尔斯沉默地盯着贞德……\n过了一会儿，它答道。
SM_009020_0190_NAR	“我不相信你的法术，\n你要用就用简单的那种。”
SM_009020_0200_JEA	“是吗……\n行吧，随你喜欢……”
SM_009020_0210_JEA	“待在那个身体里感觉如何？\n总比那个破玩偶要好多了吧？”
SM_009020_0220_NAR	“哼。\n这里跟那里都一样糟。”\n查尔斯不快地哼了声。
SM_009020_0230_NAR	“不过……你使唤恶魔的手法太粗暴。\n我宁愿待在她那边。”
SM_009020_0240_JEA	“呵……这样啊。”
SM_009020_0250_NAR	贞德笑了笑，\n她像是看穿了查尔斯的想法。\n随后便使用暗影魔导术\n让查尔斯回到了原来的玩偶身上。
SM_009020_0260_CER	“小柴猫……你去哪了？\n我一不在你身边，\n你就会迷路呢……”
SM_009020_0270_NAR	瑟蕾莎抱起小柴猫，\n笑得一脸满足。
SM_009020_0280_NAR	小柴猫不情愿地叹了口气，\n但它看起来有些安心。
SM_009020_0290_JEA	“喂，查尔斯……不对，小柴猫。”
SM_009020_0300_JEA	“之前发生的事……\n你绝对不能告诉瑟蕾莎。\n绝对要保密啊。”
SM_009020_0310_NAR	“我才不听人类的命令。”
SM_009020_0320_NAR	“但你帮了我一次……\n我就答应你这个小小的要求吧。”\n小柴猫轻声回答。
SM_009020_0330_JEA	“你这话说得还挺有人情味。\n那么……\n就拜托你照顾我的朋友了。”
BK_9080_0340_JEA	“我会……勇敢面对一切。\n为了成为最强的魔女……！”
BK_9080_0350_NAR	就这样，贞德与查尔斯的冒险告一段落。
BK_9080_0360_NAR	瑟蕾莎与小柴猫的冒险\n还将继续……\n背负着沉重命运的贞德，\n又将何去何从呢？
BK_9080_0370_NAR	或许命运是无法改变的。\n然而……\n她高洁的灵魂，\n定将引导她走向正确的未来。
BK_9080_0380_NAR	让我们祈祷她在漫长旅途中拥有好运，\n并将这个故事永藏心间吧。
BK_9080_0390_NAR	这个秘密故事……\n绝对不能告诉任何人。
LV_009000_0000_JEA	我也是第一次来这座森林，可这个气息……\n这里除了妖精还有别的东西……？
LV_009000_1000_JEA	要是族长知道我进了森林，\n一定会狠狠骂我……不过这算是家常便饭。
LV_009000_2000_JEA	瑟蕾莎，你到底跑哪去了？\n真是的，技艺不精还这么爱胡闹！
LV_009005_0000_JEA	那是……什么？
LV_009010_0000_JEA	这就是你的能力吗？\n以瑟蕾莎召唤出的恶魔而言，你还挺能干。
LV_009015_0000_NAR	“你是那个胆小鬼的伙伴吗？”
LV_009015_0010_NAR	查尔斯提防着贞德，谨慎地询问道。
LV_009015_0020_JEA	胆小鬼？哦……你是指瑟蕾莎啊。
LV_009015_0030_JEA	她的胆子是小了点，\n但她的眼睛深处藏着不可估量的强大。
LV_009015_0040_JEA	为了守护暗影至宝，\n我跟瑟蕾莎都必须更加强大才行。
LV_009020_0000_JEA	说起来，让恶魔附身在玩偶上……\n可真像瑟蕾莎会做的事。
LV_009020_0010_JEA	你看起来也挺开心的嘛。
LV_009020_0020_NAR	“我只是为了回魔界一直在忍耐罢了！”
LV_009020_0030_NAR	查尔斯面红耳赤地发起火来。
LV_009025_0000_JEA	瑟蕾莎……我能感受到她的气息，\n可我怎么也找不到她的位置……！
LV_009025_0010_NAR	听了贞德的话，\n查尔斯一言不发。
LV_009025_0020_NAR	但不知为何，它的心情沉重了不少，\n不禁叹了一口气。
LV_009030_0000_JEA	那是……裂缝？\n哼，是妖精们干的好事吧？
LV_009035_0000_JEA	这里怎么回事？\n到处是妖精的气息，浓得呛人……！
LV_009035_0010_NAR	“这里是它们的老巢。\n正好让我饱餐一顿。”
LV_009035_0020_NAR	看到略显犹豫的贞德，\n查尔斯故意夸大其词地说道。
LV_009040_0000_JEA	等等！这个裂缝……\n我能感受到瑟蕾莎就在对面！
LV_009040_0010_NAR	“真的吗！？”\n查尔斯激动地瞪大眼睛。
LV_009040_0020_NAR	他们俩真的找到了\n瑟蕾莎的所在地吗……？
LV_009045_0000_SIN	勇敢的小姑娘……请立刻回头吧……
LV_009045_0010_JEA	咦……！？\n查尔斯，你说了什么吗？
LV_009050_0000_SIN	继续前进将酿成大祸……
LV_009050_0010_JEA	什么人！？
LV_009055_0000_SIN	我不想再看到你的悲惨结局……
LV_009055_0010_JEA	瑟蕾莎就是你藏起来的吧。\n到底在哪里！？
LV_009055_0020_NAR	贞德的声音在寂静的森林中回荡。
LV_009055_0030_NAR	与自身命运相关之物\n就在这前方等着自己……
LV_009055_0040_NAR	贞德的心中泛起了难以言喻的不安。
CE_009800_0000_SIN	抵抗是无意义的！
CE_009800_1000_SIN	现在正是确定现象的时候！
CE_009800_2000_SIN	不许动！
CE_009800_3000_SIN	白费时间。
CE_009800_4000_SIN	统治者·夏娃·原型\n已经是我的囊中之物！
CE_009805_0000_SIN	贞德，你现在离开还来得及。
CE_009805_1000_SIN	还是说你要接受残酷的结局，贞德？
CE_009805_2000_SIN	明知自己的命运，却还要反抗吗？
CE_009810_0000_SIN	好吧。
CE_009810_0010_SIN	那我就使用妖精之力，\n召唤出统治者·夏娃·原型的噩梦吧。
CE_009810_0020_NAR	绿色亡灵展开卷轴，\n像变魔术一样变出了妖精。
CE_009810_0030_NAR	那种法术使用了妖精之力，\n能将瑟蕾莎的心理创伤化作实体。
CE_009815_0000_SIN	这次又会出来什么东西？
CE_009820_0000_SIN	统治者·夏娃·原型，\n尽情展示更多创伤吧！
CE_009825_0000_SIN	这破烂玩偶是什么东西？
CE_009825_1000_SIN	太神奇了……这奇妙的生物竟然是恶魔！？
CE_009825_2000_SIN	居然召唤出这么无聊的东西……！
CE_009825_3000_SIN	休想妨碍我！
CE_009825_4000_SIN	混账……离我远点！
CE_009825_5000_SIN	丑陋的恶魔，别得意忘形了！
CE_009830_0000_JEA	竟然利用瑟蕾莎的心理创伤，开什么玩笑！
CE_009835_0000_JEA	我不允许你再这么挖她心里的伤口！
CE_009840_0000_JEA	你的无聊把戏已经没用了。
Text/title
TITLE_MENU_TXT_01	从头开始游玩贞德外传。
TITLE_MENU_TXT_02	继续游玩贞德外传。
DIFFICULTY_TXT_01	可轻松享受剧情的基础难度。
DIFFICULTY_TXT_02	适合已熟悉这个故事的玩家，\n略具挑战的难度。
DIFFICULTY_TXT_03	无法在中途变更难度。\n另外，选择该难度后将无法变更轻松游玩设置。\n是否确定选择该难度？
TITLE_ANNOTATION	体验版
TRIAL_DIALOG_TITLE_001	关于体验版
TRIAL_DIALOG_TXT_001	此体验版支持保存功能。\n体验版的保存数据\n可以继承至正式版。
TRIAL_DIALOG_BUTTON_001_01	关闭
TRIAL_DIALOG_TITLE_002	进行更多冒险！
TRIAL_DIALOG_TXT_002	瑟蕾莎与小柴猫的冒险才刚开始！\n可以在正式版游玩两人故事的后续哦！\n※可以继承体验版的保存数据。
TRIAL_DIALOG_BUTTON_002_01	前往Nintendo eShop
TRIAL_DIALOG_BUTTON_002_02	返回标题
TRIAL_DIALOG_TITLE_003	继承保存数据
TRIAL_DIALOG_TXT_003	已找到体验版的保存数据。\n要继承保存数据吗？
TRIAL_DIALOG_BUTTON_003_01	继承
TRIAL_DIALOG_BUTTON_003_02	不继承
TRIAL_DIALOG_TITLE_004	确定继承
TRIAL_DIALOG_TXT_004	如果不在此继承，\n将无法再次继承体验版的数据。\n确定可以吗？
TRIAL_DIALOG_BUTTON_004_01	是
TRIAL_DIALOG_BUTTON_004_02	否
Text/title_MES
TITLE_MENU_01	从头开始
TITLE_MENU_02	继续游戏
TITLE_MENU_03	设置
TITLE_MENU_04	贞德外传
TITLE_MENU_05	附录
EXTRA_MENU_01	贞德外传
EXTRA_MENU_02	故事的作者们
DIFFICULTY_TITLE_01	选择难度
DIFFICULTY_PARTS_01	请选择故事难度。
DIFFICULTY_01	床边故事
DIFFICULTY_02	禁忌传说
DIFFICULTY_03	禁忌传说
Text/tutorial
TUT_TUTORIAL_TEXT_w000	按下[BTN:L1 ]调查物品，\n瑟蕾莎将做出各种动作。\n如果看到很在意的东西，\n就按下[BTN:L1 ]调查看看吧。
TUT_TUTORIAL_TEXT_w010	按下[BTN:L1 ]，瑟蕾莎就能调查物品。\n调查出现在各处的灯笼，\n即可记录故事进度。
TUT_TUTORIAL_TEXT_w011	当画面右下方出现标志时，\n表示正在自动记录故事，\n与手动记录的故事相同，\n都可进行读取。
TUT_TUTORIAL_TEXT_w020	瑟蕾莎可发动魔女脉冲\n使植物生长。\n按住[BTN:L2 ]的同时，\n抓准时机推动[BTN:LS ]吧。
TUT_TUTORIAL_TEXT_w022	挑战更难的魔女脉冲！\n当瑟蕾莎跳舞，\n且标志变红不断扩大时，\n长推[BTN:LS ]。
TUT_TUTORIAL_TEXT_w023	挑战更高难度的魔女脉冲。\n当瑟蕾莎跳舞，\n且两个标志重叠在一起时，\n快速推动两次[BTN:LS ]。
TUT_TUTORIAL_TEXT_w024	“魔女脉冲”灵活运用舞蹈，\n可向对象注入魔力，\n是暗影魔女的初级法术！
TUT_TUTORIAL_TEXT_w025	想要培育森林中的植物，\n魔女脉冲的持续时间\n要比以往更久。
TUT_TUTORIAL_TEXT_w026	接下来请长按[BTN:L2 ]，\n直到魔女脉冲成功发动数次。\n请注意，不能在中途松开。
TUT_TUTORIAL_TEXT_w030	左下方的花瓣标志，\n表示的是瑟蕾莎的体力。\n当受到敌人的攻击时，\n体力将会减少。
TUT_TUTORIAL_TEXT_w031	当体力耗尽时，\n瑟蕾莎就会性命不保。\n要时常留意剩余的体力哦。
TUT_TUTORIAL_TEXT_w040	恶魔的利爪\n能轻松打倒妖精！\n按下[BTN:R2 ]抓挠妖精，\n展现你的实力吧！
TUT_TUTORIAL_TEXT_w050	瑟蕾莎和小柴猫\n可以分别行动。\n按下[BTN:LS ]可使瑟蕾莎行动，\n按下[BTN:RS ]可使小柴猫行动。
TUT_TUTORIAL_TEXT_w051	但若两人离得太远，\n不知道会发生什么事！\n行动时保持好适当的距离吧。
TUT_TUTORIAL_TEXT_w060	小柴猫是恶魔，\n因此无法穿过迷迭香花丛。\n要是遇到了迷迭香，\n小柴猫得绕路走。
TUT_TUTORIAL_TEXT_w070	长按[BTN:L2 ]，瑟蕾莎就能\n召唤魔界荆棘捉住敌人。\n其名为“荆棘束缚”。\n拘束将消耗魔导术计量条。
TUT_TUTORIAL_TEXT_w080	抱着变回玩偶的小柴猫，\n就能两人一起行动了。
TUT_TUTORIAL_TEXT_w081	一起前进时，\n按[BTN:LS ]可使瑟蕾莎行动。\n按[BTN:RS ]可使小柴猫\n向周围伸长。
TUT_TUTORIAL_TEXT_w090	在抱抱模式下按下[BTN:L1 ]，\n可以将小柴猫投掷到高处。\n两人利用地势高低互相协作，\n说不定就能开拓出新的道路。
TUT_TUTORIAL_TEXT_w100	能自由切换两人分头前进\n或一起前进的模式。\n两种模式各有各的特点，\n请灵活运用吧。
TUT_TUTORIAL_TEXT_w101	两人分头前进的状态称为解放模式。\n在一起前进时按下[BTN:R1 ]，\n小柴猫就会冲出来。
