CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	发生连接错误。
0d515dff-a5fe-4848-8e7b-bb14015573a5	刚才爆炸的是{color[0100]}炸弹气球{color[ffff]}！\n去感受打破气球带来的快乐吧！
163c31f5-1327-4244-96b2-bc1a264f3341	好——！！
53f1afa7-5ba3-4033-a209-55b886048694	那么3号，加油上吧！
a05a0e60-3ebf-4d19-bed2-4850c8d9fd3a	观察周围，按{[030c|0000803f00000000]}进行攻击！
aae850dd-dfee-4660-aaaa-d49bb37e8d3a	干得漂亮！
bd611283-f774-49e0-a5c7-bcac89954652	记得推动{[0308|cdcc4c3f00000000]}来观察周围！这是战场上的铁则！
0db8fc65-e008-4237-a01f-a1f55b86144f	发现{color[0100]}跳跃点{color[ffff]}了！
01e79298-775f-47c5-85c8-7f8814007952	用屏幕中央的{[0310|0000803f00000000]}好好瞄准！
ddfce6b9-32a3-4745-9ad5-eb4a49b7f1bf	是{color[0100]}开关{color[ffff]}！涂上墨汁试试吧！
3dcf2629-4914-4166-ae15-8420cbccc5bd	{color[0100]}镜头正面{color[ffff]}可以按{[0303|0000803f00000000]}{color[0100]}重置{color[ffff]}哦！
76286180-bd10-4637-a645-4064e9819185	危险时就躲到墙后深呼吸！这是战场上的铁则！
e8bf642e-9bcf-4457-a923-611c068468ad	那是{color[0100]}电池鲶鱼{color[ffff]}！\n破坏防护罩，通过触碰来获得它吧！
5e02fb84-c754-4245-a412-83977dfceac2	这里也需要按{[030a|0000803f00000000]}让小鲑鱼出场啊！
d2124b23-2490-4c11-b51b-1b785d685ccb	稍微有点远啊……按{[030a|0000803f00000000]}来让{color[0100]}小鲑鱼{color[ffff]}帮忙吧？
a0d33691-d114-48a6-a5f6-e700aa8683f6	那是{color[0100]}盔甲{color[ffff]}！\n它可以防御敌人的墨汁哦！
eb4d49bb-55e1-42c0-901d-bba981fd0ecc	哦！真厉害啊！
LogicMsg\CraterFourth00.msbt
40e171e4-7230-47b0-8081-e171324ca65e	感觉气氛不太妙啊……多加小心。
69362011-33f7-47cf-90fe-17b87ec8c9eb	可以再次使用{color[0100]}超级着陆{color[ffff]}了哦！\n按{[0308|cdcc4c3f00000000]}发动超级着陆吧！
27258447-a228-41d4-9b01-6b7fe7baa10b	咚——！！
39f3aa7d-bf03-4602-a33f-f3821ca2e68e	特殊武器蓄力槽满了！\n按{[0308|cdcc4c3f00000000]}来{color[0100]}超级着陆{color[ffff]}吧！
74e8d6b8-9e17-4119-a6a7-7e3060b5011a	应该还有敌人藏在附近……
a5acbc55-e246-4fd7-8972-c21f64d1e783	这么快就出现了！\n好好瞄准射击吧！
799a5ab8-89bb-43f2-986f-9da8260fd10e	藏身在墙后向终点靠近吧！
ae1da840-6d66-43a8-9c3f-36b87ad32bfc	{color[0100]}英雄装{color[ffff]}坏掉了！\n{color[0100]}潜伏{color[ffff]}起来可以使英雄装更快回复！
aeac4508-24ad-47c9-87bd-db0cf16cdcf5	呼……刚才真是危险……
b9f7356a-63c0-4bb6-a375-0b26c6f28088	干得漂亮，3号！\n又有新的柱子冒出来了哦！
c958b75c-f9b7-476e-be7c-6710929b2154	干得不错嘛！有什么东西从下面冒出来了哦！
e01f0b1a-47d9-48ad-be24-96e950c7cdd5	这里果然有章鱼！\n恐怕暗处还藏着一些！ 
ee4a0fa1-d57e-40b1-9381-8487ba1c31bf	冒冒失失闯进去就太危险了……
74a57e1d-40ab-4ee1-8ba6-8f2255e0b421	按{[030a|0000803f00000000]}投掷{color[0100]}小鲑鱼{color[ffff]}，转移敌人的注意力吧！
LogicMsg\CraterSecond00.msbt
063057dc-6367-46c7-ad8c-4157a13ecf6f	这里有{color[0100]}冲刺板{color[ffff]}！\n乘上它就会咻～地飞出去哦！
3c65ff85-1310-4b35-a2d7-39789d76a492	干得漂亮！\n接下来去获得{color[0100]}电池鲶鱼{color[ffff]}吧！
762f2d5c-6af2-4c2f-8784-fdaeda4a9452	嗯？你是不是一直在同一个地方打转啊？
bd6545ac-4bde-419d-afd5-009d3f4b1b63	按{[030b|0000803f00000000]}潜入墨汁，就能{color[0100]}在墨汁中{color[ffff]}游泳哦！
9be47f6d-1fca-4d29-a4a2-cb046ec2465d	按{[0301|0000803f00000000]}{color[0100]}跳跃{color[ffff]}！
LogicMsg\CraterThird00.msbt
1ed6a49e-02f4-4a9b-af33-e8f201375cb5	哦～！技巧不错啊！
2a6f3a3f-1b16-4972-9232-63fe2acd38f2	能看见远处的{color[0100]}电池鲶鱼{color[ffff]}了。
395e39cc-c42c-4d0f-8a6c-f053f3a18089	墨汁发射的攻击距离不够时，就让{color[0100]}小鲑鱼{color[ffff]}出场吧！
54b9bec6-7e26-4773-8538-28b481d5f874	这里有一扇{[031b|0000803f00000000]}{color[0100]}门{color[ffff]}。\n不知道{[031a|0000803f00000000]}{color[0100]}钥匙{color[ffff]}在哪呢？
bb1da935-3fe2-4326-b66c-267b2580f4a3	在{color[0100]}墨汁轨道{color[ffff]}上{color[0100]}跳跃{color[ffff]}的话，可以跳得很高哦。\n试试看吧！
c65af139-bb36-4136-91b9-1dcc5f97c140	从这里好像够不到墨汁轨道。
d61a0afe-a980-4c15-a3c6-888aa08a7876	有{color[0100]}章鱼螺旋桨兵{color[ffff]}！\n狠狠教训他们一顿吧！
dc655922-99dc-4d59-baae-313ee714ea11	又有{color[0100]}门{color[ffff]}了，去寻找{color[0100]}钥匙{color[ffff]}吧！
f875fdf4-5f72-4172-87fb-3c99f8417f46	嗯，试着发射看看吧！
3059a4ae-0a59-4c06-abdb-3f0fd9bbffad	那是{color[0100]}墨汁轨道{color[ffff]}！\n按{[030b|0000803f00000000]}可以乘上去哦！
f2834fc5-0e87-45c1-8a2e-25b997fde6fa	找到{color[0100]}钥匙{color[ffff]}了！
c0b184e2-64c7-458a-854e-100541badfcd	松开{[030b|0000803f00000000]}就会掉下来，要小心哦！
2ba5d4e9-597f-4de1-8c73-48131e6f5fd0	想穿过{color[0100]}铁丝网{color[ffff]}时，就按{[030b|0000803f00000000]}吧。
LogicMsg\curling.msbt
01732e4e-c627-4df4-a603-5c372b8cca4c	咦？标靶呢？
01e60a5c-8ec1-46be-8b8c-89c0067dd1b9	{color[0100]}跳跃点{color[ffff]}出现了！
0fe5c23c-0ab6-4d3e-b33d-578f8f2bd25b	远处好像有{color[0100]}炸弹气球{color[ffff]}啊。
19b948b6-314f-4425-8180-273df8a95202	这次是会旋转的道路啊——
3ceb6bba-77f6-4558-b408-6e0daf3cc187	可以长按{[030a|0000803f00000000]}来调节\n冰壶炸弹前进的距离哦。
406b8780-754f-4a8a-be4d-ef2b9e7c3eb1	很好！去下个地方吧！
45e453a9-6ce2-4b3e-aa79-3e7e2d9924b4	最好能投掷到正中间。
4619e0ac-fc33-4a7c-a384-1c1c50dacfa8	可以前进了，还不错。
4e78f643-d247-40e7-b68c-326a37786a2c	这是最后一关了吧？加把劲啊——！
540e7143-feae-4bf7-8ca4-18bc22748492	唉，就差一点点！
6fddc809-15ec-4719-93ab-8be78c26b574	哎呀，没能一次破坏掉……
86f54cfe-ceb5-4bea-a53a-0bf6bc56dadf	没能一次破坏掉啊——
8ec6be57-58be-43b7-a678-b0f73b98ce17	啊，是鲑鱼卵！
9f3acb28-cc2a-4e74-a234-02f199474cf0	这样就到终点了，辛苦了～
a4d83e02-c924-4911-848a-4c90682d4ffc	哇——！路这么窄啊——！
a99e659e-f7c7-4a3c-8c2f-f1c21c3fd760	这是一口气将标靶全破坏掉的奖励吗？
b26764c9-d8ea-451a-a788-925fa4212c8d	太好了——！
ce26bba4-20b8-4b0e-8f48-c291b9a146e0	3号，干得好～♪
d8630922-799a-441b-9955-fafb4b6ba211	你刚才表现得真出色啊，3号！
dfc76c16-e662-41e8-818d-5ab76e9f7a4c	真行啊——3号！
e12843c0-5daf-4d52-ab68-43d51ae401af	看来必须从规定的地方投掷才行啊。
f5b1b82a-61cb-40e3-9df4-51507d79bf30	掷出冰壶炸弹后，\n按{[030b|0000803f00000000]}跟在后面会很轻松哦～
f80f42e8-55c2-48fe-99ba-0babc038b4ba	啊，破坏掉一些了。
fdbda3f9-07d9-4035-88c4-f513bed3753a	看来没法直接掷进去……利用墙壁反弹试试吧。
ff9030e3-7bb2-4949-906e-68dbaa8df786	1号有时会在一些奇怪的地方特别坚持呢……
LogicMsg\curlingDoNotStep.msbt
131c7c94-2031-4012-8ced-94aa43a777e6	只要按住{[030b|0000803f00000000]}再松开{[030a|0000803f00000000]}\n就可以解除{color[0100]}冰壶炸弹{color[ffff]}的架势哦。
3833f887-47db-46e5-aa66-2187b89bc40c	那面旋转的墙壁真碍事啊——！
40f8970b-e1b9-4b73-b996-82e7aa32ad39	就差一点了，3号加油。
510d6d4f-c7e0-4ff3-8e5c-4dae39c24ccf	能不能灵活利用那个在动的东西呢……
57128c6a-8db9-40db-8f55-7b28473f725f	投掷出去之后，\n就沿着炸弹涂墨的地方前进吧——！
6d556667-f568-4bc3-aa06-c1a62690515a	这样就只能去对面了吧……\n3号，加油啊！
86665cd7-f248-4b78-a6b4-5944dab2ec90	那边的应该是终点吧？！
97c0e58d-26ec-49a8-a5d6-6e2da04ee09c	注意哦，即使墨汁槽全满，\n也只能投掷1次{color[0100]}冰壶炸弹{color[ffff]}！
97fe52b5-b98d-4379-9e78-93eea13a52c2	不愧是3号——！
9cc2a08c-ad9a-4d09-a374-89d841fa80d5	投掷的时机很重要哦～
b86258c6-41bb-4704-b875-536472f2601d	辛苦了～
d8756542-6ae6-4ce4-8ea9-c51dbf69158d	不能碰到敌人的墨汁啊～\n看来只能靠{color[0100]}冰壶炸弹{color[ffff]}来前进了呢。
e40cc108-699a-4824-b7a3-aaff01d219cf	注意！长按{[030a|0000803f00000000]}时，\n{color[0100]}冰壶炸弹{color[ffff]}的移动距离会变短！
ed90b97f-8c9e-4924-ae4a-1f2fb36a0003	3号好厉害——！
f35bbd6e-e726-4231-b121-449959cf93ae	不能再投掷1次吗？！\n唔……3号，还能继续前进吗？
f846d37a-dc13-499a-82da-660d541038fb	发现终点了～\n不过到处都是敌人的墨汁呢……
LogicMsg\dendenSalmon.msbt
15986b3e-7bf1-414e-be45-ec0214ad4609	想要唤回小鲑鱼时，就按{[030e|0000803f00000000]}发出“{color[0100]}召集{color[ffff]}”信号吧。
1eb26247-5295-4193-bb5c-d3323b1582e0	好！继续前进吧——！
2091de36-1d17-41b3-b40f-7ffa73c57b85	是{color[0100]}转转开关{color[ffff]}啊，那么……
2d09f517-c1c7-4440-b4d4-c406c91b5859	啊，能看见{color[0100]}终点{color[ffff]}啦！
30bfe139-be16-45b9-b3e0-316c9d821c8e	哇，你找到啦，真棒！
480d35ab-e7dd-4db0-a069-866c8e06dff3	按{[030a|0000803f00000000]}发射{color[0100]}小鲑鱼{color[ffff]}！
492ef334-126b-421e-ac63-7c39cb8cd933	啊，3号，你没带武器啊。
4cdf7a62-0286-4bd8-a023-4bddad65e138	好可惜——就差一点了！
5fee01ca-c2ca-4148-b47a-13f5f45d542a	按{[030e|0000803f00000000]}可以{color[0100]}唤回{color[ffff]}投掷出去的{color[0100]}小鲑鱼{color[ffff]}哦。
77aa8809-80ad-4f22-a52f-d8d98736fdf1	你和小鲑鱼配合得很默契呢。
7b27ede6-c1c9-4641-bbe7-fdda6f78166d	小心墙壁！
7f2f3297-9f65-4381-8943-2a7ded57f424	很好，顺利通过了呢。
7f7ef945-36f2-4464-822b-26f480fdb89c	砰——！
80de6497-3350-4ea5-b418-2d71dff34abc	这台装置也好大啊——
812c43fb-ed45-4e1c-bdf6-b9c2cbaf904b	{color[0100]}钥匙{color[ffff]}和{color[0100]}鲑鱼卵{color[ffff]}落下来了……
8b615815-4c19-4e54-8562-30eac1d6f0dd	获得{color[0100]}钥匙{color[ffff]}了！拿到{color[0100]}门{color[ffff]}那里去吧～
8defac15-140d-4f00-8d58-4f0825f312b8	让小鲑鱼一展身手吧。
90912841-09fe-438f-ba6b-78ce19996432	小鲑鱼，加油呀——！
9348b884-6799-4d84-a7c3-95442e6fe714	看来得爬上墙壁呢。
984e20a6-57b3-41b0-931d-7cc8e8265221	有好多{color[0100]}炸弹气球{color[ffff]}和{color[0100]}转转开关{color[ffff]}哦。
b0642773-6b2c-4115-9beb-2f1833c02acc	到啦——！
c717bd03-96a7-46f9-ab51-3100b0e5f8fb	嗯……虽然能看见{[031a|0000803f00000000]}{color[0100]}钥匙{color[ffff]}了……
ede02543-c556-47ec-89c0-b5df84bad7b1	芝麻开门！出现{color[0100]}跳跃点{color[ffff]}了呢。
eff160ab-b2e0-4ad8-81c1-d547b0188e06	你拿到了！太好啦♪
LogicMsg\dieCutting.msbt
272d8490-91e2-42c0-8868-f8836d972cf4	太好了！完成！
4182c9c6-a44c-4e3a-8bf9-57678a27adea	那是什么——？好像在哪里看到过……？
42db31ea-9c2b-4928-b6b1-efcdca1f50cd	没关系，别在意！\n冷静下来稳扎稳打——！
458e5e6e-38b2-47fe-b285-f72b1b083cff	啊！要不用这个看看完成后的样子吧？
6993ef7d-ea58-4769-ac53-4c825a89fa88	仔细对比范例，谨慎地涂吧。
6c92dd11-6960-4da7-aecc-b7207d940c7b	一旦破坏了需要的木箱，任务就会失败！\n仔细比较，看看清楚——！
7239c43a-a753-460e-a78a-f8ab10a1d5d6	嗯嗯，看来左边的是范例。
79e5828f-4287-43ee-a157-a82d0b25f65d	嗯～好像在哪里看到过……？
7e9d47e2-5efe-45da-967e-3edd35b846a3	{[0405]}……\x0f\x04\x05
81dfb674-1ad3-4e98-851d-dab1ff6588a3	有很多可以按{color[0100]}{[030a|0000803f00000000]}{color[ffff]}用{color[0100]}触手喷射{color[ffff]}飞过去的立足处呢！
90757e58-3cfd-4b1e-969a-ef1fbb908c7f	{color[0100]}回旋泼桶{color[ffff]}的墨汁会以抛物线飞出，\n要注意啊～
99e84346-adcc-4a32-936d-79859bbab28d	{[0405]}……\x0f\x04\x05
a32fe856-865d-412b-a799-a1233705f020	从远处看起来的感觉或许会不一样。
a889ec2e-d131-4245-b674-ee0f41104f30	马上前往终点也行♪\n悠闲观察四周也行♪
a92b8578-0739-44d2-b231-2174a993378d	没关系，别在意！\n冷静下来稳扎稳打——！
ba8b2fba-02e7-4a88-8fc6-db674e0fc40c	仔细观察四周！这是战场上的铁则～
cf74fc31-9d8e-4ed5-9c15-71842f909756	蓄力完成后会贯穿木箱造成破坏，\n要注意哦～
d1e6e852-2623-4cd2-8bcb-02fc42716ded	别介意别介意！\n冷静下来稳扎稳打——！
d9c88c5f-2b17-464e-83af-49780860420e	短按{[030c|0000803f00000000]}可以把墨汁泼得更远哦～
fc743b58-e36f-463e-9894-b73e10e79382	哇——后面看起来有点复杂啊——
LogicMsg\dozer.msbt
18375e4b-7580-42bd-8b0e-dd264cfab199	如果让小鲑鱼乘到{color[0100]}章鱼推进洒墨机{color[ffff]}的头上，会发生什么呢？
3668f355-4dd5-479d-ad10-794e30c5b406	好——鼓足干劲收集鲑鱼卵吧——！
9239e5c1-af89-469a-ba5c-97b3e99ee5c4	还剩一半！加油！
acf40376-a26c-4f64-9754-b920c46ef875	冰壶炸弹会从{color[0100]}章鱼推进洒墨机{color[ffff]}下面穿过去哦。
bd62d873-27d7-4691-bf5c-299cc323698f	要是被{color[0100]}章鱼推进洒墨机{color[ffff]}发现，就藏到墨汁里等一会儿吧。
LogicMsg\easyKagidume.msbt
013a698e-d38f-4ee6-a9d9-e7bf9c611ce6	抵达顶端了～
26664be1-97e5-4dc2-b046-503c50a43162	可以咻～地粘到远处的墙壁上哦！
34fd5abe-43be-4d13-9ae5-2ee7c3e96e3e	按{[030a|0000803f00000000]}伸长触手～
4eab797f-9996-411d-aaa0-63385c0e95a7	真是强而有力的攻击！
602791b3-1070-4ed7-a7ae-b1e0353e4023	要休息一下吗？
62431fe6-7d89-4a1d-b472-17bf154bdc7e	太帅了～♪
8df0a558-e5f5-4246-b553-af030096dcef	哇，好高啊……！
98482ecc-435d-4363-9e7c-441b304f3831	帅气地抵达终点吧！
9da84c8a-4cc5-4715-9caf-fb8b83f98cca	呼——已经爬了这么高了呢。
a5c4a2c8-ac3c-4f63-99ed-998f0309e62f	真不错！
b59f8b49-2717-477c-863a-f32df9d9c993	按{[0301|0000803f00000000]}跳跃！
b7a19997-6056-4ffc-af1a-3f67250769c8	顺便还发现了{color[0100]}章鱼狙击兵{color[ffff]}～
b7dc2cdb-4d9e-41c2-97c6-c57d2cdbf045	太好啦！
b8a9d582-31b4-4052-ae80-2c0b05a58f87	也能粘在无法涂墨的墙壁上哦。
c47c420b-4814-482b-b67e-a26a5fc8f419	身手真不错～
c95ef8ad-e0a7-4466-958f-43e3cc468a42	很好♪
cb6a1967-7acd-4e38-8fee-5f9f4c932e98	冷静地观察四周吧。
cfa7908f-de17-4c75-a56a-4bdaa5263804	真厉害！
de747c94-358d-4657-a402-8750f5f635f7	能不能伸长触手靠近呢？
e5ae0f97-1dd9-4e6d-b27b-cb4fc23c57a0	好像是要沿着柱子过去呢。
ebe1f166-cf6c-408d-8871-40c78eb53ec4	发现{color[0100]}终点{color[ffff]}了！
fea5b734-d7a1-403c-9524-2f483a138e6c	按{[0301|0000803f00000000]}从墙壁上跳跃！
LogicMsg\escapeFromShinking.msbt
05917a8b-9846-4f03-9ebc-1db7d205e6ad	在不断地下沉啊！\n3号，总之先往上走吧！
0ae5f2e6-5f08-480b-86b0-d56b7858fff3	最后冲刺阶段！快！
4a63707b-a8ec-460f-b559-a809d9fc1548	地板是不是开始下沉了啊？！\n身后的路也在坍塌！！
5b422237-8082-4a69-81ed-b85caf70658e	？！！！
8832c3d8-7caf-4e65-945a-f79d2397bfc8	能看见顶部了哦！
a91853f2-9cd5-49dc-93d0-4d2f0231a114	嗯，应该是不会迷路的。
dad96356-000b-4f8d-b520-590c24791459	一鼓作气爬上去吧！顶部就是终点哦。
LogicMsg\EX01.msbt
18bbd126-4acd-4099-b3b2-6ad9c801cd0c	哦～安全着陆。
3a9e70dc-bcf0-404a-ad73-c0fa71d5eeb8	看来之后也会用到{color[0100]}鱿鱼登顶{color[ffff]}，\n要注意看上面啊，3号。
57ba1eb7-b557-4858-a35e-805d1a6d49f4	抵达——！然后是……{color[0100]}跳跃点{color[ffff]}！
655be6c1-d290-43e1-b0e2-344f4b1b6abd	真棒～
6c33d03a-c557-43a8-8002-509dc5db8e3f	看来要往下走。
8427df56-c753-4fdf-929c-05b6e62633e2	漂亮！
a359defc-2036-400b-a6d9-ca6dfe24f5ee	哇哦，要注意脚下。
a448547a-c7b3-45dd-9160-e68aff42382d	不要放弃，加油！
b521ba12-b367-4028-9906-df6762bc289a	干得漂亮！
c04a9c6a-a5c6-44ed-8591-f2c6346db1a2	这里就朝着立足处按{[0301|0000803f00000000]}使出{color[0100]}鱿鱼滚行{color[ffff]}吧。
d37fdfb0-36f6-466b-85a2-ed952a4e5b1a	哇，这里也要注意脚下！
d72cef4c-3cfe-4c8b-97da-2e4ec3d46b70	好，出发吧——！
d9e8e02f-575c-4476-84c5-b23064537992	有点走过头了呢。\n用{color[0100]}鱿鱼滚行{color[ffff]}起跳的话，或许能行。
ee5f0c1b-728f-4fed-8a5a-5aa902a05ae5	应该能把墨汁涂在旋转的地方！
LogicMsg\EX02.msbt
12e257b0-65c3-4094-9209-221fb43102c3	好险——我都快放弃了！
463e383b-511e-49f3-955b-08ae14e37632	保持势头，不要停！
64cd2b37-6234-4985-aa5f-1e714b79be66	干得好～离终点还有一段距离，\n再接再厉！
afdd96e1-52c6-48ed-bfb7-37f49c10512e	接下来是要把{color[0100]}标靶{color[ffff]}全部破坏掉吗？
LogicMsg\EX03.msbt
22539bad-881b-463f-93c8-8f1735db4e4d	是{color[0100]}章鱼导弹兵{color[ffff]}的站台啊。
3cb6e9f7-7a6e-47eb-8c97-9f5f84bc0a4b	呼——真是惊险啊。
4ce4d2a1-310c-4522-bd18-e466c2671294	好了，前进吧。
530a685e-46d4-44b2-bc2f-b8632736eec1	哦，该换乘了～
65fd376b-37b7-4f6b-80e5-4f005061e83e	这次是{color[0100]}蛇方块{color[ffff]}啊，\n已经不需要我多说了吧。
6899fef3-4267-4716-be12-657117d1a1a5	它会从后面的方块开始缩短！\n3号，加快动作！
76978fa3-9274-4ced-ae5e-04a8d72b16eb	到啦——！
96f7d1d6-6d4f-4f15-95a6-da999ee4be97	终点就是终点站吗？
9c20e33e-1fab-4d87-89d9-74596a9b059a	啊！可以看到终点站了！
d83154b8-01fc-48de-a840-77ab0316d0f3	小鲑鱼和3号配合如此默契，一定没问题的！
e009de83-0063-4efe-8c0f-6d81842a253a	跳得好！
e8293ce1-3217-401a-b658-fc334911d623	发现{color[0100]}章鱼指挥官{color[ffff]}！\n提高警惕！
LogicMsg\EX04.msbt
c365fb39-46d1-4141-a930-e3067fb9b903	远处的那个应该就是终点吧？
b94869fd-1c6f-49f6-8603-13613b6c0db8	呼～应该全部击倒了吧？
39bbb21a-1abb-4b4c-8e80-c697c3bc8fe3	有什么要来了！
c1f8bf16-4035-4480-abf3-dd6f140ae9b9	{color[0100]}特殊罐头{color[ffff]}出现了！
550e2c40-300a-49c9-9a59-9fbb0074a66e	看来还没有结束。
3f9af97a-fb90-473d-9e57-3321de494cdf	看来你一拿走罐头，就会出现下一个罐头啊。
562c0cb6-b4cf-48c5-9ff6-532cd49be2a5	你有实力能来到这里，所以一定没问题！
c1400f65-1954-43a6-ba76-7cb3f3f6e606	3号，你好厉害，太棒了！
ed69d6bd-4b38-4271-85e7-78d545dea1a8	嗯嗯，你很鱿型哦♪
1041e5cf-246b-405c-8ecd-4c05ced0ce08	应该全部击倒了吧？
8032c2a4-5460-4072-b055-119a783f9379	啊！{color[0100]}盔甲{color[ffff]}出现了！
6b5845d3-4dde-473c-87ae-debbab730775	还剩3只！
11e8d2d7-66d9-44dd-b30d-cd706d4cd22a	还剩3只，要小心啊。
c04d8748-7e36-49f2-97be-657eb106fefa	还剩3只，再加把劲啊，3号。
f620dbc0-1edd-446a-a571-398f81165087	哇！又来了很多！！
LogicMsg\fastDraw.msbt
124c80c6-bf6d-424f-b228-594cc440820e	沉着应对的3号真了不起！
19f142d4-a758-4119-8f69-6ab9a083c866	居然有假动作，真危险——！
24c324f0-f257-40b0-b2eb-85aadb90de24	清爽多了——！
33dd44d1-5eab-41c0-a56e-2dd03e340b92	大丰收♪
3473f6ff-99a1-4c1d-a273-be7be7d01824	哦？成功了吗？
5242126d-1a21-4210-9a07-e725b418b0cf	太好了——！
5a63982a-0629-435c-9535-5bd578552cd8	站到{color[0100]}踩踏开关{color[ffff]}上后便会开始。
642e1e60-70e1-4e26-97d8-df1476f50588	原来如此，注意不要破坏红色的{color[0100]}失败气球{color[ffff]}哦。
a9eaf34c-3cc4-4b21-bf92-9b271975e435	精彩～
cabe2968-4cd7-48b8-8c56-427dcefa2eb2	快要抵达终点了呢。
cfdc359e-dd29-4fa0-bf81-387ffe4ed38a	眼都花了——
LogicMsg\fireWorks.msbt
13637932-d8e7-4880-932f-da55e1f1ae60	啊——！上方发现终点了！\n好像一直在动，不过对3号来说肯定小菜一碟吧！
3b48aafa-3b0f-4818-a5bc-39e32c86209d	干得漂亮！
515d7e5b-41d8-41d0-af5a-033691b0535f	出现能登上去的道路了呢，\n小心章鱼，谨慎前进吧～
98f1800d-9aa7-4462-9f16-27cd7ef1f64d	应该又有其他地方能登上去了吧？
a10d9bda-6992-44ca-a820-383dcce9fe43	好样的～
b890076e-e92a-415b-bb37-ef856dda00cb	好像能登上终点了！
cb6e56a6-3382-43b4-a4ab-f5f5231c4b58	真不错！
LogicMsg\first.msbt
0bb83321-9f48-4d79-bd3b-e3f096d8bfbd	这是最后一扇门了！！\n之后只要沿着输送轨道一直前进就行！
101d4c85-869d-4450-b5d7-d8e789c7139b	做得好～
11093102-d31c-4298-a518-74fd1b2c923f	感觉这里就算进行跳跃也够不到啊……
150de615-8f3c-4817-abe1-67f3b36099f0	挺厉害啊～3号。
1e6e0414-c755-41f1-b1a7-243b8c14ef11	在输送轨道上也可以按{[0301|0000803f00000000]}跳跃哦。
353ce7bd-212b-4905-adb2-d694700ca498	在幻界也要精神饱满地前进——！
3e70151e-e3fa-4cf7-bf53-697dafb378d7	打开第1扇{color[0100]}门{color[ffff]}了——！
3fa81dec-0396-48ea-a530-35e27911a8c1	站在{color[0100]}输送轨道{color[ffff]}上时，可以按{[030c|0000803f00000000]}发射墨汁哦。
48a50b15-8b20-49d2-89c2-c4242b52821d	另一侧有{color[0100]}墨汁轨道{color[ffff]}呢，\n小鲑鱼应该够得到吧？
5b67909c-4ff0-4341-8711-e6acef1c371e	啊，是罐头！
685b1c8b-b21a-47c5-99ca-0f838dca1725	第3把！这样{color[0100]}钥匙{color[ffff]}就收集齐了。
750c4a94-c7e8-498f-bb24-a929203fc0fe	获得了第1把{color[0100]}钥匙{color[ffff]}！\n状态不错哦！
79b54a22-d07f-4da2-99b5-07e0b894ac88	在{color[0100]}跳跃垫{color[ffff]}上\n按住{[0301|0000803f00000000]}可以跳得超～级高。
8142aab4-21ca-413d-bcc1-816e57def6cd	第2扇门也开了～
8f55f1cb-6c05-4775-adfb-482273a5c884	3号，辛苦啦～\n你踏出了幻界探险的第一步呢。
9149a031-393b-40c6-86b5-2a8de05907ef	按{[0308|cdcc4c3f00000000]}发动{color[0100]}终极发射{color[ffff]}！\n再按{[030c|0000803f00000000]}来发射！
93a66f83-c9d6-4209-97f5-db582a03e051	在并行的输送轨道上，\n可以按{[0301|0000803f00000000]}跳到旁边的轨道上哦。
a258a141-a865-4775-9092-1c4b2b4ecad2	安全到达～辛苦了～
b31225e7-1c5a-4fc3-990a-5740cca3429b	前方发现3扇{[031b|0000803f00000000]}{color[0100]}门{color[ffff]}和3把{[031a|0000803f00000000]}{color[0100]}钥匙{color[ffff]}！\n请前去确认——！
bddf4324-8069-4c4a-bc6b-2c1186857d47	这是{color[0100]}吸墨器{color[ffff]}。\n它会把发现的墨汁全部吸走哦。
ce9c53ab-5568-453f-9a93-6ba19591feeb	要是发射墨汁或者投掷小鲑鱼，\n会不会发生什么呢？
d0bc97c5-2b3e-4db7-bfe7-ca3b3074494d	这里有好多装置呢。
dea53ff1-d9ff-4e2d-8b44-287648fe3296	按{[030b|0000803f00000000]}可以穿过{color[0100]}铁丝网{color[ffff]}哦。
f091c212-cf5c-4970-b04b-3cac1c9de4bb	感觉有风吹过呢♪微风拂面～
fe499a3f-63a3-49bd-a15d-3d158c211078	不错不错，获得第2把钥匙了～
LogicMsg\fogMaze.msbt
0a5c19e2-9f91-49b5-b5e4-90c29ec4eab0	它背对着你了！好机会好机会！
24fb0647-9323-490c-b6d7-dc9c7726b60a	3号，辛苦了～\n刚才的感觉真奇怪。
25db09c5-5b56-4ac9-b73d-696bf360b76d	咦？回来了？！\n也就是说这前方……小心点，3号。
397f308b-7886-4e80-b83c-29d7bd0beb77	这扇门……\n之前就是穿过它过来的吧？
39bbf6a5-365f-4552-9b65-ebfffed7fef2	做得好！
47b6bbc1-96d2-4d10-8197-cad144897c88	虽然回不去了，但总会有办法的。
57bdf9ac-0a0b-4945-9519-de38c37027b0	视野和立足处都很差，还有背对着我们的章鱼……\n总之多加小心啊，3号。
6b36bb04-79e9-4aba-9021-7862bafaa4cf	登上了不得了的地方呢……
7058210c-9e71-4d55-9163-58f63d94282b	太好了。
7d893147-6fb4-4fff-b83b-893ed68f65f9	咦？！你刚才是不是登上过这里了？
a818f6d9-18bf-4d35-b048-f2b90d400723	好大的门啊！\n既然开着，那就进去看看吧！
a82eda97-74ec-4ea3-9448-5d1c87e8623d	啊——！刚才走过的路崩塌了！
aa965b63-386b-4a89-81a3-435ffb918ab9	章鱼做事还真周到。
