CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	發生通訊錯誤。
a4a7e008-eec3-4b12-b842-d76efd5c41a7	{color[0100]}章魚柏林號{color[ffff]}的某個地方應該有{color[0100]}弱點{color[ffff]}存在才對……
f4a06dd1-57cf-4a08-81d0-786b6e6904c0	{color[0100]}終點{color[ffff]}已經不遠了，但是該怎麼過去呢？
fb5de069-97fb-4bd6-a5e1-189d458b37c3	空中好像有很多東西在飛耶——！
LogicMsg\allPaint.msbt
122ecfba-09df-41ef-9e8c-c25e978bd914	你塗得很不錯呢！辛苦你了！
31a03527-7af8-4524-a77c-aaf005ba4750	辛苦啦～
32b81e49-4529-4d01-b9bb-103295e701f7	好，3號，使盡全力地塗墨吧——！
466013b8-77bc-4e57-95eb-5d807792f10c	要是1號的塗墨功力也有這麼厲害就好了～
482d135f-dffa-4315-9b7f-1575f25bdb22	再努力一下吧！\n別放過細部的空白處喔！
5c466157-c7b1-4de7-a9c0-859cc7543abd	咦？咦？
6ff905e0-ef11-4123-83dc-af65bd2a62bf	3號，難道你喜歡高處？
d427e78b-be4b-46bd-87bf-a79a45193b27	好大的臉……
e7b820db-7b8f-48b0-8773-183c0e74a994	墨汁的覆蓋面積已超過20%，\n即將部署{color[0100]}立足處{color[ffff]}。
e7f3b11c-60a2-4320-9a88-fdeecdd6547b	應該差不多一半了吧？要保持這股氣勢喔！
LogicMsg\barriar.msbt
0d3626c0-1d75-4236-8b7e-d6d609af6ec8	保持這個氣勢繼續前進吧！
1b001731-7565-44e6-b99b-8ec2077ac333	太棒了！
264a351c-afe0-4ebc-a1ae-2031f03c1191	咿～好高喔～！
2d180a25-c62f-4d35-a258-b9d0fe6de838	想打倒章魚鏡球兵的話就得{color[0100]}從上方進攻{color[ffff]}，\n或是{color[0100]}闖進{color[ffff]}防護罩裡面了……
2da3b625-5b08-412b-8ff9-00a1d2bb59fd	厲害喔～3號！
368b4274-5380-4733-8c57-1bbcacd8f66d	辛苦囉，繼續前進吧！
37e8f1a5-1881-4895-a0ae-777241c39de2	一路向上～
3a7acf22-86b0-4a66-8b70-ad989f495b1a	完美回收！3號實在是太可靠了！
4c07b79f-076a-4914-8f07-55220fe0d11b	呃，那個組合感覺很難應付耶～
5bb0322a-1ab2-4051-b377-b470c89cc54b	那個廣場裡有一大堆章魚，\n就利用牆壁來應對吧。
5d536197-3c8c-4aba-9031-c256e258e222	做得好！3號，辛苦囉！
988795d0-4cff-4c4a-9bf5-0de79c0a47bc	終點前的重要關頭到了，提起幹勁向前衝吧！
9924108a-7b1c-4b7b-9762-ec97eefddda7	有{color[0100]}章魚鏡球兵{color[ffff]}……\n他們不僅結實，而且還會使用防護罩，很難應付喔！
9dfff779-853d-4a62-89c6-f6f158810810	好了，出招吧！
b8737cb8-cefe-4d96-8a71-c1f49cdc294f	好，走吧！
bfa186b4-51ba-48ba-b345-7a3bb64146a4	OK♪
c43bf8ce-543e-40c7-98f9-874b3d5a018a	嗯……3號你打算怎麼進攻呢？
cd7b83bb-f388-4fc4-b07c-42c9a8ca271a	是{color[0100]}波動章魚印章兵{color[ffff]}！小心震波攻擊！
d8871bc0-5930-4db9-9d53-6a162555b012	用螺旋槳咻一下吧～
fb965b3a-ee69-4443-aef5-e220bb952eef	哇！是防護罩！\n外來的攻擊都會被阻擋喔！
LogicMsg\battleHill.msbt
130eb909-e0fb-4dd6-99c7-a4b17e18e50a	一個一個對付的話應該很輕鬆吧。
230619da-e780-44c1-9a8a-232a4f98d51d	有很多章魚呢……
303f5433-b46b-4c20-8b74-02d360652a7e	是{color[0100]}墨雨雲{color[ffff]}！\n丟出去之後可以在命中位置引發墨汁雨喔！
370e7827-d58d-44ca-a8c2-7af862d5cc06	哇，數量超多耶——！！
72d934d5-9821-4d6f-81ed-bd8f36c246a0	這是{color[0100]}多重導彈{color[ffff]}吧，\n就用這個一口氣解決掉他們吧！
LogicMsg\BigWorld.msbt
0360d9c8-29b0-4611-b2c9-9c9855d90c6f	話說回來，這條管線還真長呢。
04075ea7-f96c-48a5-85e5-44a8c4943536	在抵達之前會很閒吧～{[0100|1e000000]}\n要不要跟1號{[0100|0f000000]}玩個文字接龍呢？
2d618c7e-162c-4ac8-ad73-bd1df52c7bb5	裡面還有看到2條管線喔！
62445050-1d0d-4481-8992-349279852c1f	看到沿著管線移動的3號，{[0100|0f000000]}\n就讓我想起了自己出道之前打工的那個倉庫。
85f1c5e1-b146-4ee2-aefc-1919b917dee0	不知道管線中的水流會不會突然停下來，我開始擔心了……
065abbdc-b41c-440c-a0a6-925719c993de	哦，會出現什麼好東西嗎？
133f17d3-3d35-477d-a240-24bb58248adc	……嗯……嗯。
231349e6-976e-4905-9d7b-62e7b4ca7f32	{color[0100]}鮭魚卵{color[ffff]}不夠了呢……\n先去收集一下再來吧。
3634d043-907e-40f4-9146-a601b39bb999	哇！那攤絨毛墨汁好巨大，{[0100|0f000000]}\n靠近一看還真是充滿魄力耶！
47993a16-6ad3-4884-8f36-468da3b7f63e	這條管線正好可以用來通往其他地域呢。
4fb26ef1-bccd-48e9-9358-020346038435	這奇特的速度感似乎會讓人上癮呢。
6809a38c-50bf-4bd8-a281-2f56d7c7e5a5	小鮭魚似乎發現了什麼！
71b53249-eb85-43d6-b906-56a15b22acef	小心點喔，3號。
7ecbdb41-0acb-433d-8539-13ef0fc60ac1	差不多快到囉！打起精神向前邁進吧！
844c3154-92ee-456e-b27b-0dfbf7e48def	這條管線好長——喔！
85e8c9f1-fe2d-4c56-8830-72475250178a	想讓小鮭魚吃掉核心的話，\n就得按下{[0308|cdcc4c3f00000000]}把{color[0100]}鮭魚卵{color[ffff]}交給牠才行。
86321eb5-4968-4805-9b0e-06d8cfc15877	3號，你別太在意！\n不要氣餒，繼續加油吧！
8e09345a-2633-4ee7-bbb5-568fca2af6e6	啊，好像有東西在發亮耶！？
92c20f80-9335-4aa1-94bf-d600f721022a	「無論倒下多少次都會重新站起來，英雄就是如此」\n司令是這麼說的喔！
951427ba-caa3-4b73-8a22-741d34a8c52e	{size[4b00]}……喂！{size[6400]}
a1a4e6cc-a2c5-47d1-a804-0a49d6a6b682	喂——！
a4a4222c-a8a7-4259-b582-758c480947d4	獲得鮭魚卵了！珍惜點用吧！
afd67f37-d756-46ca-9159-44bce594dce9	小鮭魚是不是想表達什麼呢？
b0807a37-df8e-448f-9fc4-bb1540bcc4a3	接著是最內側的那個地域吧？
b3da7fea-aac5-436e-b3fb-50b14dda1869	你應該有看到右手邊那個東西吧～{[0100|0f000000]}\n那就是神秘的火箭喔～
bef5a5c2-5dbc-42aa-9567-c671a043c46b	爺爺到底是在哪裡呢？{[0100|1e000000]}\n希望他平安無事。
c5812a5c-191a-43d3-ad07-e767268726b7	這條管線是用來做什麼的呢？
c7fa03f7-7210-48c4-943c-c3ea8f3bafa9	直接過去看看就會知道了啦！Let's Go！
d67e8a8b-67ec-4b16-aa4f-58883fa1065d	啊，{color[0100]}鮭魚卵{color[ffff]}可能不夠了。
e00d3639-beb7-4e24-91e7-0e547ae241a3	{[0405]}………………\x0f\x04\x05嘩——！！{[0100|1e000000]}\n不知不覺地就停止呼吸了！
e765fc6f-5aca-45bf-bf24-2e2e28ae0a9c	好，出發前往下一個地域吧——！
f12721d6-3378-47cb-b3ef-69b7cb6702b1	好了，出發吧——！
f3df7e2f-f912-46d8-bb41-426d4a606397	毛毛的而且又刺刺的呢。
f97bcace-0ec0-4d7b-986c-39d6a8c60651	感覺好像沉到水底了……
fa23145f-0019-49dc-8680-04fb921adbee	諸事不順的時候，\n就先喝杯咖啡歐蕾休息一下吧～
LogicMsg\bitakoHidding.msbt
18cf0761-7d99-405f-8a81-2114d376114e	只要使用{color[0100]}終極發射{color[ffff]}，再遠的章魚也照樣一擊必殺。
7cd85c8c-af89-4be5-9215-696815776681	雖然數量已經很多了，但是總覺得躲起來的更多……
ad1913ed-6bb8-4397-a88b-e74f241156db	是{color[0100]}強化章魚兵{color[ffff]}！他們比章魚兵更難對付喔！
ba0df8f9-ca58-4a30-806d-0498a5ff0fbc	就只差一點了！
d16441dd-8c43-4c85-99f8-5bb4cf10231c	小鮭魚好像幫得上忙呢。
LogicMsg\boxSashi.msbt
0b1d2aac-2647-4dcb-a1df-54b962c53e1e	不錯喔——！
139995ba-6387-4860-ba1f-9fc122de8691	啊————！！！
1f55cf9d-b512-4b4d-80fd-f0ed0af2eb6e	單憑1發的威力似乎無法摧毀那個{color[0100]}標靶{color[ffff]}……\n也許使用{color[0100]}濺鍍槍{color[ffff]}的翻滾能搞定？
2e5808b6-1ded-454a-bf35-834719c53cfd	最後一波！！
44e01ad4-a10d-4f6f-a2cd-84064a32d19b	正前方有{[0318|0000803f00000000]}{color[0100]}標靶{color[ffff]}出現了喔！
788da1fa-8424-48ee-9a59-c6ca5acc7c85	單憑1發的威力似乎無法摧毀那個{color[0100]}標靶{color[ffff]}……\n也許蓄力之後連續命中就能搞定？
8386445c-79f2-4f1b-b71f-45b8156950e3	好耶♪
e1c37d4d-032a-4dd0-87b3-aab946aa6e13	摧毀標靶……但是根本沒看到任何標靶啊。\n3號，總之就先到前面去看看吧。
f1dd12b6-05f4-40b5-8033-3a78c854205d	單憑1發的威力似乎無法摧毀那個{color[0100]}標靶{color[ffff]}……\n2發完全蓄力的攻擊能搞定……？
fb682d89-6394-4ea8-a9f8-05becf1181dc	……來了！
LogicMsg\brushRush.msbt
3698c188-c5af-41c0-8a71-787c8a3abb96	偵測器出現反應，\n啟動輸送帶。
51fb62b5-41f1-4a10-8eb1-1a17d28793e9	請小心避免遭到{color[0100]}塗塗棒{color[ffff]}捲入。
5f521f98-89a9-4778-8553-09135a673955	別忘了頻繁地按下{[030b|0000803f00000000]}下潛回復墨汁喔！
6a4a4708-d296-4cb4-9f8c-407b57251a61	3號，危險！
736bba10-eed4-4a2c-a980-93dc638e67f6	哇！地板動了！？
bdc638b4-ed39-4535-98db-777d7f03f34b	你可以的，3號！
e496baae-6f82-46fd-8a9a-748e5ecd82dd	就只差1個了！加油——！！
LogicMsg\buildingSnipe.msbt
6412c563-f35a-4963-8ed5-89fc6fdf06aa	真虧你有辦法找到耶～\n不愧是3號！
2d911bf9-8c00-40d5-ad82-344e4deae6da	終於到屋頂了——！
536fc6d2-e114-4d78-a745-bdc0dfb05cd8	終點在更上面的地方。
88f949d5-7a2d-48da-bddd-fe20a19c4c9d	怎麼回事！？\n攻擊是從哪來的？
ced5a6e4-0259-4378-a2a1-5a9875e1bcaf	總之，先找出能往上爬的地方吧。
LogicMsg\chargeKeep.msbt
00b65a31-07ab-439e-a99b-72e292f3e94e	呃，又有{color[0100]}章魚狙擊兵{color[ffff]}出現了！
024e3176-1e96-408e-a6c0-f7a3874afc02	OK♪
21b438ba-407d-4cee-841c-26139861b132	高處有{color[0100]}章魚狙擊兵{color[ffff]}呢。
2ccf5c12-fdcf-47d6-bb11-89c436ad8ea8	發現敵方的新部隊！\n務必小心！
2f13d932-dd75-45dc-928d-659f0cbfab65	別停下腳步，繼續向前衝吧。
582915df-dcc7-46db-91d6-f80473ba3541	在使用蓄力留存的同時靠軌道接近，然後發射！\n嗯，就這麼做。
5e7d7c68-3e3a-49ed-892e-fdb8f10de353	蓄力狙擊槍的精髓——蓄力留存！\n先按住{[030c|0000803f00000000]}開始蓄力！
634f7768-7c7f-440b-9c50-6c8a821a590a	在{color[0100]}墨汁軌道{color[ffff]}上也能使用蓄力留存喔！
6905c09b-afb5-42ca-a566-054d12e518dc	門打開囉！
914cae90-d00a-4dcb-95c6-8361cee82c60	蓄力、衝刺、現身發射！\n這就是蓄力留存的運用過程。
9164d406-c830-417d-98a5-d78ebe698781	利用蓄力留存應該就能攻擊到了吧？
a6701eff-b358-400a-ae4a-ae83335e6522	啊，發現{color[0100]}章魚狙擊兵{color[ffff]}！
a9a29d7e-81b5-47c6-881a-727c6dd37a1e	看來想直接從正面攻進去是很困難的，\n還是從外側一步一步地慢慢進攻吧～
b626ca7c-169c-473d-a71a-d9f43566efb1	不愧是3號！
c0d338e3-3faf-429a-bddc-91a54600754e	哇！數量好多！？
c2fb3b35-7398-47af-8873-12b864fe54b0	很好！
c7e5199e-0e1d-4fa9-ba17-b4d9191d266f	對方緊緊地盯著我們不放耶——！！
d2799044-1b6c-4577-9b5c-946c62fb96f8	接著就算直接按下{[030b|0000803f00000000]}在墨汁中游泳，\n也可以暫時保留蓄力狀態喔！
d2ae7e0d-d14e-4a79-85cb-08f38cf38dbc	好耶～！
d3aec9ff-f917-463d-975a-5ee993d13ebc	好耶！
ded1f65b-1b3a-4a35-b386-47c78c5733b4	待在安全的地方蓄力吧。
e15f50f8-04d7-42bd-99ff-2a5fdac382d9	發現{color[0100]}跳躍點{color[ffff]}！
f6e8a499-9fd8-4b61-b1a8-dd705364a4a8	上頭的{color[0100]}章魚鏡球兵{color[ffff]}也好棘手喔～\n得想辦法解決他的防護罩才行……
ff9d5535-fdf8-4c97-8303-c03d68e30164	射得好～
LogicMsg\chase.msbt
2cd6ae3d-ac63-48b4-9a9a-f2fd0869d6c9	先去把{color[0100]}鑰匙{color[ffff]}找出來吧——！
38c3b8b9-f95e-4111-972b-af9cd42910bd	又拿到1把了！
3b4637ac-0481-4d48-af6d-d46fe3152015	不賴嘛～
3ce4ff63-7a4d-49fd-bbbd-b3a8fdfed2e1	按下{[030a|0000803f00000000]}設置在{color[0100]}章魚溜兵{color[ffff]}必經的路徑上吧！
4d2adda6-4c12-4116-9c9f-d75ad744b2dd	從這裡觀察整體的情況吧！
4d7a1dd4-f127-4f67-92ae-48bc6ca959d4	爬上去並直達終點吧！
548348fc-a353-47c3-be7a-95a199a54fb1	可能需要用到{[031a|0000803f00000000]}{color[0100]}鑰匙{color[ffff]}？
5b9b8457-569c-42e9-802b-d0030059cfe0	小心別掉下去囉。
5dd76b14-9599-4f2c-9053-69f246c02914	不愧是3號。
6a90b05a-0f1d-48b2-bcc4-9a7d4344ee6f	這下應該打倒所有的敵人了吧。
75dd762e-4e50-4721-87f7-5ed77559e830	{color[0100]}鑰匙{color[ffff]}到手！
75fe6345-d37d-496e-8399-de7e70b5867c	感覺{color[0100]}墨汁陷阱{color[ffff]}應該能派得上用場。
77f19511-d97b-42ef-9a91-f8fcb8010ae1	發現{color[0100]}墨汁軌道{color[ffff]}！
7ac76324-a0d7-4a27-b6ee-ecc19f419876	太棒了！
8da68b31-8689-45f8-9dda-bc1fb1d30399	看來是從這裡一路通向終點去了呢。
be483814-d143-4e63-a617-96266aed5f90	看來已經找到了。
bf3ca01e-aa69-4f15-9fad-120a99eb3d82	不錯喔♪
c0cef21b-bbb4-47fe-bda0-72314fbdadb1	嗯，很好。
d7fb5e64-c9a8-4a1e-9afe-833fa54f0fa2	這把{color[0100]}鑰匙{color[ffff]}好像可以用在那裡。
ddad2d70-037e-4c4a-b0ac-e2e1fb80663f	啊！！？
f17ec11c-8f37-4034-a4e4-dcde3b770444	看來得拿到{[031a|0000803f00000000]}{color[0100]}鑰匙{color[ffff]}才有辦法前往終點……
fa18238e-5176-45be-85d2-8ad57c654fa3	原來終點是在那裡啊。
fc583009-a1eb-42d5-97e2-bfee9b032f0e	看來這些就是全部了！
LogicMsg\courceMake.msbt
25bf7a2e-7de9-4993-be79-b2b43d3f1f25	啊！瓶裝鮭魚卵……
273f2f99-a8d0-49a4-ad01-a8a5905cdc52	攀在牆上之後按住{[0301|0000803f00000000]}就能使出{color[0100]}魷魚登頂{color[ffff]}囉～
41a11f0c-1353-4e00-8143-349210ec165c	還剩下哪裡呢？
429853d9-2806-4b9d-98bd-c0c7518fab69	這樣就全都搞定了吧？
554407ce-b31c-494c-a0ce-267ef731943e	一鼓作氣衝上去吧——！
625a2de3-e90b-4c99-bebf-98226086ffcc	原來是在那種地方啊。
66f59d47-b3f3-4848-8d6e-96f90e68174d	對{color[0100]}開關{color[ffff]}塗墨之後，好像就會飛到那裡去耶。
9a282615-bb65-44a5-9bce-4b7581fa30eb	這樣就全都搞定了吧？
a406e83c-eb78-4358-83b6-1717b5d5f7ed	還剩下哪裡呢？
be026b80-143f-4eed-b283-321cfbf5236d	做得好！
da8f9f7a-3002-42e8-b4e7-b7b94ae1ebc4	好像可以利用{color[0100]}跳躍點{color[ffff]}回去喔！
eaaefa8b-d6ef-42fc-a415-95bf992b895c	連同方塊一起飛走了。
LogicMsg\CraterFirst00.msbt
0d515dff-a5fe-4848-8e7b-bb14015573a5	剛才爆炸的東西是{color[0100]}炸彈氣球{color[ffff]}！\n去感受打破那些氣球帶來的歡樂吧！
163c31f5-1327-4244-96b2-bc1a264f3341	很好——！！
53f1afa7-5ba3-4033-a209-55b886048694	好，3號，奮勇地向前衝吧！
a05a0e60-3ebf-4d19-bed2-4850c8d9fd3a	觀察周遭環境並按下{[030c|0000803f00000000]}攻擊！
aae850dd-dfee-4660-aaaa-d49bb37e8d3a	很好！
bd611283-f774-49e0-a5c7-bcac89954652	記得推動{[0308|cdcc4c3f00000000]}觀察左右兩側！這是戰場的鐵則！
0db8fc65-e008-4237-a01f-a1f55b86144f	發現{color[0100]}跳躍點{color[ffff]}！
01e79298-775f-47c5-85c8-7f8814007952	使用畫面中央的{[0310|0000803f00000000]}好好地瞄準吧！
ddfce6b9-32a3-4745-9ad5-eb4a49b7f1bf	是{color[0100]}開關{color[ffff]}，把墨汁塗上去吧！
3dcf2629-4914-4166-ae15-8420cbccc5bd	按下{[0303|0000803f00000000]}就能{color[0100]}重置{color[ffff]}回到{color[0100]}鏡頭正面{color[ffff]}喔！
76286180-bd10-4637-a645-4064e9819185	有危險時就先躲到牆壁後面深呼吸吧！這是戰場的鐵則！
e8bf642e-9bcf-4457-a923-611c068468ad	那是{color[0100]}電池鯰魚{color[ffff]}！\n打破防護罩後以觸碰的方式捕捉牠吧！
5e02fb84-c754-4245-a412-83977dfceac2	看來這裡也得派{[030a|0000803f00000000]}小鮭魚出場了！
d2124b23-2490-4c11-b51b-1b785d685ccb	挺遠的呢……也許可以按下{[030a|0000803f00000000]}讓{color[0100]}小鮭魚{color[ffff]}幫忙？
a0d33691-d114-48a6-a5f6-e700aa8683f6	那是{color[0100]}盔甲{color[ffff]}！\n可以阻擋敵方的墨汁喔！
eb4d49bb-55e1-42c0-901d-bba981fd0ecc	哦，挺厲害的嘛！
LogicMsg\CraterFourth00.msbt
40e171e4-7230-47b0-8081-e171324ca65e	有股不妙的氣息……千萬要小心喔。
69362011-33f7-47cf-90fe-17b87ec8c9eb	又可以使用{color[0100]}超級著陸{color[ffff]}了！\n按下{[0308|cdcc4c3f00000000]}發動吧！
27258447-a228-41d4-9b01-6b7fe7baa10b	咚——！！
39f3aa7d-bf03-4602-a33f-f3821ca2e68e	特殊武器蓄力槽已經全滿了喔！\n按下{[0308|cdcc4c3f00000000]}發動{color[0100]}超級著陸{color[ffff]}吧！
74e8d6b8-9e17-4119-a6a7-7e3060b5011a	似乎還有敵人在這附近呢……
a5acbc55-e246-4fd7-8972-c21f64d1e783	居然這麼快就現身了！\n好好地瞄準展開攻擊吧！
799a5ab8-89bb-43f2-986f-9da8260fd10e	躲到牆壁後面再步步逼近吧！
ae1da840-6d66-43a8-9c3f-36b87ad32bfc	{color[0100]}英雄裝{color[ffff]}壞掉了！\n利用{color[0100]}潛伏{color[ffff]}的方式加快復原速度吧！
aeac4508-24ad-47c9-87bd-db0cf16cdcf5	呼……真是好險啊……
b9f7356a-63c0-4bb6-a375-0b26c6f28088	做得好，3號！\n又有新的柱子冒出來了！
c958b75c-f9b7-476e-be7c-6710929b2154	做得好！下面好像冒出了什麼東西呢！
e01f0b1a-47d9-48ad-be24-96e950c7cdd5	果然有章魚在！\n其他的章魚恐怕也躲起來了！
ee4a0fa1-d57e-40b1-9381-8487ba1c31bf	貿然闖進去可是很危險的……
74a57e1d-40ab-4ee1-8ba6-8f2255e0b421	按下{[030a|0000803f00000000]}投擲{color[0100]}小鮭魚{color[ffff]}，轉移敵人的注意吧！
LogicMsg\CraterSecond00.msbt
063057dc-6367-46c7-ad8c-4157a13ecf6f	有{color[0100]}衝刺板{color[ffff]}喔！\n只要站上去就能咻一聲地飛出去了！
3c65ff85-1310-4b35-a2d7-39789d76a492	漂亮！\n接下來就去拿{color[0100]}電池鯰魚{color[ffff]}吧！
762f2d5c-6af2-4c2f-8784-fdaeda4a9452	嗯？你是不是一直在同個地方打轉啊？
bd6545ac-4bde-419d-afd5-009d3f4b1b63	按下{[030b|0000803f00000000]}下潛就能在{color[0100]}墨汁中{color[ffff]}游泳了！
9be47f6d-1fca-4d29-a4a2-cb046ec2465d	按下{[0301|0000803f00000000]}{color[0100]}跳躍{color[ffff]}吧！
LogicMsg\CraterThird00.msbt
1ed6a49e-02f4-4a9b-af33-e8f201375cb5	哦～！身手挺厲害的嘛！
2a6f3a3f-1b16-4972-9232-63fe2acd38f2	可以看到遠方的{color[0100]}電池鯰魚{color[ffff]}了呢。
395e39cc-c42c-4d0f-8a6c-f053f3a18089	墨汁射不到的話就該派{color[0100]}小鮭魚{color[ffff]}上場了！
54b9bec6-7e26-4773-8538-28b481d5f874	有個{[031b|0000803f00000000]}{color[0100]}門{color[ffff]}呢，\n{[031a|0000803f00000000]}{color[0100]}鑰匙{color[ffff]}會不會就在某個地方呢？
bb1da935-3fe2-4326-b66c-267b2580f4a3	只要在{color[0100]}墨汁軌道{color[ffff]}上{color[0100]}跳躍{color[ffff]}就可以跳得非常高喔！\n快去試試看吧！
c65af139-bb36-4136-91b9-1dcc5f97c140	看來似乎沒辦法從這裡碰到墨汁軌道呢。
d61a0afe-a980-4c15-a3c6-888aa08a7876	有{color[0100]}章魚螺旋槳兵{color[ffff]}呢！\n狠狠地教訓他們吧！
dc655922-99dc-4d59-baae-313ee714ea11	又有{color[0100]}門{color[ffff]}了，去找{color[0100]}鑰匙{color[ffff]}吧！
f875fdf4-5f72-4172-87fb-3c99f8417f46	嗯，試著發射看看吧！
3059a4ae-0a59-4c06-abdb-3f0fd9bbffad	那是{color[0100]}墨汁軌道{color[ffff]}！\n按下{[030b|0000803f00000000]}就能進行移動了。
f2834fc5-0e87-45c1-8a2e-25b997fde6fa	找到了，是{color[0100]}鑰匙{color[ffff]}！
c0b184e2-64c7-458a-854e-100541badfcd	一旦放開{[030b|0000803f00000000]}就會掉下來，所以千萬要小心喔！
2ba5d4e9-597f-4de1-8c73-48131e6f5fd0	想穿越{color[0100]}鐵絲網{color[ffff]}的時候就按下{[030b|0000803f00000000]}吧。
LogicMsg\curling.msbt
01732e4e-c627-4df4-a603-5c372b8cca4c	咦？標靶呢？
01e60a5c-8ec1-46be-8b8c-89c0067dd1b9	{color[0100]}跳躍點{color[ffff]}出現囉！
0fe5c23c-0ab6-4d3e-b33d-578f8f2bd25b	遠處好像有{color[0100]}炸彈氣球{color[ffff]}呢。
19b948b6-314f-4425-8180-273df8a95202	這次的路居然會旋轉耶！
3ceb6bba-77f6-4558-b408-6e0daf3cc187	冰壺炸彈的移動距離\n可以透過按住{[030a|0000803f00000000]}的方式調整喔。
406b8780-754f-4a8a-be4d-ef2b9e7c3eb1	好，繼續吧！
45e453a9-6ce2-4b3e-aa79-3e7e2d9924b4	希望可以順利地丟到正中間。
4619e0ac-fc33-4a7c-a384-1c1c50dacfa8	反正可以繼續前進了，就先這樣吧。
4e78f643-d247-40e7-b68c-326a37786a2c	這是最後一次了吧？再加把勁吧！
540e7143-feae-4bf7-8ca4-18bc22748492	唔～好可惜！
6fddc809-15ec-4719-93ab-8be78c26b574	唔，沒辦法一擊就摧毀成功……！
86f54cfe-ceb5-4bea-a53a-0bf6bc56dadf	沒辦法一擊就摧毀成功耶……
8ec6be57-58be-43b7-a678-b0f73b98ce17	啊，是鮭魚卵！
9f3acb28-cc2a-4e74-a234-02f199474cf0	這樣一來就抵達終點了，辛苦囉～
a4d83e02-c924-4911-848a-4c90682d4ffc	哇——！路超窄——！
a99e659e-f7c7-4a3c-8c2f-f1c21c3fd760	這是一擊就摧毀成功的獎勵？
b26764c9-d8ea-451a-a788-925fa4212c8d	好耶——！
ce26bba4-20b8-4b0e-8f48-c291b9a146e0	3號，做得好～♪
d8630922-799a-441b-9955-fafb4b6ba211	你剛才的表現很棒呢，3號！
dfc76c16-e662-41e8-818d-5ab76e9f7a4c	厲害耶！3號！
e12843c0-5daf-4d52-ab68-43d51ae401af	看來得從指定的地方投擲才行呢。
f5b1b82a-61cb-40e3-9df4-51507d79bf30	投擲冰壺炸彈後，\n按下{[030b|0000803f00000000]}跟在炸彈後面前進會比較輕鬆喔～
f80f42e8-55c2-48fe-99ba-0babc038b4ba	啊，有摧毀掉一些些。
fdbda3f9-07d9-4035-88c4-f513bed3753a	似乎沒辦法直接瞄準……好好地利用牆壁反彈吧。
ff9030e3-7bb2-4949-906e-68dbaa8df786	1號有時候會對一些奇怪的地方特別堅持呢……
LogicMsg\curlingDoNotStep.msbt
131c7c94-2031-4012-8ced-94aa43a777e6	手持{color[0100]}冰壺炸彈{color[ffff]}時，\n只要按住{[030b|0000803f00000000]}再放開{[030a|0000803f00000000]}就可以取消囉！
3833f887-47db-46e5-aa66-2187b89bc40c	那面正在旋轉的牆壁也太礙事了吧——！
40f8970b-e1b9-4b73-b996-82e7aa32ad39	3號，就只差一點了，加油！
510d6d4f-c7e0-4ff3-8e5c-4dae39c24ccf	是不是能利用那個正在動的東西呢……
57128c6a-8db9-40db-8f55-7b28473f725f	投擲出去之後，\n就沿著炸彈塗墨的地方前進吧——！
6d556667-f568-4bc3-aa06-c1a62690515a	看來得到對面去才行了……加油！
86665cd7-f248-4b78-a6b4-5944dab2ec90	那個地方就是終點吧！？
97c0e58d-26ec-49a8-a5d6-6e2da04ee09c	就算墨汁槽全滿，\n{color[0100]}冰壺炸彈{color[ffff]}也一樣只能投擲1次，要注意喔！
97fe52b5-b98d-4379-9e78-93eea13a52c2	3號果然厲害耶——！
9cc2a08c-ad9a-4d09-a374-89d841fa80d5	投擲的時機可是很重要的喔～
b86258c6-41bb-4704-b875-536472f2601d	辛苦囉～
d8756542-6ae6-4ce4-8ea9-c51dbf69158d	踩到敵人的墨汁可就完蛋了呢～\n看來只能靠{color[0100]}冰壺炸彈{color[ffff]}想辦法前進了。
e40cc108-699a-4824-b7a3-aaff01d219cf	按住{[030a|0000803f00000000]}會縮短{color[0100]}冰壺炸彈{color[ffff]}的移動距離，\n要多注意喔！
ed90b97f-8c9e-4924-ae4a-1f2fb36a0003	3號真是厲害耶——！
f35bbd6e-e726-4231-b121-449959cf93ae	沒辦法再投擲1次嗎！？\n唔……3號，你還能前進嗎？
f846d37a-dc13-499a-82da-660d541038fb	發現終點～\n不過到處都是敵人的墨汁呢……
LogicMsg\dendenSalmon.msbt
15986b3e-7bf1-414e-be45-ec0214ad4609	想召回小鮭魚的時候，就按下{[030e|295c4f3f00000000]}發出「{color[0100]}來這裡{color[ffff]}」吧。
1eb26247-5295-4193-bb5c-d3323b1582e0	好了，繼續前進吧——！
2091de36-1d17-41b3-b40f-7ffa73c57b85	是{color[0100]}轉轉開關{color[ffff]}呢，那就……
2d09f517-c1c7-4440-b4d4-c406c91b5859	啊，可以看到{color[0100]}終點{color[ffff]}囉！
30bfe139-be16-45b9-b3e0-316c9d821c8e	哇！真虧你找得到！
480d35ab-e7dd-4db0-a069-866c8e06dff3	按下{[030a|0000803f00000000]}發射{color[0100]}小鮭魚{color[ffff]}！
492ef334-126b-421e-ac63-7c39cb8cd933	啊，3號，你沒帶武器吧。
4cdf7a62-0286-4bd8-a023-4bddad65e138	可惜啊——就差一點點！
5fee01ca-c2ca-4148-b47a-13f5f45d542a	按下{[030e|295c4f3f00000000]}就能{color[0100]}召回{color[ffff]}被投擲出去的{color[0100]}小鮭魚{color[ffff]}囉！
